"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ALGOUSDT","ALGOUSDT#1686661260000",1686661260000,"0.1151","0.1153","0.1150","0.1152","129942.3",1686661319999,"14969.00886",100,"105292.0","12130.92727"
"ALGOUSDT","ALGOUSDT#1686661320000",1686661320000,"0.1153","0.1154","0.1152","0.1152","236125.3",1686661379999,"27224.27983",107,"63967.9","7375.90774"
"ALGOUSDT","ALGOUSDT#1686661380000",1686661380000,"0.1153","0.1154","0.1152","0.1153","329117.5",1686661439999,"37946.12757",129,"237054.9","27333.29697"
"ALGOUSDT","ALGOUSDT#1686661440000",1686661440000,"0.1154","0.1154","0.1150","0.1151","248497.2",1686661499999,"28645.02016",118,"90881.5","10485.68710"
"ALGOUSDT","ALGOUSDT#1686661500000",1686661500000,"0.1151","0.1152","0.1150","0.1152","211058.6",1686661559999,"24292.17645",117,"148859.6","17133.80012"
"ALGOUSDT","ALGOUSDT#1686661560000",1686661560000,"0.1151","0.1152","0.1150","0.1152","225899.0",1686661619999,"26001.75366",54,"198089.7","22801.03596"
"ALGOUSDT","ALGOUSDT#1686661620000",1686661620000,"0.1151","0.1151","0.1150","0.1150","151649.0",1686661679999,"17450.12952",57,"13981.0","1609.21310"
"ALGOUSDT","ALGOUSDT#1686661680000",1686661680000,"0.1151","0.1151","0.1149","0.1150","75105.8",1686661739999,"8637.45102",34,"40097.4","4611.56263"
"ALGOUSDT","ALGOUSDT#1686661740000",1686661740000,"0.1149","0.1149","0.1148","0.1149","113807.4",1686661799999,"13076.36836",33,"46446.4","5336.69136"
"ALGOUSDT","ALGOUSDT#1686661800000",1686661800000,"0.1148","0.1149","0.1144","0.1144","282009.8",1686661859999,"32313.29146",108,"17795.2","2040.26170"
"ALGOUSDT","ALGOUSDT#1686661860000",1686661860000,"0.1144","0.1144","0.1141","0.1141","377381.8",1686661919999,"43101.21577",145,"235782.9","26930.46007"
"ALGOUSDT","ALGOUSDT#1686661920000",1686661920000,"0.1142","0.1143","0.1139","0.1141","751121.8",1686661979999,"85689.34877",214,"335950.7","38331.49948"
"ALGOUSDT","ALGOUSDT#1686661980000",1686661980000,"0.1142","0.1145","0.1142","0.1143","414755.0",1686662039999,"47425.58452",99,"206423.1","23598.05080"
"ALGOUSDT","ALGOUSDT#1686662040000",1686662040000,"0.1144","0.1145","0.1143","0.1143","322998.6",1686662099999,"36945.76519",118,"142761.2","16333.68697"
"ALGOUSDT","ALGOUSDT#1686662100000",1686662100000,"0.1142","0.1145","0.1142","0.1145","327398.0",1686662159999,"37429.35558",98,"217938.7","24916.81778"
"ALGOUSDT","ALGOUSDT#1686662160000",1686662160000,"0.1145","0.1147","0.1144","0.1147","116244.5",1686662219999,"13321.35116",69,"115625.4","13250.49160"
"ALGOUSDT","ALGOUSDT#1686662220000",1686662220000,"0.1147","0.1148","0.1146","0.1147","302844.3",1686662279999,"34736.40484",61,"73194.4","8395.68733"
"ALGOUSDT","ALGOUSDT#1686662280000",1686662280000,"0.1147","0.1148","0.1146","0.1148","56763.9",1686662339999,"6510.81421",32,"56630.6","6495.53803"
"ALGOUSDT","ALGOUSDT#1686662340000",1686662340000,"0.1148","0.1148","0.1146","0.1146","79440.3",1686662399999,"9110.85061",29,"15425.2","1769.39508"
"ALGOUSDT","ALGOUSDT#1686662400000",1686662400000,"0.1146","0.1147","0.1144","0.1146","257411.7",1686662459999,"29485.18202",96,"111219.9","12742.24836"
"ALGOUSDT","ALGOUSDT#1686662460000",1686662460000,"0.1145","0.1146","0.1145","0.1145","87301.0",1686662519999,"9996.30042",37,"4783.6","548.05812"
"ALGOUSDT","ALGOUSDT#1686662520000",1686662520000,"0.1144","0.1146","0.1144","0.1146","338935.3",1686662579999,"38816.07443",88,"303451.9","34755.38894"
