"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BTCBUSD","BTCBUSD#1686679260000",1686679260000,"25809.5","25809.6","25800.3","25800.3","6.362",1686679319999,"164169.8612",155,"0.215","5547.5367"
"BTCBUSD","BTCBUSD#1686679320000",1686679320000,"25800.3","25801.6","25800.3","25801.6","5.142",1686679379999,"132665.7971",56,"4.398","113470.3674"
"BTCBUSD","BTCBUSD#1686679380000",1686679380000,"25801.6","25827.7","25801.6","25827.7","47.581",1686679439999,"1228526.3351",418,"44.176","1140591.3619"
"BTCBUSD","BTCBUSD#1686679440000",1686679440000,"25827.7","25851.7","25827.7","25851.5","69.504",1686679499999,"1796253.4094",631,"58.180","1503518.9663"
"BTCBUSD","BTCBUSD#1686679500000",1686679500000,"25851.6","25854.8","25850.2","25854.8","9.796",1686679559999,"253246.1728",146,"5.095","131710.8406"
"BTCBUSD","BTCBUSD#1686679560000",1686679560000,"25854.7","25895.8","25854.7","25894.6","44.900",1686679619999,"1162121.7950",781,"40.481","1047721.6306"
"BTCBUSD","BTCBUSD#1686679620000",1686679620000,"25894.6","25896.0","25862.5","25864.0","27.243",1686679679999,"705110.7925",537,"7.881","203866.8836"
"BTCBUSD","BTCBUSD#1686679680000",1686679680000,"25864.0","25892.0","25862.0","25886.1","29.002",1686679739999,"750566.4213",554,"15.564","402737.6727"
"BTCBUSD","BTCBUSD#1686679740000",1686679740000,"25886.1","25931.0","25886.0","25906.4","115.145",1686679799999,"2984529.3597",1265,"85.733","2222011.2360"
"BTCBUSD","BTCBUSD#1686679800000",1686679800000,"25906.5","25906.5","25896.9","25902.0","33.025",1686679859999,"855380.6820",412,"16.002","414455.8259"
"BTCBUSD","BTCBUSD#1686679860000",1686679860000,"25902.0","25931.8","25902.0","25931.7","34.903",1686679919999,"904457.0324",666,"27.965","724641.2935"
"BTCBUSD","BTCBUSD#1686679920000",1686679920000,"25931.7","25931.7","25915.1","25915.1","18.111",1686679979999,"469501.7529",266,"6.893","178673.0082"
"BTCBUSD","BTCBUSD#1686679980000",1686679980000,"25915.2","25943.4","25915.2","25930.6","45.460",1686680039999,"1178724.1730",782,"30.914","801440.9198"
"BTCBUSD","BTCBUSD#1686680040000",1686680040000,"25930.6","25934.4","25918.2","25934.4","39.840",1686680099999,"1032844.1440",461,"20.162","522665.9521"
"BTCBUSD","BTCBUSD#1686680100000",1686680100000,"25934.6","25936.9","25917.6","25917.6","23.166",1686680159999,"600685.7851",352,"6.265","162428.2377"
"BTCBUSD","BTCBUSD#1686680160000",1686680160000,"25917.6","25928.8","25917.6","25919.5","8.031",1686680219999,"208200.7337",220,"3.665","95013.1716"
"BTCBUSD","BTCBUSD#1686680220000",1686680220000,"25919.5","25933.8","25919.5","25928.0","22.404",1686680279999,"580870.2373",298,"10.968","284314.0277"
"BTCBUSD","BTCBUSD#1686680280000",1686680280000,"25928.0","25948.9","25928.0","25944.5","23.191",1686680339999,"601619.2516",414,"12.378","321070.6224"
"BTCBUSD","BTCBUSD#1686680340000",1686680340000,"25944.5","25974.2","25944.5","25957.4","96.615",1686680399999,"2508182.4752",1238,"38.016","986828.7550"
"BTCBUSD","BTCBUSD#1686680400000",1686680400000,"25957.4","25957.5","25925.4","25925.4","75.207",1686680459999,"1951297.0660",728,"7.187","186449.1839"
"BTCBUSD","BTCBUSD#1686680460000",1686680460000,"25925.0","25925.0","25907.4","25907.4","29.229",1686680519999,"757464.1916",532,"7.488","194053.5850"
"BTCBUSD","BTCBUSD#1686680520000",1686680520000,"25907.5","25909.1","25907.4","25907.4","17.186",1686680579999,"445257.2565",157,"13.156","340844.4790"
"BTCBUSD","BTCBUSD#1686680580000",1686680580000,"25907.5","25910.8","25890.9","25895.5","27.884",1686680639999,"722255.4519",552,"9.280","240375.5436"
"BTCBUSD","BTCBUSD#1686680640000",1686680640000,"25895.5","25905.6","25895.4","25905.5","6.145",1686680699999,"159145.4256",168,"5.434","140732.9853"
"BTCBUSD","BTCBUSD#1686680700000",1686680700000,"25905.6","25916.4","25904.9","25905.0","14.042",1686680759999,"363852.3089",338,"3.234","83790.3315"
"BTCBUSD","BTCBUSD#1686680760000",1686680760000,"25905.0","25912.0","25900.8","25902.0","11.845",1686680819999,"306868.4012",246,"5.386","139524.2184"
"BTCBUSD","BTCBUSD#1686680820000",1686680820000,"25902.0","25902.0","25900.8","25900.8","4.342",1686680879999,"112463.5037",95,"1.936","50144.1611"
"BTCBUSD","BTCBUSD#1686680880000",1686680880000,"25900.8","25900.9","25888.5","25888.5","11.429",1686680939999,"295946.5793",262,"0.283","7326.7263"
"BTCBUSD","BTCBUSD#1686680940000",1686680940000,"25888.4","25893.8","25888.4","25893.8","13.580",1686680999999,"351594.4790",135,"13.431","347736.7078"
"BTCBUSD","BTCBUSD#1686681000000",1686681000000,"25893.8","25893.8","25888.0","25893.8","27.255",1686681059999,"705632.7323",278,"22.300","577337.9512"
"BTCBUSD","BTCBUSD#1686681060000",1686681060000,"25893.8","25908.3","25893.7","25902.8","51.819",1686681119999,"1342116.2076",482,"44.833","1161137.0386"
"BTCBUSD","BTCBUSD#1686681120000",1686681120000,"25902.8","25902.8","25896.0","25896.0","14.509",1686681179999,"375810.0759",139,"4.612","119460.7180"
"BTCBUSD","BTCBUSD#1686681180000",1686681180000,"25896.1","25896.1","25890.0","25890.0","2.317",1686681239999,"59992.1512",96,"0.234","6058.9854"
"BTCBUSD","BTCBUSD#1686681240000",1686681240000,"25890.1","25890.1","25871.7","25881.3","35.634",1686681299999,"922161.8994",341,"12.507","323672.0580"
"BTCBUSD","BTCBUSD#1686681300000",1686681300000,"25881.4","25881.4","25873.4","25873.5","3.285",1686681359999,"85010.2393",83,"0.946","24477.7988"
"BTCBUSD","BTCBUSD#1686681360000",1686681360000,"25873.4","25876.5","25865.3","25875.5","53.477",1686681419999,"1383540.1713",339,"48.734","1260835.9952"
"BTCBUSD","BTCBUSD#1686681420000",1686681420000,"25875.5","25875.6","25875.0","25875.0","6.215",1686681479999,"160816.0653",52,"0.178","4605.8548"
"BTCBUSD","BTCBUSD#1686681480000",1686681480000,"25875.1","25876.0","25868.0","25868.1","8.409",1686681539999,"217581.4659",161,"4.619","119517.5601"
"BTCBUSD","BTCBUSD#1686681540000",1686681540000,"25868.0","25875.7","25868.0","25875.7","17.355",1686681599999,"448989.7774",132,"17.100","442393.2809"
"BTCBUSD","BTCBUSD#1686681600000",1686681600000,"25875.8","25875.8","25875.7","25875.8","1.286",1686681659999,"33276.2736",54,"1.234","31930.7372"
"BTCBUSD","BTCBUSD#1686681660000",1686681660000,"25875.8","25875.8","25872.0","25872.0","5.967",1686681719999,"154397.9364",105,"0.360","9314.9180"
"BTCBUSD","BTCBUSD#1686681720000",1686681720000,"25872.0","25872.0","25850.0","25852.1","31.751",1686681779999,"820892.9536",394,"20.582","532075.8724"
"BTCBUSD","BTCBUSD#1686681780000",1686681780000,"25852.1","25858.7","25852.1","25858.6","10.896",1686681839999,"281708.9446",138,"10.796","279123.5120"
"BTCBUSD","BTCBUSD#1686681840000",1686681840000,"25858.7","25865.7","25858.7","25865.7","2.787",1686681899999,"72077.4778",78,"2.502","64705.7966"
"BTCBUSD","BTCBUSD#1686681900000",1686681900000,"25865.6","25869.9","25858.0","25869.9","17.390",1686681959999,"449751.0432",251,"12.936","334547.9389"
"BTCBUSD","BTCBUSD#1686681960000",1686681960000,"25869.9","25875.1","25864.1","25875.0","22.964",1686682019999,"594068.9628",175,"21.567","557929.4732"
"BTCBUSD","BTCBUSD#1686682020000",1686682020000,"25875.1","25875.1","25868.0","25868.0","3.671",1686682079999,"94973.6152",91,"0.732","18936.7582"
"BTCBUSD","BTCBUSD#1686682080000",1686682080000,"25868.0","25868.1","25857.0","25857.0","3.965",1686682139999,"102553.3109",148,"0.923","23876.0663"
"BTCBUSD","BTCBUSD#1686682140000",1686682140000,"25857.0","25857.0","25852.4","25852.5","5.354",1686682199999,"138415.5163",111,"4.502","116388.3397"
"BTCBUSD","BTCBUSD#1686682200000",1686682200000,"25852.5","25872.0","25852.4","25870.1","10.961",1686682259999,"283452.9990",179,"10.044","259736.6848"
"BTCBUSD","BTCBUSD#1686682260000",1686682260000,"25870.1","25878.3","25868.2","25876.1","17.948",1686682319999,"464394.5275",142,"17.614","455754.1256"
"BTCBUSD","BTCBUSD#1686682320000",1686682320000,"25876.1","25876.1","25873.0","25873.0","5.659",1686682379999,"146425.4089",66,"2.441","63158.0821"
"BTCBUSD","BTCBUSD#1686682380000",1686682380000,"25873.0","25873.1","25873.0","25873.0","0.221",1686682439999,"5717.9369",26,"0.039","1009.0509"
"BTCBUSD","BTCBUSD#1686682440000",1686682440000,"25873.0","25873.1","25868.3","25868.4","8.582",1686682499999,"222017.9735",95,"4.301","111260.5048"
"BTCBUSD","BTCBUSD#1686682500000",1686682500000,"25871.0","25893.6","25871.0","25892.1","13.774",1686682559999,"356556.5874",327,"10.996","284625.3315"
"BTCBUSD","BTCBUSD#1686682560000",1686682560000,"25892.0","25892.1","25890.0","25890.0","4.350",1686682619999,"112625.2324",145,"2.452","63483.3498"
"BTCBUSD","BTCBUSD#1686682620000",1686682620000,"25890.0","25890.0","25867.5","25877.8","18.223",1686682679999,"471525.4979",309,"7.122","184253.7853"
"BTCBUSD","BTCBUSD#1686682680000",1686682680000,"25877.9","25889.6","25877.9","25889.5","16.921",1686682739999,"437999.1347",293,"16.745","433443.8875"
"BTCBUSD","BTCBUSD#1686682740000",1686682740000,"25889.5","25893.4","25889.5","25890.0","12.966",1686682799999,"335719.4724",239,"8.877","229842.7096"
"BTCBUSD","BTCBUSD#1686682800000",1686682800000,"25890.1","25890.1","25884.3","25884.3","3.420",1686682859999,"88529.8677",164,"1.009","26117.7472"
