"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"COMBOUSDT","COMBOUSDT#1686679260000",1686679260000,"0.967500","0.967500","0.967100","0.967400","2483.1",1686679319999,"2401.9040800",16,"854.4","826.4394600"
"COMBOUSDT","COMBOUSDT#1686679320000",1686679320000,"0.967300","0.967300","0.965500","0.966400","8705.3",1686679379999,"8409.3790100",49,"6909.7","6673.9570300"
"COMBOUSDT","COMBOUSDT#1686679380000",1686679380000,"0.966700","0.967100","0.966300","0.967100","1257.5",1686679439999,"1215.3932300",14,"691.3","668.1389100"
"COMBOUSDT","COMBOUSDT#1686679440000",1686679440000,"0.967600","0.968700","0.967600","0.968700","2572.7",1686679499999,"2490.8961900",18,"1150.1","1113.1020300"
"COMBOUSDT","COMBOUSDT#1686679500000",1686679500000,"0.968600","0.969000","0.968000","0.969000","6687.2",1686679559999,"6477.2316300",43,"4972.7","4816.9050700"
"COMBOUSDT","COMBOUSDT#1686679560000",1686679560000,"0.968900","0.971100","0.968900","0.970700","7110.0",1686679619999,"6897.9104300",45,"2160.6","2096.0423400"
"COMBOUSDT","COMBOUSDT#1686679620000",1686679620000,"0.971200","0.971600","0.969800","0.969800","7462.8",1686679679999,"7249.2012100",39,"224.0","217.5910900"
"COMBOUSDT","COMBOUSDT#1686679680000",1686679680000,"0.970300","0.970300","0.970200","0.970300","324.9",1686679739999,"315.2473200",4,"276.1","267.8998300"
"COMBOUSDT","COMBOUSDT#1686679740000",1686679740000,"0.970400","0.975000","0.970300","0.974900","11467.3",1686679799999,"11169.3306900",113,"4510.8","4391.3204700"
"COMBOUSDT","COMBOUSDT#1686679800000",1686679800000,"0.974900","0.974900","0.973400","0.974200","4918.4",1686679859999,"4791.6901100",47,"2196.7","2139.9002100"
"COMBOUSDT","COMBOUSDT#1686679860000",1686679860000,"0.974300","0.975000","0.974200","0.974900","1597.5",1686679919999,"1556.7847000",22,"953.4","929.2172200"
"COMBOUSDT","COMBOUSDT#1686679920000",1686679920000,"0.974800","0.975000","0.974800","0.975000","5010.4",1686679979999,"4884.7047700",29,"4350.9","4241.8241700"
"COMBOUSDT","COMBOUSDT#1686679980000",1686679980000,"0.975000","0.975000","0.974900","0.974900","722.7",1686680039999,"704.6055300",6,"453.0","441.6750000"
"COMBOUSDT","COMBOUSDT#1686680040000",1686680040000,"0.974900","0.975000","0.974900","0.975000","749.5",1686680099999,"730.6882800",6,"7.3","7.1175000"
"COMBOUSDT","COMBOUSDT#1686680100000",1686680100000,"0.974900","0.975000","0.974900","0.974900","6510.6",1686680159999,"6347.2760200",16,"920.8","897.7800000"
"COMBOUSDT","COMBOUSDT#1686680160000",1686680160000,"0.974900","0.974900","0.974900","0.974900","636.6",1686680219999,"620.6213400",4,"0.0","0.0000000"
"COMBOUSDT","COMBOUSDT#1686680220000",1686680220000,"0.975000","0.975000","0.974100","0.974200","8976.4",1686680279999,"8749.7398900",42,"150.5","146.6512200"
"COMBOUSDT","COMBOUSDT#1686680280000",1686680280000,"0.974300","0.975000","0.974300","0.975000","1043.6",1686680339999,"1017.3746800",6,"1016.7","991.1498700"
"COMBOUSDT","COMBOUSDT#1686680340000",1686680340000,"0.975000","0.975300","0.974900","0.975300","6018.5",1686680399999,"5868.5450500",33,"3024.2","2948.8278100"
"COMBOUSDT","COMBOUSDT#1686680400000",1686680400000,"0.975400","0.977000","0.975300","0.976900","10008.1",1686680459999,"9765.2186700",56,"9153.8","8931.2380200"
"COMBOUSDT","COMBOUSDT#1686680460000",1686680460000,"0.977000","0.977200","0.976900","0.977200","4621.5",1686680519999,"4515.8452700",33,"1485.2","1451.0649100"
"COMBOUSDT","COMBOUSDT#1686680520000",1686680520000,"0.977200","0.977300","0.977200","0.977300","603.4",1686680579999,"589.6682800",21,"258.0","252.1434000"
"COMBOUSDT","COMBOUSDT#1686680580000",1686680580000,"0.977200","0.977200","0.975900","0.976000","3801.4",1686680639999,"3711.8403000",35,"1466.6","1431.4496300"
"COMBOUSDT","COMBOUSDT#1686680640000",1686680640000,"0.976000","0.976900","0.975900","0.976900","735.7",1686680699999,"718.3944100",15,"726.5","709.4152100"
"COMBOUSDT","COMBOUSDT#1686680700000",1686680700000,"0.976900","0.977200","0.976800","0.976800","803.2",1686680759999,"784.8139200",12,"383.6","374.8502400"
"COMBOUSDT","COMBOUSDT#1686680760000",1686680760000,"0.976900","0.976900","0.976500","0.976500","919.0",1686680819999,"897.5159200",12,"98.8","96.5177200"
"COMBOUSDT","COMBOUSDT#1686680820000",1686680820000,"0.976500","0.976500","0.976500","0.976500","2704.0",1686680879999,"2640.4560000",6,"0.0","0.0000000"
"COMBOUSDT","COMBOUSDT#1686680880000",1686680880000,"0.976600","0.977000","0.976500","0.976700","906.0",1686680939999,"884.9407500",17,"830.2","810.9148400"
"COMBOUSDT","COMBOUSDT#1686680940000",1686680940000,"0.976700","0.976700","0.976600","0.976600","5233.1",1686680999999,"5110.6735200",9,"253.3","247.3981100"
"COMBOUSDT","COMBOUSDT#1686681000000",1686681000000,"0.976700","0.977000","0.976500","0.976600","3900.8",1686681059999,"3810.3217400",38,"2899.9","2832.7928200"
"COMBOUSDT","COMBOUSDT#1686681060000",1686681060000,"0.976500","0.976500","0.973700","0.973700","7944.2",1686681119999,"7746.6796200",54,"1179.4","1149.7869400"
"COMBOUSDT","COMBOUSDT#1686681120000",1686681120000,"0.973700","0.973700","0.973600","0.973600","2045.4",1686681179999,"1991.5663700",9,"1649.3","1605.9234100"
"COMBOUSDT","COMBOUSDT#1686681180000",1686681180000,"0.973700","0.973700","0.973600","0.973600","381.0",1686681239999,"370.9763600",2,"347.6","338.4581200"
"COMBOUSDT","COMBOUSDT#1686681240000",1686681240000,"0.973600","0.973600","0.971000","0.971000","4839.1",1686681299999,"4707.6284700",52,"46.4","45.0806900"
"COMBOUSDT","COMBOUSDT#1686681300000",1686681300000,"0.971000","0.972100","0.970600","0.972100","10860.9",1686681359999,"10543.5093100",57,"10212.8","9914.1611100"
"COMBOUSDT","COMBOUSDT#1686681360000",1686681360000,"0.972000","0.972000","0.971200","0.971200","3111.4",1686681419999,"3023.5616700",17,"538.5","523.0450500"
"COMBOUSDT","COMBOUSDT#1686681420000",1686681420000,"0.971300","0.972300","0.971300","0.972300","357.2",1686681479999,"347.1834400",11,"139.3","135.3192700"
"COMBOUSDT","COMBOUSDT#1686681480000",1686681480000,"0.972400","0.972400","0.971200","0.971200","1821.1",1686681539999,"1768.9745800",18,"7.0","6.8068000"
"COMBOUSDT","COMBOUSDT#1686681540000",1686681540000,"0.970600","0.970900","0.970500","0.970500","3589.7",1686681599999,"3484.0862800",23,"642.8","623.9212200"
"COMBOUSDT","COMBOUSDT#1686681600000",1686681600000,"0.970600","0.970600","0.970600","0.970600","800.2",1686681659999,"776.6741200",7,"800.2","776.6741200"
"COMBOUSDT","COMBOUSDT#1686681660000",1686681660000,"0.970700","0.970800","0.970700","0.970800","245.3",1686681719999,"238.1347500",5,"116.6","113.1952800"
"COMBOUSDT","COMBOUSDT#1686681720000",1686681720000,"0.970900","0.970900","0.970600","0.970600","1666.3",1686681779999,"1617.6845600",15,"1205.0","1169.8545200"
"COMBOUSDT","COMBOUSDT#1686681780000",1686681780000,"0.970500","0.970600","0.970500","0.970600","142.1",1686681839999,"137.9176000",2,"95.5","92.6923000"
"COMBOUSDT","COMBOUSDT#1686681840000",1686681840000,"0.970600","0.970600","0.970500","0.970500","1143.6",1686681899999,"1109.8943900",11,"305.9","296.9065400"
"COMBOUSDT","COMBOUSDT#1686681900000",1686681900000,"0.970500","0.970500","0.969200","0.969300","4472.0",1686681959999,"4336.9229200",31,"1511.6","1465.2615200"
"COMBOUSDT","COMBOUSDT#1686681960000",1686681960000,"0.969200","0.969200","0.967900","0.968400","10953.0",1686682019999,"10605.6833300",87,"4008.1","3880.7092200"
"COMBOUSDT","COMBOUSDT#1686682020000",1686682020000,"0.968000","0.968000","0.968000","0.968000","59.3",1686682079999,"57.4024000",5,"59.3","57.4024000"
"COMBOUSDT","COMBOUSDT#1686682080000",1686682080000,"0.968000","0.968700","0.967800","0.968300","2445.3",1686682139999,"2367.3688800",40,"1416.7","1371.5911000"
"COMBOUSDT","COMBOUSDT#1686682140000",1686682140000,"0.968400","0.969000","0.968200","0.968200","1172.2",1686682199999,"1135.0964500",17,"661.2","640.3098200"
