"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"COMPUSDT","COMPUSDT#1686625260000",1686625260000,"28.23","28.24","28.20","28.20","1803.548",1686625319999,"50891.84025",234,"750.137","21176.52694"
"COMPUSDT","COMPUSDT#1686625320000",1686625320000,"28.21","28.22","28.17","28.17","359.823",1686625379999,"10145.13737",85,"63.071","1779.57794"
"COMPUSDT","COMPUSDT#1686625380000",1686625380000,"28.17","28.18","28.15","28.16","363.179",1686625439999,"10230.78620",112,"166.463","4689.70695"
"COMPUSDT","COMPUSDT#1686625440000",1686625440000,"28.17","28.17","28.15","28.16","79.553",1686625499999,"2240.73589",32,"51.163","1441.24724"
"COMPUSDT","COMPUSDT#1686625500000",1686625500000,"28.16","28.18","28.15","28.17","318.136",1686625559999,"8960.85770",83,"217.554","6128.21151"
"COMPUSDT","COMPUSDT#1686625560000",1686625560000,"28.16","28.19","28.16","28.17","266.289",1686625619999,"7503.06741",58,"190.427","5365.62371"
"COMPUSDT","COMPUSDT#1686625620000",1686625620000,"28.17","28.18","28.16","28.18","133.812",1686625679999,"3769.49311",46,"66.334","1868.70952"
"COMPUSDT","COMPUSDT#1686625680000",1686625680000,"28.18","28.19","28.17","28.17","54.758",1686625739999,"1543.17525",22,"23.687","667.73653"
"COMPUSDT","COMPUSDT#1686625740000",1686625740000,"28.18","28.19","28.17","28.18","220.248",1686625799999,"6207.75466",54,"108.290","3052.13905"
"COMPUSDT","COMPUSDT#1686625800000",1686625800000,"28.19","28.19","28.14","28.15","1017.031",1686625859999,"28645.26864",199,"360.574","10156.90462"
"COMPUSDT","COMPUSDT#1686625860000",1686625860000,"28.16","28.18","28.15","28.15","110.213",1686625919999,"3103.90418",34,"82.528","2324.43461"
"COMPUSDT","COMPUSDT#1686625920000",1686625920000,"28.14","28.16","28.14","28.15","254.152",1686625979999,"7153.08105",52,"72.256","2033.55548"
"COMPUSDT","COMPUSDT#1686625980000",1686625980000,"28.14","28.14","28.14","28.14","110.282",1686626039999,"3103.33548",25,"17.588","494.92632"
"COMPUSDT","COMPUSDT#1686626040000",1686626040000,"28.14","28.15","28.12","28.14","372.938",1686626099999,"10492.01296",55,"175.016","4923.63165"
"COMPUSDT","COMPUSDT#1686626100000",1686626100000,"28.14","28.18","28.14","28.16","317.127",1686626159999,"8933.50435",71,"243.165","6850.06671"
"COMPUSDT","COMPUSDT#1686626160000",1686626160000,"28.16","28.17","28.15","28.15","86.994",1686626219999,"2449.74308",21,"1.915","53.93777"
"COMPUSDT","COMPUSDT#1686626220000",1686626220000,"28.16","28.21","28.15","28.20","459.286",1686626279999,"12942.67362",92,"429.833","12113.10643"
"COMPUSDT","COMPUSDT#1686626280000",1686626280000,"28.20","28.21","28.19","28.20","95.696",1686626339999,"2698.59357",36,"21.345","601.93432"
"COMPUSDT","COMPUSDT#1686626340000",1686626340000,"28.20","28.21","28.18","28.20","252.968",1686626399999,"7132.22140",46,"57.798","1629.82662"
"COMPUSDT","COMPUSDT#1686626400000",1686626400000,"28.19","28.19","28.18","28.18","133.718",1686626459999,"3768.89934",40,"49.955","1408.23145"
"COMPUSDT","COMPUSDT#1686626460000",1686626460000,"28.18","28.18","28.15","28.16","586.886",1686626519999,"16529.05148",51,"154.945","4363.27505"
"COMPUSDT","COMPUSDT#1686626520000",1686626520000,"28.16","28.16","28.13","28.13","325.679",1686626579999,"9164.76889",55,"39.797","1119.88758"
"COMPUSDT","COMPUSDT#1686626580000",1686626580000,"28.12","28.12","28.06","28.07","417.930",1686626639999,"11743.45789",81,"39.570","1111.05120"
"COMPUSDT","COMPUSDT#1686626640000",1686626640000,"28.07","28.08","28.06","28.07","270.122",1686626699999,"7582.87838",58,"201.413","5654.40356"
"COMPUSDT","COMPUSDT#1686626700000",1686626700000,"28.07","28.07","28.05","28.07","606.360",1686626759999,"17018.32230",67,"395.331","11096.63921"
"COMPUSDT","COMPUSDT#1686626760000",1686626760000,"28.07","28.07","28.06","28.06","360.115",1686626819999,"10105.55684",32,"74.016","2077.61890"
"COMPUSDT","COMPUSDT#1686626820000",1686626820000,"28.05","28.07","28.05","28.07","988.799",1686626879999,"27753.94233",35,"925.176","25969.31718"
"COMPUSDT","COMPUSDT#1686626880000",1686626880000,"28.07","28.08","28.06","28.08","714.992",1686626939999,"20069.28315",33,"45.118","1266.64048"
"COMPUSDT","COMPUSDT#1686626940000",1686626940000,"28.07","28.07","28.04","28.04","132.844",1686626999999,"3727.11829",41,"4.813","135.10091"
