"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"EOSUSDT","EOSUSDT#1686646860000",1686646860000,"0.683","0.684","0.683","0.684","15324.9",1686646919999,"10477.3514",45,"10444.7","7144.1748"
"EOSUSDT","EOSUSDT#1686646920000",1686646920000,"0.683","0.684","0.682","0.683","257523.3",1686646979999,"175899.6734",252,"126410.5","86349.7806"
"EOSUSDT","EOSUSDT#1686646980000",1686646980000,"0.683","0.684","0.683","0.683","9349.4",1686647039999,"6389.1311",26,"3490.9","2387.7756"
"EOSUSDT","EOSUSDT#1686647040000",1686647040000,"0.684","0.684","0.683","0.684","29413.4",1686647099999,"20103.6709",39,"14318.7","9793.9908"
"EOSUSDT","EOSUSDT#1686647100000",1686647100000,"0.684","0.684","0.682","0.682","100293.5",1686647159999,"68484.6631",189,"10031.7","6852.6100"
"EOSUSDT","EOSUSDT#1686647160000",1686647160000,"0.682","0.683","0.682","0.682","30163.9",1686647219999,"20580.1125",44,"8332.7","5691.2341"
"EOSUSDT","EOSUSDT#1686647220000",1686647220000,"0.682","0.683","0.682","0.682","10344.0",1686647279999,"7057.3979",15,"2789.9","1905.5017"
"EOSUSDT","EOSUSDT#1686647280000",1686647280000,"0.682","0.683","0.682","0.682","6929.3",1686647339999,"4728.5440",14,"2761.4","1886.0362"
"EOSUSDT","EOSUSDT#1686647340000",1686647340000,"0.683","0.683","0.681","0.682","115040.3",1686647399999,"78439.8612",120,"15223.4","10390.4859"
"EOSUSDT","EOSUSDT#1686647400000",1686647400000,"0.681","0.682","0.679","0.681","836252.6",1686647459999,"568944.2149",459,"272808.6","185620.4348"
"EOSUSDT","EOSUSDT#1686647460000",1686647460000,"0.680","0.681","0.679","0.681","299283.5",1686647519999,"203515.7034",230,"221629.1","150711.4418"
"EOSUSDT","EOSUSDT#1686647520000",1686647520000,"0.680","0.681","0.680","0.680","34817.2",1686647579999,"23708.4483",23,"32752.3","22304.3163"
"EOSUSDT","EOSUSDT#1686647580000",1686647580000,"0.680","0.681","0.680","0.680","5198.0",1686647639999,"3535.0270",12,"387.0","263.5470"
"EOSUSDT","EOSUSDT#1686647640000",1686647640000,"0.681","0.681","0.680","0.681","24170.3",1686647699999,"16437.1500",29,"1346.0","916.6260"
"EOSUSDT","EOSUSDT#1686647700000",1686647700000,"0.680","0.682","0.680","0.680","327344.7",1686647759999,"222924.1264",225,"118540.7","80730.2568"
"EOSUSDT","EOSUSDT#1686647760000",1686647760000,"0.681","0.681","0.680","0.681","73722.5",1686647819999,"50144.6148",93,"13314.8","9067.3788"
"EOSUSDT","EOSUSDT#1686647820000",1686647820000,"0.681","0.681","0.680","0.680","38610.1",1686647879999,"26277.5011",41,"22633.1","15413.1411"
"EOSUSDT","EOSUSDT#1686647880000",1686647880000,"0.680","0.681","0.680","0.681","3700.6",1686647939999,"2516.7897",16,"381.7","259.9377"
"EOSUSDT","EOSUSDT#1686647940000",1686647940000,"0.680","0.681","0.680","0.681","7899.7",1686647999999,"5377.8099",17,"6013.9","4095.4659"
"EOSUSDT","EOSUSDT#1686648000000",1686648000000,"0.680","0.681","0.680","0.681","17956.9",1686648059999,"12224.7709",26,"14078.9","9587.7309"
"EOSUSDT","EOSUSDT#1686648060000",1686648060000,"0.680","0.681","0.680","0.681","31971.2",1686648119999,"21745.6163",44,"5200.3","3541.4043"
"EOSUSDT","EOSUSDT#1686648120000",1686648120000,"0.680","0.681","0.680","0.681","6955.0",1686648179999,"4733.7381",24,"4338.1","2954.2461"
