"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"HOOKUSDT","HOOKUSDT#1686664860000",1686664860000,"0.970000","0.971000","0.969000","0.971000","24213.2",1686664919999,"23490.9740000",130,"13127.7","12736.9129000"
"HOOKUSDT","HOOKUSDT#1686664920000",1686664920000,"0.971000","0.971000","0.969000","0.969000","20196.4",1686664979999,"19596.4645000",114,"5036.4","4888.9271000"
"HOOKUSDT","HOOKUSDT#1686664980000",1686664980000,"0.969000","0.970000","0.968000","0.970000","13209.1",1686665039999,"12799.3978000",73,"7574.7","7340.0052000"
"HOOKUSDT","HOOKUSDT#1686665040000",1686665040000,"0.970000","0.971000","0.970000","0.970000","4687.3",1686665099999,"4546.7295000",31,"4152.4","4027.8765000"
"HOOKUSDT","HOOKUSDT#1686665100000",1686665100000,"0.970000","0.972000","0.970000","0.971000","24903.2",1686665159999,"24177.4330000",160,"16396.4","15921.1183000"
"HOOKUSDT","HOOKUSDT#1686665160000",1686665160000,"0.971000","0.973000","0.970000","0.972000","40890.9",1686665219999,"39755.9761000",136,"28626.5","27840.3550000"
"HOOKUSDT","HOOKUSDT#1686665220000",1686665220000,"0.972000","0.972000","0.970000","0.970000","8662.2",1686665279999,"8412.5246000",58,"2774.5","2696.3021000"
"HOOKUSDT","HOOKUSDT#1686665280000",1686665280000,"0.971000","0.971000","0.969000","0.969000","24710.5",1686665339999,"23967.2409000",109,"6773.0","6573.4908000"
"HOOKUSDT","HOOKUSDT#1686665340000",1686665340000,"0.969000","0.969000","0.962000","0.964000","102396.7",1686665399999,"98773.2916000",427,"24079.6","23229.7128000"
"HOOKUSDT","HOOKUSDT#1686665400000",1686665400000,"0.963000","0.965000","0.962000","0.963000","49300.5",1686665459999,"47501.5626000",233,"19242.1","18543.9648000"
"HOOKUSDT","HOOKUSDT#1686665460000",1686665460000,"0.963000","0.966000","0.963000","0.965000","41001.2",1686665519999,"39548.8307000",188,"22125.3","21342.1982000"
"HOOKUSDT","HOOKUSDT#1686665520000",1686665520000,"0.965000","0.965000","0.962000","0.962000","44857.3",1686665579999,"43237.3379000",221,"17564.7","16935.7963000"
"HOOKUSDT","HOOKUSDT#1686665580000",1686665580000,"0.963000","0.964000","0.958000","0.959000","109070.9",1686665639999,"104775.4737000",500,"36957.4","35512.8597000"
"HOOKUSDT","HOOKUSDT#1686665640000",1686665640000,"0.959000","0.963000","0.959000","0.962000","33077.4",1686665699999,"31791.7299000",147,"24474.7","23521.1738000"
"HOOKUSDT","HOOKUSDT#1686665700000",1686665700000,"0.962000","0.963000","0.959000","0.959000","43402.2",1686665759999,"41700.9632000",191,"13467.4","12946.7769000"
"HOOKUSDT","HOOKUSDT#1686665760000",1686665760000,"0.960000","0.964000","0.960000","0.963000","25904.3",1686665819999,"24920.4504000",120,"20358.4","19580.0592000"
"HOOKUSDT","HOOKUSDT#1686665820000",1686665820000,"0.964000","0.967000","0.964000","0.966000","38349.2",1686665879999,"37035.4726000",178,"30547.5","29503.6187000"
"HOOKUSDT","HOOKUSDT#1686665880000",1686665880000,"0.966000","0.968000","0.965000","0.967000","37495.2",1686665939999,"36245.1837000",138,"31725.5","30670.9243000"
"HOOKUSDT","HOOKUSDT#1686665940000",1686665940000,"0.968000","0.968000","0.966000","0.968000","25023.1",1686665999999,"24198.9928000",136,"15125.5","14628.2051000"
"HOOKUSDT","HOOKUSDT#1686666000000",1686666000000,"0.967000","0.969000","0.966000","0.967000","42616.3",1686666059999,"41227.1533000",200,"26757.2","25889.4507000"
"HOOKUSDT","HOOKUSDT#1686666060000",1686666060000,"0.967000","0.968000","0.966000","0.966000","22115.1",1686666119999,"21391.6327000",120,"8221.5","7954.9351000"
"HOOKUSDT","HOOKUSDT#1686666120000",1686666120000,"0.967000","0.970000","0.966000","0.969000","33001.1",1686666179999,"31935.4911000",126,"27287.4","26401.8434000"
"HOOKUSDT","HOOKUSDT#1686666180000",1686666180000,"0.968000","0.971000","0.968000","0.969000","22968.7",1686666239999,"22269.3516000",110,"9962.8","9663.7381000"
"HOOKUSDT","HOOKUSDT#1686666240000",1686666240000,"0.968000","0.969000","0.967000","0.968000","16287.4",1686666299999,"15767.4608000",75,"6150.2","5956.3458000"
"HOOKUSDT","HOOKUSDT#1686666300000",1686666300000,"0.968000","0.969000","0.968000","0.969000","12414.8",1686666359999,"12021.1851000",66,"8039.3","7785.6688000"
"HOOKUSDT","HOOKUSDT#1686666360000",1686666360000,"0.969000","0.969000","0.967000","0.968000","29246.4",1686666419999,"28312.8149000",143,"16039.1","15526.1274000"
"HOOKUSDT","HOOKUSDT#1686666420000",1686666420000,"0.968000","0.969000","0.968000","0.969000","8548.3",1686666479999,"8282.8472000",45,"4794.8","4646.1612000"
"HOOKUSDT","HOOKUSDT#1686666480000",1686666480000,"0.969000","0.969000","0.968000","0.969000","9849.1",1686666539999,"9541.9099000",53,"4719.8","4573.4862000"
"HOOKUSDT","HOOKUSDT#1686666540000",1686666540000,"0.968000","0.968000","0.966000","0.966000","40749.8",1686666599999,"39407.2206000",133,"6264.6","6056.1555000"
"HOOKUSDT","HOOKUSDT#1686666600000",1686666600000,"0.966000","0.967000","0.963000","0.964000","35361.1",1686666659999,"34111.1316000",158,"13652.9","13168.0034000"
"HOOKUSDT","HOOKUSDT#1686666660000",1686666660000,"0.965000","0.965000","0.962000","0.963000","26436.0",1686666719999,"25459.5212000",116,"17793.5","17135.7141000"
"HOOKUSDT","HOOKUSDT#1686666720000",1686666720000,"0.964000","0.966000","0.964000","0.966000","17519.2",1686666779999,"16906.5183000",84,"10395.9","10026.2486000"
"HOOKUSDT","HOOKUSDT#1686666780000",1686666780000,"0.965000","0.967000","0.964000","0.964000","22462.8",1686666839999,"21688.9677000",96,"13166.9","12719.2921000"
"HOOKUSDT","HOOKUSDT#1686666840000",1686666840000,"0.963000","0.966000","0.963000","0.964000","13599.4",1686666899999,"13116.1827000",72,"6510.8","6280.7819000"
"HOOKUSDT","HOOKUSDT#1686666900000",1686666900000,"0.965000","0.965000","0.962000","0.963000","27048.3",1686666959999,"26058.0472000",126,"12544.0","12085.5401000"
"HOOKUSDT","HOOKUSDT#1686666960000",1686666960000,"0.963000","0.965000","0.963000","0.964000","20985.7",1686667019999,"20229.4388000",87,"14171.8","13661.4148000"
"HOOKUSDT","HOOKUSDT#1686667020000",1686667020000,"0.963000","0.966000","0.963000","0.965000","30330.4",1686667079999,"29249.8667000",135,"17402.0","16779.7801000"
"HOOKUSDT","HOOKUSDT#1686667080000",1686667080000,"0.964000","0.965000","0.963000","0.963000","26987.0",1686667139999,"26010.7404000",118,"13453.7","12966.6840000"
"HOOKUSDT","HOOKUSDT#1686667140000",1686667140000,"0.963000","0.964000","0.963000","0.964000","2072.9",1686667199999,"1996.5864000",14,"383.7","369.8868000"
"HOOKUSDT","HOOKUSDT#1686667200000",1686667200000,"0.964000","0.964000","0.961000","0.962000","20637.9",1686667259999,"19872.2707000",118,"10573.0","10182.2539000"
"HOOKUSDT","HOOKUSDT#1686667260000",1686667260000,"0.961000","0.962000","0.960000","0.960000","44744.6",1686667319999,"42967.7037000",192,"14488.9","13914.1211000"
"HOOKUSDT","HOOKUSDT#1686667320000",1686667320000,"0.960000","0.961000","0.958000","0.961000","48462.6",1686667379999,"46520.1057000",217,"25563.6","24540.4157000"
"HOOKUSDT","HOOKUSDT#1686667380000",1686667380000,"0.961000","0.962000","0.959000","0.959000","26860.6",1686667439999,"25781.6754000",128,"11557.5","11093.6469000"
"HOOKUSDT","HOOKUSDT#1686667440000",1686667440000,"0.959000","0.960000","0.957000","0.958000","38261.2",1686667499999,"36662.5144000",133,"14009.6","13424.6874000"
"HOOKUSDT","HOOKUSDT#1686667500000",1686667500000,"0.958000","0.960000","0.958000","0.960000","35431.0",1686667559999,"33970.4326000",155,"24400.8","23397.9538000"
"HOOKUSDT","HOOKUSDT#1686667560000",1686667560000,"0.959000","0.960000","0.958000","0.958000","19561.3",1686667619999,"18747.1297000",87,"4049.2","3882.8046000"
"HOOKUSDT","HOOKUSDT#1686667620000",1686667620000,"0.958000","0.959000","0.957000","0.959000","24660.0",1686667679999,"23623.6332000",146,"15491.6","14843.2283000"
"HOOKUSDT","HOOKUSDT#1686667680000",1686667680000,"0.958000","0.962000","0.958000","0.960000","50125.5",1686667739999,"48169.5882000",164,"34576.0","33234.3845000"
