"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"OGNUSDT","OGNUSDT#1686646860000",1686646860000,"0.0731","0.0732","0.0731","0.0732","189922",1686646919999,"13901.4688",142,"119078","8716.5096"
"OGNUSDT","OGNUSDT#1686646920000",1686646920000,"0.0732","0.0733","0.0731","0.0732","48941",1686646979999,"3581.6908",60,"36059","2639.5708"
"OGNUSDT","OGNUSDT#1686646980000",1686646980000,"0.0732","0.0732","0.0732","0.0732","2221",1686647039999,"162.5772",9,"0","0.0000"
"OGNUSDT","OGNUSDT#1686647040000",1686647040000,"0.0732","0.0733","0.0732","0.0732","103",1686647099999,"7.5466",4,"70","5.1310"
"OGNUSDT","OGNUSDT#1686647100000",1686647100000,"0.0732","0.0732","0.0731","0.0731","133774",1686647159999,"9790.6828",74,"41874","3065.1768"
"OGNUSDT","OGNUSDT#1686647160000",1686647160000,"0.0731","0.0732","0.0731","0.0732","12724",1686647219999,"931.1725",29,"10481","767.2092"
"OGNUSDT","OGNUSDT#1686647220000",1686647220000,"0.0731","0.0731","0.0730","0.0730","235613",1686647279999,"17214.7721",89,"525","38.3775"
"OGNUSDT","OGNUSDT#1686647280000",1686647280000,"0.0730","0.0730","0.0730","0.0730","21861",1686647339999,"1595.8530",9,"0","0.0000"
"OGNUSDT","OGNUSDT#1686647340000",1686647340000,"0.0730","0.0731","0.0729","0.0730","141937",1686647399999,"10361.3850",88,"76871","5611.7069"
"OGNUSDT","OGNUSDT#1686647400000",1686647400000,"0.0730","0.0731","0.0729","0.0730","350679",1686647459999,"25599.2214",158,"204296","14913.6227"
"OGNUSDT","OGNUSDT#1686647460000",1686647460000,"0.0730","0.0730","0.0729","0.0729","143072",1686647519999,"10438.7139",73,"47130","3437.4473"
"OGNUSDT","OGNUSDT#1686647520000",1686647520000,"0.0729","0.0730","0.0728","0.0729","121978",1686647579999,"8894.4176",40,"75963","5540.5515"
"OGNUSDT","OGNUSDT#1686647580000",1686647580000,"0.0729","0.0730","0.0728","0.0730","77280",1686647639999,"5634.6866",34,"41275","3009.9229"
"OGNUSDT","OGNUSDT#1686647640000",1686647640000,"0.0729","0.0730","0.0728","0.0729","153919",1686647699999,"11223.6375",70,"85104","6207.0266"
"OGNUSDT","OGNUSDT#1686647700000",1686647700000,"0.0730","0.0730","0.0729","0.0729","28905",1686647759999,"2107.3294",24,"1549","113.0770"
"OGNUSDT","OGNUSDT#1686647760000",1686647760000,"0.0728","0.0728","0.0727","0.0728","134616",1686647819999,"9797.8822",68,"58371","4249.4088"
"OGNUSDT","OGNUSDT#1686647820000",1686647820000,"0.0728","0.0728","0.0727","0.0728","27683",1686647879999,"2013.3763",16,"8222","598.5616"
"OGNUSDT","OGNUSDT#1686647880000",1686647880000,"0.0727","0.0727","0.0727","0.0727","6186",1686647939999,"449.7222",5,"0","0.0000"
"OGNUSDT","OGNUSDT#1686647940000",1686647940000,"0.0727","0.0728","0.0727","0.0728","69820",1686647999999,"5082.1666",69,"62526","4551.8928"
"OGNUSDT","OGNUSDT#1686648000000",1686648000000,"0.0727","0.0728","0.0727","0.0728","43917",1686648059999,"3195.7840",37,"26732","1946.0896"
"OGNUSDT","OGNUSDT#1686648060000",1686648060000,"0.0728","0.0729","0.0728","0.0729","12215",1686648119999,"889.4520",8,"2000","145.8000"
"OGNUSDT","OGNUSDT#1686648120000",1686648120000,"0.0729","0.0730","0.0728","0.0729","69653",1686648179999,"5080.2077",30,"69559","5073.3559"
"OGNUSDT","OGNUSDT#1686648180000",1686648180000,"0.0729","0.0729","0.0728","0.0729","61734",1686648239999,"4499.8628",25,"176","12.8304"
"OGNUSDT","OGNUSDT#1686648240000",1686648240000,"0.0729","0.0729","0.0729","0.0729","32679",1686648299999,"2382.2991",32,"29986","2185.9794"
