"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ONEUSDT","ONEUSDT#1686682860000",1686682860000,"0.01075","0.01076","0.01074","0.01076","896232",1686682919999,"9634.74785",92,"839239","9022.30194"
"ONEUSDT","ONEUSDT#1686682920000",1686682920000,"0.01075","0.01075","0.01073","0.01074","843986",1686682979999,"9068.30220",55,"69143","743.05941"
"ONEUSDT","ONEUSDT#1686682980000",1686682980000,"0.01073","0.01075","0.01073","0.01075","1646659",1686683039999,"17691.97630",95,"1400226","15043.12856"
"ONEUSDT","ONEUSDT#1686683040000",1686683040000,"0.01074","0.01076","0.01074","0.01074","804195",1686683099999,"8645.03005",67,"425620","4575.85459"
"ONEUSDT","ONEUSDT#1686683100000",1686683100000,"0.01074","0.01076","0.01074","0.01075","2280633",1686683159999,"24521.38534",109,"1678413","18047.57277"
"ONEUSDT","ONEUSDT#1686683160000",1686683160000,"0.01075","0.01075","0.01074","0.01074","316413",1686683219999,"3401.23583",26,"35477","381.37775"
"ONEUSDT","ONEUSDT#1686683220000",1686683220000,"0.01075","0.01076","0.01075","0.01075","769785",1686683279999,"8276.06758",53,"704549","7574.78058"
"ONEUSDT","ONEUSDT#1686683280000",1686683280000,"0.01076","0.01076","0.01075","0.01075","1363621",1686683339999,"14659.80784",50,"628300","6755.10709"
"ONEUSDT","ONEUSDT#1686683340000",1686683340000,"0.01076","0.01076","0.01074","0.01074","744287",1686683399999,"7999.55769",46,"94318","1014.22021"
"ONEUSDT","ONEUSDT#1686683400000",1686683400000,"0.01074","0.01075","0.01074","0.01074","41939",1686683459999,"450.53936",14,"11450","123.08750"
"ONEUSDT","ONEUSDT#1686683460000",1686683460000,"0.01075","0.01075","0.01074","0.01075","120660",1686683519999,"1296.76318",20,"87478","940.38850"
"ONEUSDT","ONEUSDT#1686683520000",1686683520000,"0.01074","0.01074","0.01072","0.01072","1700684",1686683579999,"18258.18610",80,"31717","340.52002"
"ONEUSDT","ONEUSDT#1686683580000",1686683580000,"0.01073","0.01073","0.01072","0.01072","55295",1686683639999,"592.79060",9,"2820","30.25860"
"ONEUSDT","ONEUSDT#1686683640000",1686683640000,"0.01073","0.01073","0.01072","0.01072","136795",1686683699999,"1467.58569",11,"114329","1226.75017"
"ONEUSDT","ONEUSDT#1686683700000",1686683700000,"0.01073","0.01073","0.01072","0.01073","419027",1686683759999,"4495.56367",41,"359423","3856.60879"
"ONEUSDT","ONEUSDT#1686683760000",1686683760000,"0.01072","0.01075","0.01072","0.01074","4082527",1686683819999,"43837.97170",171,"3554992","38168.76265"
"ONEUSDT","ONEUSDT#1686683820000",1686683820000,"0.01075","0.01076","0.01074","0.01075","299723",1686683879999,"3222.09530",53,"271743","2921.56512"
"ONEUSDT","ONEUSDT#1686683880000",1686683880000,"0.01076","0.01076","0.01073","0.01075","2203996",1686683939999,"23679.10204",129,"1099834","11817.57238"
"ONEUSDT","ONEUSDT#1686683940000",1686683940000,"0.01074","0.01075","0.01074","0.01074","65142",1686683999999,"699.76102",10,"13594","146.13550"
"ONEUSDT","ONEUSDT#1686684000000",1686684000000,"0.01074","0.01076","0.01074","0.01076","1023621",1686684059999,"11009.09520",79,"940738","10118.12160"
"ONEUSDT","ONEUSDT#1686684060000",1686684060000,"0.01076","0.01077","0.01076","0.01076","44803",1686684119999,"482.19642",10,"11614","125.08278"
"ONEUSDT","ONEUSDT#1686684120000",1686684120000,"0.01077","0.01077","0.01076","0.01076","168964",1686684179999,"1819.47320",14,"142056","1529.94312"
"ONEUSDT","ONEUSDT#1686684180000",1686684180000,"0.01076","0.01077","0.01076","0.01076","17299",1686684239999,"186.18048",10,"4324","46.56948"
"ONEUSDT","ONEUSDT#1686684240000",1686684240000,"0.01076","0.01077","0.01075","0.01075","415288",1686684299999,"4468.39071",31,"47758","513.89047"
