"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"STORJUSDT","STORJUSDT#1686643260000",1686643260000,"0.2353","0.2354","0.2350","0.2351","86086",1686643319999,"20247.1289",115,"29623","6966.8939"
"STORJUSDT","STORJUSDT#1686643320000",1686643320000,"0.2350","0.2352","0.2350","0.2351","29747",1686643379999,"6993.6328",50,"13119","3084.6201"
"STORJUSDT","STORJUSDT#1686643380000",1686643380000,"0.2351","0.2354","0.2351","0.2352","66780",1686643439999,"15708.7011",72,"58046","13654.3699"
"STORJUSDT","STORJUSDT#1686643440000",1686643440000,"0.2352","0.2354","0.2352","0.2354","104790",1686643499999,"24663.9974",82,"90509","21303.8720"
"STORJUSDT","STORJUSDT#1686643500000",1686643500000,"0.2354","0.2357","0.2354","0.2355","106329",1686643559999,"25048.0675",134,"83483","19666.2798"
"STORJUSDT","STORJUSDT#1686643560000",1686643560000,"0.2355","0.2356","0.2351","0.2352","56272",1686643619999,"13246.4742",70,"2605","613.4496"
"STORJUSDT","STORJUSDT#1686643620000",1686643620000,"0.2352","0.2353","0.2351","0.2351","19900",1686643679999,"4680.3211",35,"11656","2741.8215"
"STORJUSDT","STORJUSDT#1686643680000",1686643680000,"0.2350","0.2351","0.2350","0.2350","13046",1686643739999,"3066.1774",18,"3674","863.7574"
"STORJUSDT","STORJUSDT#1686643740000",1686643740000,"0.2351","0.2352","0.2351","0.2352","24172",1686643799999,"5683.8027",37,"21821","5131.0826"
"STORJUSDT","STORJUSDT#1686643800000",1686643800000,"0.2352","0.2353","0.2351","0.2353","29659",1686643859999,"6978.4476",64,"23904","5624.3717"
"STORJUSDT","STORJUSDT#1686643860000",1686643860000,"0.2353","0.2355","0.2352","0.2352","42403",1686643919999,"9981.1281",49,"24224","5702.6810"
"STORJUSDT","STORJUSDT#1686643920000",1686643920000,"0.2351","0.2352","0.2351","0.2351","25362",1686643979999,"5965.0204",29,"4427","1041.2304"
"STORJUSDT","STORJUSDT#1686643980000",1686643980000,"0.2351","0.2352","0.2351","0.2352","6186",1686644039999,"1454.7676",43,"4390","1032.5280"
"STORJUSDT","STORJUSDT#1686644040000",1686644040000,"0.2351","0.2353","0.2351","0.2353","22991",1686644099999,"5407.5405",30,"21026","4945.5473"
"STORJUSDT","STORJUSDT#1686644100000",1686644100000,"0.2353","0.2356","0.2353","0.2355","46911",1686644159999,"11046.0128",81,"31008","7301.3174"
"STORJUSDT","STORJUSDT#1686644160000",1686644160000,"0.2355","0.2356","0.2355","0.2355","37453",1686644219999,"8820.2329",63,"10849","2554.9909"
"STORJUSDT","STORJUSDT#1686644220000",1686644220000,"0.2356","0.2357","0.2355","0.2355","59617",1686644279999,"14043.2439",97,"20983","4943.7688"
"STORJUSDT","STORJUSDT#1686644280000",1686644280000,"0.2354","0.2355","0.2353","0.2354","32393",1686644339999,"7625.0319",53,"19137","4504.9794"
"STORJUSDT","STORJUSDT#1686644340000",1686644340000,"0.2353","0.2357","0.2353","0.2356","61172",1686644399999,"14409.9441",91,"43418","10227.4130"
"STORJUSDT","STORJUSDT#1686644400000",1686644400000,"0.2356","0.2361","0.2356","0.2359","63590",1686644459999,"15000.4284",123,"56940","13431.9850"
"STORJUSDT","STORJUSDT#1686644460000",1686644460000,"0.2359","0.2361","0.2359","0.2360","28120",1686644519999,"6636.3987",48,"9056","2137.3117"
"STORJUSDT","STORJUSDT#1686644520000",1686644520000,"0.2360","0.2360","0.2360","0.2360","35922",1686644579999,"8477.5920",81,"12698","2996.7280"
"STORJUSDT","STORJUSDT#1686644580000",1686644580000,"0.2360","0.2360","0.2358","0.2359","28537",1686644639999,"6731.9373",26,"3106","732.7775"
"STORJUSDT","STORJUSDT#1686644640000",1686644640000,"0.2359","0.2362","0.2357","0.2361","127274",1686644699999,"30036.5467",138,"112181","26476.3938"
"STORJUSDT","STORJUSDT#1686644700000",1686644700000,"0.2361","0.2368","0.2361","0.2367","111988",1686644759999,"26495.1795",194,"80123","18956.7237"
"STORJUSDT","STORJUSDT#1686644760000",1686644760000,"0.2367","0.2369","0.2366","0.2369","84036",1686644819999,"19895.8319",137,"46656","11047.6047"
"STORJUSDT","STORJUSDT#1686644820000",1686644820000,"0.2369","0.2372","0.2369","0.2371","99607",1686644879999,"23613.5958",165,"51364","12177.4798"
"STORJUSDT","STORJUSDT#1686644880000",1686644880000,"0.2371","0.2372","0.2371","0.2372","25979",1686644939999,"6160.0543",65,"22080","5235.2996"
"STORJUSDT","STORJUSDT#1686644940000",1686644940000,"0.2371","0.2374","0.2371","0.2372","64822",1686644999999,"15376.7704",113,"30738","7291.2073"
"STORJUSDT","STORJUSDT#1686645000000",1686645000000,"0.2372","0.2372","0.2370","0.2372","123639",1686645059999,"29314.3218",171,"37734","8948.5054"
"STORJUSDT","STORJUSDT#1686645060000",1686645060000,"0.2372","0.2373","0.2371","0.2371","31671",1686645119999,"7512.8453",46,"6246","1482.1714"
"STORJUSDT","STORJUSDT#1686645120000",1686645120000,"0.2371","0.2371","0.2368","0.2368","29191",1686645179999,"6915.8825",45,"3045","721.3866"
"STORJUSDT","STORJUSDT#1686645180000",1686645180000,"0.2369","0.2372","0.2369","0.2372","89784",1686645239999,"21279.2752",90,"86815","20575.3613"
"STORJUSDT","STORJUSDT#1686645240000",1686645240000,"0.2372","0.2372","0.2370","0.2371","30532",1686645299999,"7238.6631",45,"17709","4198.8039"
"STORJUSDT","STORJUSDT#1686645300000",1686645300000,"0.2371","0.2373","0.2370","0.2371","61017",1686645359999,"14466.5213",72,"16206","3842.0570"
"STORJUSDT","STORJUSDT#1686645360000",1686645360000,"0.2371","0.2372","0.2370","0.2371","75324",1686645419999,"17861.1700",88,"55021","13047.3511"
"STORJUSDT","STORJUSDT#1686645420000",1686645420000,"0.2371","0.2372","0.2368","0.2369","82416",1686645479999,"19532.9621",52,"10316","2446.7860"
"STORJUSDT","STORJUSDT#1686645480000",1686645480000,"0.2368","0.2370","0.2368","0.2369","33309",1686645539999,"7890.5526",54,"25485","6037.4015"
"STORJUSDT","STORJUSDT#1686645540000",1686645540000,"0.2370","0.2372","0.2370","0.2371","98316",1686645599999,"23310.4792",102,"55068","13055.0486"
"STORJUSDT","STORJUSDT#1686645600000",1686645600000,"0.2372","0.2374","0.2370","0.2370","89727",1686645659999,"21284.3748",168,"41551","9856.7348"
"STORJUSDT","STORJUSDT#1686645660000",1686645660000,"0.2371","0.2371","0.2369","0.2370","20879",1686645719999,"4948.4727",33,"6095","1444.7155"
"STORJUSDT","STORJUSDT#1686645720000",1686645720000,"0.2370","0.2372","0.2370","0.2372","57069",1686645779999,"13531.1860",87,"47684","11305.0640"
"STORJUSDT","STORJUSDT#1686645780000",1686645780000,"0.2371","0.2373","0.2371","0.2372","55411",1686645839999,"13143.8952",64,"50732","12034.3507"
"STORJUSDT","STORJUSDT#1686645840000",1686645840000,"0.2372","0.2374","0.2372","0.2373","44631",1686645899999,"10589.4995",95,"19849","4710.0530"
"STORJUSDT","STORJUSDT#1686645900000",1686645900000,"0.2373","0.2384","0.2373","0.2379","322644",1686645959999,"76790.7104",420,"148688","35383.8654"
"STORJUSDT","STORJUSDT#1686645960000",1686645960000,"0.2379","0.2384","0.2379","0.2384","211555",1686646019999,"50378.0757",203,"71002","16913.8663"
