"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"TOMOUSDT","TOMOUSDT#1686654060000",1686654060000,"1.5117","1.5118","1.5075","1.5088","104149",1686654119999,"157171.4390",692,"45420","68537.1256"
"TOMOUSDT","TOMOUSDT#1686654120000",1686654120000,"1.5089","1.5089","1.5056","1.5056","125639",1686654179999,"189277.8571",727,"45269","68206.0915"
"TOMOUSDT","TOMOUSDT#1686654180000",1686654180000,"1.5057","1.5060","1.5044","1.5055","152922",1686654239999,"230172.5291",827,"60252","90698.4220"
"TOMOUSDT","TOMOUSDT#1686654240000",1686654240000,"1.5055","1.5080","1.5046","1.5075","103643",1686654299999,"156045.5767",620,"59966","90292.4362"
"TOMOUSDT","TOMOUSDT#1686654300000",1686654300000,"1.5075","1.5095","1.5056","1.5084","148056",1686654359999,"223262.0491",826,"69788","105252.0729"
"TOMOUSDT","TOMOUSDT#1686654360000",1686654360000,"1.5084","1.5098","1.5074","1.5089","104246",1686654419999,"157281.2747",680,"71520","107913.2157"
"TOMOUSDT","TOMOUSDT#1686654420000",1686654420000,"1.5090","1.5167","1.5090","1.5147","170379",1686654479999,"257920.5993",1109,"121733","184251.7895"
"TOMOUSDT","TOMOUSDT#1686654480000",1686654480000,"1.5147","1.5147","1.5110","1.5114","99486",1686654539999,"150502.1382",602,"36834","55726.6305"
"TOMOUSDT","TOMOUSDT#1686654540000",1686654540000,"1.5112","1.5151","1.5112","1.5141","93155",1686654599999,"140953.8325",568,"69715","105488.4619"
"TOMOUSDT","TOMOUSDT#1686654600000",1686654600000,"1.5140","1.5140","1.5112","1.5120","101692",1686654659999,"153757.5260",536,"38225","57797.9366"
"TOMOUSDT","TOMOUSDT#1686654660000",1686654660000,"1.5120","1.5150","1.5120","1.5133","75561",1686654719999,"114375.4814",555,"47833","72395.6743"
"TOMOUSDT","TOMOUSDT#1686654720000",1686654720000,"1.5133","1.5133","1.5100","1.5133","98994",1686654779999,"149610.5725",725,"51312","77544.0711"
"TOMOUSDT","TOMOUSDT#1686654780000",1686654780000,"1.5132","1.5132","1.5070","1.5088","137112",1686654839999,"206966.0964",848,"70593","106562.0798"
"TOMOUSDT","TOMOUSDT#1686654840000",1686654840000,"1.5087","1.5099","1.5065","1.5088","106156",1686654899999,"160113.6180",583,"48247","72782.4706"
"TOMOUSDT","TOMOUSDT#1686654900000",1686654900000,"1.5088","1.5103","1.5074","1.5074","133933",1686654959999,"202077.6830",699,"61549","92881.3690"
"TOMOUSDT","TOMOUSDT#1686654960000",1686654960000,"1.5075","1.5082","1.5049","1.5068","95879",1686655019999,"144432.9823",619,"42547","64101.9389"
"TOMOUSDT","TOMOUSDT#1686655020000",1686655020000,"1.5066","1.5071","1.5043","1.5043","70965",1686655079999,"106855.8593",424,"32445","48856.1218"
"TOMOUSDT","TOMOUSDT#1686655080000",1686655080000,"1.5044","1.5049","1.5024","1.5033","163942",1686655139999,"246500.0402",846,"62444","93886.0890"
"TOMOUSDT","TOMOUSDT#1686655140000",1686655140000,"1.5033","1.5039","1.5009","1.5039","154304",1686655199999,"231756.9189",781,"55357","83153.9314"
