"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"WOOUSDT","WOOUSDT#1686654060000",1686654060000,"0.17107","0.17142","0.17100","0.17137","182135",1686654119999,"31194.68180",349,"97094","16632.33058"
"WOOUSDT","WOOUSDT#1686654120000",1686654120000,"0.17139","0.17143","0.17111","0.17115","170273",1686654179999,"29161.61126",330,"70330","12046.53462"
"WOOUSDT","WOOUSDT#1686654180000",1686654180000,"0.17115","0.17158","0.17111","0.17153","173873",1686654239999,"29795.95060",314,"108120","18530.17900"
"WOOUSDT","WOOUSDT#1686654240000",1686654240000,"0.17153","0.17173","0.17119","0.17160","362035",1686654299999,"62070.60006",463,"85428","14654.11020"
"WOOUSDT","WOOUSDT#1686654300000",1686654300000,"0.17160","0.17171","0.17114","0.17123","317788",1686654359999,"54492.34352",387,"55187","9465.30452"
"WOOUSDT","WOOUSDT#1686654360000",1686654360000,"0.17127","0.17170","0.17125","0.17158","166335",1686654419999,"28523.77590",265,"75837","13004.91114"
"WOOUSDT","WOOUSDT#1686654420000",1686654420000,"0.17158","0.17195","0.17158","0.17185","177928",1686654479999,"30566.12885",301,"98500","16922.33605"
"WOOUSDT","WOOUSDT#1686654480000",1686654480000,"0.17179","0.17202","0.17172","0.17198","151932",1686654539999,"26117.74971",173,"65524","11265.40679"
"WOOUSDT","WOOUSDT#1686654540000",1686654540000,"0.17195","0.17207","0.17186","0.17186","92942",1686654599999,"15983.23615",154,"24690","4246.44278"
"WOOUSDT","WOOUSDT#1686654600000",1686654600000,"0.17186","0.17196","0.17176","0.17178","62579",1686654659999,"10753.45183",154,"15100","2594.67249"
"WOOUSDT","WOOUSDT#1686654660000",1686654660000,"0.17183","0.17201","0.17181","0.17181","133104",1686654719999,"22880.90097",123,"82234","14134.85992"
"WOOUSDT","WOOUSDT#1686654720000",1686654720000,"0.17182","0.17205","0.17182","0.17203","125044",1686654779999,"21502.10596",112,"84545","14538.79872"
"WOOUSDT","WOOUSDT#1686654780000",1686654780000,"0.17204","0.17206","0.17174","0.17174","211461",1686654839999,"36348.96125",180,"55621","9562.27091"
"WOOUSDT","WOOUSDT#1686654840000",1686654840000,"0.17175","0.17191","0.17171","0.17180","163157",1686654899999,"28033.61265",168,"62568","10751.66699"
"WOOUSDT","WOOUSDT#1686654900000",1686654900000,"0.17187","0.17212","0.17185","0.17202","167367",1686654959999,"28789.08566",227,"66486","11435.66474"
"WOOUSDT","WOOUSDT#1686654960000",1686654960000,"0.17199","0.17201","0.17184","0.17196","90031",1686655019999,"15478.41273",114,"42320","7276.64763"
"WOOUSDT","WOOUSDT#1686655020000",1686655020000,"0.17190","0.17201","0.17133","0.17139","245041",1686655079999,"42070.00756",202,"56510","9707.82153"
"WOOUSDT","WOOUSDT#1686655080000",1686655080000,"0.17139","0.17149","0.17112","0.17125","247874",1686655139999,"42450.20431",246,"122067","20899.61375"
"WOOUSDT","WOOUSDT#1686655140000",1686655140000,"0.17128","0.17136","0.17107","0.17116","99593",1686655199999,"17051.09475",126,"54354","9306.19541"
"WOOUSDT","WOOUSDT#1686655200000",1686655200000,"0.17115","0.17123","0.17098","0.17103","114096",1686655259999,"19519.27764",184,"39341","6731.36818"
"WOOUSDT","WOOUSDT#1686655260000",1686655260000,"0.17103","0.17113","0.17071","0.17071","130139",1686655319999,"22250.97022",167,"83370","14256.35846"
"WOOUSDT","WOOUSDT#1686655320000",1686655320000,"0.17074","0.17086","0.17029","0.17047","318587",1686655379999,"54322.63043",372,"86081","14685.20181"
