"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ALICEUSDT","ALICEUSDT#1686751260000",1686751260000,"0.892","0.893","0.892","0.892","1271.3",1686751319999,"1134.1603",11,"160.7","143.5051"
"ALICEUSDT","ALICEUSDT#1686751320000",1686751320000,"0.893","0.893","0.893","0.893","3350.1",1686751379999,"2991.6393",42,"3244.3","2897.1599"
"ALICEUSDT","ALICEUSDT#1686751380000",1686751380000,"0.894","0.894","0.893","0.894","334.7",1686751439999,"299.0971",11,"210.0","187.7400"
"ALICEUSDT","ALICEUSDT#1686751440000",1686751440000,"0.894","0.894","0.892","0.892","10467.5",1686751499999,"9346.2932",61,"933.0","833.4595"
"ALICEUSDT","ALICEUSDT#1686751500000",1686751500000,"0.893","0.893","0.892","0.893","7534.2",1686751559999,"6722.1598",17,"1653.4","1476.4862"
"ALICEUSDT","ALICEUSDT#1686751560000",1686751560000,"0.893","0.894","0.893","0.894","16204.4",1686751619999,"14470.7373",67,"15906.1","14204.3554"
"ALICEUSDT","ALICEUSDT#1686751620000",1686751620000,"0.894","0.894","0.893","0.893","532.6",1686751679999,"476.1145",7,"502.7","449.4138"
"ALICEUSDT","ALICEUSDT#1686751680000",1686751680000,"0.894","0.894","0.893","0.893","10622.6",1686751739999,"9490.2756",61,"4293.8","3838.6572"
"ALICEUSDT","ALICEUSDT#1686751740000",1686751740000,"0.894","0.894","0.892","0.893","9872.1",1686751799999,"8815.7127",71,"1501.4","1341.7582"
"ALICEUSDT","ALICEUSDT#1686751800000",1686751800000,"0.893","0.893","0.892","0.892","1768.8",1686751859999,"1578.2756",17,"506.0","451.8580"
"ALICEUSDT","ALICEUSDT#1686751860000",1686751860000,"0.893","0.893","0.892","0.892","2574.0",1686751919999,"2296.7196",14,"711.6","635.4588"
"ALICEUSDT","ALICEUSDT#1686751920000",1686751920000,"0.893","0.893","0.892","0.892","1628.4",1686751979999,"1453.0296",14,"496.8","443.6424"
"ALICEUSDT","ALICEUSDT#1686751980000",1686751980000,"0.893","0.893","0.892","0.892","3445.8",1686752039999,"3074.1556",22,"502.0","448.2860"
"ALICEUSDT","ALICEUSDT#1686752040000",1686752040000,"0.893","0.893","0.892","0.892","1195.9",1686752099999,"1067.4398",6,"697.0","622.4210"
"ALICEUSDT","ALICEUSDT#1686752100000",1686752100000,"0.893","0.893","0.892","0.892","1310.6",1686752159999,"1170.0509",13,"995.7","889.1601"
"ALICEUSDT","ALICEUSDT#1686752160000",1686752160000,"0.893","0.893","0.892","0.892","1214.6",1686752219999,"1084.0872",12,"664.0","592.9520"
"ALICEUSDT","ALICEUSDT#1686752220000",1686752220000,"0.892","0.893","0.892","0.893","44793.0",1686752279999,"39998.7784",118,"36053.7","32195.9541"
"ALICEUSDT","ALICEUSDT#1686752280000",1686752280000,"0.892","0.893","0.892","0.893","684.0",1686752339999,"610.5601",6,"432.1","385.8653"
"ALICEUSDT","ALICEUSDT#1686752340000",1686752340000,"0.892","0.893","0.892","0.893","13738.1",1686752399999,"12268.0923",57,"13707.1","12240.4403"
"ALICEUSDT","ALICEUSDT#1686752400000",1686752400000,"0.894","0.894","0.894","0.894","1756.9",1686752459999,"1570.6686",12,"1756.9","1570.6686"
"ALICEUSDT","ALICEUSDT#1686752460000",1686752460000,"0.893","0.894","0.892","0.892","28371.9",1686752519999,"25330.7588",89,"6168.0","5511.3757"
"ALICEUSDT","ALICEUSDT#1686752520000",1686752520000,"0.892","0.892","0.892","0.892","18131.4",1686752579999,"16173.2088",65,"12710.7","11337.9444"
"ALICEUSDT","ALICEUSDT#1686752580000",1686752580000,"0.892","0.892","0.892","0.892","560.5",1686752639999,"499.9660",1,"560.5","499.9660"
"ALICEUSDT","ALICEUSDT#1686752640000",1686752640000,"0.891","0.891","0.891","0.891","10.5",1686752699999,"9.3555",1,"0.0","0.0000"
"ALICEUSDT","ALICEUSDT#1686752700000",1686752700000,"0.891","0.892","0.890","0.891","19601.7",1686752759999,"17458.7139",87,"1724.4","1536.4540"
"ALICEUSDT","ALICEUSDT#1686752760000",1686752760000,"0.890","0.891","0.889","0.889","15200.6",1686752819999,"13518.1648",87,"718.5","639.4996"
"ALICEUSDT","ALICEUSDT#1686752820000",1686752820000,"0.890","0.890","0.889","0.889","3185.0",1686752879999,"2832.1567",15,"691.7","615.6130"
"ALICEUSDT","ALICEUSDT#1686752880000",1686752880000,"0.889","0.890","0.889","0.889","1781.8",1686752939999,"1584.1541",10,"133.9","119.1710"
"ALICEUSDT","ALICEUSDT#1686752940000",1686752940000,"0.890","0.891","0.890","0.891","14830.2",1686752999999,"13199.1825",50,"14830.2","13199.1825"
"ALICEUSDT","ALICEUSDT#1686753000000",1686753000000,"0.890","0.891","0.889","0.889","10975.8",1686753059999,"9767.5254",42,"132.4","117.8679"
"ALICEUSDT","ALICEUSDT#1686753060000",1686753060000,"0.889","0.890","0.889","0.889","21837.5",1686753119999,"19414.5375",48,"2748.8","2444.6832"
"ALICEUSDT","ALICEUSDT#1686753120000",1686753120000,"0.889","0.889","0.888","0.888","4786.0",1686753179999,"4250.4473",30,"479.3","426.0977"
"ALICEUSDT","ALICEUSDT#1686753180000",1686753180000,"0.888","0.889","0.886","0.887","39869.1",1686753239999,"35356.8117",167,"8305.7","7368.0461"
"ALICEUSDT","ALICEUSDT#1686753240000",1686753240000,"0.888","0.888","0.887","0.887","2312.3",1686753299999,"2051.0537",13,"43.6","38.7168"
"ALICEUSDT","ALICEUSDT#1686753300000",1686753300000,"0.888","0.889","0.887","0.888","27285.3",1686753359999,"24229.7244",135,"22741.8","20196.3308"
"ALICEUSDT","ALICEUSDT#1686753360000",1686753360000,"0.889","0.889","0.888","0.888","3469.6",1686753419999,"3081.2472",14,"242.4","215.4936"
"ALICEUSDT","ALICEUSDT#1686753420000",1686753420000,"0.888","0.888","0.884","0.886","102259.2",1686753479999,"90558.8655",319,"19345.6","17131.9756"
"ALICEUSDT","ALICEUSDT#1686753480000",1686753480000,"0.886","0.886","0.884","0.886","16749.5",1686753539999,"14824.9775",102,"10865.7","9618.0515"
"ALICEUSDT","ALICEUSDT#1686753540000",1686753540000,"0.886","0.886","0.885","0.885","8213.8",1686753599999,"7272.5024",53,"3289.4","2914.4084"
"ALICEUSDT","ALICEUSDT#1686753600000",1686753600000,"0.886","0.887","0.885","0.886","23628.7",1686753659999,"20936.5648",93,"9423.1","8350.4222"
"ALICEUSDT","ALICEUSDT#1686753660000",1686753660000,"0.886","0.886","0.885","0.886","10644.0",1686753719999,"9430.2766",42,"10268.7","9098.0682"
"ALICEUSDT","ALICEUSDT#1686753720000",1686753720000,"0.887","0.887","0.886","0.886","1952.5",1686753779999,"1731.4578",16,"1542.8","1368.4636"
"ALICEUSDT","ALICEUSDT#1686753780000",1686753780000,"0.886","0.887","0.885","0.887","23411.1",1686753839999,"20737.7316",86,"9226.4","8177.0159"
"ALICEUSDT","ALICEUSDT#1686753840000",1686753840000,"0.887","0.888","0.886","0.886","26073.8",1686753899999,"23130.0117",117,"17249.9","15306.7610"
"ALICEUSDT","ALICEUSDT#1686753900000",1686753900000,"0.887","0.887","0.886","0.887","8453.2",1686753959999,"7497.7385",46,"8203.3","7276.3271"
"ALICEUSDT","ALICEUSDT#1686753960000",1686753960000,"0.887","0.889","0.887","0.889","16301.7",1686754019999,"14472.0591",69,"13459.9","11951.3825"
"ALICEUSDT","ALICEUSDT#1686754020000",1686754020000,"0.888","0.889","0.888","0.889","14089.0",1686754079999,"12522.6229",56,"11590.9","10304.3101"
"ALICEUSDT","ALICEUSDT#1686754080000",1686754080000,"0.888","0.889","0.888","0.888","22288.6",1686754139999,"19792.3697",61,"12144.7","10784.5865"
"ALICEUSDT","ALICEUSDT#1686754140000",1686754140000,"0.889","0.890","0.888","0.888","12878.6",1686754199999,"11450.4318",58,"6373.4","5667.3427"
"ALICEUSDT","ALICEUSDT#1686754200000",1686754200000,"0.888","0.889","0.888","0.888","4476.7",1686754259999,"3977.7633",15,"2453.7","2181.3393"
"ALICEUSDT","ALICEUSDT#1686754260000",1686754260000,"0.889","0.889","0.888","0.889","4276.0",1686754319999,"3799.4037",28,"2315.7","2058.6573"
"ALICEUSDT","ALICEUSDT#1686754320000",1686754320000,"0.889","0.889","0.888","0.888","1885.4",1686754379999,"1675.4493",17,"1214.1","1079.3349"
"ALICEUSDT","ALICEUSDT#1686754380000",1686754380000,"0.889","0.889","0.888","0.889","5938.7",1686754439999,"5278.6810",32,"4250.5","3778.6945"
"ALICEUSDT","ALICEUSDT#1686754440000",1686754440000,"0.889","0.890","0.889","0.890","5458.0",1686754499999,"4856.5340",35,"4372.0","3891.0800"
"ALICEUSDT","ALICEUSDT#1686754500000",1686754500000,"0.889","0.890","0.889","0.889","1964.3",1686754559999,"1747.4402",17,"1177.5","1047.9750"
"ALICEUSDT","ALICEUSDT#1686754560000",1686754560000,"0.889","0.890","0.889","0.890","428.6",1686754619999,"381.3753",5,"349.9","311.4110"
