"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ALPHAUSDT","ALPHAUSDT#1686726060000",1686726060000,"0.11502","0.11521","0.11480","0.11520","1844321",1686726119999,"212144.49391",1051,"903140","103909.61032"
"ALPHAUSDT","ALPHAUSDT#1686726120000",1686726120000,"0.11520","0.11562","0.11520","0.11561","3677838",1686726179999,"424652.67360",2058,"2158710","249263.16867"
"ALPHAUSDT","ALPHAUSDT#1686726180000",1686726180000,"0.11560","0.11579","0.11538","0.11563","2190892",1686726239999,"253269.82699",1321,"1270246","146859.47038"
"ALPHAUSDT","ALPHAUSDT#1686726240000",1686726240000,"0.11563","0.11592","0.11536","0.11588","3240750",1686726299999,"374827.28443",1604,"2039455","235930.21514"
"ALPHAUSDT","ALPHAUSDT#1686726300000",1686726300000,"0.11587","0.11730","0.11581","0.11674","15672605",1686726359999,"1827445.51882",7735,"10093994","1176913.89265"
"ALPHAUSDT","ALPHAUSDT#1686726360000",1686726360000,"0.11672","0.11688","0.11631","0.11679","5782727",1686726419999,"674464.59088",3106,"2652282","309371.36756"
"ALPHAUSDT","ALPHAUSDT#1686726420000",1686726420000,"0.11678","0.11725","0.11670","0.11717","5253430",1686726479999,"614671.55545",2787,"3188793","373127.45001"
"ALPHAUSDT","ALPHAUSDT#1686726480000",1686726480000,"0.11715","0.11770","0.11714","0.11747","7173574",1686726539999,"842052.46197",3778,"4102778","481688.21125"
"ALPHAUSDT","ALPHAUSDT#1686726540000",1686726540000,"0.11747","0.11763","0.11723","0.11755","3687848",1686726599999,"432916.42845",1961,"2065942","242538.02296"
"ALPHAUSDT","ALPHAUSDT#1686726600000",1686726600000,"0.11754","0.11775","0.11715","0.11723","4456529",1686726659999,"523369.70239",2444,"1835732","215604.70498"
"ALPHAUSDT","ALPHAUSDT#1686726660000",1686726660000,"0.11725","0.11725","0.11647","0.11667","4953417",1686726719999,"578784.97597",2795,"2036435","237905.29659"
"ALPHAUSDT","ALPHAUSDT#1686726720000",1686726720000,"0.11665","0.11690","0.11643","0.11664","2799546",1686726779999,"326700.07750",1325,"1407430","164260.04569"
"ALPHAUSDT","ALPHAUSDT#1686726780000",1686726780000,"0.11662","0.11668","0.11640","0.11652","2129844",1686726839999,"248245.44502",1001,"971671","113254.71699"
"ALPHAUSDT","ALPHAUSDT#1686726840000",1686726840000,"0.11651","0.11669","0.11637","0.11669","1837033",1686726899999,"214058.51761",968,"908618","105888.06847"
"ALPHAUSDT","ALPHAUSDT#1686726900000",1686726900000,"0.11668","0.11694","0.11595","0.11602","4822110",1686726959999,"561185.13805",2451,"1973017","229776.98081"
"ALPHAUSDT","ALPHAUSDT#1686726960000",1686726960000,"0.11602","0.11608","0.11538","0.11554","5666630",1686727019999,"655190.04401",2710,"2015835","233068.68771"
"ALPHAUSDT","ALPHAUSDT#1686727020000",1686727020000,"0.11553","0.11568","0.11541","0.11545","2052743",1686727079999,"237164.35500",1134,"1011122","116846.40938"
"ALPHAUSDT","ALPHAUSDT#1686727080000",1686727080000,"0.11546","0.11548","0.11496","0.11502","3406813",1686727139999,"392657.28988",1861,"1163415","134169.09710"
"ALPHAUSDT","ALPHAUSDT#1686727140000",1686727140000,"0.11502","0.11509","0.11451","0.11459","5088306",1686727199999,"583928.65070",2594,"1912407","219554.12955"
"ALPHAUSDT","ALPHAUSDT#1686727200000",1686727200000,"0.11459","0.11483","0.11442","0.11474","4054697",1686727259999,"464900.22182",1922,"2425797","278170.42215"
"ALPHAUSDT","ALPHAUSDT#1686727260000",1686727260000,"0.11473","0.11529","0.11471","0.11484","2484064",1686727319999,"285707.93292",1435,"1444775","166165.41349"
"ALPHAUSDT","ALPHAUSDT#1686727320000",1686727320000,"0.11486","0.11525","0.11485","0.11506","1477014",1686727379999,"169923.08270",874,"862611","99264.92626"
"ALPHAUSDT","ALPHAUSDT#1686727380000",1686727380000,"0.11505","0.11507","0.11422","0.11428","4533679",1686727439999,"519155.76839",2188,"1759684","201544.91940"
"ALPHAUSDT","ALPHAUSDT#1686727440000",1686727440000,"0.11427","0.11459","0.11421","0.11423","3688964",1686727499999,"421805.81045",1359,"2309114","264040.78143"
"ALPHAUSDT","ALPHAUSDT#1686727500000",1686727500000,"0.11424","0.11435","0.11400","0.11428","3209756",1686727559999,"366443.98094",1742,"1417228","161838.45057"
"ALPHAUSDT","ALPHAUSDT#1686727560000",1686727560000,"0.11429","0.11450","0.11406","0.11410","2576192",1686727619999,"294412.32633",1245,"1174962","134311.88585"
"ALPHAUSDT","ALPHAUSDT#1686727620000",1686727620000,"0.11410","0.11415","0.11393","0.11398","1758895",1686727679999,"200560.73479",983,"728539","83086.70059"
"ALPHAUSDT","ALPHAUSDT#1686727680000",1686727680000,"0.11398","0.11398","0.11317","0.11351","7914351",1686727739999,"898455.08685",3857,"2614015","296782.78445"
"ALPHAUSDT","ALPHAUSDT#1686727740000",1686727740000,"0.11351","0.11355","0.11330","0.11330","2450450",1686727799999,"277897.34401",1181,"1375469","155991.92945"
"ALPHAUSDT","ALPHAUSDT#1686727800000",1686727800000,"0.11330","0.11365","0.11305","0.11342","3809199",1686727859999,"431728.82636",1826,"1818220","206159.11075"
"ALPHAUSDT","ALPHAUSDT#1686727860000",1686727860000,"0.11341","0.11387","0.11341","0.11384","3132287",1686727919999,"356242.40411",1536,"1941447","220781.31769"
"ALPHAUSDT","ALPHAUSDT#1686727920000",1686727920000,"0.11384","0.11393","0.11350","0.11376","1522906",1686727979999,"173172.70499",842,"897512","102051.15990"
"ALPHAUSDT","ALPHAUSDT#1686727980000",1686727980000,"0.11376","0.11429","0.11371","0.11397","3089189",1686728039999,"352285.72661",1603,"2092882","238670.68758"
"ALPHAUSDT","ALPHAUSDT#1686728040000",1686728040000,"0.11398","0.11413","0.11372","0.11389","2251634",1686728099999,"256493.56582",843,"832540","94850.73636"
"ALPHAUSDT","ALPHAUSDT#1686728100000",1686728100000,"0.11386","0.11387","0.11350","0.11364","1737286",1686728159999,"197479.24448",860,"485232","55161.39655"
"ALPHAUSDT","ALPHAUSDT#1686728160000",1686728160000,"0.11362","0.11388","0.11357","0.11361","712874",1686728219999,"81062.58240",536,"354315","40297.34057"
"ALPHAUSDT","ALPHAUSDT#1686728220000",1686728220000,"0.11362","0.11384","0.11361","0.11372","645552",1686728279999,"73399.15059",404,"406380","46208.76288"
"ALPHAUSDT","ALPHAUSDT#1686728280000",1686728280000,"0.11371","0.11397","0.11350","0.11355","3541711",1686728339999,"403046.39825",1008,"1579101","179799.12535"
"ALPHAUSDT","ALPHAUSDT#1686728340000",1686728340000,"0.11354","0.11357","0.11308","0.11314","2380899",1686728399999,"269737.02874",1383,"743680","84263.46237"
"ALPHAUSDT","ALPHAUSDT#1686728400000",1686728400000,"0.11315","0.11329","0.11303","0.11310","2755248",1686728459999,"311716.03544",1237,"938315","106184.04971"
"ALPHAUSDT","ALPHAUSDT#1686728460000",1686728460000,"0.11308","0.11341","0.11308","0.11331","1468619",1686728519999,"166319.55117",669,"960633","108782.58570"
"ALPHAUSDT","ALPHAUSDT#1686728520000",1686728520000,"0.11331","0.11346","0.11306","0.11310","1434103",1686728579999,"162407.40427",734,"433133","49079.27498"
"ALPHAUSDT","ALPHAUSDT#1686728580000",1686728580000,"0.11310","0.11336","0.11309","0.11327","819291",1686728639999,"92772.38909",462,"559022","63296.71007"
"ALPHAUSDT","ALPHAUSDT#1686728640000",1686728640000,"0.11325","0.11359","0.11316","0.11358","979590",1686728699999,"111086.57464",523,"734677","83328.17554"
"ALPHAUSDT","ALPHAUSDT#1686728700000",1686728700000,"0.11357","0.11359","0.11312","0.11325","1883143",1686728759999,"213344.08643",775,"762169","86331.59592"
"ALPHAUSDT","ALPHAUSDT#1686728760000",1686728760000,"0.11325","0.11380","0.11323","0.11375","1805127",1686728819999,"205034.44477",948,"1203438","136677.34045"
"ALPHAUSDT","ALPHAUSDT#1686728820000",1686728820000,"0.11376","0.11378","0.11351","0.11358","1398654",1686728879999,"158957.30566",616,"678446","77096.20284"
"ALPHAUSDT","ALPHAUSDT#1686728880000",1686728880000,"0.11358","0.11389","0.11357","0.11388","1675892",1686728939999,"190600.81997",719,"1165496","132544.07783"
"ALPHAUSDT","ALPHAUSDT#1686728940000",1686728940000,"0.11388","0.11410","0.11367","0.11372","2156318",1686728999999,"245579.29977",1103,"1088192","123962.87735"
