"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"APEUSDT","APEUSDT#1686736860000",1686736860000,"2.2430","2.2430","2.2360","2.2370","195577",1686736919999,"438048.9770",835,"47059","105420.0660"
"APEUSDT","APEUSDT#1686736920000",1686736920000,"2.2380","2.2390","2.2320","2.2360","182124",1686736979999,"407184.0920",935,"83719","187219.3020"
"APEUSDT","APEUSDT#1686736980000",1686736980000,"2.2360","2.2380","2.2340","2.2360","142205",1686737039999,"318007.0950",789,"76403","170879.3620"
"APEUSDT","APEUSDT#1686737040000",1686737040000,"2.2360","2.2360","2.2330","2.2360","90520",1686737099999,"202288.4370",518,"56733","126794.9560"
"APEUSDT","APEUSDT#1686737100000",1686737100000,"2.2360","2.2370","2.2350","2.2360","83731",1686737159999,"187222.2490",420,"47744","106773.8630"
"APEUSDT","APEUSDT#1686737160000",1686737160000,"2.2370","2.2430","2.2360","2.2430","181163",1686737219999,"405816.7270",974,"130516","292354.6010"
"APEUSDT","APEUSDT#1686737220000",1686737220000,"2.2420","2.2430","2.2390","2.2400","53696",1686737279999,"120347.9040",388,"25035","56115.3190"
"APEUSDT","APEUSDT#1686737280000",1686737280000,"2.2400","2.2420","2.2390","2.2400","55694",1686737339999,"124752.6390",343,"24953","55900.4010"
"APEUSDT","APEUSDT#1686737340000",1686737340000,"2.2400","2.2420","2.2380","2.2380","50224",1686737399999,"112505.3420",323,"19806","44377.0220"
"APEUSDT","APEUSDT#1686737400000",1686737400000,"2.2390","2.2390","2.2340","2.2360","65101",1686737459999,"145590.6830",349,"23011","51473.1110"
"APEUSDT","APEUSDT#1686737460000",1686737460000,"2.2350","2.2370","2.2310","2.2320","131879",1686737519999,"294568.2060",489,"36284","81049.5850"
"APEUSDT","APEUSDT#1686737520000",1686737520000,"2.2320","2.2330","2.2260","2.2310","209267",1686737579999,"466627.7020",864,"97507","217467.3190"
"APEUSDT","APEUSDT#1686737580000",1686737580000,"2.2320","2.2330","2.2280","2.2320","94176",1686737639999,"210054.4940",413,"37747","84209.1740"
"APEUSDT","APEUSDT#1686737640000",1686737640000,"2.2320","2.2360","2.2290","2.2360","136105",1686737699999,"303903.5930",571,"95030","212215.1210"
"APEUSDT","APEUSDT#1686737700000",1686737700000,"2.2360","2.2360","2.2290","2.2300","49248",1686737759999,"109965.4820",297,"14513","32413.2280"
"APEUSDT","APEUSDT#1686737760000",1686737760000,"2.2300","2.2300","2.2290","2.2290","20847",1686737819999,"46478.0250",151,"10062","22438.2600"
"APEUSDT","APEUSDT#1686737820000",1686737820000,"2.2300","2.2310","2.2260","2.2280","149911",1686737879999,"334104.0920",635,"92619","206459.7050"
"APEUSDT","APEUSDT#1686737880000",1686737880000,"2.2280","2.2280","2.2260","2.2270","63148",1686737939999,"140624.9250",318,"32406","72179.1570"
"APEUSDT","APEUSDT#1686737940000",1686737940000,"2.2270","2.2290","2.2230","2.2270","173509",1686737999999,"386197.4220",548,"74382","165617.2530"
"APEUSDT","APEUSDT#1686738000000",1686738000000,"2.2280","2.2290","2.2240","2.2260","81860",1686738059999,"182204.9100",412,"41567","92530.8410"
"APEUSDT","APEUSDT#1686738060000",1686738060000,"2.2260","2.2310","2.2250","2.2280","128339",1686738119999,"285970.0560",533,"91270","203369.4190"
"APEUSDT","APEUSDT#1686738120000",1686738120000,"2.2280","2.2290","2.2240","2.2240","89433",1686738179999,"198966.1320",252,"14575","32448.4210"
"APEUSDT","APEUSDT#1686738180000",1686738180000,"2.2250","2.2260","2.2230","2.2260","46618",1686738239999,"103724.5770",231,"34931","77725.4670"
"APEUSDT","APEUSDT#1686738240000",1686738240000,"2.2260","2.2280","2.2250","2.2280","34024",1686738299999,"75740.8470",161,"15460","34424.8820"
"APEUSDT","APEUSDT#1686738300000",1686738300000,"2.2270","2.2300","2.2260","2.2270","69269",1686738359999,"154328.6770",362,"37344","83219.4810"
"APEUSDT","APEUSDT#1686738360000",1686738360000,"2.2260","2.2280","2.2240","2.2240","30904",1686738419999,"68797.3390",175,"19575","43586.2840"
"APEUSDT","APEUSDT#1686738420000",1686738420000,"2.2250","2.2250","2.2210","2.2230","157526",1686738479999,"350202.9910",515,"49689","110485.7080"
"APEUSDT","APEUSDT#1686738480000",1686738480000,"2.2240","2.2280","2.2210","2.2260","148472",1686738539999,"330299.3490",541,"73994","164614.9210"
"APEUSDT","APEUSDT#1686738540000",1686738540000,"2.2260","2.2270","2.2220","2.2250","92409",1686738599999,"205562.6450",394,"42389","94306.8310"
"APEUSDT","APEUSDT#1686738600000",1686738600000,"2.2250","2.2250","2.2210","2.2230","124968",1686738659999,"277706.1440",360,"38553","85709.7110"
"APEUSDT","APEUSDT#1686738660000",1686738660000,"2.2230","2.2250","2.2210","2.2220","119168",1686738719999,"264835.4430",409,"66413","147629.7090"
"APEUSDT","APEUSDT#1686738720000",1686738720000,"2.2210","2.2230","2.2190","2.2210","142508",1686738779999,"316487.4600",410,"35410","78651.2520"
"APEUSDT","APEUSDT#1686738780000",1686738780000,"2.2220","2.2220","2.2200","2.2210","42016",1686738839999,"93318.2350",231,"19934","44283.8580"
"APEUSDT","APEUSDT#1686738840000",1686738840000,"2.2200","2.2220","2.2200","2.2210","33782",1686738899999,"75034.0610",158,"22103","49100.4040"
"APEUSDT","APEUSDT#1686738900000",1686738900000,"2.2200","2.2290","2.2200","2.2280","133121",1686738959999,"296069.6070",546,"96728","215143.1990"
"APEUSDT","APEUSDT#1686738960000",1686738960000,"2.2280","2.2280","2.2230","2.2240","116664",1686739019999,"259622.2130",374,"35515","79018.8170"
"APEUSDT","APEUSDT#1686739020000",1686739020000,"2.2250","2.2260","2.2230","2.2260","56934",1686739079999,"126664.9490",224,"35528","79058.3250"
"APEUSDT","APEUSDT#1686739080000",1686739080000,"2.2260","2.2290","2.2250","2.2290","71154",1686739139999,"158500.4420",312,"48704","108498.8640"
"APEUSDT","APEUSDT#1686739140000",1686739140000,"2.2290","2.2290","2.2250","2.2260","57959",1686739199999,"129025.7300",253,"7169","15964.0610"
"APEUSDT","APEUSDT#1686739200000",1686739200000,"2.2250","2.2260","2.2230","2.2250","89064",1686739259999,"198143.8820",265,"31109","69207.2410"
"APEUSDT","APEUSDT#1686739260000",1686739260000,"2.2250","2.2260","2.2230","2.2240","23697",1686739319999,"52707.3660",177,"7063","15713.3700"
"APEUSDT","APEUSDT#1686739320000",1686739320000,"2.2240","2.2290","2.2220","2.2270","139636",1686739379999,"310671.1820",420,"60758","135220.0730"
"APEUSDT","APEUSDT#1686739380000",1686739380000,"2.2270","2.2270","2.2240","2.2260","23104",1686739439999,"51416.2940",185,"13063","29073.9420"
"APEUSDT","APEUSDT#1686739440000",1686739440000,"2.2250","2.2280","2.2240","2.2260","47351",1686739499999,"105417.1920",223,"32491","72335.8320"
"APEUSDT","APEUSDT#1686739500000",1686739500000,"2.2260","2.2280","2.2260","2.2270","20549",1686739559999,"45761.8500",186,"11867","26431.0020"
"APEUSDT","APEUSDT#1686739560000",1686739560000,"2.2270","2.2270","2.2240","2.2250","33510",1686739619999,"74571.9880",249,"14746","32820.3880"
"APEUSDT","APEUSDT#1686739620000",1686739620000,"2.2260","2.2280","2.2240","2.2270","64990",1686739679999,"144672.4480",264,"43843","97604.7700"
"APEUSDT","APEUSDT#1686739680000",1686739680000,"2.2260","2.2280","2.2240","2.2250","79286",1686739739999,"176481.6790",302,"34077","75867.2060"
"APEUSDT","APEUSDT#1686739740000",1686739740000,"2.2250","2.2300","2.2250","2.2270","90883",1686739799999,"202449.6840",401,"50809","113192.4120"
