"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BCHUSDT","BCHUSDT#1686700860000",1686700860000,"105.25","105.25","105.10","105.14","508.019",1686700919999,"53418.75919",222,"219.797","23114.89008"
"BCHUSDT","BCHUSDT#1686700920000",1686700920000,"105.15","105.15","105.10","105.12","267.333",1686700979999,"28103.56724",164,"173.478","18237.61929"
"BCHUSDT","BCHUSDT#1686700980000",1686700980000,"105.12","105.16","105.10","105.15","333.257",1686701039999,"35035.05403",163,"283.839","29840.26466"
"BCHUSDT","BCHUSDT#1686701040000",1686701040000,"105.16","105.18","105.15","105.18","217.050",1686701099999,"22826.63836",120,"188.143","19786.78691"
"BCHUSDT","BCHUSDT#1686701100000",1686701100000,"105.18","105.18","105.13","105.13","179.632",1686701159999,"18889.60776",88,"48.775","5128.91947"
"BCHUSDT","BCHUSDT#1686701160000",1686701160000,"105.12","105.15","105.12","105.15","140.403",1686701219999,"14761.56742",58,"114.494","12037.59264"
"BCHUSDT","BCHUSDT#1686701220000",1686701220000,"105.16","105.18","105.11","105.18","135.311",1686701279999,"14226.69102",70,"83.707","8801.72390"
"BCHUSDT","BCHUSDT#1686701280000",1686701280000,"105.18","105.24","105.18","105.24","116.941",1686701339999,"12302.90724",53,"88.337","9293.48040"
"BCHUSDT","BCHUSDT#1686701340000",1686701340000,"105.23","105.25","105.20","105.24","121.133",1686701399999,"12746.82909",96,"66.100","6955.83131"
"BCHUSDT","BCHUSDT#1686701400000",1686701400000,"105.23","105.29","105.23","105.29","144.513",1686701459999,"15212.52212",115,"102.734","10814.80598"
"BCHUSDT","BCHUSDT#1686701460000",1686701460000,"105.29","105.34","105.28","105.33","100.717",1686701519999,"10607.07431",69,"65.429","6891.24893"
"BCHUSDT","BCHUSDT#1686701520000",1686701520000,"105.33","105.40","105.33","105.40","441.555",1686701579999,"46528.59990",211,"325.387","34288.46610"
"BCHUSDT","BCHUSDT#1686701580000",1686701580000,"105.40","105.41","105.30","105.30","650.559",1686701639999,"68554.93731",111,"25.123","2647.09283"
"BCHUSDT","BCHUSDT#1686701640000",1686701640000,"105.30","105.30","105.25","105.27","77.023",1686701699999,"8108.07296",69,"26.327","2771.41826"
