"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"C98USDT","C98USDT#1686780060000",1686780060000,"0.1266","0.1267","0.1264","0.1266","198149",1686780119999,"25074.5688",220,"99310","12567.8083"
"C98USDT","C98USDT#1686780120000",1686780120000,"0.1265","0.1267","0.1265","0.1267","160858",1686780179999,"20361.3169",186,"95765","12123.5863"
"C98USDT","C98USDT#1686780180000",1686780180000,"0.1266","0.1267","0.1265","0.1267","52278",1686780239999,"6619.8035",83,"43545","5514.4851"
"C98USDT","C98USDT#1686780240000",1686780240000,"0.1266","0.1268","0.1265","0.1266","86026",1686780299999,"10891.8453",106,"39712","5028.9860"
"C98USDT","C98USDT#1686780300000",1686780300000,"0.1266","0.1267","0.1265","0.1266","166862",1686780359999,"21122.8474",97,"42629","5397.0221"
"C98USDT","C98USDT#1686780360000",1686780360000,"0.1266","0.1266","0.1265","0.1266","41757",1686780419999,"5283.6532",23,"905","114.5730"
"C98USDT","C98USDT#1686780420000",1686780420000,"0.1265","0.1267","0.1265","0.1267","43706",1686780479999,"5533.5746",67,"43313","5483.8459"
"C98USDT","C98USDT#1686780480000",1686780480000,"0.1266","0.1267","0.1266","0.1266","34344",1686780539999,"4349.1198",31,"11694","1481.6298"
"C98USDT","C98USDT#1686780540000",1686780540000,"0.1267","0.1268","0.1266","0.1268","63896",1686780599999,"8095.9301",68,"55537","7036.8732"
"C98USDT","C98USDT#1686780600000",1686780600000,"0.1268","0.1268","0.1266","0.1266","72384",1686780659999,"9171.9000",45,"12985","1646.0562"
"C98USDT","C98USDT#1686780660000",1686780660000,"0.1267","0.1267","0.1266","0.1266","26219",1686780719999,"3321.9041",18,"25787","3267.2129"
"C98USDT","C98USDT#1686780720000",1686780720000,"0.1266","0.1268","0.1265","0.1267","311689",1686780779999,"39465.7385",176,"108990","13806.1443"
"C98USDT","C98USDT#1686780780000",1686780780000,"0.1268","0.1268","0.1267","0.1268","159417",1686780839999,"20213.0181",160,"85017","10780.1556"
