"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"CELOUSDT","CELOUSDT#1686758460000",1686758460000,"0.413","0.414","0.413","0.414","16976.2",1686758519999,"7014.1844",45,"3013.8","1247.7132"
"CELOUSDT","CELOUSDT#1686758520000",1686758520000,"0.413","0.414","0.413","0.413","20442.0",1686758579999,"8448.7339",35,"6187.9","2561.7906"
"CELOUSDT","CELOUSDT#1686758580000",1686758580000,"0.413","0.414","0.413","0.414","14268.2",1686758639999,"5903.5503",47,"10783.7","4464.4518"
"CELOUSDT","CELOUSDT#1686758640000",1686758640000,"0.413","0.414","0.413","0.414","7932.6",1686758699999,"3281.5700",17,"5406.2","2238.1668"
"CELOUSDT","CELOUSDT#1686758700000",1686758700000,"0.413","0.414","0.413","0.413","36126.3",1686758759999,"14945.9691",79,"25807.2","10684.1808"
"CELOUSDT","CELOUSDT#1686758760000",1686758760000,"0.413","0.414","0.413","0.413","7258.2",1686758819999,"3000.8924",27,"3255.8","1347.9012"
"CELOUSDT","CELOUSDT#1686758820000",1686758820000,"0.413","0.414","0.413","0.414","8524.0",1686758879999,"3527.4617",27,"7049.7","2918.5758"
"CELOUSDT","CELOUSDT#1686758880000",1686758880000,"0.413","0.414","0.413","0.413","16148.4",1686758939999,"6677.5620",51,"8272.8","3424.9392"
"CELOUSDT","CELOUSDT#1686758940000",1686758940000,"0.413","0.414","0.413","0.413","7138.2",1686758999999,"2952.6906",33,"4614.0","1910.1960"
"CELOUSDT","CELOUSDT#1686759000000",1686759000000,"0.414","0.415","0.413","0.415","191830.4",1686759059999,"79542.2131",203,"160955.3","66736.7317"
"CELOUSDT","CELOUSDT#1686759060000",1686759060000,"0.416","0.416","0.415","0.415","9105.7",1686759119999,"3783.6884",15,"4822.9","2006.3264"
"CELOUSDT","CELOUSDT#1686759120000",1686759120000,"0.416","0.416","0.415","0.415","4137.9",1686759179999,"1720.1714",13,"2942.9","1224.2464"
"CELOUSDT","CELOUSDT#1686759180000",1686759180000,"0.415","0.416","0.415","0.416","8212.0",1686759239999,"3414.5199",18,"6539.9","2720.5984"
"CELOUSDT","CELOUSDT#1686759240000",1686759240000,"0.416","0.417","0.415","0.416","230130.2",1686759299999,"95734.1179",73,"156450.9","65083.6106"
"CELOUSDT","CELOUSDT#1686759300000",1686759300000,"0.416","0.417","0.416","0.417","9459.4",1686759359999,"3941.2686",29,"6158.2","2567.9694"
"CELOUSDT","CELOUSDT#1686759360000",1686759360000,"0.416","0.417","0.416","0.416","8951.4",1686759419999,"3727.9745",23,"4192.1","1748.1057"
"CELOUSDT","CELOUSDT#1686759420000",1686759420000,"0.416","0.417","0.416","0.416","31554.1",1686759479999,"13153.2367",57,"26731.1","11146.8687"
"CELOUSDT","CELOUSDT#1686759480000",1686759480000,"0.417","0.418","0.416","0.418","40612.1",1686759539999,"16942.5114",135,"37934.6","15827.4305"
"CELOUSDT","CELOUSDT#1686759540000",1686759540000,"0.418","0.418","0.417","0.418","14442.5",1686759599999,"6032.6028",29,"10080.3","4213.5654"
"CELOUSDT","CELOUSDT#1686759600000",1686759600000,"0.417","0.418","0.416","0.417","192449.4",1686759659999,"80242.1461",192,"54618.3","22776.0773"
"CELOUSDT","CELOUSDT#1686759660000",1686759660000,"0.416","0.417","0.416","0.417","30811.7",1686759719999,"12845.4565",11,"27789.3","11588.1381"
"CELOUSDT","CELOUSDT#1686759720000",1686759720000,"0.416","0.417","0.416","0.416","7941.1",1686759779999,"3307.0266",67,"3529.0","1471.5930"
"CELOUSDT","CELOUSDT#1686759780000",1686759780000,"0.416","0.418","0.416","0.418","29781.0",1686759839999,"12415.5228",44,"26602.6","11093.3081"
"CELOUSDT","CELOUSDT#1686759840000",1686759840000,"0.417","0.417","0.416","0.416","61013.5",1686759899999,"25416.1877",65,"1515.7","632.0469"
"CELOUSDT","CELOUSDT#1686759900000",1686759900000,"0.416","0.417","0.416","0.416","10874.9",1686759959999,"4526.2507",25,"2292.3","955.8891"
"CELOUSDT","CELOUSDT#1686759960000",1686759960000,"0.416","0.417","0.416","0.417","6109.2",1686760019999,"2545.7135",17,"4286.3","1787.3871"
