"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"DOGEBUSD","DOGEBUSD#1686700860000",1686700860000,"0.061700","0.061700","0.061660","0.061670","64147",1686700919999,"3956.602550",24,"32884","2028.096560"
"DOGEBUSD","DOGEBUSD#1686700920000",1686700920000,"0.061700","0.061720","0.061690","0.061720","153078",1686700979999,"9446.868880",34,"133953","8266.917950"
"DOGEBUSD","DOGEBUSD#1686700980000",1686700980000,"0.061730","0.061780","0.061730","0.061780","87666",1686701039999,"5413.654260",26,"87666","5413.654260"
"DOGEBUSD","DOGEBUSD#1686701040000",1686701040000,"0.061780","0.061790","0.061780","0.061780","105849",1686701099999,"6540.372510",13,"3492","215.749660"
"DOGEBUSD","DOGEBUSD#1686701100000",1686701100000,"0.061780","0.061780","0.061740","0.061740","102453",1686701159999,"6327.549150",26,"0","0.000000"
"DOGEBUSD","DOGEBUSD#1686701160000",1686701160000,"0.061730","0.061740","0.061720","0.061740","85592",1686701219999,"5283.608560",17,"22602","1395.375020"
"DOGEBUSD","DOGEBUSD#1686701220000",1686701220000,"0.061750","0.061780","0.061710","0.061780","380309",1686701279999,"23473.404480",39,"77584","4790.256340"
"DOGEBUSD","DOGEBUSD#1686701280000",1686701280000,"0.061780","0.061780","0.061780","0.061780","1617",1686701339999,"99.898260",1,"1617","99.898260"
"DOGEBUSD","DOGEBUSD#1686701340000",1686701340000,"0.061790","0.061790","0.061770","0.061770","123749",1686701399999,"7645.211430",19,"15591","963.341590"
"DOGEBUSD","DOGEBUSD#1686701400000",1686701400000,"0.061770","0.061770","0.061760","0.061760","67128",1686701459999,"4146.288560",8,"0","0.000000"
"DOGEBUSD","DOGEBUSD#1686701460000",1686701460000,"0.061760","0.061800","0.061760","0.061800","121760",1686701519999,"7522.394620",23,"109177","6744.891050"
"DOGEBUSD","DOGEBUSD#1686701520000",1686701520000,"0.061800","0.061820","0.061800","0.061820","56664",1686701579999,"3502.066590",13,"55641","3438.840200"
"DOGEBUSD","DOGEBUSD#1686701580000",1686701580000,"0.061820","0.061820","0.061810","0.061810","81123",1686701639999,"5014.787850",11,"0","0.000000"
"DOGEBUSD","DOGEBUSD#1686701640000",1686701640000,"0.061810","0.061810","0.061810","0.061810","0",1686701699999,"0.000000",0,"0","0.000000"
"DOGEBUSD","DOGEBUSD#1686701700000",1686701700000,"0.061800","0.061800","0.061740","0.061740","140287",1686701759999,"8666.195990",30,"10306","636.395500"
"DOGEBUSD","DOGEBUSD#1686701760000",1686701760000,"0.061730","0.061740","0.061720","0.061740","71301",1686701819999,"4400.935880",18,"35426","2186.694030"
"DOGEBUSD","DOGEBUSD#1686701820000",1686701820000,"0.061740","0.061740","0.061570","0.061590","604697",1686701879999,"37264.218440",61,"28699","1767.373910"
"DOGEBUSD","DOGEBUSD#1686701880000",1686701880000,"0.061620","0.061680","0.061620","0.061680","194208",1686701939999,"11974.119650",34,"134244","8276.308070"
"DOGEBUSD","DOGEBUSD#1686701940000",1686701940000,"0.061710","0.061710","0.061690","0.061690","51798",1686701999999,"3196.075580",13,"22600","1394.368420"
"DOGEBUSD","DOGEBUSD#1686702000000",1686702000000,"0.061700","0.061720","0.061680","0.061680","64147",1686702059999,"3957.727960",19,"16394","1011.182840"
"DOGEBUSD","DOGEBUSD#1686702060000",1686702060000,"0.061690","0.061710","0.061690","0.061710","32361",1686702119999,"1996.486720",10,"4109","253.546110"
"DOGEBUSD","DOGEBUSD#1686702120000",1686702120000,"0.061720","0.061810","0.061720","0.061810","189193",1686702179999,"11687.366930",40,"178412","11021.208940"
"DOGEBUSD","DOGEBUSD#1686702180000",1686702180000,"0.061810","0.061820","0.061810","0.061810","79319",1686702239999,"4903.289770",12,"2048","126.586880"
"DOGEBUSD","DOGEBUSD#1686702240000",1686702240000,"0.061820","0.061870","0.061820","0.061850","488063",1686702299999,"30187.645940",54,"386213","23888.297520"
"DOGEBUSD","DOGEBUSD#1686702300000",1686702300000,"0.061850","0.061870","0.061830","0.061830","103770",1686702359999,"6419.462270",21,"23965","1482.437490"
"DOGEBUSD","DOGEBUSD#1686702360000",1686702360000,"0.061830","0.061830","0.061820","0.061820","33155",1686702419999,"2049.841830",11,"0","0.000000"
"DOGEBUSD","DOGEBUSD#1686702420000",1686702420000,"0.061830","0.061830","0.061800","0.061800","26725",1686702479999,"1652.021190",14,"8557","529.074470"
"DOGEBUSD","DOGEBUSD#1686702480000",1686702480000,"0.061790","0.061790","0.061700","0.061710","39902",1686702539999,"2463.492870",27,"969","59.835710"
"DOGEBUSD","DOGEBUSD#1686702540000",1686702540000,"0.061700","0.061730","0.061700","0.061730","67643",1686702599999,"4174.319000",13,"67400","4159.325900"
"DOGEBUSD","DOGEBUSD#1686702600000",1686702600000,"0.061740","0.061740","0.061730","0.061730","49672",1686702659999,"3066.399340",12,"9071","560.043540"
