"symbol","markPrice","indexPrice","estimatedSettlePrice","lastFundingRate","nextFundingTime","interestRate","time"
"HOTUSDT","0.00123500","0.00123708","0.00123596","-0.00012658",1686787200000,"0.00010000",1686782940000
"LTCUSDT","72.88000000","72.90742593","73.01226499","-0.00007756",1686787200000,"0.00010000",1686782940000
"SUSHIUSDT","0.55298777","0.55367814","0.55501963","-0.00006080",1686787200000,"0.00010000",1686782940000
"SUIUSDT","0.64040000","0.64058683","0.64359163","-0.00013236",1686787200000,"0.00010000",1686782940000
"ARBUSDT","0.93389160","0.93446049","0.94056358","-0.00007635",1686787200000,"0.00010000",1686782940000
"TRXBUSD","0.07067300","0.07073019","0.07094635","-0.00031094",1686787200000,"0.00010000",1686782940000
"CHRUSDT","0.11180000","0.11190863","0.11244089","0.00010000",1686787200000,"0.00010000",1686782940000
"ETCUSDT","14.67300000","14.67846819","14.70667638","-0.00000189",1686787200000,"0.00010000",1686782940000
"APEBUSD","2.04949617","2.03450341","0","0.00010000",1686787200000,"0.00010000",1686782940000
"ETHBTC","0.06599000","0.06594746","0.06590613","0.00005876",1686787200000,"0",1686782940000
"LQTYUSDT","0.84269780","0.84307458","0.84946978","0.00010000",1686787200000,"0.00010000",1686782940000
"LINAUSDT","0.01487000","0.01488573","0.01494071","-0.00242963",1686787200000,"0.00010000",1686782940000
"ROSEUSDT","0.04389640","0.04392008","0.04429474","-0.00022153",1686787200000,"0.00010000",1686782940000
"XRPBUSD","0.47778016","0.47804321","0.47905173","-0.00006195",1686787200000,"0.00010000",1686782940000
"JOEUSDT","0.29910000","0.29935078","0.30236425","-0.00016720",1686787200000,"0.00010000",1686782940000
"BCHUSDT","101.33445355","101.35440735","101.53214655","-0.00043473",1686787200000,"0.00010000",1686782940000
"BNBBUSD","236.14910475","236.36280240","236.79660295","-0.00027839",1686787200000,"0",1686782940000
"ADAUSDT","0.26075722","0.26095570","0.26191119","-0.00010165",1686787200000,"0.00010000",1686782940000
"SKLUSDT","0.02381000","0.02383941","0.02387734","0.00007895",1686787200000,"0.00010000",1686782940000
"GTCUSDT","0.93490404","0.93614120","0.94437929","0.00005156",1686787200000,"0.00010000",1686782940000
"BNXUSDT","0.25606353","0.25611212","0.25705398","0.00005041",1686787200000,"0.00010000",1686782940000
"ZENUSDT","6.05264340","6.06001101","6.06002564","0.00010000",1686787200000,"0.00010000",1686782940000
"AGIXUSDT","0.19130000","0.19134192","0.19218162","0.00002029",1686787200000,"0.00010000",1686782940000
"EGLDUSDT","29.21000000","29.23569425","29.28495308","0.00004242",1686787200000,"0.00010000",1686782940000
"API3USDT","0.88830020","0.88919737","0.88962135","0.00007767",1686787200000,"0.00010000",1686782940000
"C98USDT","0.12670000","0.12678649","0.12672831","0.00001750",1686787200000,"0.00010000",1686782940000
"JASMYUSDT","0.00341500","0.00341690","0.00342741","-0.00006052",1686787200000,"0.00010000",1686782940000
"AAVEUSDT","51.89000000","51.91289137","52.05368253","-0.00009153",1686787200000,"0.00010000",1686782940000
"GMTBUSD","0.18309742","0.18215335","0","0.00010000",1686787200000,"0.00010000",1686782940000
"ENSUSDT","7.23300000","7.23855189","7.27548773","0.00004804",1686787200000,"0.00010000",1686782940000
"1000SHIBUSDT","0.00655500","0.00655526","0.00654325","-0.00012575",1686787200000,"0.00010000",1686782940000
"1000LUNCUSDT","0.09444000","0.09444852","0.09458197","0.00005953",1686787200000,"0.00010000",1686782940000
"ICXUSDT","0.17450299","0.17468963","0.17591200","0.00005684",1686787200000,"0.00010000",1686782940000
"TUSDT","0.01693000","0.01695226","0.01710236","-0.00001214",1686787200000,"0.00010000",1686782940000
