"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"USDCUSDT","USDCUSDT#1686747660000",1686747660000,"0.9993700","0.9993700","0.9993600","0.9993700","599",1686747719999,"598.6220400",4,"540","539.6598000"
"USDCUSDT","USDCUSDT#1686747720000",1686747720000,"0.9993600","0.9993700","0.9993600","0.9993600","3446",1686747779999,"3443.8270000",7,"3244","3241.9562800"
"USDCUSDT","USDCUSDT#1686747780000",1686747780000,"0.9993600","0.9993700","0.9993600","0.9993700","9214",1686747839999,"9208.1325500",9,"2951","2949.1408700"
"USDCUSDT","USDCUSDT#1686747840000",1686747840000,"0.9993600","0.9993700","0.9993600","0.9993700","1076",1686747899999,"1075.3208000",6,"944","943.4052800"
"USDCUSDT","USDCUSDT#1686747900000",1686747900000,"0.9993700","0.9993700","0.9993700","0.9993700","610",1686747959999,"609.6157000",3,"610","609.6157000"
"USDCUSDT","USDCUSDT#1686747960000",1686747960000,"0.9993600","0.9993700","0.9993600","0.9993700","610",1686748019999,"609.6146100",2,"501","500.6843700"
"USDCUSDT","USDCUSDT#1686748020000",1686748020000,"0.9993600","0.9993600","0.9993600","0.9993600","140",1686748079999,"139.9104000",1,"0","0.0000000"
"USDCUSDT","USDCUSDT#1686748080000",1686748080000,"0.9993600","0.9993600","0.9993600","0.9993600","77",1686748139999,"76.9507200",1,"0","0.0000000"
"USDCUSDT","USDCUSDT#1686748140000",1686748140000,"0.9993600","0.9993600","0.9993600","0.9993600","176",1686748199999,"175.8873600",3,"0","0.0000000"
"USDCUSDT","USDCUSDT#1686748200000",1686748200000,"0.9993700","0.9993700","0.9993600","0.9993700","1145",1686748259999,"1144.2774400",5,"1024","1023.3548800"
"USDCUSDT","USDCUSDT#1686748260000",1686748260000,"0.9993600","0.9993600","0.9993600","0.9993600","4602",1686748319999,"4599.0547200",2,"0","0.0000000"
"USDCUSDT","USDCUSDT#1686748320000",1686748320000,"0.9993600","0.9993600","0.9993600","0.9993600","0",1686748379999,"0.0000000",0,"0","0.0000000"
"USDCUSDT","USDCUSDT#1686748380000",1686748380000,"0.9993600","0.9993700","0.9993600","0.9993700","572",1686748439999,"571.6389300",3,"501","500.6843700"
"USDCUSDT","USDCUSDT#1686748440000",1686748440000,"0.9993700","0.9993700","0.9993700","0.9993700","44",1686748499999,"43.9722800",1,"44","43.9722800"
"USDCUSDT","USDCUSDT#1686748500000",1686748500000,"0.9993700","0.9993700","0.9993600","0.9993700","968",1686748559999,"967.3874300",10,"695","694.5621500"
"USDCUSDT","USDCUSDT#1686748560000",1686748560000,"0.9993700","0.9993700","0.9993700","0.9993700","1163",1686748619999,"1162.2673100",9,"1163","1162.2673100"
"USDCUSDT","USDCUSDT#1686748620000",1686748620000,"0.9993700","0.9993700","0.9993700","0.9993700","1217",1686748679999,"1216.2332900",8,"1217","1216.2332900"
"USDCUSDT","USDCUSDT#1686748680000",1686748680000,"0.9993700","0.9993700","0.9993700","0.9993700","255",1686748739999,"254.8393500",8,"255","254.8393500"
"USDCUSDT","USDCUSDT#1686748740000",1686748740000,"0.9993700","0.9993700","0.9993600","0.9993700","885",1686748799999,"884.4401500",9,"655","654.5873500"
"USDCUSDT","USDCUSDT#1686748800000",1686748800000,"0.9993700","0.9993700","0.9993700","0.9993700","2544",1686748859999,"2542.3972800",13,"2544","2542.3972800"
"USDCUSDT","USDCUSDT#1686748860000",1686748860000,"0.9993700","0.9993700","0.9993700","0.9993700","7241",1686748919999,"7236.4381700",30,"7241","7236.4381700"
"USDCUSDT","USDCUSDT#1686748920000",1686748920000,"0.9993700","0.9993700","0.9993600","0.9993600","3396",1686748979999,"3393.8301200",8,"356","355.7757200"
"USDCUSDT","USDCUSDT#1686748980000",1686748980000,"0.9993700","0.9993700","0.9993700","0.9993700","3577",1686749039999,"3574.7464900",7,"3577","3574.7464900"
"USDCUSDT","USDCUSDT#1686749040000",1686749040000,"0.9993700","0.9993700","0.9993700","0.9993700","232",1686749099999,"231.8538400",3,"232","231.8538400"
"USDCUSDT","USDCUSDT#1686749100000",1686749100000,"0.9993700","0.9993700","0.9993700","0.9993700","2381",1686749159999,"2379.4999700",36,"2381","2379.4999700"
"USDCUSDT","USDCUSDT#1686749160000",1686749160000,"0.9993700","0.9993700","0.9993700","0.9993700","271",1686749219999,"270.8292700",5,"271","270.8292700"
"USDCUSDT","USDCUSDT#1686749220000",1686749220000,"0.9993700","0.9993700","0.9993600","0.9993700","556",1686749279999,"555.6490400",8,"488","487.6925600"
"USDCUSDT","USDCUSDT#1686749280000",1686749280000,"0.9993700","0.9993700","0.9993700","0.9993700","2362",1686749339999,"2360.5119400",8,"2362","2360.5119400"
"USDCUSDT","USDCUSDT#1686749340000",1686749340000,"0.9993700","0.9993700","0.9993700","0.9993700","873",1686749399999,"872.4500100",8,"873","872.4500100"
"USDCUSDT","USDCUSDT#1686749400000",1686749400000,"0.9993700","0.9993700","0.9993600","0.9993700","10111",1686749459999,"10104.6296000",64,"10064","10057.6596800"
"USDCUSDT","USDCUSDT#1686749460000",1686749460000,"0.9993700","0.9993700","0.9993600","0.9993700","8761",1686749519999,"8755.4753200",22,"8236","8230.8113200"
"USDCUSDT","USDCUSDT#1686749520000",1686749520000,"0.9993700","0.9993700","0.9993600","0.9993700","1492",1686749579999,"1491.0518000",11,"668","667.5791600"
"USDCUSDT","USDCUSDT#1686749580000",1686749580000,"0.9993700","0.9993700","0.9993700","0.9993700","1354",1686749639999,"1353.1469800",6,"1354","1353.1469800"
"USDCUSDT","USDCUSDT#1686749640000",1686749640000,"0.9993700","0.9993700","0.9993600","0.9993600","592",1686749699999,"591.6243500",6,"323","322.7965100"
"USDCUSDT","USDCUSDT#1686749700000",1686749700000,"0.9993700","0.9993800","0.9993700","0.9993800","14961",1686749759999,"14951.6092700",68,"14961","14951.6092700"
"USDCUSDT","USDCUSDT#1686749760000",1686749760000,"0.9993800","0.9993800","0.9993800","0.9993800","681",1686749819999,"680.5777800",6,"681","680.5777800"
"USDCUSDT","USDCUSDT#1686749820000",1686749820000,"0.9993800","0.9993800","0.9993700","0.9993800","6999",1686749879999,"6994.6311400",9,"4051","4048.4883800"
"USDCUSDT","USDCUSDT#1686749880000",1686749880000,"0.9993800","0.9993800","0.9993800","0.9993800","1704",1686749939999,"1702.9435200",8,"1704","1702.9435200"
"USDCUSDT","USDCUSDT#1686749940000",1686749940000,"0.9993800","0.9993800","0.9993700","0.9993800","805",1686749999999,"804.4957300",3,"288","287.8214400"
"USDCUSDT","USDCUSDT#1686750000000",1686750000000,"0.9993800","0.9994000","0.9993700","0.9993900","8203",1686750059999,"8197.9945400",54,"3457","3454.9131600"
"USDCUSDT","USDCUSDT#1686750060000",1686750060000,"0.9994000","0.9994000","0.9993900","0.9994000","205",1686750119999,"204.8769200",4,"197","196.8818000"
"USDCUSDT","USDCUSDT#1686750120000",1686750120000,"0.9994000","0.9994000","0.9994000","0.9994000","789",1686750179999,"788.5266000",3,"789","788.5266000"
"USDCUSDT","USDCUSDT#1686750180000",1686750180000,"0.9994000","0.9994000","0.9994000","0.9994000","155",1686750239999,"154.9070000",2,"155","154.9070000"
"USDCUSDT","USDCUSDT#1686750240000",1686750240000,"0.9994000","0.9994000","0.9993900","0.9994000","530",1686750299999,"529.6814900",6,"479","478.7126000"
"USDCUSDT","USDCUSDT#1686750300000",1686750300000,"0.9994000","0.9994000","0.9993900","0.9993900","3011",1686750359999,"3009.1834800",35,"2019","2017.7886000"
