"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"XMRUSDT","XMRUSDT#1686718860000",1686718860000,"135.80","136.05","135.79","135.97","446.403",1686718919999,"60693.18884",277,"398.167","54138.26324"
"XMRUSDT","XMRUSDT#1686718920000",1686718920000,"135.97","136.01","135.95","135.99","59.162",1686718979999,"8045.05374",125,"34.783","4730.06002"
"XMRUSDT","XMRUSDT#1686718980000",1686718980000,"136.00","136.03","135.98","135.99","65.614",1686719039999,"8923.25061",138,"41.130","5593.56793"
"XMRUSDT","XMRUSDT#1686719040000",1686719040000,"135.99","136.00","135.96","135.96","20.617",1686719099999,"2803.57245",44,"6.181","840.50800"
"XMRUSDT","XMRUSDT#1686719100000",1686719100000,"135.97","136.04","135.96","136.02","123.084",1686719159999,"16737.63561",140,"37.150","5051.61205"
"XMRUSDT","XMRUSDT#1686719160000",1686719160000,"136.02","136.15","136.02","136.14","160.865",1686719219999,"21892.51355",128,"139.664","19007.49377"
"XMRUSDT","XMRUSDT#1686719220000",1686719220000,"136.14","136.14","136.10","136.10","111.996",1686719279999,"15245.29015",65,"21.090","2871.04568"
"XMRUSDT","XMRUSDT#1686719280000",1686719280000,"136.10","136.13","136.10","136.13","44.614",1686719339999,"6072.40132",41,"39.388","5361.04199"
"XMRUSDT","XMRUSDT#1686719340000",1686719340000,"136.14","136.15","136.13","136.13","35.443",1686719399999,"4825.23295",42,"16.871","2296.90767"
"XMRUSDT","XMRUSDT#1686719400000",1686719400000,"136.13","136.17","136.13","136.17","54.022",1686719459999,"7355.49448",43,"51.151","6964.66332"
"XMRUSDT","XMRUSDT#1686719460000",1686719460000,"136.17","136.18","136.17","136.18","19.002",1686719519999,"2587.58433",56,"8.199","1116.53982"
"XMRUSDT","XMRUSDT#1686719520000",1686719520000,"136.18","136.23","136.15","136.15","233.775",1686719579999,"31842.11953",102,"102.940","14021.02243"
"XMRUSDT","XMRUSDT#1686719580000",1686719580000,"136.15","136.20","136.15","136.19","23.965",1686719639999,"3263.15569",26,"23.704","3227.61347"
"XMRUSDT","XMRUSDT#1686719640000",1686719640000,"136.19","136.20","136.14","136.16","36.580",1686719699999,"4981.70730",48,"7.980","1086.74354"
"XMRUSDT","XMRUSDT#1686719700000",1686719700000,"136.17","136.17","136.11","136.11","117.300",1686719759999,"15969.02776",101,"20.364","2772.26914"
"XMRUSDT","XMRUSDT#1686719760000",1686719760000,"136.11","136.12","136.10","136.10","42.575",1686719819999,"5794.82203",60,"31.338","4265.42238"
"XMRUSDT","XMRUSDT#1686719820000",1686719820000,"136.10","136.12","136.09","136.12","34.802",1686719879999,"4736.58499",49,"20.867","2840.07716"
