"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ZENUSDT","ZENUSDT#1686697260000",1686697260000,"6.259","6.259","6.247","6.253","3633.3",1686697319999,"22718.8587",218,"2139.2","13377.9945"
"ZENUSDT","ZENUSDT#1686697320000",1686697320000,"6.253","6.253","6.250","6.253","500.8",1686697379999,"3130.9663",62,"48.2","301.3305"
"ZENUSDT","ZENUSDT#1686697380000",1686697380000,"6.252","6.256","6.251","6.256","1501.9",1686697439999,"9390.4059",64,"1094.3","6842.2250"
"ZENUSDT","ZENUSDT#1686697440000",1686697440000,"6.254","6.254","6.245","6.246","4722.7",1686697499999,"29507.2199",127,"1841.5","11504.4136"
"ZENUSDT","ZENUSDT#1686697500000",1686697500000,"6.246","6.250","6.240","6.240","4708.4",1686697559999,"29403.7274",134,"1936.6","12097.4825"
"ZENUSDT","ZENUSDT#1686697560000",1686697560000,"6.240","6.243","6.230","6.230","6365.8",1686697619999,"39684.8008",121,"930.5","5805.3917"
"ZENUSDT","ZENUSDT#1686697620000",1686697620000,"6.230","6.232","6.229","6.232","2443.7",1686697679999,"15223.5222",35,"1761.9","10975.9444"
"ZENUSDT","ZENUSDT#1686697680000",1686697680000,"6.232","6.235","6.231","6.235","418.3",1686697739999,"2607.3566",27,"345.5","2153.6394"
"ZENUSDT","ZENUSDT#1686697740000",1686697740000,"6.235","6.235","6.232","6.235","171.1",1686697799999,"1066.5947",21,"91.9","572.9318"
"ZENUSDT","ZENUSDT#1686697800000",1686697800000,"6.234","6.239","6.234","6.237","369.7",1686697859999,"2305.9257",33,"187.6","1170.0461"
"ZENUSDT","ZENUSDT#1686697860000",1686697860000,"6.236","6.238","6.236","6.238","62.8",1686697919999,"391.6508",14,"62.8","391.6508"
"ZENUSDT","ZENUSDT#1686697920000",1686697920000,"6.238","6.238","6.237","6.238","136.1",1686697979999,"848.9882",12,"132.5","826.5350"
"ZENUSDT","ZENUSDT#1686697980000",1686697980000,"6.238","6.242","6.238","6.241","184.7",1686698039999,"1152.5866",24,"96.7","603.3714"
"ZENUSDT","ZENUSDT#1686698040000",1686698040000,"6.242","6.242","6.242","6.242","14.7",1686698099999,"91.7574",2,"14.7","91.7574"
"ZENUSDT","ZENUSDT#1686698100000",1686698100000,"6.242","6.245","6.242","6.243","162.9",1686698159999,"1017.0607",27,"147.9","923.4157"
"ZENUSDT","ZENUSDT#1686698160000",1686698160000,"6.244","6.244","6.244","6.244","58.9",1686698219999,"367.7716",15,"58.9","367.7716"
"ZENUSDT","ZENUSDT#1686698220000",1686698220000,"6.245","6.247","6.245","6.247","143.1",1686698279999,"893.8666",21,"82.6","515.9529"
