"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"AGIXUSDT","AGIXUSDT#1686837660000",1686837660000,"0.1910000","0.1911000","0.1907000","0.1907000","126407",1686837719999,"24128.6454000",173,"30569","5835.4649000"
"AGIXUSDT","AGIXUSDT#1686837720000",1686837720000,"0.1908000","0.1910000","0.1908000","0.1909000","74354",1686837779999,"14193.5652000",98,"45448","8675.9885000"
"AGIXUSDT","AGIXUSDT#1686837780000",1686837780000,"0.1909000","0.1911000","0.1909000","0.1910000","103412",1686837839999,"19749.1332000",155,"37298","7123.7742000"
"AGIXUSDT","AGIXUSDT#1686837840000",1686837840000,"0.1910000","0.1911000","0.1909000","0.1910000","49627",1686837899999,"9481.2645000",81,"30958","5915.4904000"
"AGIXUSDT","AGIXUSDT#1686837900000",1686837900000,"0.1911000","0.1912000","0.1906000","0.1908000","165353",1686837959999,"31553.4220000",194,"45033","8593.8360000"
"AGIXUSDT","AGIXUSDT#1686837960000",1686837960000,"0.1908000","0.1910000","0.1905000","0.1910000","160826",1686838019999,"30674.3100000",139,"105340","20095.4458000"
"AGIXUSDT","AGIXUSDT#1686838020000",1686838020000,"0.1909000","0.1911000","0.1909000","0.1911000","121570",1686838079999,"23221.3603000",120,"61988","11843.2954000"
"AGIXUSDT","AGIXUSDT#1686838080000",1686838080000,"0.1911000","0.1913000","0.1910000","0.1911000","102558",1686838139999,"19605.6717000",90,"50242","9606.8005000"
"AGIXUSDT","AGIXUSDT#1686838140000",1686838140000,"0.1912000","0.1913000","0.1912000","0.1913000","47731",1686838199999,"9130.0765000",47,"33553","6418.3481000"
"AGIXUSDT","AGIXUSDT#1686838200000",1686838200000,"0.1912000","0.1915000","0.1912000","0.1914000","112755",1686838259999,"21578.0134000",130,"55329","10589.5752000"
"AGIXUSDT","AGIXUSDT#1686838260000",1686838260000,"0.1914000","0.1918000","0.1913000","0.1917000","429357",1686838319999,"82242.6195000",251,"381619","73105.2500000"
