"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798060000",1686798060000,"6.34700","6.35000","6.34600","6.34900","106.7",1686798119999,"677.223800",13,"27.1","172.028100"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798120000",1686798120000,"6.34800","6.34900","6.34600","6.34600","44.3",1686798179999,"281.208900",6,"42.6","270.420700"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798180000",1686798180000,"6.34600","6.34600","6.34500","6.34500","201.0",1686798239999,"1275.544100",6,"1.9","12.055500"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798240000",1686798240000,"6.34600","6.34600","6.34400","6.34400","1.8",1686798299999,"11.421000",2,"0.9","5.709600"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798300000",1686798300000,"6.34600","6.34600","6.34500","6.34600","124.1",1686798359999,"787.423000",38,"8.9","56.479000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798360000",1686798360000,"6.34800","6.35100","6.34800","6.35000","96.8",1686798419999,"614.625700",35,"35.2","223.485100"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798420000",1686798420000,"6.35000","6.35000","6.35000","6.35000","51.0",1686798479999,"323.850000",2,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798480000",1686798480000,"6.34900","6.34900","6.34900","6.34900","29.6",1686798539999,"187.930400",1,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798540000",1686798540000,"6.34800","6.34800","6.34400","6.34400","111.0",1686798599999,"704.187600",5,"110.1","698.474400"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798600000",1686798600000,"6.34300","6.34500","6.34300","6.34500","300.9",1686798659999,"1908.767800",18,"300.9","1908.767800"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798660000",1686798660000,"6.34600","6.34600","6.34500","6.34500","28.3",1686798719999,"179.590800",5,"11.7","74.247200"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798720000",1686798720000,"6.34700","6.34700","6.34600","6.34600","3.1",1686798779999,"19.673800",4,"2.0","12.693200"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798780000",1686798780000,"6.34400","6.34600","6.34400","6.34600","103.5",1686798839999,"656.713500",6,"103.5","656.713500"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798840000",1686798840000,"6.34600","6.34600","6.34500","6.34500","142.5",1686798899999,"904.304200",6,"2.5","15.864200"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798900000",1686798900000,"6.34700","6.34900","6.34700","6.34900","59.9",1686798959999,"380.206300",10,"59.9","380.206300"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686798960000",1686798960000,"6.34800","6.34900","6.34700","6.34900","121.4",1686799019999,"770.673900",8,"38.9","246.963900"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799020000",1686799020000,"6.34800","6.35000","6.34800","6.35000","332.1",1686799079999,"2108.804300",11,"324.6","2061.194300"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799080000",1686799080000,"6.35100","6.35300","6.35100","6.35300","107.7",1686799139999,"684.167100",10,"100.2","636.534600"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799140000",1686799140000,"6.35300","6.35300","6.35300","6.35300","79.1",1686799199999,"502.522300",5,"65.5","416.121500"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799200000",1686799200000,"6.35100","6.35500","6.35100","6.35400","261.5",1686799259999,"1661.660700",41,"125.2","795.614800"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799260000",1686799260000,"6.35200","6.35200","6.34900","6.34900","137.2",1686799319999,"871.282600",8,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799320000",1686799320000,"6.34800","6.34900","6.34800","6.34900","46.0",1686799379999,"292.046500",3,"38.5","244.436500"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799380000",1686799380000,"6.35100","6.35300","6.35100","6.35200","10.8",1686799439999,"68.595600",6,"1.5","9.529500"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799440000",1686799440000,"6.35200","6.35400","6.35100","6.35100","44.4",1686799499999,"282.072900",34,"0.9","5.716800"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799500000",1686799500000,"6.35200","6.35400","6.35200","6.35400","19.3",1686799559999,"122.609600",6,"11.8","74.954600"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799560000",1686799560000,"6.35500","6.35500","6.35500","6.35500","10.0",1686799619999,"63.550000",4,"2.5","15.887500"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799620000",1686799620000,"6.35600","6.36100","6.35600","6.36000","260.3",1686799679999,"1655.360000",55,"237.0","1507.163400"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799680000",1686799680000,"6.36000","6.36000","6.36000","6.36000","15.1",1686799739999,"96.036000",10,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799740000",1686799740000,"6.36000","6.36000","6.35800","6.35800","13.8",1686799799999,"87.745800",6,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799800000",1686799800000,"6.35800","6.36000","6.35800","6.35800","267.4",1686799859999,"1700.345600",12,"259.9","1652.660600"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799860000",1686799860000,"6.35800","6.35800","6.35500","6.35500","272.1",1686799919999,"1729.989300",7,"127.7","811.916600"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799920000",1686799920000,"6.35500","6.35500","6.35400","6.35400","58.7",1686799979999,"372.991200",5,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686799980000",1686799980000,"6.35800","6.35900","6.35800","6.35900","18.0",1686800039999,"114.454500",3,"18.0","114.454500"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686800040000",1686800040000,"6.36000","6.36500","6.36000","6.36500","261.3",1686800099999,"1661.961800",19,"123.6","786.147200"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686800100000",1686800100000,"6.36700","6.37000","6.36700","6.36900","292.8",1686800159999,"1864.698800",24,"236.2","1504.268700"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686800160000",1686800160000,"6.37000","6.37000","6.36500","6.36500","139.3",1686800219999,"887.303500",7,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686800220000",1686800220000,"6.36500","6.36500","6.36200","6.36300","51.6",1686800279999,"328.286700",5,"43.2","274.843200"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686800280000",1686800280000,"6.36200","6.36200","6.36200","6.36200","7.5",1686800339999,"47.715000",2,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686800340000",1686800340000,"6.36200","6.36200","6.36200","6.36200","7.5",1686800399999,"47.715000",3,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686800400000",1686800400000,"6.36300","6.36300","6.36100","6.36100","149.2",1686800459999,"949.085600",12,"9.0","57.258900"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686800460000",1686800460000,"6.35800","6.36000","6.35800","6.36000","47.9",1686800519999,"304.622000",8,"40.4","256.937000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686800520000",1686800520000,"6.36100","6.36300","6.36100","6.36200","61.5",1686800579999,"391.307000",4,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686800580000",1686800580000,"6.36400","6.36700","6.36400","6.36700","12.5",1686800639999,"79.563200",5,"0.9","5.728500"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686800640000",1686800640000,"6.36500","6.36500","6.36500","6.36500","7.6",1686800699999,"48.374000",1,"0.0","0.000000"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686800700000",1686800700000,"6.36300","6.37200","6.36200","6.37200","106.2",1686800759999,"676.389900",16,"48.3","307.526200"
"BLUEBIRDUSDT","BLUEBIRDUSDT#1686800760000",1686800760000,"6.37000","6.37000","6.36900","6.36900","7.7",1686800819999,"49.041400",2,"0.0","0.000000"
