"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ETHUSDT_230630","ETHUSDT_230630#1686783660000",1686783660000,"1653.04","1653.08","1652.66","1653.08","8.193",1686783719999,"13542.93994",18,"1.212","2003.40470"
"ETHUSDT_230630","ETHUSDT_230630#1686783720000",1686783720000,"1653.08","1653.55","1652.51","1653.43","6.408",1686783779999,"10591.98084",15,"1.356","2242.06593"
"ETHUSDT_230630","ETHUSDT_230630#1686783780000",1686783780000,"1653.49","1653.79","1652.37","1652.89","13.535",1686783839999,"22371.06010",30,"7.009","11586.09892"
"ETHUSDT_230630","ETHUSDT_230630#1686783840000",1686783840000,"1652.54","1652.54","1651.65","1651.67","2.139",1686783899999,"3533.40750",10,"1.376","2272.91030"
"ETHUSDT_230630","ETHUSDT_230630#1686783900000",1686783900000,"1651.71","1652.21","1650.33","1650.98","9.282",1686783959999,"15323.27425",32,"5.831","9626.55410"
"ETHUSDT_230630","ETHUSDT_230630#1686783960000",1686783960000,"1650.62","1650.92","1648.44","1650.92","11.176",1686784019999,"18439.03050",25,"0.830","1370.18408"
"ETHUSDT_230630","ETHUSDT_230630#1686784020000",1686784020000,"1650.89","1651.18","1650.53","1651.09","14.699",1686784079999,"24266.13525",31,"3.688","6088.17348"
"ETHUSDT_230630","ETHUSDT_230630#1686784080000",1686784080000,"1650.83","1651.85","1650.14","1650.34","10.608",1686784139999,"17512.17401",28,"5.759","9506.56536"
"ETHUSDT_230630","ETHUSDT_230630#1686784140000",1686784140000,"1650.34","1651.42","1650.34","1650.96","3.539",1686784199999,"5842.92613",12,"1.513","2497.86122"
"ETHUSDT_230630","ETHUSDT_230630#1686784200000",1686784200000,"1650.95","1651.46","1650.58","1650.96","7.068",1686784259999,"11668.47238",25,"1.896","3130.02309"
"ETHUSDT_230630","ETHUSDT_230630#1686784260000",1686784260000,"1651.73","1651.73","1651.26","1651.55","9.178",1686784319999,"15156.80410",14,"7.446","12296.43612"
"ETHUSDT_230630","ETHUSDT_230630#1686784320000",1686784320000,"1650.63","1650.79","1650.63","1650.79","2.845",1686784379999,"4696.35331",4,"2.845","4696.35331"
"ETHUSDT_230630","ETHUSDT_230630#1686784380000",1686784380000,"1650.63","1651.33","1650.62","1650.62","4.488",1686784439999,"7409.18187",14,"0.133","219.57249"
"ETHUSDT_230630","ETHUSDT_230630#1686784440000",1686784440000,"1650.32","1650.41","1649.34","1649.44","11.257",1686784499999,"18575.43176",28,"3.658","6036.20866"
"ETHUSDT_230630","ETHUSDT_230630#1686784500000",1686784500000,"1649.45","1649.45","1648.28","1648.87","6.096",1686784559999,"10051.74939",19,"3.983","6568.24014"
"ETHUSDT_230630","ETHUSDT_230630#1686784560000",1686784560000,"1649.23","1649.42","1649.07","1649.40","2.842",1686784619999,"4687.03588",9,"0.179","295.24618"
"ETHUSDT_230630","ETHUSDT_230630#1686784620000",1686784620000,"1649.40","1649.74","1649.40","1649.74","0.604",1686784679999,"996.37680",4,"0.418","689.52876"
"ETHUSDT_230630","ETHUSDT_230630#1686784680000",1686784680000,"1650.23","1650.69","1650.21","1650.69","20.823",1686784739999,"34367.66269",22,"16.489","27214.87304"
"ETHUSDT_230630","ETHUSDT_230630#1686784740000",1686784740000,"1650.91","1652.60","1650.71","1652.42","7.436",1686784799999,"12280.86061",23,"4.673","7717.22785"
"ETHUSDT_230630","ETHUSDT_230630#1686784800000",1686784800000,"1652.51","1653.32","1651.96","1652.48","9.494",1686784859999,"15689.41176",21,"3.543","5855.25812"
"ETHUSDT_230630","ETHUSDT_230630#1686784860000",1686784860000,"1652.42","1653.20","1652.19","1653.20","13.207",1686784919999,"21826.18171",33,"7.474","12353.30375"
"ETHUSDT_230630","ETHUSDT_230630#1686784920000",1686784920000,"1652.89","1653.07","1652.74","1652.78","3.416",1686784979999,"5646.02420",9,"1.147","1895.85878"
"ETHUSDT_230630","ETHUSDT_230630#1686784980000",1686784980000,"1652.58","1653.19","1652.58","1653.19","2.730",1686785039999,"4512.58835",9,"0.004","6.61168"
"ETHUSDT_230630","ETHUSDT_230630#1686785040000",1686785040000,"1652.91","1652.91","1652.09","1652.25","4.428",1686785099999,"7317.12201",10,"2.610","4312.29558"
"ETHUSDT_230630","ETHUSDT_230630#1686785100000",1686785100000,"1651.93","1652.11","1651.43","1651.76","12.278",1686785159999,"20280.33842",27,"5.312","8774.28777"
"ETHUSDT_230630","ETHUSDT_230630#1686785160000",1686785160000,"1651.99","1652.15","1651.67","1651.67","1.964",1686785219999,"3244.46408",4,"1.964","3244.46408"
"ETHUSDT_230630","ETHUSDT_230630#1686785220000",1686785220000,"1651.04","1651.81","1651.04","1651.30","1.894",1686785279999,"3127.63562",10,"0.576","951.18912"
"ETHUSDT_230630","ETHUSDT_230630#1686785280000",1686785280000,"1651.01","1651.91","1651.01","1651.33","6.237",1686785339999,"10299.50169",16,"5.446","8992.85164"
"ETHUSDT_230630","ETHUSDT_230630#1686785340000",1686785340000,"1651.78","1652.09","1651.76","1651.77","0.822",1686785399999,"1357.85572",9,"0.137","226.29625"
"ETHUSDT_230630","ETHUSDT_230630#1686785400000",1686785400000,"1651.90","1652.60","1651.80","1652.60","6.583",1686785459999,"10875.40772",17,"1.916","3165.59076"
"ETHUSDT_230630","ETHUSDT_230630#1686785460000",1686785460000,"1653.02","1653.39","1653.02","1653.39","4.408",1686785519999,"7287.42996",8,"4.408","7287.42996"
"ETHUSDT_230630","ETHUSDT_230630#1686785520000",1686785520000,"1653.66","1653.68","1653.02","1653.14","0.454",1686785579999,"750.62526",7,"0.191","315.85048"
