"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"GMTUSDT","GMTUSDT#1686801660000",1686801660000,"0.18620","0.18620","0.18590","0.18610","259643",1686801719999,"48310.75870",190,"109268","20335.59340"
"GMTUSDT","GMTUSDT#1686801720000",1686801720000,"0.18600","0.18620","0.18600","0.18620","194874",1686801779999,"36266.84460",132,"129178","24041.05880"
"GMTUSDT","GMTUSDT#1686801780000",1686801780000,"0.18610","0.18630","0.18610","0.18620","165503",1686801839999,"30816.53190",137,"90796","16907.94610"
"GMTUSDT","GMTUSDT#1686801840000",1686801840000,"0.18620","0.18630","0.18620","0.18630","11564",1686801899999,"2153.77230",9,"5555","1034.89650"
"GMTUSDT","GMTUSDT#1686801900000",1686801900000,"0.18630","0.18630","0.18610","0.18610","168870",1686801959999,"31444.06810",122,"75810","14116.58300"
"GMTUSDT","GMTUSDT#1686801960000",1686801960000,"0.18620","0.18620","0.18610","0.18610","15533",1686802019999,"2891.60290",27,"9116","1697.39920"
"GMTUSDT","GMTUSDT#1686802020000",1686802020000,"0.18620","0.18620","0.18600","0.18600","120989",1686802079999,"22512.19100",87,"6683","1244.37460"
"GMTUSDT","GMTUSDT#1686802080000",1686802080000,"0.18600","0.18600","0.18590","0.18600","74404",1686802139999,"13838.74460",114,"52376","9741.93600"
"GMTUSDT","GMTUSDT#1686802140000",1686802140000,"0.18600","0.18600","0.18560","0.18560","90960",1686802199999,"16891.93200",88,"20647","3834.24670"
"GMTUSDT","GMTUSDT#1686802200000",1686802200000,"0.18570","0.18570","0.18560","0.18570","149787",1686802259999,"27814.21960",65,"135825","25222.70250"
"GMTUSDT","GMTUSDT#1686802260000",1686802260000,"0.18580","0.18580","0.18570","0.18570","41736",1686802319999,"7753.91100",29,"35358","6569.51640"
"GMTUSDT","GMTUSDT#1686802320000",1686802320000,"0.18580","0.18580","0.18570","0.18580","5304",1686802379999,"985.45520",9,"5024","933.45920"
"GMTUSDT","GMTUSDT#1686802380000",1686802380000,"0.18580","0.18590","0.18570","0.18590","85095",1686802439999,"15811.62980",67,"83419","15500.39660"
"GMTUSDT","GMTUSDT#1686802440000",1686802440000,"0.18590","0.18590","0.18570","0.18570","66022",1686802499999,"12266.79990",60,"4142","769.76310"
