"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"GMXUSDT","GMXUSDT#1686812460000",1686812460000,"44.060000","44.060000","44.000000","44.030000","82.13",1686812519999,"3615.43890000",40,"37.95","1670.37240000"
"GMXUSDT","GMXUSDT#1686812520000",1686812520000,"44.030000","44.070000","44.030000","44.070000","592.19",1686812579999,"26087.05060000",76,"549.18","24192.89110000"
"GMXUSDT","GMXUSDT#1686812580000",1686812580000,"44.080000","44.080000","43.980000","43.980000","308.54",1686812639999,"13586.42580000",49,"108.93","4797.57310000"
"GMXUSDT","GMXUSDT#1686812640000",1686812640000,"43.980000","44.010000","43.930000","43.950000","252.63",1686812699999,"11105.06410000",84,"124.12","5456.94310000"
"GMXUSDT","GMXUSDT#1686812700000",1686812700000,"43.960000","44.000000","43.950000","43.980000","346.72",1686812759999,"15245.71460000",77,"208.47","9166.72780000"
"GMXUSDT","GMXUSDT#1686812760000",1686812760000,"43.980000","44.020000","43.940000","43.940000","318.45",1686812819999,"14007.15770000",40,"206.74","9092.07460000"
"GMXUSDT","GMXUSDT#1686812820000",1686812820000,"43.950000","43.950000","43.880000","43.900000","261.19",1686812879999,"11466.47350000",86,"130.71","5738.64370000"
"GMXUSDT","GMXUSDT#1686812880000",1686812880000,"43.900000","43.900000","43.840000","43.850000","386.60",1686812939999,"16956.16780000",87,"137.83","6044.81370000"
"GMXUSDT","GMXUSDT#1686812940000",1686812940000,"43.850000","43.860000","43.830000","43.840000","93.41",1686812999999,"4095.39990000",44,"50.02","2193.35450000"
"GMXUSDT","GMXUSDT#1686813000000",1686813000000,"43.840000","43.900000","43.840000","43.860000","478.72",1686813059999,"21002.22300000",61,"327.19","14354.08580000"
"GMXUSDT","GMXUSDT#1686813060000",1686813060000,"43.860000","43.930000","43.860000","43.900000","171.53",1686813119999,"7531.74890000",33,"161.56","7094.05830000"
"GMXUSDT","GMXUSDT#1686813120000",1686813120000,"43.890000","43.890000","43.860000","43.860000","178.34",1686813179999,"7824.46840000",19,"12.85","563.82750000"
"GMXUSDT","GMXUSDT#1686813180000",1686813180000,"43.860000","43.880000","43.860000","43.860000","78.06",1686813239999,"3424.26980000",16,"47.74","2093.98720000"
"GMXUSDT","GMXUSDT#1686813240000",1686813240000,"43.860000","43.900000","43.860000","43.900000","140.74",1686813299999,"6176.45680000",32,"116.44","5109.96730000"
"GMXUSDT","GMXUSDT#1686813300000",1686813300000,"43.900000","43.920000","43.870000","43.870000","153.23",1686813359999,"6724.27320000",26,"18.77","823.97320000"
"GMXUSDT","GMXUSDT#1686813360000",1686813360000,"43.860000","43.950000","43.860000","43.950000","160.78",1686813419999,"7055.71900000",47,"128.32","5631.66980000"
"GMXUSDT","GMXUSDT#1686813420000",1686813420000,"43.960000","44.000000","43.960000","43.980000","93.45",1686813479999,"4110.40080000",29,"57.99","2550.62930000"
"GMXUSDT","GMXUSDT#1686813480000",1686813480000,"43.970000","43.990000","43.970000","43.980000","305.17",1686813539999,"13420.11630000",49,"107.74","4738.75130000"
"GMXUSDT","GMXUSDT#1686813540000",1686813540000,"43.980000","43.990000","43.970000","43.980000","42.63",1686813599999,"1874.78160000",14,"27.13","1193.18910000"
