"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"MINAUSDT","MINAUSDT#1686805260000",1686805260000,"0.3918000","0.3919000","0.3915000","0.3919000","28269",1686805319999,"11073.9942000",85,"12976","5083.3220000"
"MINAUSDT","MINAUSDT#1686805320000",1686805320000,"0.3920000","0.3923000","0.3919000","0.3922000","23579",1686805379999,"9243.6600000",81,"12250","4803.0474000"
"MINAUSDT","MINAUSDT#1686805380000",1686805380000,"0.3923000","0.3927000","0.3922000","0.3927000","30162",1686805439999,"11838.8425000",59,"28045","11008.4747000"
"MINAUSDT","MINAUSDT#1686805440000",1686805440000,"0.3927000","0.3927000","0.3925000","0.3926000","42146",1686805499999,"16548.1684000",47,"22184","8709.4522000"
"MINAUSDT","MINAUSDT#1686805500000",1686805500000,"0.3926000","0.3929000","0.3925000","0.3929000","37835",1686805559999,"14856.1193000",61,"20981","8239.3358000"
"MINAUSDT","MINAUSDT#1686805560000",1686805560000,"0.3930000","0.3930000","0.3927000","0.3927000","28153",1686805619999,"11061.0524000",44,"10578","4155.9287000"
"MINAUSDT","MINAUSDT#1686805620000",1686805620000,"0.3928000","0.3929000","0.3928000","0.3928000","6477",1686805679999,"2544.2879000",34,"4966","1950.7671000"
"MINAUSDT","MINAUSDT#1686805680000",1686805680000,"0.3927000","0.3927000","0.3925000","0.3927000","12864",1686805739999,"5051.4871000",28,"3398","1334.2938000"
"MINAUSDT","MINAUSDT#1686805740000",1686805740000,"0.3928000","0.3929000","0.3927000","0.3929000","10855",1686805799999,"4264.0057000",43,"9451","3712.5699000"
"MINAUSDT","MINAUSDT#1686805800000",1686805800000,"0.3930000","0.3933000","0.3928000","0.3929000","39021",1686805859999,"15338.8929000",81,"25198","9906.8091000"
"MINAUSDT","MINAUSDT#1686805860000",1686805860000,"0.3929000","0.3929000","0.3924000","0.3924000","6328",1686805919999,"2485.2979000",26,"1822","715.8630000"
"MINAUSDT","MINAUSDT#1686805920000",1686805920000,"0.3924000","0.3924000","0.3923000","0.3923000","13493",1686805979999,"5293.3936000",35,"10716","4203.9765000"
"MINAUSDT","MINAUSDT#1686805980000",1686805980000,"0.3923000","0.3925000","0.3922000","0.3925000","9411",1686806039999,"3692.2072000",37,"7585","2975.9634000"
"MINAUSDT","MINAUSDT#1686806040000",1686806040000,"0.3925000","0.3928000","0.3925000","0.3928000","4960",1686806099999,"1947.5812000",19,"4960","1947.5812000"
"MINAUSDT","MINAUSDT#1686806100000",1686806100000,"0.3929000","0.3929000","0.3924000","0.3924000","14810",1686806159999,"5814.7770000",49,"4976","1953.5251000"
"MINAUSDT","MINAUSDT#1686806160000",1686806160000,"0.3925000","0.3926000","0.3920000","0.3921000","21786",1686806219999,"8545.6808000",53,"4359","1710.0386000"
"MINAUSDT","MINAUSDT#1686806220000",1686806220000,"0.3920000","0.3921000","0.3919000","0.3921000","8405",1686806279999,"3294.4436000",26,"6654","2608.1454000"
"MINAUSDT","MINAUSDT#1686806280000",1686806280000,"0.3921000","0.3921000","0.3919000","0.3919000","2892",1686806339999,"1133.4341000",21,"833","326.4527000"
"MINAUSDT","MINAUSDT#1686806340000",1686806340000,"0.3919000","0.3923000","0.3919000","0.3921000","3055",1686806399999,"1197.6724000",18,"2335","915.3604000"
"MINAUSDT","MINAUSDT#1686806400000",1686806400000,"0.3920000","0.3922000","0.3919000","0.3922000","7963",1686806459999,"3121.3749000",23,"4324","1694.9779000"
"MINAUSDT","MINAUSDT#1686806460000",1686806460000,"0.3922000","0.3922000","0.3912000","0.3912000","18711",1686806519999,"7329.7073000",53,"1778","696.5904000"
"MINAUSDT","MINAUSDT#1686806520000",1686806520000,"0.3912000","0.3912000","0.3904000","0.3910000","49078",1686806579999,"19174.8647000",101,"20345","7948.7509000"
"MINAUSDT","MINAUSDT#1686806580000",1686806580000,"0.3910000","0.3913000","0.3909000","0.3913000","11183",1686806639999,"4374.2609000",24,"11168","4368.3974000"
"MINAUSDT","MINAUSDT#1686806640000",1686806640000,"0.3913000","0.3914000","0.3910000","0.3910000","19938",1686806699999,"7799.9545000",54,"4510","1764.2665000"
"MINAUSDT","MINAUSDT#1686806700000",1686806700000,"0.3910000","0.3911000","0.3902000","0.3910000","76705",1686806759999,"29968.5762000",161,"44726","17472.7149000"
"MINAUSDT","MINAUSDT#1686806760000",1686806760000,"0.3910000","0.3911000","0.3909000","0.3911000","10389",1686806819999,"4062.0404000",32,"7043","2753.7544000"
"MINAUSDT","MINAUSDT#1686806820000",1686806820000,"0.3913000","0.3913000","0.3910000","0.3911000","9373",1686806879999,"3665.5235000",33,"3129","1223.7015000"
"MINAUSDT","MINAUSDT#1686806880000",1686806880000,"0.3911000","0.3916000","0.3911000","0.3916000","14406",1686806939999,"5637.2930000",41,"13039","5102.2082000"
