"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"RENUSDT","RENUSDT#1686801660000",1686801660000,"0.05350","0.05351","0.05337","0.05339","700748",1686801719999,"37438.58937",232,"160143","8553.71372"
"RENUSDT","RENUSDT#1686801720000",1686801720000,"0.05339","0.05340","0.05328","0.05332","394527",1686801779999,"21039.72959",161,"131400","7006.61887"
"RENUSDT","RENUSDT#1686801780000",1686801780000,"0.05331","0.05339","0.05331","0.05335","275377",1686801839999,"14691.23602",103,"171460","9148.42751"
"RENUSDT","RENUSDT#1686801840000",1686801840000,"0.05335","0.05338","0.05335","0.05337","99737",1686801899999,"5321.89878",111,"75016","4002.96952"
"RENUSDT","RENUSDT#1686801900000",1686801900000,"0.05337","0.05340","0.05321","0.05321","581447",1686801959999,"30982.10123",235,"148968","7942.10832"
"RENUSDT","RENUSDT#1686801960000",1686801960000,"0.05322","0.05324","0.05319","0.05320","111174",1686802019999,"5917.55811",73,"39391","2096.95170"
"RENUSDT","RENUSDT#1686802020000",1686802020000,"0.05319","0.05322","0.05314","0.05322","328483",1686802079999,"17466.01390",109,"108974","5795.32163"
"RENUSDT","RENUSDT#1686802080000",1686802080000,"0.05322","0.05325","0.05322","0.05324","273195",1686802139999,"14544.57073",98,"226197","12042.18930"
"RENUSDT","RENUSDT#1686802140000",1686802140000,"0.05325","0.05325","0.05317","0.05320","457703",1686802199999,"24363.88878",97,"330917","17618.66359"
"RENUSDT","RENUSDT#1686802200000",1686802200000,"0.05320","0.05323","0.05316","0.05322","239239",1686802259999,"12727.46487",81,"165172","8788.10759"
"RENUSDT","RENUSDT#1686802260000",1686802260000,"0.05322","0.05324","0.05322","0.05324","53383",1686802319999,"2841.84757",36,"36239","1929.27873"
"RENUSDT","RENUSDT#1686802320000",1686802320000,"0.05325","0.05326","0.05324","0.05325","425308",1686802379999,"22648.45851",98,"60561","3225.20423"
"RENUSDT","RENUSDT#1686802380000",1686802380000,"0.05326","0.05334","0.05326","0.05332","317091",1686802439999,"16903.13238",117,"234494","12499.05013"
"RENUSDT","RENUSDT#1686802440000",1686802440000,"0.05332","0.05332","0.05317","0.05317","748357",1686802499999,"39831.80880",154,"18302","973.62742"
"RENUSDT","RENUSDT#1686802500000",1686802500000,"0.05318","0.05325","0.05318","0.05319","426063",1686802559999,"22677.04614",152,"158579","8439.22331"
"RENUSDT","RENUSDT#1686802560000",1686802560000,"0.05320","0.05324","0.05317","0.05318","192828",1686802619999,"10261.05002",88,"76491","4070.11226"
"RENUSDT","RENUSDT#1686802620000",1686802620000,"0.05318","0.05323","0.05318","0.05323","119221",1686802679999,"6342.73503",58,"61609","3277.63724"
"RENUSDT","RENUSDT#1686802680000",1686802680000,"0.05325","0.05329","0.05325","0.05326","121570",1686802739999,"6476.33558",43,"80604","4293.69202"
"RENUSDT","RENUSDT#1686802740000",1686802740000,"0.05326","0.05326","0.05311","0.05311","241399",1686802799999,"12833.36796",103,"59565","3167.78050"
"RENUSDT","RENUSDT#1686802800000",1686802800000,"0.05311","0.05311","0.05302","0.05309","332249",1686802859999,"17631.29145",118,"152190","8077.31780"
"RENUSDT","RENUSDT#1686802860000",1686802860000,"0.05310","0.05313","0.05310","0.05312","236875",1686802919999,"12581.54574",78,"141991","7541.56347"
"RENUSDT","RENUSDT#1686802920000",1686802920000,"0.05312","0.05312","0.05308","0.05308","127097",1686802979999,"6748.60296",39,"8796","467.23293"
