"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"STMXUSDT","STMXUSDT#1686826860000",1686826860000,"0.00327","0.00327","0.00326","0.00326","756801",1686826919999,"2472.03240",18,"486114","1589.59278"
"STMXUSDT","STMXUSDT#1686826920000",1686826920000,"0.00327","0.00327","0.00326","0.00327","763543",1686826979999,"2495.80559",15,"665541","2176.31907"
"STMXUSDT","STMXUSDT#1686826980000",1686826980000,"0.00327","0.00327","0.00326","0.00326","704482",1686827039999,"2302.90800",26,"629668","2059.01436"
"STMXUSDT","STMXUSDT#1686827040000",1686827040000,"0.00326","0.00327","0.00326","0.00326","572142",1686827099999,"1868.11780",19,"293488","959.70576"
"STMXUSDT","STMXUSDT#1686827100000",1686827100000,"0.00326","0.00327","0.00325","0.00326","7202391",1686827159999,"23480.56752",100,"290362","947.52642"
"STMXUSDT","STMXUSDT#1686827160000",1686827160000,"0.00326","0.00327","0.00325","0.00326","5812159",1686827219999,"18946.42914",60,"5437627","17727.98718"
"STMXUSDT","STMXUSDT#1686827220000",1686827220000,"0.00327","0.00327","0.00327","0.00327","9626",1686827279999,"31.47702",2,"9626","31.47702"
"STMXUSDT","STMXUSDT#1686827280000",1686827280000,"0.00327","0.00327","0.00326","0.00326","429112",1686827339999,"1401.24606",6,"234094","765.48738"
"STMXUSDT","STMXUSDT#1686827340000",1686827340000,"0.00326","0.00327","0.00326","0.00326","438467",1686827399999,"1430.49950",10,"109708","358.74516"
"STMXUSDT","STMXUSDT#1686827400000",1686827400000,"0.00326","0.00327","0.00326","0.00326","12616568",1686827459999,"41130.69228",118,"6716035","21894.95470"
"STMXUSDT","STMXUSDT#1686827460000",1686827460000,"0.00327","0.00327","0.00327","0.00327","10522",1686827519999,"34.40694",1,"10522","34.40694"
"STMXUSDT","STMXUSDT#1686827520000",1686827520000,"0.00326","0.00327","0.00326","0.00327","314540",1686827579999,"1027.54337",8,"214297","700.75119"
"STMXUSDT","STMXUSDT#1686827580000",1686827580000,"0.00327","0.00327","0.00325","0.00325","8314413",1686827639999,"27084.87516",78,"282449","922.58257"
"STMXUSDT","STMXUSDT#1686827640000",1686827640000,"0.00325","0.00326","0.00325","0.00325","5079672",1686827699999,"16508.96478",54,"239808","779.40678"
"STMXUSDT","STMXUSDT#1686827700000",1686827700000,"0.00324","0.00326","0.00324","0.00326","9588204",1686827759999,"31161.68049",82,"7940111","25805.76161"
"STMXUSDT","STMXUSDT#1686827760000",1686827760000,"0.00325","0.00325","0.00325","0.00325","12325018",1686827819999,"40056.30850",82,"4183817","13597.40525"
"STMXUSDT","STMXUSDT#1686827820000",1686827820000,"0.00324","0.00326","0.00324","0.00325","14903960",1686827879999,"48434.51120",105,"6958648","22615.63678"
"STMXUSDT","STMXUSDT#1686827880000",1686827880000,"0.00325","0.00326","0.00325","0.00325","13243862",1686827939999,"43042.69200",68,"8521305","27694.38175"
"STMXUSDT","STMXUSDT#1686827940000",1686827940000,"0.00326","0.00326","0.00326","0.00326","472300",1686827999999,"1539.69800",6,"472300","1539.69800"
"STMXUSDT","STMXUSDT#1686828000000",1686828000000,"0.00326","0.00327","0.00326","0.00327","5380784",1686828059999,"17542.58399",32,"5380784","17542.58399"
