"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"UNFIUSDT","UNFIUSDT#1686812460000",1686812460000,"3.185","3.192","3.183","3.191","3077.3",1686812519999,"9805.4150",69,"2288.9","7294.7355"
"UNFIUSDT","UNFIUSDT#1686812520000",1686812520000,"3.192","3.193","3.190","3.192","2654.9",1686812579999,"8475.8823",81,"946.5","3021.6421"
"UNFIUSDT","UNFIUSDT#1686812580000",1686812580000,"3.192","3.193","3.185","3.186","3382.1",1686812639999,"10782.5691",67,"1274.2","4061.7465"
"UNFIUSDT","UNFIUSDT#1686812640000",1686812640000,"3.185","3.186","3.183","3.184","1650.2",1686812699999,"5255.7379",47,"942.6","3002.5029"
"UNFIUSDT","UNFIUSDT#1686812700000",1686812700000,"3.184","3.187","3.182","3.184","1769.2",1686812759999,"5633.0601",46,"832.5","2650.8611"
"UNFIUSDT","UNFIUSDT#1686812760000",1686812760000,"3.186","3.189","3.179","3.179","2318.2",1686812819999,"7383.4722",58,"527.4","1679.6831"
"UNFIUSDT","UNFIUSDT#1686812820000",1686812820000,"3.179","3.180","3.169","3.173","6398.7",1686812879999,"20308.5553",158,"2625.1","8331.3231"
"UNFIUSDT","UNFIUSDT#1686812880000",1686812880000,"3.172","3.172","3.163","3.166","5718.1",1686812939999,"18107.5934",144,"2665.5","8442.1830"
"UNFIUSDT","UNFIUSDT#1686812940000",1686812940000,"3.166","3.168","3.162","3.166","4317.3",1686812999999,"13662.3011",92,"2585.5","8183.4066"
"UNFIUSDT","UNFIUSDT#1686813000000",1686813000000,"3.166","3.180","3.165","3.173","6687.8",1686813059999,"21226.4649",130,"2919.9","9264.0240"
"UNFIUSDT","UNFIUSDT#1686813060000",1686813060000,"3.174","3.180","3.174","3.179","2476.8",1686813119999,"7871.2080",42,"1209.2","3842.5705"
"UNFIUSDT","UNFIUSDT#1686813120000",1686813120000,"3.180","3.182","3.179","3.181","1636.2",1686813179999,"5204.5603",34,"786.2","2500.9910"
"UNFIUSDT","UNFIUSDT#1686813180000",1686813180000,"3.182","3.183","3.182","3.182","1295.5",1686813239999,"4122.8999",25,"546.5","1739.1573"
"UNFIUSDT","UNFIUSDT#1686813240000",1686813240000,"3.182","3.187","3.182","3.187","1011.0",1686813299999,"3219.6341",21,"866.5","2759.3312"
"UNFIUSDT","UNFIUSDT#1686813300000",1686813300000,"3.187","3.187","3.183","3.184","2310.9",1686813359999,"7361.4944",62,"932.2","2969.9331"
"UNFIUSDT","UNFIUSDT#1686813360000",1686813360000,"3.184","3.192","3.182","3.190","2522.8",1686813419999,"8042.2714",44,"1430.7","4559.9476"
"UNFIUSDT","UNFIUSDT#1686813420000",1686813420000,"3.190","3.194","3.190","3.192","3711.8",1686813479999,"11848.0589",73,"1904.1","6078.6600"
"UNFIUSDT","UNFIUSDT#1686813480000",1686813480000,"3.191","3.191","3.189","3.189","784.6",1686813539999,"2502.7812",14,"14.1","44.9649"
"UNFIUSDT","UNFIUSDT#1686813540000",1686813540000,"3.189","3.189","3.188","3.188","325.0",1686813599999,"1036.2357",9,"189.3","603.4884"
"UNFIUSDT","UNFIUSDT#1686813600000",1686813600000,"3.189","3.193","3.188","3.192","2381.2",1686813659999,"7598.3836",33,"1037.9","3311.0075"
"UNFIUSDT","UNFIUSDT#1686813660000",1686813660000,"3.194","3.194","3.191","3.192","1263.0",1686813719999,"4033.3521",23,"260.8","832.8996"
"UNFIUSDT","UNFIUSDT#1686813720000",1686813720000,"3.192","3.194","3.192","3.194","479.5",1686813779999,"1530.9822",14,"479.5","1530.9822"
"UNFIUSDT","UNFIUSDT#1686813780000",1686813780000,"3.195","3.199","3.195","3.199","1696.7",1686813839999,"5425.5864",35,"1688.4","5399.0513"
"UNFIUSDT","UNFIUSDT#1686813840000",1686813840000,"3.200","3.204","3.200","3.204","1535.2",1686813899999,"4915.2707",49,"910.7","2915.9611"
"UNFIUSDT","UNFIUSDT#1686813900000",1686813900000,"3.202","3.202","3.197","3.197","1721.2",1686813959999,"5507.0981",53,"392.5","1255.5000"
"UNFIUSDT","UNFIUSDT#1686813960000",1686813960000,"3.196","3.199","3.196","3.199","1177.7",1686814019999,"3765.7873",32,"896.5","2866.7707"
"UNFIUSDT","UNFIUSDT#1686814020000",1686814020000,"3.198","3.199","3.198","3.199","234.2",1686814079999,"749.1605",15,"188.9","604.2911"
"UNFIUSDT","UNFIUSDT#1686814080000",1686814080000,"3.199","3.199","3.196","3.199","3114.6",1686814139999,"9961.6942",54,"1337.9","4278.6506"
"UNFIUSDT","UNFIUSDT#1686814140000",1686814140000,"3.198","3.198","3.196","3.196","339.0",1686814199999,"1083.8871",15,"0.0","0.0000"
"UNFIUSDT","UNFIUSDT#1686814200000",1686814200000,"3.196","3.200","3.193","3.200","3444.5",1686814259999,"11007.4944",63,"2771.5","8856.7280"
"UNFIUSDT","UNFIUSDT#1686814260000",1686814260000,"3.200","3.201","3.199","3.200","2947.5",1686814319999,"9433.3975",79,"1341.7","4294.0520"
"UNFIUSDT","UNFIUSDT#1686814320000",1686814320000,"3.201","3.206","3.201","3.206","2809.6",1686814379999,"9001.6962",35,"2806.0","8990.1618"
"UNFIUSDT","UNFIUSDT#1686814380000",1686814380000,"3.206","3.206","3.204","3.204","1734.9",1686814439999,"5559.7570",62,"398.3","1276.3274"
"UNFIUSDT","UNFIUSDT#1686814440000",1686814440000,"3.203","3.206","3.202","3.202","1897.2",1686814499999,"6078.5604",49,"979.9","3139.9607"
"UNFIUSDT","UNFIUSDT#1686814500000",1686814500000,"3.204","3.204","3.201","3.201","602.0",1686814559999,"1927.6858",14,"166.7","533.7812"
"UNFIUSDT","UNFIUSDT#1686814560000",1686814560000,"3.202","3.202","3.201","3.201","862.2",1686814619999,"2760.5603",24,"90.9","291.0410"
"UNFIUSDT","UNFIUSDT#1686814620000",1686814620000,"3.200","3.201","3.200","3.201","177.3",1686814679999,"567.4181",10,"119.2","381.4400"
"UNFIUSDT","UNFIUSDT#1686814680000",1686814680000,"3.201","3.202","3.200","3.202","1034.3",1686814739999,"3310.9495",35,"369.8","1183.8937"
"UNFIUSDT","UNFIUSDT#1686814740000",1686814740000,"3.202","3.205","3.202","3.203","816.7",1686814799999,"2616.6841",20,"577.7","1850.8599"
"UNFIUSDT","UNFIUSDT#1686814800000",1686814800000,"3.204","3.208","3.204","3.208","1023.5",1686814859999,"3281.1320",36,"687.9","2205.1984"
"UNFIUSDT","UNFIUSDT#1686814860000",1686814860000,"3.209","3.209","3.203","3.203","2169.7",1686814919999,"6955.4832",40,"49.7","159.2451"
"UNFIUSDT","UNFIUSDT#1686814920000",1686814920000,"3.204","3.208","3.203","3.208","2291.9",1686814979999,"7345.5629",58,"1772.9","5682.6940"
"UNFIUSDT","UNFIUSDT#1686814980000",1686814980000,"3.207","3.208","3.207","3.208","1053.3",1686815039999,"3378.1115",19,"499.5","1602.0749"
"UNFIUSDT","UNFIUSDT#1686815040000",1686815040000,"3.208","3.214","3.208","3.212","8452.8",1686815099999,"27145.3105",117,"6859.1","22028.1186"
"UNFIUSDT","UNFIUSDT#1686815100000",1686815100000,"3.212","3.212","3.209","3.210","3903.1",1686815159999,"12530.1103",77,"1593.1","5114.1914"
"UNFIUSDT","UNFIUSDT#1686815160000",1686815160000,"3.211","3.211","3.210","3.210","740.3",1686815219999,"2376.8891",23,"254.2","816.2283"
"UNFIUSDT","UNFIUSDT#1686815220000",1686815220000,"3.209","3.210","3.208","3.210","472.8",1686815279999,"1517.2258",16,"178.7","573.5483"
"UNFIUSDT","UNFIUSDT#1686815280000",1686815280000,"3.209","3.211","3.208","3.211","2058.4",1686815339999,"6606.1705",51,"1143.1","3668.9735"
"UNFIUSDT","UNFIUSDT#1686815340000",1686815340000,"3.210","3.211","3.210","3.210","1035.6",1686815399999,"3324.2913",17,"552.3","1772.8983"
"UNFIUSDT","UNFIUSDT#1686815400000",1686815400000,"3.211","3.211","3.208","3.208","1533.4",1686815459999,"4920.9312",39,"364.5","1170.1132"
"UNFIUSDT","UNFIUSDT#1686815460000",1686815460000,"3.208","3.210","3.208","3.210","1125.3",1686815519999,"3611.4900",25,"284.0","911.1953"
"UNFIUSDT","UNFIUSDT#1686815520000",1686815520000,"3.210","3.210","3.208","3.210","1225.5",1686815579999,"3932.1468",29,"806.1","2586.4885"
"UNFIUSDT","UNFIUSDT#1686815580000",1686815580000,"3.210","3.210","3.206","3.206","2118.9",1686815639999,"6797.2426",38,"575.2","1845.2542"
"UNFIUSDT","UNFIUSDT#1686815640000",1686815640000,"3.207","3.208","3.206","3.208","652.7",1686815699999,"2093.3501",27,"314.5","1008.7482"
"UNFIUSDT","UNFIUSDT#1686815700000",1686815700000,"3.207","3.207","3.203","3.204","1898.0",1686815759999,"6082.5716",34,"1226.7","3930.8736"
"UNFIUSDT","UNFIUSDT#1686815760000",1686815760000,"3.205","3.207","3.205","3.207","459.7",1686815819999,"1473.8115",23,"266.6","854.6274"
"UNFIUSDT","UNFIUSDT#1686815820000",1686815820000,"3.205","3.205","3.204","3.205","879.3",1686815879999,"2818.1018",33,"192.2","616.0010"
"UNFIUSDT","UNFIUSDT#1686815880000",1686815880000,"3.204","3.204","3.201","3.204","2487.1",1686815939999,"7964.8640",65,"1168.0","3740.5581"
"UNFIUSDT","UNFIUSDT#1686815940000",1686815940000,"3.205","3.208","3.205","3.207","766.0",1686815999999,"2456.3605",19,"492.6","1579.5667"
"UNFIUSDT","UNFIUSDT#1686816000000",1686816000000,"3.207","3.207","3.202","3.204","3792.2",1686816059999,"12151.2265",76,"2069.3","6629.7323"
