"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ASTRUSDT","ASTRUSDT#1686942060000",1686942060000,"0.0388000","0.0388000","0.0387400","0.0387600","137323",1686942119999,"5326.0801200",96,"55703","2160.5985700"
"ASTRUSDT","ASTRUSDT#1686942120000",1686942120000,"0.0387600","0.0387800","0.0387500","0.0387700","71456",1686942179999,"2770.2405600",82,"58880","2282.7045600"
"ASTRUSDT","ASTRUSDT#1686942180000",1686942180000,"0.0387800","0.0387800","0.0387500","0.0387600","60364",1686942239999,"2339.8273000",98,"44997","1744.1239100"
"ASTRUSDT","ASTRUSDT#1686942240000",1686942240000,"0.0387500","0.0387600","0.0387500","0.0387600","27798",1686942299999,"1077.4116900",30,"18342","710.9359200"
"ASTRUSDT","ASTRUSDT#1686942300000",1686942300000,"0.0387600","0.0387800","0.0387400","0.0387600","115511",1686942359999,"4478.2727500",136,"86163","3340.7868700"
"ASTRUSDT","ASTRUSDT#1686942360000",1686942360000,"0.0387500","0.0387500","0.0387100","0.0387200","187452",1686942419999,"7260.2688600",123,"29818","1154.8659700"
"ASTRUSDT","ASTRUSDT#1686942420000",1686942420000,"0.0387100","0.0387100","0.0385900","0.0386200","487588",1686942479999,"18847.4761900",178,"108180","4178.9768900"
"ASTRUSDT","ASTRUSDT#1686942480000",1686942480000,"0.0386100","0.0386200","0.0385500","0.0386000","286012",1686942539999,"11035.2562400",107,"68938","2660.7435000"
"ASTRUSDT","ASTRUSDT#1686942540000",1686942540000,"0.0386000","0.0386100","0.0385700","0.0386000","162282",1686942599999,"6263.0631200",55,"118546","4575.2698800"
"ASTRUSDT","ASTRUSDT#1686942600000",1686942600000,"0.0386000","0.0386500","0.0386000","0.0386500","89163",1686942659999,"3443.7895800",57,"58505","2259.6202400"
"ASTRUSDT","ASTRUSDT#1686942660000",1686942660000,"0.0386300","0.0386300","0.0386200","0.0386200","13345",1686942719999,"515.5171500",12,"1700","65.6710000"
"ASTRUSDT","ASTRUSDT#1686942720000",1686942720000,"0.0386200","0.0386200","0.0386200","0.0386200","16771",1686942779999,"647.6960200",16,"0","0.0000000"
"ASTRUSDT","ASTRUSDT#1686942780000",1686942780000,"0.0386200","0.0386200","0.0385900","0.0385900","113621",1686942839999,"4385.8756200",26,"8647","333.7742000"
