"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"AVAXUSDT","AVAXUSDT#1686880860000",1686880860000,"11.4160","11.4200","11.4140","11.4190","4240",1686880919999,"48409.8020",157,"2894","33043.4770"
"AVAXUSDT","AVAXUSDT#1686880920000",1686880920000,"11.4200","11.4270","11.4200","11.4260","3512",1686880979999,"40120.5480",184,"2985","34099.9970"
"AVAXUSDT","AVAXUSDT#1686880980000",1686880980000,"11.4250","11.4280","11.4210","11.4210","4837",1686881039999,"55263.5150",282,"2603","29741.0700"
"AVAXUSDT","AVAXUSDT#1686881040000",1686881040000,"11.4200","11.4270","11.4190","11.4270","5037",1686881099999,"57542.2320",146,"4320","49353.7710"
"AVAXUSDT","AVAXUSDT#1686881100000",1686881100000,"11.4270","11.4280","11.4250","11.4280","4369",1686881159999,"49921.1410",188,"3830","43762.7300"
"AVAXUSDT","AVAXUSDT#1686881160000",1686881160000,"11.4280","11.4280","11.4150","11.4160","5896",1686881219999,"67333.6260",262,"2533","28922.5130"
"AVAXUSDT","AVAXUSDT#1686881220000",1686881220000,"11.4160","11.4250","11.4130","11.4250","4393",1686881279999,"50160.2720",209,"3593","41026.9880"
"AVAXUSDT","AVAXUSDT#1686881280000",1686881280000,"11.4240","11.4310","11.4230","11.4290","4335",1686881339999,"49538.8730",201,"3433","39230.8130"
"AVAXUSDT","AVAXUSDT#1686881340000",1686881340000,"11.4300","11.4310","11.4270","11.4280","3293",1686881399999,"37635.1590",123,"2598","29691.8460"
"AVAXUSDT","AVAXUSDT#1686881400000",1686881400000,"11.4280","11.4310","11.4260","11.4260","3876",1686881459999,"44293.5570",133,"3402","38876.7790"
"AVAXUSDT","AVAXUSDT#1686881460000",1686881460000,"11.4260","11.4330","11.4250","11.4330","4212",1686881519999,"48141.1170",183,"3273","37408.5860"
"AVAXUSDT","AVAXUSDT#1686881520000",1686881520000,"11.4320","11.4420","11.4300","11.4410","5501",1686881579999,"62910.5080",219,"4168","47664.8990"
"AVAXUSDT","AVAXUSDT#1686881580000",1686881580000,"11.4410","11.4440","11.4270","11.4290","7343",1686881639999,"83961.1890",187,"4476","51175.3540"
"AVAXUSDT","AVAXUSDT#1686881640000",1686881640000,"11.4280","11.4290","11.4180","11.4200","7778",1686881699999,"88833.0430",158,"6532","74601.0120"
"AVAXUSDT","AVAXUSDT#1686881700000",1686881700000,"11.4200","11.4230","11.4100","11.4110","5776",1686881759999,"65936.3870",152,"3580","40867.5250"
"AVAXUSDT","AVAXUSDT#1686881760000",1686881760000,"11.4110","11.4200","11.4100","11.4190","4582",1686881819999,"52300.6560",152,"4126","47096.7740"
"AVAXUSDT","AVAXUSDT#1686881820000",1686881820000,"11.4200","11.4360","11.4170","11.4360","4875",1686881879999,"55708.7830",199,"4273","48829.1440"
"AVAXUSDT","AVAXUSDT#1686881880000",1686881880000,"11.4350","11.4440","11.4350","11.4390","4091",1686881939999,"46804.8590",138,"3715","42503.1470"
"AVAXUSDT","AVAXUSDT#1686881940000",1686881940000,"11.4390","11.4440","11.4380","11.4400","4649",1686881999999,"53186.2790",116,"3937","45040.9010"
"AVAXUSDT","AVAXUSDT#1686882000000",1686882000000,"11.4390","11.4450","11.4370","11.4410","3363",1686882059999,"38483.9860",97,"3011","34456.7250"
"AVAXUSDT","AVAXUSDT#1686882060000",1686882060000,"11.4400","11.4420","11.4400","11.4410","2042",1686882119999,"23362.0960",80,"1497","17127.1780"
"AVAXUSDT","AVAXUSDT#1686882120000",1686882120000,"11.4420","11.4420","11.4360","11.4370","1451",1686882179999,"16597.0930",45,"509","5823.0770"
"AVAXUSDT","AVAXUSDT#1686882180000",1686882180000,"11.4370","11.4370","11.4360","11.4360","1587",1686882239999,"18150.5010",47,"1403","16046.1050"
