"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BTCUSDT_230630","BTCUSDT_230630#1686877260000",1686877260000,"25493.4","25507.1","25483.7","25507.1","2.263",1686877319999,"57684.1148",35,"1.725","43967.9834"
"BTCUSDT_230630","BTCUSDT_230630#1686877320000",1686877320000,"25507.2","25507.2","25495.4","25498.1","0.514",1686877379999,"13106.5504",15,"0.164","4181.4905"
"BTCUSDT_230630","BTCUSDT_230630#1686877380000",1686877380000,"25503.7","25503.8","25490.9","25491.2","0.260",1686877439999,"6629.3477",9,"0.120","3059.5129"
"BTCUSDT_230630","BTCUSDT_230630#1686877440000",1686877440000,"25499.7","25500.5","25491.4","25491.4","0.710",1686877499999,"18103.2168",17,"0.238","6068.5259"
"BTCUSDT_230630","BTCUSDT_230630#1686877500000",1686877500000,"25493.0","25499.3","25490.0","25490.0","0.696",1686877559999,"17743.0095",18,"0.468","11930.7556"
"BTCUSDT_230630","BTCUSDT_230630#1686877560000",1686877560000,"25487.2","25505.2","25487.2","25505.2","0.412",1686877619999,"10505.8531",11,"0.267","6808.0943"
"BTCUSDT_230630","BTCUSDT_230630#1686877620000",1686877620000,"25502.4","25502.4","25502.4","25502.4","0.104",1686877679999,"2652.2496",3,"0.103","2626.7472"
"BTCUSDT_230630","BTCUSDT_230630#1686877680000",1686877680000,"25505.3","25505.7","25501.5","25505.7","0.058",1686877739999,"1479.2092",7,"0.043","1096.6569"
"BTCUSDT_230630","BTCUSDT_230630#1686877740000",1686877740000,"25503.7","25503.8","25494.6","25500.9","1.931",1686877799999,"49245.4224",23,"0.735","18742.8786"
"BTCUSDT_230630","BTCUSDT_230630#1686877800000",1686877800000,"25502.0","25502.0","25495.2","25496.4","0.069",1686877859999,"1759.3351",5,"0.018","458.9912"
"BTCUSDT_230630","BTCUSDT_230630#1686877860000",1686877860000,"25496.4","25496.4","25496.4","25496.4","0.000",1686877919999,"0.0000",0,"0.000","0.0000"
"BTCUSDT_230630","BTCUSDT_230630#1686877920000",1686877920000,"25508.3","25509.9","25507.3","25507.3","0.281",1686877979999,"7168.0674",8,"0.000","0.0000"
"BTCUSDT_230630","BTCUSDT_230630#1686877980000",1686877980000,"25511.5","25511.5","25492.0","25492.0","0.304",1686878039999,"7750.8939",8,"0.172","4385.5990"
"BTCUSDT_230630","BTCUSDT_230630#1686878040000",1686878040000,"25490.2","25494.5","25490.2","25494.5","0.167",1686878099999,"4257.5426",3,"0.164","4181.0720"
"BTCUSDT_230630","BTCUSDT_230630#1686878100000",1686878100000,"25500.1","25508.9","25500.1","25505.7","0.452",1686878159999,"11527.8844",13,"0.239","6095.1213"
"BTCUSDT_230630","BTCUSDT_230630#1686878160000",1686878160000,"25502.9","25508.2","25496.5","25508.2","1.047",1686878219999,"26699.4037",16,"0.169","4310.1174"
"BTCUSDT_230630","BTCUSDT_230630#1686878220000",1686878220000,"25506.4","25508.0","25506.4","25508.0","0.020",1686878279999,"510.1440",3,"0.010","255.0640"
"BTCUSDT_230630","BTCUSDT_230630#1686878280000",1686878280000,"25499.9","25499.9","25499.7","25499.7","0.150",1686878339999,"3824.9836",2,"0.007","178.4979"
"BTCUSDT_230630","BTCUSDT_230630#1686878340000",1686878340000,"25501.2","25501.5","25501.2","25501.4","0.280",1686878399999,"7140.3750",4,"0.163","4156.7099"
"BTCUSDT_230630","BTCUSDT_230630#1686878400000",1686878400000,"25501.4","25501.4","25501.4","25501.4","0.000",1686878459999,"0.0000",0,"0.000","0.0000"
"BTCUSDT_230630","BTCUSDT_230630#1686878460000",1686878460000,"25501.6","25508.6","25501.6","25508.6","0.194",1686878519999,"4948.2920",3,"0.028","714.0448"
"BTCUSDT_230630","BTCUSDT_230630#1686878520000",1686878520000,"25515.8","25515.8","25511.9","25515.4","0.063",1686878579999,"1607.4126",5,"0.044","1122.6852"
"BTCUSDT_230630","BTCUSDT_230630#1686878580000",1686878580000,"25515.4","25515.4","25515.4","25515.4","0.000",1686878639999,"0.0000",0,"0.000","0.0000"
"BTCUSDT_230630","BTCUSDT_230630#1686878640000",1686878640000,"25505.5","25505.5","25505.5","25505.5","0.001",1686878699999,"25.5055",1,"0.000","0.0000"
"BTCUSDT_230630","BTCUSDT_230630#1686878700000",1686878700000,"25511.0","25511.0","25501.3","25501.3","0.145",1686878759999,"3699.0853",2,"0.000","0.0000"
