"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"GTCUSDT","GTCUSDT#1686927660000",1686927660000,"0.934","0.935","0.933","0.934","34695.4",1686927719999,"32406.8904",182,"14882.7","13902.6834"
"GTCUSDT","GTCUSDT#1686927720000",1686927720000,"0.933","0.935","0.933","0.933","25908.0",1686927779999,"24186.0979",151,"8748.5","8168.3368"
"GTCUSDT","GTCUSDT#1686927780000",1686927780000,"0.932","0.933","0.929","0.930","26125.5",1686927839999,"24306.5150",177,"13465.9","12527.6234"
"GTCUSDT","GTCUSDT#1686927840000",1686927840000,"0.930","0.932","0.929","0.930","38149.8",1686927899999,"35505.8064",181,"19444.8","18100.3578"
"GTCUSDT","GTCUSDT#1686927900000",1686927900000,"0.929","0.931","0.929","0.929","12508.1",1686927959999,"11631.9957",101,"6424.3","5975.0791"
"GTCUSDT","GTCUSDT#1686927960000",1686927960000,"0.930","0.930","0.928","0.929","21082.2",1686928019999,"19588.9578",113,"12780.8","11876.8251"
"GTCUSDT","GTCUSDT#1686928020000",1686928020000,"0.929","0.931","0.929","0.929","9601.1",1686928079999,"8925.8728",83,"1901.4","1768.3085"
"GTCUSDT","GTCUSDT#1686928080000",1686928080000,"0.928","0.929","0.928","0.929","15084.9",1686928139999,"14012.0014",61,"5860.2","5444.1258"
"GTCUSDT","GTCUSDT#1686928140000",1686928140000,"0.929","0.929","0.928","0.929","4173.5",1686928199999,"3874.6037",44,"195.8","181.8982"
"GTCUSDT","GTCUSDT#1686928200000",1686928200000,"0.929","0.930","0.928","0.930","5459.1",1686928259999,"5072.6763",24,"5370.8","4990.7209"
"GTCUSDT","GTCUSDT#1686928260000",1686928260000,"0.930","0.932","0.930","0.931","16636.4",1686928319999,"15494.5977",122,"8629.2","8038.8826"
"GTCUSDT","GTCUSDT#1686928320000",1686928320000,"0.932","0.932","0.931","0.932","1857.0",1686928379999,"1730.2203",13,"1353.3","1261.2756"
"GTCUSDT","GTCUSDT#1686928380000",1686928380000,"0.931","0.932","0.930","0.930","6623.5",1686928439999,"6165.0233",47,"9.0","8.3880"
"GTCUSDT","GTCUSDT#1686928440000",1686928440000,"0.931","0.931","0.930","0.930","28237.4",1686928499999,"26287.9751",89,"18080.3","16832.7593"
"GTCUSDT","GTCUSDT#1686928500000",1686928500000,"0.930","0.931","0.928","0.929","74172.2",1686928559999,"68939.9300",255,"17854.4","16596.5064"
"GTCUSDT","GTCUSDT#1686928560000",1686928560000,"0.929","0.929","0.928","0.928","5203.8",1686928619999,"4834.0166",24,"4890.2","4542.9958"
"GTCUSDT","GTCUSDT#1686928620000",1686928620000,"0.928","0.929","0.926","0.927","14408.9",1686928679999,"13367.0553",77,"1468.4","1363.9484"
"GTCUSDT","GTCUSDT#1686928680000",1686928680000,"0.927","0.928","0.926","0.928","21558.3",1686928739999,"19985.1424",81,"14668.6","13601.0230"
"GTCUSDT","GTCUSDT#1686928740000",1686928740000,"0.928","0.928","0.926","0.927","22062.2",1686928799999,"20462.7589",85,"9599.3","8902.6099"
"GTCUSDT","GTCUSDT#1686928800000",1686928800000,"0.927","0.930","0.927","0.929","24921.0",1686928859999,"23149.8879",84,"11199.8","10403.4421"
"GTCUSDT","GTCUSDT#1686928860000",1686928860000,"0.930","0.930","0.929","0.929","3410.3",1686928919999,"3170.0487",15,"1880.0","1748.4000"
"GTCUSDT","GTCUSDT#1686928920000",1686928920000,"0.929","0.930","0.928","0.928","4604.7",1686928979999,"4277.6266",53,"242.0","225.0381"
"GTCUSDT","GTCUSDT#1686928980000",1686928980000,"0.928","0.929","0.928","0.929","3078.8",1686929039999,"2857.1774",11,"51.0","47.3790"
"GTCUSDT","GTCUSDT#1686929040000",1686929040000,"0.928","0.928","0.928","0.928","885.6",1686929099999,"821.8368",17,"0.0","0.0000"
"GTCUSDT","GTCUSDT#1686929100000",1686929100000,"0.929","0.929","0.928","0.929","19921.8",1686929159999,"18507.2872",82,"12194.0","11328.2260"
"GTCUSDT","GTCUSDT#1686929160000",1686929160000,"0.928","0.931","0.928","0.931","18534.9",1686929219999,"17233.8359",61,"17685.4","16445.4999"
"GTCUSDT","GTCUSDT#1686929220000",1686929220000,"0.931","0.931","0.931","0.931","6907.6",1686929279999,"6430.9756",48,"2084.5","1940.6695"
"GTCUSDT","GTCUSDT#1686929280000",1686929280000,"0.930","0.931","0.930","0.930","10808.4",1686929339999,"10062.3735",49,"5783.5","5384.4385"
"GTCUSDT","GTCUSDT#1686929340000",1686929340000,"0.930","0.931","0.930","0.930","1766.2",1686929399999,"1642.6293",14,"63.3","58.9323"
"GTCUSDT","GTCUSDT#1686929400000",1686929400000,"0.930","0.931","0.929","0.929","4905.5",1686929459999,"4561.5916",55,"219.6","204.4139"
"GTCUSDT","GTCUSDT#1686929460000",1686929460000,"0.930","0.930","0.926","0.926","16657.8",1686929519999,"15454.9538",127,"922.7","856.5018"
"GTCUSDT","GTCUSDT#1686929520000",1686929520000,"0.926","0.927","0.925","0.927","17092.0",1686929579999,"15825.4142",105,"12011.4","11124.2536"
"GTCUSDT","GTCUSDT#1686929580000",1686929580000,"0.926","0.928","0.926","0.927","9193.4",1686929639999,"8525.8535",55,"8417.1","7806.3343"
"GTCUSDT","GTCUSDT#1686929640000",1686929640000,"0.928","0.928","0.927","0.927","2824.0",1686929699999,"2619.2328",35,"1384.8","1285.0944"
"GTCUSDT","GTCUSDT#1686929700000",1686929700000,"0.927","0.928","0.927","0.927","10299.5",1686929759999,"9549.2185",72,"6173.0","5723.9530"
"GTCUSDT","GTCUSDT#1686929760000",1686929760000,"0.928","0.928","0.926","0.926","10502.0",1686929819999,"9735.3456",63,"34.3","31.8304"
"GTCUSDT","GTCUSDT#1686929820000",1686929820000,"0.927","0.927","0.925","0.925","6118.3",1686929879999,"5664.5097",46,"10.0","9.2700"
"GTCUSDT","GTCUSDT#1686929880000",1686929880000,"0.926","0.926","0.924","0.924","11459.5",1686929939999,"10599.6917",45,"7070.0","6539.8134"
"GTCUSDT","GTCUSDT#1686929940000",1686929940000,"0.925","0.926","0.924","0.926","5285.7",1686929999999,"4888.7817",37,"4168.2","3855.6698"
"GTCUSDT","GTCUSDT#1686930000000",1686930000000,"0.926","0.926","0.925","0.925","6122.5",1686930059999,"5663.4149",49,"2442.1","2259.0449"
"GTCUSDT","GTCUSDT#1686930060000",1686930060000,"0.925","0.926","0.925","0.926","1972.0",1686930119999,"1825.2485",18,"1148.5","1063.5110"
"GTCUSDT","GTCUSDT#1686930120000",1686930120000,"0.925","0.927","0.925","0.926","10931.7",1686930179999,"10122.3970",50,"4047.6","3748.3739"
"GTCUSDT","GTCUSDT#1686930180000",1686930180000,"0.925","0.926","0.925","0.926","484.1",1686930239999,"447.8212",5,"28.7","26.5762"
"GTCUSDT","GTCUSDT#1686930240000",1686930240000,"0.926","0.926","0.924","0.924","15698.9",1686930299999,"14515.2698",122,"7309.4","6756.5755"
"GTCUSDT","GTCUSDT#1686930300000",1686930300000,"0.923","0.927","0.923","0.927","18648.1",1686930359999,"17238.4234",76,"16083.4","14871.1732"
"GTCUSDT","GTCUSDT#1686930360000",1686930360000,"0.927","0.927","0.925","0.925","10023.7",1686930419999,"9281.5253",56,"494.1","458.0111"
"GTCUSDT","GTCUSDT#1686930420000",1686930420000,"0.925","0.926","0.925","0.926","857.2",1686930479999,"792.9155",12,"5.5","5.0930"
"GTCUSDT","GTCUSDT#1686930480000",1686930480000,"0.926","0.926","0.924","0.925","9681.5",1686930539999,"8952.9674",86,"2684.1","2481.1794"
