"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"HBARUSDT","HBARUSDT#1686949260000",1686949260000,"0.04475","0.04477","0.04474","0.04474","136354",1686949319999,"6102.73606",94,"93711","4194.25481"
"HBARUSDT","HBARUSDT#1686949320000",1686949320000,"0.04475","0.04476","0.04469","0.04469","199610",1686949379999,"8928.53257",101,"46283","2070.99846"
"HBARUSDT","HBARUSDT#1686949380000",1686949380000,"0.04470","0.04473","0.04470","0.04473","80693",1686949439999,"3607.90889",46,"80640","3605.53873"
"HBARUSDT","HBARUSDT#1686949440000",1686949440000,"0.04473","0.04474","0.04470","0.04473","239051",1686949499999,"10691.05037",106,"96490","4315.83267"
"HBARUSDT","HBARUSDT#1686949500000",1686949500000,"0.04474","0.04477","0.04473","0.04475","386640",1686949559999,"17304.75738",90,"159417","7134.68258"
"HBARUSDT","HBARUSDT#1686949560000",1686949560000,"0.04474","0.04474","0.04473","0.04473","146118",1686949619999,"6537.09840",34,"11239","502.75575"
"HBARUSDT","HBARUSDT#1686949620000",1686949620000,"0.04473","0.04475","0.04473","0.04474","61813",1686949679999,"2765.20467",42,"24361","1089.95431"
"HBARUSDT","HBARUSDT#1686949680000",1686949680000,"0.04475","0.04477","0.04474","0.04477","113200",1686949739999,"5066.16785",39,"87143","3900.37767"
"HBARUSDT","HBARUSDT#1686949740000",1686949740000,"0.04477","0.04477","0.04475","0.04476","118101",1686949799999,"5286.04694",37,"27548","1233.17352"
"HBARUSDT","HBARUSDT#1686949800000",1686949800000,"0.04476","0.04478","0.04475","0.04477","162209",1686949859999,"7261.41452",35,"156418","7002.26709"
"HBARUSDT","HBARUSDT#1686949860000",1686949860000,"0.04477","0.04477","0.04475","0.04475","342035",1686949919999,"15311.83121",50,"110794","4959.81321"
"HBARUSDT","HBARUSDT#1686949920000",1686949920000,"0.04476","0.04476","0.04475","0.04475","804",1686949979999,"35.98645",3,"745","33.34620"
"HBARUSDT","HBARUSDT#1686949980000",1686949980000,"0.04475","0.04476","0.04473","0.04473","213654",1686950039999,"9560.51374",46,"22715","1016.71218"
"HBARUSDT","HBARUSDT#1686950040000",1686950040000,"0.04472","0.04472","0.04459","0.04461","365276",1686950099999,"16304.85845",86,"123942","5529.53682"
"HBARUSDT","HBARUSDT#1686950100000",1686950100000,"0.04461","0.04463","0.04458","0.04459","419462",1686950159999,"18709.58432",103,"103256","4607.76916"
"HBARUSDT","HBARUSDT#1686950160000",1686950160000,"0.04460","0.04460","0.04454","0.04460","694721",1686950219999,"30959.74328",119,"322511","14375.59482"
"HBARUSDT","HBARUSDT#1686950220000",1686950220000,"0.04460","0.04460","0.04455","0.04456","192853",1686950279999,"8595.91852",59,"96924","4319.12406"
"HBARUSDT","HBARUSDT#1686950280000",1686950280000,"0.04456","0.04458","0.04453","0.04458","235458",1686950339999,"10490.55992",43,"157517","7018.41788"
"HBARUSDT","HBARUSDT#1686950340000",1686950340000,"0.04458","0.04458","0.04458","0.04458","6798",1686950399999,"303.05484",5,"0","0.00000"
"HBARUSDT","HBARUSDT#1686950400000",1686950400000,"0.04459","0.04460","0.04459","0.04459","45463",1686950459999,"2027.23042",21,"45235","2017.06390"
"HBARUSDT","HBARUSDT#1686950460000",1686950460000,"0.04460","0.04461","0.04456","0.04458","327233",1686950519999,"14592.29491",70,"66443","2962.60861"
"HBARUSDT","HBARUSDT#1686950520000",1686950520000,"0.04458","0.04458","0.04457","0.04458","23695",1686950579999,"1056.31996",15,"23381","1042.32498"
"HBARUSDT","HBARUSDT#1686950580000",1686950580000,"0.04458","0.04458","0.04456","0.04456","70857",1686950639999,"3157.79480",34,"5967","265.90996"
"HBARUSDT","HBARUSDT#1686950640000",1686950640000,"0.04456","0.04458","0.04453","0.04455","246046",1686950699999,"10961.22402",71,"161013","7173.58556"
"HBARUSDT","HBARUSDT#1686950700000",1686950700000,"0.04456","0.04460","0.04453","0.04459","427227",1686950759999,"19038.02705",103,"310319","13829.32601"
"HBARUSDT","HBARUSDT#1686950760000",1686950760000,"0.04459","0.04461","0.04458","0.04459","163615",1686950819999,"7298.05882",43,"75902","3385.54500"
