"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"HOTUSDT","HOTUSDT#1686945660000",1686945660000,"0.001293","0.001294","0.001293","0.001293","3026591",1686945719999,"3916.361447",33,"2979284","3855.193496"
"HOTUSDT","HOTUSDT#1686945720000",1686945720000,"0.001293","0.001294","0.001293","0.001293","146770",1686945779999,"189.835628",10,"62018","80.251292"
"HOTUSDT","HOTUSDT#1686945780000",1686945780000,"0.001293","0.001294","0.001292","0.001292","4540327",1686945839999,"5870.655497",60,"21890","28.325660"
"HOTUSDT","HOTUSDT#1686945840000",1686945840000,"0.001292","0.001292","0.001291","0.001291","3401305",1686945899999,"4394.411572",53,"23178","29.945976"
"HOTUSDT","HOTUSDT#1686945900000",1686945900000,"0.001292","0.001292","0.001291","0.001291","1878685",1686945959999,"2425.537253",29,"154918","200.154056"
"HOTUSDT","HOTUSDT#1686945960000",1686945960000,"0.001291","0.001291","0.001291","0.001291","202914",1686946019999,"261.961974",24,"0","0.000000"
"HOTUSDT","HOTUSDT#1686946020000",1686946020000,"0.001291","0.001291","0.001291","0.001291","345902",1686946079999,"446.559482",26,"0","0.000000"
"HOTUSDT","HOTUSDT#1686946080000",1686946080000,"0.001291","0.001291","0.001291","0.001291","210780",1686946139999,"272.116980",1,"0","0.000000"
"HOTUSDT","HOTUSDT#1686946140000",1686946140000,"0.001291","0.001292","0.001291","0.001291","244847",1686946199999,"316.135786",20,"38309","49.495228"
"HOTUSDT","HOTUSDT#1686946200000",1686946200000,"0.001291","0.001292","0.001291","0.001291","1067527",1686946259999,"1378.200896",48,"23539","30.412388"
"HOTUSDT","HOTUSDT#1686946260000",1686946260000,"0.001291","0.001291","0.001290","0.001290","1945235",1686946319999,"2510.981306",51,"46475","59.999225"
"HOTUSDT","HOTUSDT#1686946320000",1686946320000,"0.001290","0.001290","0.001290","0.001290","287178",1686946379999,"370.459620",33,"0","0.000000"
"HOTUSDT","HOTUSDT#1686946380000",1686946380000,"0.001290","0.001290","0.001290","0.001290","311319",1686946439999,"401.601510",33,"0","0.000000"
"HOTUSDT","HOTUSDT#1686946440000",1686946440000,"0.001290","0.001290","0.001290","0.001290","182300",1686946499999,"235.167000",16,"0","0.000000"
"HOTUSDT","HOTUSDT#1686946500000",1686946500000,"0.001290","0.001292","0.001290","0.001291","4765281",1686946559999,"6151.951994",72,"2981952","3849.707777"
"HOTUSDT","HOTUSDT#1686946560000",1686946560000,"0.001291","0.001291","0.001290","0.001290","1360099",1686946619999,"1755.650307",35,"0","0.000000"
"HOTUSDT","HOTUSDT#1686946620000",1686946620000,"0.001291","0.001291","0.001290","0.001290","540022",1686946679999,"696.729389",22,"101009","130.402619"
"HOTUSDT","HOTUSDT#1686946680000",1686946680000,"0.001290","0.001291","0.001290","0.001290","615689",1686946739999,"794.281357",32,"42547","54.928177"
"HOTUSDT","HOTUSDT#1686946740000",1686946740000,"0.001290","0.001290","0.001290","0.001290","627952",1686946799999,"810.058080",25,"0","0.000000"
"HOTUSDT","HOTUSDT#1686946800000",1686946800000,"0.001290","0.001291","0.001289","0.001289","2077001",1686946859999,"2679.443467",123,"400329","516.563945"
"HOTUSDT","HOTUSDT#1686946860000",1686946860000,"0.001289","0.001289","0.001289","0.001289","223432",1686946919999,"288.003848",3,"0","0.000000"
"HOTUSDT","HOTUSDT#1686946920000",1686946920000,"0.001290","0.001290","0.001289","0.001289","3558770",1686946979999,"4587.285147",41,"30617","39.495930"
"HOTUSDT","HOTUSDT#1686946980000",1686946980000,"0.001289","0.001289","0.001289","0.001289","651410",1686947039999,"839.667490",14,"0","0.000000"
"HOTUSDT","HOTUSDT#1686947040000",1686947040000,"0.001290","0.001290","0.001289","0.001289","703828",1686947099999,"907.454525",16,"220233","284.100570"
"HOTUSDT","HOTUSDT#1686947100000",1686947100000,"0.001289","0.001289","0.001288","0.001288","3949804",1686947159999,"5091.164476",48,"541465","697.948385"
"HOTUSDT","HOTUSDT#1686947160000",1686947160000,"0.001289","0.001290","0.001288","0.001289","6916494",1686947219999,"8915.280486",59,"6132017","7904.216393"
"HOTUSDT","HOTUSDT#1686947220000",1686947220000,"0.001290","0.001290","0.001289","0.001290","1726371",1686947279999,"2226.679973",10,"1387754","1790.202660"
"HOTUSDT","HOTUSDT#1686947280000",1686947280000,"0.001290","0.001290","0.001290","0.001290","2325248",1686947339999,"2999.569920",17,"0","0.000000"
"HOTUSDT","HOTUSDT#1686947340000",1686947340000,"0.001291","0.001291","0.001290","0.001290","878853",1686947399999,"1134.065814",18,"345444","445.968204"
"HOTUSDT","HOTUSDT#1686947400000",1686947400000,"0.001290","0.001291","0.001290","0.001291","2800669",1686947459999,"3614.693908",31,"1830898","2363.689318"
"HOTUSDT","HOTUSDT#1686947460000",1686947460000,"0.001290","0.001291","0.001290","0.001290","660802",1686947519999,"852.512099",6,"77519","100.077029"
"HOTUSDT","HOTUSDT#1686947520000",1686947520000,"0.001290","0.001290","0.001290","0.001290","359727",1686947579999,"464.047830",6,"0","0.000000"
"HOTUSDT","HOTUSDT#1686947580000",1686947580000,"0.001290","0.001290","0.001290","0.001290","467465",1686947639999,"603.029850",6,"0","0.000000"
"HOTUSDT","HOTUSDT#1686947640000",1686947640000,"0.001290","0.001291","0.001290","0.001290","609069",1686947699999,"785.838122",6,"139112","179.593592"
"HOTUSDT","HOTUSDT#1686947700000",1686947700000,"0.001290","0.001291","0.001290","0.001290","3165034",1686947759999,"4084.117679",65,"1223819","1579.950329"
"HOTUSDT","HOTUSDT#1686947760000",1686947760000,"0.001291","0.001291","0.001290","0.001290","1034738",1686947819999,"1335.458477",17,"646457","834.575987"
"HOTUSDT","HOTUSDT#1686947820000",1686947820000,"0.001290","0.001291","0.001290","0.001290","455192",1686947879999,"587.261420",23,"63740","82.288340"
"HOTUSDT","HOTUSDT#1686947880000",1686947880000,"0.001290","0.001290","0.001290","0.001290","493382",1686947939999,"636.462780",28,"0","0.000000"
"HOTUSDT","HOTUSDT#1686947940000",1686947940000,"0.001291","0.001291","0.001290","0.001290","475037",1686947999999,"612.955954",14,"158224","204.267184"
"HOTUSDT","HOTUSDT#1686948000000",1686948000000,"0.001291","0.001291","0.001290","0.001290","1494556",1686948059999,"1928.359752",42,"382512","493.822992"
"HOTUSDT","HOTUSDT#1686948060000",1686948060000,"0.001290","0.001291","0.001290","0.001290","446570",1686948119999,"576.110525",16,"35225","45.475475"
"HOTUSDT","HOTUSDT#1686948120000",1686948120000,"0.001291","0.001291","0.001290","0.001290","654828",1686948179999,"844.883630",8,"155510","200.763410"
"HOTUSDT","HOTUSDT#1686948180000",1686948180000,"0.001290","0.001291","0.001290","0.001291","1069719",1686948239999,"1380.101975",51,"164465","212.324315"
"HOTUSDT","HOTUSDT#1686948240000",1686948240000,"0.001290","0.001291","0.001290","0.001290","2270431",1686948299999,"2928.888864",75,"32874","42.440334"
"HOTUSDT","HOTUSDT#1686948300000",1686948300000,"0.001290","0.001293","0.001290","0.001293","15487738",1686948359999,"20007.024883",83,"11695464","15111.731382"
"HOTUSDT","HOTUSDT#1686948360000",1686948360000,"0.001292","0.001293","0.001292","0.001292","1154562",1686948419999,"1491.773141",30,"79037","102.194841"
"HOTUSDT","HOTUSDT#1686948420000",1686948420000,"0.001292","0.001292","0.001292","0.001292","375066",1686948479999,"484.585272",9,"0","0.000000"
"HOTUSDT","HOTUSDT#1686948480000",1686948480000,"0.001292","0.001292","0.001292","0.001292","115038",1686948539999,"148.629096",4,"0","0.000000"
"HOTUSDT","HOTUSDT#1686948540000",1686948540000,"0.001292","0.001293","0.001292","0.001292","426512",1686948599999,"551.092124",17,"38620","49.935660"
"HOTUSDT","HOTUSDT#1686948600000",1686948600000,"0.001292","0.001293","0.001292","0.001292","578651",1686948659999,"747.871335",22,"254243","328.736199"
"HOTUSDT","HOTUSDT#1686948660000",1686948660000,"0.001293","0.001293","0.001293","0.001293","47648",1686948719999,"61.608864",1,"47648","61.608864"
"HOTUSDT","HOTUSDT#1686948720000",1686948720000,"0.001292","0.001294","0.001292","0.001293","3688249",1686948779999,"4769.252029",60,"2588798","3347.666346"
"HOTUSDT","HOTUSDT#1686948780000",1686948780000,"0.001292","0.001293","0.001292","0.001292","381089",1686948839999,"492.677060",5,"310072","400.923096"
"HOTUSDT","HOTUSDT#1686948840000",1686948840000,"0.001292","0.001294","0.001292","0.001293","1553389",1686948899999,"2008.664382",38,"271371","351.019899"
"HOTUSDT","HOTUSDT#1686948900000",1686948900000,"0.001294","0.001294","0.001293","0.001293","868458",1686948959999,"1123.036119",20,"119925","155.182950"
"HOTUSDT","HOTUSDT#1686948960000",1686948960000,"0.001293","0.001294","0.001292","0.001294","2224380",1686949019999,"2876.738842",60,"1258538","1627.921544"
"HOTUSDT","HOTUSDT#1686949020000",1686949020000,"0.001293","0.001293","0.001293","0.001293","274391",1686949079999,"354.787563",6,"0","0.000000"
"HOTUSDT","HOTUSDT#1686949080000",1686949080000,"0.001294","0.001294","0.001293","0.001294","262076",1686949139999,"339.122076",4,"257808","333.603552"
"HOTUSDT","HOTUSDT#1686949140000",1686949140000,"0.001293","0.001294","0.001293","0.001293","449663",1686949199999,"581.469652",11,"55393","71.678542"
"HOTUSDT","HOTUSDT#1686949200000",1686949200000,"0.001294","0.001296","0.001293","0.001295","6829428",1686949259999,"8840.775063",69,"4198220","5433.368785"
