"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"OPUSDT","OPUSDT#1686909660000",1686909660000,"1.1146000","1.1146000","1.1140000","1.1146000","58575.9",1686909719999,"65277.21800000",205,"14915.8","16623.41930000"
"OPUSDT","OPUSDT#1686909720000",1686909720000,"1.1147000","1.1148000","1.1141000","1.1141000","14882.5",1686909779999,"16587.04859000",134,"2865.9","3194.27255000"
"OPUSDT","OPUSDT#1686909780000",1686909780000,"1.1142000","1.1150000","1.1141000","1.1148000","48953.4",1686909839999,"54566.56643000",155,"32337.5","36045.45993000"
"OPUSDT","OPUSDT#1686909840000",1686909840000,"1.1147000","1.1151000","1.1147000","1.1149000","17689.5",1686909899999,"19721.96809000",124,"10334.2","11521.92647000"
"OPUSDT","OPUSDT#1686909900000",1686909900000,"1.1149000","1.1153000","1.1149000","1.1153000","29439.8",1686909959999,"32827.03879000",198,"20398.9","22746.18499000"
"OPUSDT","OPUSDT#1686909960000",1686909960000,"1.1153000","1.1163000","1.1152000","1.1158000","109424.9",1686910019999,"122092.34627000",361,"78139.8","87187.39087000"
"OPUSDT","OPUSDT#1686910020000",1686910020000,"1.1159000","1.1161000","1.1150000","1.1152000","38669.7",1686910079999,"43140.81304000",175,"6798.5","7583.30602000"
"OPUSDT","OPUSDT#1686910080000",1686910080000,"1.1153000","1.1153000","1.1148000","1.1149000","23423.1",1686910139999,"26116.17709000",159,"9686.5","10799.97404000"
"OPUSDT","OPUSDT#1686910140000",1686910140000,"1.1150000","1.1150000","1.1138000","1.1138000","42531.0",1686910199999,"47386.09397000",159,"13597.2","15149.33763000"
"OPUSDT","OPUSDT#1686910200000",1686910200000,"1.1139000","1.1143000","1.1138000","1.1138000","45092.3",1686910259999,"50232.52660000",150,"20092.1","22383.63808000"
"OPUSDT","OPUSDT#1686910260000",1686910260000,"1.1138000","1.1139000","1.1103000","1.1110000","306261.2",1686910319999,"340571.34050000",529,"38980.3","43342.75326000"
"OPUSDT","OPUSDT#1686910320000",1686910320000,"1.1112000","1.1114000","1.1093000","1.1101000","408908.6",1686910379999,"453941.09757000",844,"120304.8","133574.23793000"
"OPUSDT","OPUSDT#1686910380000",1686910380000,"1.1103000","1.1111000","1.1102000","1.1108000","54585.5",1686910439999,"60621.24417000",205,"27012.7","29999.30516000"
"OPUSDT","OPUSDT#1686910440000",1686910440000,"1.1108000","1.1118000","1.1108000","1.1115000","46294.2",1686910499999,"51453.63082000",197,"30389.2","33775.45078000"
"OPUSDT","OPUSDT#1686910500000",1686910500000,"1.1116000","1.1116000","1.1109000","1.1109000","58936.7",1686910559999,"65499.61696000",273,"28795.3","32003.19489000"
"OPUSDT","OPUSDT#1686910560000",1686910560000,"1.1108000","1.1108000","1.1092000","1.1094000","75730.2",1686910619999,"84052.62568000",261,"31658.9","35142.15299000"
"OPUSDT","OPUSDT#1686910620000",1686910620000,"1.1093000","1.1100000","1.1081000","1.1098000","170796.3",1686910679999,"189443.29300000",456,"81627.8","90550.08879000"
