"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"RDNTUSDT","RDNTUSDT#1686898860000",1686898860000,"0.2516000","0.2516000","0.2512000","0.2515000","46892",1686898919999,"11790.5736000",78,"20027","5035.3671000"
"RDNTUSDT","RDNTUSDT#1686898920000",1686898920000,"0.2516000","0.2516000","0.2511000","0.2514000","75610",1686898979999,"18998.8516000",70,"23440","5891.3486000"
"RDNTUSDT","RDNTUSDT#1686898980000",1686898980000,"0.2514000","0.2514000","0.2513000","0.2513000","4218",1686899039999,"1060.3886000",13,"4052","1018.6728000"
"RDNTUSDT","RDNTUSDT#1686899040000",1686899040000,"0.2514000","0.2518000","0.2513000","0.2517000","21663",1686899099999,"5449.9226000",59,"12709","3197.4887000"
"RDNTUSDT","RDNTUSDT#1686899100000",1686899100000,"0.2517000","0.2518000","0.2516000","0.2518000","37539",1686899159999,"9450.6742000",93,"25018","6298.4688000"
"RDNTUSDT","RDNTUSDT#1686899160000",1686899160000,"0.2518000","0.2518000","0.2514000","0.2516000","9444",1686899219999,"2376.0460000",33,"1056","265.8864000"
"RDNTUSDT","RDNTUSDT#1686899220000",1686899220000,"0.2516000","0.2517000","0.2514000","0.2517000","64187",1686899279999,"16147.5207000",35,"46796","11773.7342000"
"RDNTUSDT","RDNTUSDT#1686899280000",1686899280000,"0.2516000","0.2519000","0.2516000","0.2518000","16684",1686899339999,"4199.8973000",29,"14441","3635.4470000"
"RDNTUSDT","RDNTUSDT#1686899340000",1686899340000,"0.2518000","0.2519000","0.2517000","0.2518000","15482",1686899399999,"3897.9801000",46,"2354","592.8311000"
"RDNTUSDT","RDNTUSDT#1686899400000",1686899400000,"0.2518000","0.2524000","0.2517000","0.2523000","99500",1686899459999,"25078.9319000",184,"73419","18508.3734000"
"RDNTUSDT","RDNTUSDT#1686899460000",1686899460000,"0.2523000","0.2526000","0.2523000","0.2525000","70168",1686899519999,"17714.9300000",111,"30428","7682.3361000"
"RDNTUSDT","RDNTUSDT#1686899520000",1686899520000,"0.2525000","0.2526000","0.2524000","0.2524000","36113",1686899579999,"9118.5335000",53,"8294","2094.8243000"
"RDNTUSDT","RDNTUSDT#1686899580000",1686899580000,"0.2523000","0.2526000","0.2522000","0.2523000","142206",1686899639999,"35904.1068000",74,"123238","31117.6035000"
"RDNTUSDT","RDNTUSDT#1686899640000",1686899640000,"0.2523000","0.2525000","0.2523000","0.2524000","31075",1686899699999,"7845.7283000",37,"27591","6966.4691000"
"RDNTUSDT","RDNTUSDT#1686899700000",1686899700000,"0.2524000","0.2524000","0.2521000","0.2521000","30223",1686899759999,"7622.5309000",74,"5165","1302.6590000"
"RDNTUSDT","RDNTUSDT#1686899760000",1686899760000,"0.2522000","0.2522000","0.2519000","0.2520000","10906",1686899819999,"2748.5405000",38,"3606","908.9076000"
"RDNTUSDT","RDNTUSDT#1686899820000",1686899820000,"0.2521000","0.2522000","0.2520000","0.2521000","15465",1686899879999,"3898.4479000",26,"5145","1297.2624000"
"RDNTUSDT","RDNTUSDT#1686899880000",1686899880000,"0.2521000","0.2521000","0.2520000","0.2520000","5062",1686899939999,"1275.8255000",19,"755","190.3283000"
"RDNTUSDT","RDNTUSDT#1686899940000",1686899940000,"0.2520000","0.2520000","0.2518000","0.2519000","9478",1686899999999,"2387.7415000",24,"3381","851.9802000"
"RDNTUSDT","RDNTUSDT#1686900000000",1686900000000,"0.2519000","0.2519000","0.2518000","0.2519000","3999",1686900059999,"1006.9718000",10,"359","90.4198000"
"RDNTUSDT","RDNTUSDT#1686900060000",1686900060000,"0.2519000","0.2519000","0.2517000","0.2519000","12548",1686900119999,"3159.0684000",28,"1333","335.7581000"
"RDNTUSDT","RDNTUSDT#1686900120000",1686900120000,"0.2519000","0.2521000","0.2518000","0.2521000","22123",1686900179999,"5572.6082000",46,"17724","4464.8698000"
"RDNTUSDT","RDNTUSDT#1686900180000",1686900180000,"0.2521000","0.2523000","0.2521000","0.2523000","3724",1686900239999,"939.0948000",11,"3620","912.8660000"
"RDNTUSDT","RDNTUSDT#1686900240000",1686900240000,"0.2522000","0.2523000","0.2522000","0.2523000","3973",1686900299999,"1002.1396000",8,"1490","375.9270000"
"RDNTUSDT","RDNTUSDT#1686900300000",1686900300000,"0.2522000","0.2525000","0.2522000","0.2524000","15165",1686900359999,"3827.5538000",41,"11269","2844.1689000"
"RDNTUSDT","RDNTUSDT#1686900360000",1686900360000,"0.2523000","0.2525000","0.2523000","0.2525000","3189",1686900419999,"805.1222000",14,"3041","767.7818000"
"RDNTUSDT","RDNTUSDT#1686900420000",1686900420000,"0.2524000","0.2525000","0.2523000","0.2525000","17820",1686900479999,"4497.9865000",39,"12349","3117.1538000"
"RDNTUSDT","RDNTUSDT#1686900480000",1686900480000,"0.2524000","0.2525000","0.2524000","0.2524000","8643",1686900539999,"2182.0848000",17,"1247","314.8675000"
"RDNTUSDT","RDNTUSDT#1686900540000",1686900540000,"0.2524000","0.2525000","0.2523000","0.2524000","18987",1686900599999,"4793.1551000",27,"12986","3278.7354000"
"RDNTUSDT","RDNTUSDT#1686900600000",1686900600000,"0.2525000","0.2525000","0.2524000","0.2524000","13200",1686900659999,"3332.0031000",22,"3231","815.8275000"
"RDNTUSDT","RDNTUSDT#1686900660000",1686900660000,"0.2525000","0.2525000","0.2524000","0.2524000","11503",1686900719999,"2904.3145000",43,"2373","599.1825000"
"RDNTUSDT","RDNTUSDT#1686900720000",1686900720000,"0.2524000","0.2524000","0.2523000","0.2524000","8755",1686900779999,"2209.3991000",30,"1090","275.1160000"
"RDNTUSDT","RDNTUSDT#1686900780000",1686900780000,"0.2525000","0.2526000","0.2525000","0.2526000","32776",1686900839999,"8278.9033000",11,"32776","8278.9033000"
"RDNTUSDT","RDNTUSDT#1686900840000",1686900840000,"0.2526000","0.2527000","0.2526000","0.2526000","3652",1686900899999,"922.6142000",17,"1643","415.1408000"
"RDNTUSDT","RDNTUSDT#1686900900000",1686900900000,"0.2526000","0.2526000","0.2521000","0.2523000","207211",1686900959999,"52291.0894000",272,"76375","19277.3375000"
"RDNTUSDT","RDNTUSDT#1686900960000",1686900960000,"0.2524000","0.2529000","0.2524000","0.2528000","280908",1686901019999,"70978.8380000",321,"129124","32630.4392000"
"RDNTUSDT","RDNTUSDT#1686901020000",1686901020000,"0.2529000","0.2529000","0.2524000","0.2525000","187554",1686901079999,"47372.8581000",206,"32285","8154.7525000"
"RDNTUSDT","RDNTUSDT#1686901080000",1686901080000,"0.2526000","0.2528000","0.2520000","0.2522000","239713",1686901139999,"60493.1301000",231,"83120","20989.2303000"
"RDNTUSDT","RDNTUSDT#1686901140000",1686901140000,"0.2523000","0.2524000","0.2522000","0.2524000","26040",1686901199999,"6570.5818000",70,"16621","4194.4932000"
"RDNTUSDT","RDNTUSDT#1686901200000",1686901200000,"0.2523000","0.2525000","0.2522000","0.2523000","67592",1686901259999,"17056.1044000",122,"21213","5354.1761000"
"RDNTUSDT","RDNTUSDT#1686901260000",1686901260000,"0.2524000","0.2525000","0.2523000","0.2523000","12062",1686901319999,"3044.9049000",42,"6658","1681.0176000"
"RDNTUSDT","RDNTUSDT#1686901320000",1686901320000,"0.2523000","0.2524000","0.2521000","0.2522000","39443",1686901379999,"9949.5387000",114,"17554","4428.9735000"
"RDNTUSDT","RDNTUSDT#1686901380000",1686901380000,"0.2523000","0.2524000","0.2520000","0.2520000","85400",1686901439999,"21533.5014000",119,"34886","8799.6282000"
"RDNTUSDT","RDNTUSDT#1686901440000",1686901440000,"0.2520000","0.2521000","0.2516000","0.2519000","234128",1686901499999,"58938.3623000",313,"95354","24006.3562000"
"RDNTUSDT","RDNTUSDT#1686901500000",1686901500000,"0.2518000","0.2527000","0.2517000","0.2526000","484657",1686901559999,"122265.6961000",526,"277978","70151.3774000"
"RDNTUSDT","RDNTUSDT#1686901560000",1686901560000,"0.2526000","0.2526000","0.2522000","0.2525000","87683",1686901619999,"22133.7498000",181,"40896","10326.8055000"
"RDNTUSDT","RDNTUSDT#1686901620000",1686901620000,"0.2525000","0.2532000","0.2523000","0.2531000","367839",1686901679999,"92997.7677000",468,"234883","59395.2620000"
"RDNTUSDT","RDNTUSDT#1686901680000",1686901680000,"0.2531000","0.2534000","0.2529000","0.2532000","51211",1686901739999,"12967.1531000",128,"27848","7051.5361000"
"RDNTUSDT","RDNTUSDT#1686901740000",1686901740000,"0.2532000","0.2534000","0.2532000","0.2533000","19360",1686901799999,"4903.3810000",71,"6049","1532.2319000"
"RDNTUSDT","RDNTUSDT#1686901800000",1686901800000,"0.2533000","0.2543000","0.2531000","0.2539000","340848",1686901859999,"86512.1612000",441,"194786","49435.9651000"
"RDNTUSDT","RDNTUSDT#1686901860000",1686901860000,"0.2538000","0.2540000","0.2536000","0.2539000","174341",1686901919999,"44250.5425000",251,"101325","25719.1009000"
"RDNTUSDT","RDNTUSDT#1686901920000",1686901920000,"0.2539000","0.2540000","0.2535000","0.2537000","294437",1686901979999,"74734.0349000",359,"119522","30340.7027000"
"RDNTUSDT","RDNTUSDT#1686901980000",1686901980000,"0.2537000","0.2537000","0.2535000","0.2536000","51867",1686902039999,"13153.1872000",96,"15517","3936.0536000"
"RDNTUSDT","RDNTUSDT#1686902040000",1686902040000,"0.2536000","0.2537000","0.2535000","0.2536000","63681",1686902099999,"16148.2808000",51,"25315","6420.3758000"
"RDNTUSDT","RDNTUSDT#1686902100000",1686902100000,"0.2536000","0.2537000","0.2536000","0.2537000","11116",1686902159999,"2819.4578000",17,"4402","1116.7874000"
"RDNTUSDT","RDNTUSDT#1686902160000",1686902160000,"0.2536000","0.2537000","0.2535000","0.2537000","31358",1686902219999,"7950.6389000",34,"6713","1702.4562000"
"RDNTUSDT","RDNTUSDT#1686902220000",1686902220000,"0.2536000","0.2538000","0.2536000","0.2536000","79725",1686902279999,"20230.1970000",66,"38562","9785.2169000"
