"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"TRXUSDT","TRXUSDT#1686924060000",1686924060000,"0.06929","0.06930","0.06927","0.06929","231836",1686924119999,"16063.72233",102,"160983","11154.58014"
"TRXUSDT","TRXUSDT#1686924120000",1686924120000,"0.06930","0.06940","0.06930","0.06939","356415",1686924179999,"24723.66903",138,"286230","19855.63825"
"TRXUSDT","TRXUSDT#1686924180000",1686924180000,"0.06940","0.06944","0.06940","0.06941","297810",1686924239999,"20674.03468",159,"146117","10143.09766"
"TRXUSDT","TRXUSDT#1686924240000",1686924240000,"0.06942","0.06950","0.06942","0.06949","624657",1686924299999,"43393.12763",118,"545420","37887.46559"
"TRXUSDT","TRXUSDT#1686924300000",1686924300000,"0.06948","0.06949","0.06942","0.06942","544950",1686924359999,"37846.56706",166,"91350","6343.82917"
"TRXUSDT","TRXUSDT#1686924360000",1686924360000,"0.06943","0.06943","0.06936","0.06939","1378116",1686924419999,"95616.83492",219,"618808","42930.34878"
"TRXUSDT","TRXUSDT#1686924420000",1686924420000,"0.06940","0.06942","0.06939","0.06939","1073559",1686924479999,"74506.38078",152,"132894","9223.70783"
"TRXUSDT","TRXUSDT#1686924480000",1686924480000,"0.06938","0.06942","0.06937","0.06942","632744",1686924539999,"43909.84245",135,"413454","28693.62716"
"TRXUSDT","TRXUSDT#1686924540000",1686924540000,"0.06941","0.06944","0.06941","0.06943","329933",1686924599999,"22906.44448",104,"66821","4639.39515"
"TRXUSDT","TRXUSDT#1686924600000",1686924600000,"0.06944","0.06949","0.06943","0.06945","982274",1686924659999,"68228.81691",207,"433822","30131.09342"
"TRXUSDT","TRXUSDT#1686924660000",1686924660000,"0.06946","0.06951","0.06945","0.06950","822942",1686924719999,"57181.45740",137,"666936","46346.31645"
"TRXUSDT","TRXUSDT#1686924720000",1686924720000,"0.06951","0.06957","0.06950","0.06955","1072099",1686924779999,"74547.42361",217,"714349","49672.39988"
"TRXUSDT","TRXUSDT#1686924780000",1686924780000,"0.06954","0.06954","0.06948","0.06953","621760",1686924839999,"43223.41993",115,"220824","15348.87752"
"TRXUSDT","TRXUSDT#1686924840000",1686924840000,"0.06952","0.06952","0.06948","0.06948","357034",1686924899999,"24812.99851",107,"41058","2853.70790"
"TRXUSDT","TRXUSDT#1686924900000",1686924900000,"0.06949","0.06949","0.06944","0.06945","69205",1686924959999,"4807.11892",90,"18753","1302.71723"
"TRXUSDT","TRXUSDT#1686924960000",1686924960000,"0.06944","0.06949","0.06943","0.06949","276477",1686925019999,"19201.99168",82,"211626","14698.59842"
"TRXUSDT","TRXUSDT#1686925020000",1686925020000,"0.06948","0.06950","0.06947","0.06949","256988",1686925079999,"17857.16363",74,"117550","8168.39863"
"TRXUSDT","TRXUSDT#1686925080000",1686925080000,"0.06949","0.06949","0.06948","0.06948","52534",1686925139999,"3650.41326",30,"35094","2438.68206"
"TRXUSDT","TRXUSDT#1686925140000",1686925140000,"0.06948","0.06950","0.06948","0.06949","45173",1686925199999,"3139.13349",22,"24860","1727.59590"
"TRXUSDT","TRXUSDT#1686925200000",1686925200000,"0.06950","0.06952","0.06949","0.06952","260416",1686925259999,"18101.25312",95,"183172","12732.12374"
"TRXUSDT","TRXUSDT#1686925260000",1686925260000,"0.06951","0.06957","0.06951","0.06957","241664",1686925319999,"16807.35219",73,"159247","11075.96306"
"TRXUSDT","TRXUSDT#1686925320000",1686925320000,"0.06956","0.06957","0.06956","0.06956","281625",1686925379999,"19590.13380",94,"102402","7123.38192"
"TRXUSDT","TRXUSDT#1686925380000",1686925380000,"0.06956","0.06956","0.06950","0.06951","578689",1686925439999,"40234.16370",117,"41588","2891.67612"
"TRXUSDT","TRXUSDT#1686925440000",1686925440000,"0.06951","0.06951","0.06947","0.06947","159780",1686925499999,"11104.27822",52,"20594","1431.17436"
"TRXUSDT","TRXUSDT#1686925500000",1686925500000,"0.06948","0.06948","0.06946","0.06946","215258",1686925559999,"14953.05360",68,"56335","3913.67110"
"TRXUSDT","TRXUSDT#1686925560000",1686925560000,"0.06945","0.06947","0.06943","0.06946","216857",1686925619999,"15060.20682",74,"138841","9642.47141"
"TRXUSDT","TRXUSDT#1686925620000",1686925620000,"0.06946","0.06948","0.06946","0.06947","88489",1686925679999,"6147.27666",36,"49819","3460.95849"
"TRXUSDT","TRXUSDT#1686925680000",1686925680000,"0.06947","0.06952","0.06947","0.06952","458380",1686925739999,"31858.33026",63,"425823","29596.29123"
"TRXUSDT","TRXUSDT#1686925740000",1686925740000,"0.06951","0.06951","0.06948","0.06949","126476",1686925799999,"8790.29090",78,"48574","3375.87856"
"TRXUSDT","TRXUSDT#1686925800000",1686925800000,"0.06948","0.06949","0.06948","0.06948","57125",1686925859999,"3969.42302",32,"37802","2626.86098"
"TRXUSDT","TRXUSDT#1686925860000",1686925860000,"0.06948","0.06954","0.06947","0.06952","1543861",1686925919999,"107311.20616",203,"836258","58128.68306"
"TRXUSDT","TRXUSDT#1686925920000",1686925920000,"0.06953","0.06956","0.06950","0.06951","657622",1686925979999,"45725.13634",118,"161115","11204.37208"
