"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"APTUSDT","APTUSDT#1686960060000",1686960060000,"6.28500","6.28500","6.26800","6.27000","41909.5",1686960119999,"263026.836000",493,"12136.3","76131.943000"
"APTUSDT","APTUSDT#1686960120000",1686960120000,"6.27100","6.27100","6.26000","6.26300","14789.2",1686960179999,"92651.371900",317,"5540.2","34709.510700"
"APTUSDT","APTUSDT#1686960180000",1686960180000,"6.26400","6.26400","6.25500","6.26200","41742.4",1686960239999,"261292.116700",403,"13956.8","87381.585400"
"APTUSDT","APTUSDT#1686960240000",1686960240000,"6.26300","6.26600","6.26200","6.26500","8751.5",1686960299999,"54819.904600",186,"6439.3","40336.168700"
"APTUSDT","APTUSDT#1686960300000",1686960300000,"6.26500","6.26600","6.26000","6.26000","8946.2",1686960359999,"56037.698100",240,"3677.0","23034.285300"
"APTUSDT","APTUSDT#1686960360000",1686960360000,"6.26100","6.27000","6.26100","6.27000","17625.8",1686960419999,"110408.510000",203,"17465.5","109403.670400"
"APTUSDT","APTUSDT#1686960420000",1686960420000,"6.27000","6.27000","6.26400","6.26400","23014.8",1686960479999,"144217.582300",239,"2787.2","17468.220600"
"APTUSDT","APTUSDT#1686960480000",1686960480000,"6.26400","6.26500","6.25700","6.25800","21092.3",1686960539999,"132090.189400",207,"8296.2","51960.600800"
"APTUSDT","APTUSDT#1686960540000",1686960540000,"6.25800","6.26000","6.23800","6.23900","36276.0",1686960599999,"226663.668600",510,"7307.0","45674.413000"
"APTUSDT","APTUSDT#1686960600000",1686960600000,"6.23800","6.24400","6.22700","6.24400","62702.4",1686960659999,"390923.803100",640,"22049.2","137518.209200"
"APTUSDT","APTUSDT#1686960660000",1686960660000,"6.24500","6.24800","6.24400","6.24600","23821.1",1686960719999,"148805.837300",233,"17448.4","109001.091100"
