"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"AUDIOUSDT","AUDIOUSDT#1686996060000",1686996060000,"0.1786","0.1786","0.1785","0.1785","9696",1686996119999,"1730.8240",42,"1295","231.2455"
"AUDIOUSDT","AUDIOUSDT#1686996120000",1686996120000,"0.1785","0.1785","0.1784","0.1784","24666",1686996179999,"4402.0370",21,"16226","2896.3410"
"AUDIOUSDT","AUDIOUSDT#1686996180000",1686996180000,"0.1784","0.1785","0.1783","0.1784","3678",1686996239999,"656.1265",19,"2107","375.8989"
"AUDIOUSDT","AUDIOUSDT#1686996240000",1686996240000,"0.1784","0.1784","0.1780","0.1781","27180",1686996299999,"4844.3169",50,"6580","1173.7923"
"AUDIOUSDT","AUDIOUSDT#1686996300000",1686996300000,"0.1781","0.1782","0.1781","0.1782","26267",1686996359999,"4678.2484",27,"26142","4655.9859"
"AUDIOUSDT","AUDIOUSDT#1686996360000",1686996360000,"0.1782","0.1782","0.1781","0.1782","2872",1686996419999,"511.6070",8,"1038","184.9716"
"AUDIOUSDT","AUDIOUSDT#1686996420000",1686996420000,"0.1782","0.1784","0.1782","0.1784","15545",1686996479999,"2770.9586",47,"13634","2430.2273"
"AUDIOUSDT","AUDIOUSDT#1686996480000",1686996480000,"0.1783","0.1785","0.1783","0.1785","14664",1686996539999,"2616.0005",37,"5118","913.0781"
"AUDIOUSDT","AUDIOUSDT#1686996540000",1686996540000,"0.1785","0.1785","0.1783","0.1784","40004",1686996599999,"7136.8432",44,"7338","1309.4715"
"AUDIOUSDT","AUDIOUSDT#1686996600000",1686996600000,"0.1783","0.1784","0.1782","0.1782","40876",1686996659999,"7288.0805",86,"5285","942.5648"
"AUDIOUSDT","AUDIOUSDT#1686996660000",1686996660000,"0.1783","0.1783","0.1780","0.1782","108505",1686996719999,"19329.5790",101,"4897","872.8283"
"AUDIOUSDT","AUDIOUSDT#1686996720000",1686996720000,"0.1782","0.1782","0.1781","0.1781","49662",1686996779999,"8846.2082",71,"16826","2998.1166"
"AUDIOUSDT","AUDIOUSDT#1686996780000",1686996780000,"0.1781","0.1782","0.1781","0.1782","6068",1686996839999,"1080.9909",6,"2801","499.1382"
"AUDIOUSDT","AUDIOUSDT#1686996840000",1686996840000,"0.1781","0.1781","0.1780","0.1781","13148",1686996899999,"2341.4889",40,"3987","710.0847"
"AUDIOUSDT","AUDIOUSDT#1686996900000",1686996900000,"0.1781","0.1781","0.1781","0.1781","20854",1686996959999,"3714.0974",39,"20854","3714.0974"
"AUDIOUSDT","AUDIOUSDT#1686996960000",1686996960000,"0.1781","0.1781","0.1781","0.1781","16699",1686997019999,"2974.0919",32,"8343","1485.8883"
"AUDIOUSDT","AUDIOUSDT#1686997020000",1686997020000,"0.1781","0.1781","0.1781","0.1781","12728",1686997079999,"2266.8568",21,"0","0.0000"
"AUDIOUSDT","AUDIOUSDT#1686997080000",1686997080000,"0.1781","0.1781","0.1781","0.1781","587",1686997139999,"104.5447",2,"0","0.0000"
"AUDIOUSDT","AUDIOUSDT#1686997140000",1686997140000,"0.1782","0.1782","0.1781","0.1781","16368",1686997199999,"2915.2362",23,"8605","1532.6459"
"AUDIOUSDT","AUDIOUSDT#1686997200000",1686997200000,"0.1781","0.1782","0.1781","0.1782","10575",1686997259999,"1883.9400",17,"5774","1028.8819"
"AUDIOUSDT","AUDIOUSDT#1686997260000",1686997260000,"0.1781","0.1781","0.1781","0.1781","3542",1686997319999,"630.8302",12,"0","0.0000"
"AUDIOUSDT","AUDIOUSDT#1686997320000",1686997320000,"0.1781","0.1782","0.1781","0.1782","5674",1686997379999,"1010.5730",18,"5674","1010.5730"
"AUDIOUSDT","AUDIOUSDT#1686997380000",1686997380000,"0.1782","0.1783","0.1782","0.1783","36113",1686997439999,"6435.6541",22,"34991","6235.7137"
"AUDIOUSDT","AUDIOUSDT#1686997440000",1686997440000,"0.1783","0.1783","0.1782","0.1783","18184",1686997499999,"3242.0190",22,"3859","688.0597"
"AUDIOUSDT","AUDIOUSDT#1686997500000",1686997500000,"0.1783","0.1783","0.1781","0.1782","20228",1686997559999,"3604.9295",36,"6455","1150.6852"
"AUDIOUSDT","AUDIOUSDT#1686997560000",1686997560000,"0.1782","0.1782","0.1781","0.1782","21940",1686997619999,"3909.1423",29,"8201","1461.4182"
"AUDIOUSDT","AUDIOUSDT#1686997620000",1686997620000,"0.1783","0.1783","0.1783","0.1783","467",1686997679999,"83.2661",3,"467","83.2661"
"AUDIOUSDT","AUDIOUSDT#1686997680000",1686997680000,"0.1783","0.1783","0.1783","0.1783","0",1686997739999,"0.0000",0,"0","0.0000"
"AUDIOUSDT","AUDIOUSDT#1686997740000",1686997740000,"0.1782","0.1783","0.1782","0.1783","2705",1686997799999,"482.2919",12,"2609","465.1847"
"AUDIOUSDT","AUDIOUSDT#1686997800000",1686997800000,"0.1783","0.1784","0.1783","0.1784","13045",1686997859999,"2326.4502",21,"5267","939.6328"
"AUDIOUSDT","AUDIOUSDT#1686997860000",1686997860000,"0.1783","0.1783","0.1783","0.1783","641",1686997919999,"114.2903",4,"0","0.0000"
"AUDIOUSDT","AUDIOUSDT#1686997920000",1686997920000,"0.1783","0.1783","0.1781","0.1782","48184",1686997979999,"8589.8184",101,"6417","1143.5094"
"AUDIOUSDT","AUDIOUSDT#1686997980000",1686997980000,"0.1782","0.1782","0.1782","0.1782","5341",1686998039999,"951.7662",11,"0","0.0000"
"AUDIOUSDT","AUDIOUSDT#1686998040000",1686998040000,"0.1783","0.1784","0.1782","0.1782","17852",1686998099999,"3182.9926",43,"3757","669.8877"
"AUDIOUSDT","AUDIOUSDT#1686998100000",1686998100000,"0.1783","0.1783","0.1783","0.1783","5553",1686998159999,"990.0999",13,"5553","990.0999"
"AUDIOUSDT","AUDIOUSDT#1686998160000",1686998160000,"0.1784","0.1784","0.1784","0.1784","8546",1686998219999,"1524.6064",5,"8546","1524.6064"
"AUDIOUSDT","AUDIOUSDT#1686998220000",1686998220000,"0.1784","0.1784","0.1783","0.1783","4068",1686998279999,"725.5597",11,"2353","419.7752"
"AUDIOUSDT","AUDIOUSDT#1686998280000",1686998280000,"0.1783","0.1784","0.1783","0.1784","1233",1686998339999,"219.9156",6,"717","127.9128"
"AUDIOUSDT","AUDIOUSDT#1686998340000",1686998340000,"0.1784","0.1785","0.1784","0.1785","7963",1686998399999,"1420.6089",15,"6820","1216.6977"
"AUDIOUSDT","AUDIOUSDT#1686998400000",1686998400000,"0.1785","0.1785","0.1784","0.1785","8317",1686998459999,"1483.9942",18,"2414","430.8990"
"AUDIOUSDT","AUDIOUSDT#1686998460000",1686998460000,"0.1784","0.1785","0.1784","0.1785","15457",1686998519999,"2759.0679",9,"15391","2747.2935"
"AUDIOUSDT","AUDIOUSDT#1686998520000",1686998520000,"0.1784","0.1784","0.1780","0.1781","69572",1686998579999,"12400.9222",79,"4368","777.9476"
