"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BTCDOMUSDT","BTCDOMUSDT#1687010460000",1687010460000,"1756.3","1757.2","1756.3","1757.0","1.375",1687010519999,"2415.6486",23,"1.180","2073.1263"
"BTCDOMUSDT","BTCDOMUSDT#1687010520000",1687010520000,"1756.9","1757.4","1756.9","1757.4","0.166",1687010579999,"291.7019",10,"0.069","121.2546"
"BTCDOMUSDT","BTCDOMUSDT#1687010580000",1687010580000,"1757.5","1757.8","1757.1","1757.8","5.906",1687010639999,"10379.4880",25,"5.678","9978.8216"
"BTCDOMUSDT","BTCDOMUSDT#1687010640000",1687010640000,"1757.7","1757.7","1757.3","1757.3","0.116",1687010699999,"203.8556",7,"0.000","0.0000"
"BTCDOMUSDT","BTCDOMUSDT#1687010700000",1687010700000,"1757.3","1757.3","1755.5","1757.0","11.770",1687010759999,"20673.0673",47,"0.837","1470.5429"
"BTCDOMUSDT","BTCDOMUSDT#1687010760000",1687010760000,"1756.9","1756.9","1756.9","1756.9","0.002",1687010819999,"3.5138",2,"0.000","0.0000"
"BTCDOMUSDT","BTCDOMUSDT#1687010820000",1687010820000,"1757.0","1758.0","1756.8","1756.9","10.665",1687010879999,"18742.5663",52,"10.009","17589.9761"
"BTCDOMUSDT","BTCDOMUSDT#1687010880000",1687010880000,"1757.0","1757.0","1756.8","1756.8","0.374",1687010939999,"657.0820",5,"0.039","68.5230"
"BTCDOMUSDT","BTCDOMUSDT#1687010940000",1687010940000,"1756.9","1756.9","1754.8","1756.6","18.683",1687010999999,"32805.4552",76,"3.659","6426.3636"
"BTCDOMUSDT","BTCDOMUSDT#1687011000000",1687011000000,"1756.8","1756.8","1756.4","1756.5","0.843",1687011059999,"1480.7247",11,"0.731","1283.9855"
"BTCDOMUSDT","BTCDOMUSDT#1687011060000",1687011060000,"1756.5","1756.5","1756.1","1756.1","1.879",1687011119999,"3300.2700",11,"0.687","1206.6812"
"BTCDOMUSDT","BTCDOMUSDT#1687011120000",1687011120000,"1756.3","1756.3","1756.3","1756.3","0.004",1687011179999,"7.0252",1,"0.004","7.0252"
"BTCDOMUSDT","BTCDOMUSDT#1687011180000",1687011180000,"1756.5","1757.0","1756.4","1756.7","0.928",1687011239999,"1630.2479",14,"0.788","1384.3509"
"BTCDOMUSDT","BTCDOMUSDT#1687011240000",1687011240000,"1756.7","1758.0","1756.7","1757.7","8.295",1687011299999,"14577.5843",49,"8.182","14378.9627"
"BTCDOMUSDT","BTCDOMUSDT#1687011300000",1687011300000,"1757.8","1758.7","1757.8","1758.7","1.359",1687011359999,"2389.6628",19,"1.293","2273.6216"
"BTCDOMUSDT","BTCDOMUSDT#1687011360000",1687011360000,"1758.6","1758.6","1758.3","1758.4","0.565",1687011419999,"993.5688",9,"0.170","298.9250"
"BTCDOMUSDT","BTCDOMUSDT#1687011420000",1687011420000,"1758.4","1758.4","1758.1","1758.1","0.627",1687011479999,"1102.3865",8,"0.054","94.9425"
"BTCDOMUSDT","BTCDOMUSDT#1687011480000",1687011480000,"1758.1","1758.4","1758.1","1758.4","1.294",1687011539999,"2275.0009",11,"1.122","1972.5882"
"BTCDOMUSDT","BTCDOMUSDT#1687011540000",1687011540000,"1758.1","1758.5","1758.1","1758.4","0.899",1687011599999,"1580.6194",13,"0.750","1318.6615"
"BTCDOMUSDT","BTCDOMUSDT#1687011600000",1687011600000,"1758.3","1758.9","1758.1","1758.8","1.223",1687011659999,"2150.6176",21,"0.918","1614.3623"
"BTCDOMUSDT","BTCDOMUSDT#1687011660000",1687011660000,"1758.9","1759.2","1758.7","1758.8","1.414",1687011719999,"2487.1549",17,"0.700","1231.3404"
