"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"DENTUSDT","DENTUSDT#1686963660000",1686963660000,"0.000664","0.000665","0.000664","0.000665","1988481",1686963719999,"1320.787742",19,"436358","290.178070"
"DENTUSDT","DENTUSDT#1686963720000",1686963720000,"0.000665","0.000665","0.000664","0.000665","1406900",1686963779999,"935.014286",10,"832686","553.736190"
"DENTUSDT","DENTUSDT#1686963780000",1686963780000,"0.000664","0.000665","0.000664","0.000664","3115865",1686963839999,"2071.624246",18,"2689886","1788.774190"
"DENTUSDT","DENTUSDT#1686963840000",1686963840000,"0.000664","0.000665","0.000664","0.000664","520198",1686963899999,"345.864370",6,"452898","301.177170"
"DENTUSDT","DENTUSDT#1686963900000",1686963900000,"0.000665","0.000665","0.000664","0.000665","1416442",1686963959999,"941.818205",15,"1300717","864.976805"
"DENTUSDT","DENTUSDT#1686963960000",1686963960000,"0.000665","0.000665","0.000664","0.000664","2677319",1686964019999,"1780.351717",17,"2611901","1736.914165"
"DENTUSDT","DENTUSDT#1686964020000",1686964020000,"0.000665","0.000665","0.000665","0.000665","729780",1686964079999,"485.303700",4,"729780","485.303700"
"DENTUSDT","DENTUSDT#1686964080000",1686964080000,"0.000665","0.000665","0.000664","0.000665","1113376",1686964139999,"740.282060",15,"1000396","665.263340"
"DENTUSDT","DENTUSDT#1686964140000",1686964140000,"0.000664","0.000665","0.000664","0.000665","3125582",1686964199999,"2078.262226",24,"2875778","1912.392370"
"DENTUSDT","DENTUSDT#1686964200000",1686964200000,"0.000664","0.000665","0.000664","0.000665","1098936",1686964259999,"730.075550",9,"382046","254.060590"
"DENTUSDT","DENTUSDT#1686964260000",1686964260000,"0.000665","0.000665","0.000665","0.000665","311631",1686964319999,"207.234615",1,"311631","207.234615"
"DENTUSDT","DENTUSDT#1686964320000",1686964320000,"0.000665","0.000666","0.000665","0.000666","12732577",1686964379999,"8472.359291",44,"10906653","7258.119831"
"DENTUSDT","DENTUSDT#1686964380000",1686964380000,"0.000665","0.000666","0.000665","0.000666","1516316",1686964439999,"1008.753007",7,"402867","268.309422"
"DENTUSDT","DENTUSDT#1686964440000",1686964440000,"0.000665","0.000666","0.000665","0.000666","1294637",1686964499999,"861.331349",7,"397744","264.897504"
"DENTUSDT","DENTUSDT#1686964500000",1686964500000,"0.000665","0.000666","0.000665","0.000666","4176345",1686964559999,"2780.034781",26,"2765356","1841.727096"
"DENTUSDT","DENTUSDT#1686964560000",1686964560000,"0.000666","0.000666","0.000665","0.000666","2564834",1686964619999,"1706.744347",20,"1129737","752.404842"
