"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"IDUSDT","IDUSDT#1686988860000",1686988860000,"0.3023000","0.3028000","0.3023000","0.3025000","161705",1686988919999,"48928.8326000",282,"95788","28986.0314000"
"IDUSDT","IDUSDT#1686988920000",1686988920000,"0.3024000","0.3026000","0.3023000","0.3024000","73717",1686988979999,"22291.9596000",179,"27771","8398.3846000"
"IDUSDT","IDUSDT#1686988980000",1686988980000,"0.3025000","0.3027000","0.3024000","0.3025000","43702",1686989039999,"13221.7005000",91,"11709","3542.8708000"
"IDUSDT","IDUSDT#1686989040000",1686989040000,"0.3025000","0.3025000","0.3023000","0.3024000","70044",1686989099999,"21183.9104000",107,"8715","2636.1203000"
"IDUSDT","IDUSDT#1686989100000",1686989100000,"0.3024000","0.3024000","0.3016000","0.3017000","156068",1686989159999,"47129.1200000",251,"25938","7832.5345000"
"IDUSDT","IDUSDT#1686989160000",1686989160000,"0.3017000","0.3018000","0.3015000","0.3017000","114881",1686989219999,"34656.6113000",177,"76576","23102.3279000"
"IDUSDT","IDUSDT#1686989220000",1686989220000,"0.3017000","0.3019000","0.3015000","0.3018000","89484",1686989279999,"26998.5083000",141,"57452","17334.3550000"
"IDUSDT","IDUSDT#1686989280000",1686989280000,"0.3018000","0.3018000","0.3014000","0.3017000","62657",1686989339999,"18899.6615000",126,"34429","10384.4541000"
"IDUSDT","IDUSDT#1686989340000",1686989340000,"0.3017000","0.3019000","0.3017000","0.3019000","45171",1686989399999,"13633.8531000",79,"30458","9193.4697000"
"IDUSDT","IDUSDT#1686989400000",1686989400000,"0.3019000","0.3023000","0.3018000","0.3023000","47027",1686989459999,"14202.3646000",86,"42810","12929.3706000"
"IDUSDT","IDUSDT#1686989460000",1686989460000,"0.3024000","0.3028000","0.3024000","0.3028000","122999",1686989519999,"37221.9307000",182,"82564","24985.6785000"
"IDUSDT","IDUSDT#1686989520000",1686989520000,"0.3027000","0.3027000","0.3024000","0.3025000","62573",1686989579999,"18932.1449000",124,"23956","7248.9669000"
"IDUSDT","IDUSDT#1686989580000",1686989580000,"0.3025000","0.3026000","0.3025000","0.3025000","42027",1686989639999,"12715.4717000",84,"23903","7232.6659000"
