"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LDOUSDT","LDOUSDT#1686967260000",1686967260000,"1.750400","1.750700","1.749500","1.750100","17741",1686967319999,"31047.423100",180,"4348","7609.343600"
"LDOUSDT","LDOUSDT#1686967320000",1686967320000,"1.750300","1.750700","1.748400","1.750700","29908",1686967379999,"52321.149000",197,"17103","29919.652500"
"LDOUSDT","LDOUSDT#1686967380000",1686967380000,"1.750600","1.751800","1.749700","1.751600","15571",1686967439999,"27260.929400",170,"8679","15193.907300"
"LDOUSDT","LDOUSDT#1686967440000",1686967440000,"1.751400","1.751600","1.749200","1.749400","93931",1686967499999,"164404.917100",258,"9978","17469.833500"
"LDOUSDT","LDOUSDT#1686967500000",1686967500000,"1.749400","1.750100","1.747600","1.748500","57720",1686967559999,"100938.845500",281,"25696","44948.375500"
"LDOUSDT","LDOUSDT#1686967560000",1686967560000,"1.748600","1.749800","1.748600","1.749200","15478",1686967619999,"27077.045100",123,"8276","14477.008000"
"LDOUSDT","LDOUSDT#1686967620000",1686967620000,"1.749100","1.749400","1.748300","1.749400","12978",1686967679999,"22698.973200",123,"4837","8460.246100"
"LDOUSDT","LDOUSDT#1686967680000",1686967680000,"1.749500","1.750300","1.749300","1.749900","21677",1686967739999,"37928.577800",153,"13083","22891.697300"
"LDOUSDT","LDOUSDT#1686967740000",1686967740000,"1.749500","1.751600","1.748700","1.751600","7897",1686967799999,"13817.160400",63,"3514","6149.554800"
"LDOUSDT","LDOUSDT#1686967800000",1686967800000,"1.751800","1.753400","1.751800","1.753400","33637",1686967859999,"58951.331600",151,"27927","48945.612000"
"LDOUSDT","LDOUSDT#1686967860000",1686967860000,"1.753200","1.754200","1.752700","1.752700","18552",1686967919999,"32530.400800",137,"3326","5832.405800"
"LDOUSDT","LDOUSDT#1686967920000",1686967920000,"1.752600","1.753200","1.751700","1.753200","18773",1686967979999,"32899.332200",144,"9686","16976.368800"
"LDOUSDT","LDOUSDT#1686967980000",1686967980000,"1.752900","1.754100","1.752400","1.753200","8993",1686968039999,"15768.117800",109,"7939","13920.492300"
"LDOUSDT","LDOUSDT#1686968040000",1686968040000,"1.753100","1.753900","1.752500","1.753600","7105",1686968099999,"12453.573400",111,"3856","6758.699900"
"LDOUSDT","LDOUSDT#1686968100000",1686968100000,"1.753700","1.755100","1.753200","1.754500","25908",1686968159999,"45447.311500",195,"13858","24309.777400"
"LDOUSDT","LDOUSDT#1686968160000",1686968160000,"1.754500","1.754700","1.754000","1.754400","6167",1686968219999,"10819.185300",76,"4045","7096.284400"
"LDOUSDT","LDOUSDT#1686968220000",1686968220000,"1.754300","1.755100","1.754200","1.754700","8442",1686968279999,"14813.011600",103,"5859","10281.222800"
"LDOUSDT","LDOUSDT#1686968280000",1686968280000,"1.754700","1.755800","1.754500","1.755300","6836",1686968339999,"11996.430000",90,"2710","4756.661100"
"LDOUSDT","LDOUSDT#1686968340000",1686968340000,"1.755400","1.755900","1.755100","1.755900","8451",1686968399999,"14835.870700",72,"5714","10031.733000"
"LDOUSDT","LDOUSDT#1686968400000",1686968400000,"1.755900","1.756800","1.755000","1.755700","17710",1686968459999,"31096.739000",161,"10590","18596.580600"
"LDOUSDT","LDOUSDT#1686968460000",1686968460000,"1.755700","1.757300","1.755700","1.757300","12926",1686968519999,"22705.898600",108,"12464","21894.077700"
"LDOUSDT","LDOUSDT#1686968520000",1686968520000,"1.757300","1.758400","1.757300","1.758200","30635",1686968579999,"53854.403100",154,"17021","29919.350600"
"LDOUSDT","LDOUSDT#1686968580000",1686968580000,"1.758000","1.759400","1.758000","1.759300","14612",1686968639999,"25703.028900",126,"10953","19266.431200"
"LDOUSDT","LDOUSDT#1686968640000",1686968640000,"1.759100","1.759700","1.758500","1.759200","12803",1686968699999,"22522.364300",92,"10748","18907.145900"
"LDOUSDT","LDOUSDT#1686968700000",1686968700000,"1.759300","1.759700","1.759300","1.759500","5469",1686968759999,"9622.586500",75,"2028","3568.142500"
"LDOUSDT","LDOUSDT#1686968760000",1686968760000,"1.759500","1.759700","1.759200","1.759700","12362",1686968819999,"21750.202300",95,"5129","9024.357000"
"LDOUSDT","LDOUSDT#1686968820000",1686968820000,"1.759600","1.760000","1.759200","1.759300","6421",1686968879999,"11297.359900",55,"1906","3353.944300"
"LDOUSDT","LDOUSDT#1686968880000",1686968880000,"1.759400","1.760700","1.759300","1.760700","10936",1686968939999,"19247.943800",120,"10500","18480.437500"
"LDOUSDT","LDOUSDT#1686968940000",1686968940000,"1.760600","1.762000","1.759200","1.760000","114696",1686968999999,"201898.812300",385,"55404","97521.129100"
"LDOUSDT","LDOUSDT#1686969000000",1686969000000,"1.760000","1.761800","1.760000","1.761700","40999",1686969059999,"72204.097000",184,"27305","48091.223000"
"LDOUSDT","LDOUSDT#1686969060000",1686969060000,"1.761800","1.763000","1.761800","1.762900","34967",1686969119999,"61628.659000",227,"32479","57243.620800"
"LDOUSDT","LDOUSDT#1686969120000",1686969120000,"1.762700","1.762900","1.762300","1.762400","8733",1686969179999,"15393.288400",115,"4206","7413.470600"
"LDOUSDT","LDOUSDT#1686969180000",1686969180000,"1.762400","1.762400","1.761400","1.761500","7010",1686969239999,"12351.020200",81,"1540","2713.009200"
"LDOUSDT","LDOUSDT#1686969240000",1686969240000,"1.761600","1.761600","1.761300","1.761300","3101",1686969299999,"5462.391000",53,"1952","3438.494000"
"LDOUSDT","LDOUSDT#1686969300000",1686969300000,"1.761300","1.761700","1.760200","1.760500","13450",1686969359999,"23685.321400",106,"3744","6593.360500"
"LDOUSDT","LDOUSDT#1686969360000",1686969360000,"1.760500","1.761400","1.760500","1.761100","8640",1686969419999,"15215.781800",91,"5137","9047.007300"
"LDOUSDT","LDOUSDT#1686969420000",1686969420000,"1.761200","1.762200","1.761100","1.761900","13805",1686969479999,"24322.290700",97,"12262","21603.889700"
"LDOUSDT","LDOUSDT#1686969480000",1686969480000,"1.761900","1.762100","1.760300","1.760600","8432",1686969539999,"14852.591400",106,"1231","2168.760100"
"LDOUSDT","LDOUSDT#1686969540000",1686969540000,"1.760600","1.761200","1.760200","1.761000","9759",1686969599999,"17181.787900",73,"4616","8127.313300"
"LDOUSDT","LDOUSDT#1686969600000",1686969600000,"1.760700","1.761100","1.760300","1.760900","8120",1686969659999,"14297.176200",73,"1965","3459.837000"
"LDOUSDT","LDOUSDT#1686969660000",1686969660000,"1.760600","1.761200","1.760400","1.760600","20392",1686969719999,"35907.136600",96,"14974","26367.696000"
"LDOUSDT","LDOUSDT#1686969720000",1686969720000,"1.760700","1.762100","1.760400","1.761400","12994",1686969779999,"22886.910900",91,"6977","12289.225700"
"LDOUSDT","LDOUSDT#1686969780000",1686969780000,"1.761300","1.762500","1.760800","1.761100","37337",1686969839999,"65780.955500",182,"21416","37737.325000"
"LDOUSDT","LDOUSDT#1686969840000",1686969840000,"1.761200","1.761700","1.761200","1.761600","4962",1686969899999,"8740.296600",46,"4532","7982.847400"
"LDOUSDT","LDOUSDT#1686969900000",1686969900000,"1.761500","1.761600","1.759600","1.759600","37193",1686969959999,"65480.496500",140,"9573","16858.806200"
"LDOUSDT","LDOUSDT#1686969960000",1686969960000,"1.759700","1.761500","1.759000","1.761500","20206",1686970019999,"35572.768200",138,"16745","29483.274800"
"LDOUSDT","LDOUSDT#1686970020000",1686970020000,"1.761600","1.761700","1.761000","1.761000","7796",1686970079999,"13730.645800",75,"1740","3064.608800"
"LDOUSDT","LDOUSDT#1686970080000",1686970080000,"1.760800","1.761300","1.759500","1.760000","17897",1686970139999,"31508.056000",131,"3771","6638.028400"
"LDOUSDT","LDOUSDT#1686970140000",1686970140000,"1.759900","1.762800","1.759700","1.761300","42449",1686970199999,"74761.861800",210,"32312","56902.088900"
"LDOUSDT","LDOUSDT#1686970200000",1686970200000,"1.761300","1.763000","1.760500","1.760800","25631",1686970259999,"45156.322200",165,"14785","26050.215200"
"LDOUSDT","LDOUSDT#1686970260000",1686970260000,"1.760800","1.760800","1.759800","1.759800","17199",1686970319999,"30271.777000",86,"4314","7592.820800"
"LDOUSDT","LDOUSDT#1686970320000",1686970320000,"1.759700","1.760200","1.759700","1.760100","6519",1686970379999,"11472.960700",90,"5575","9811.700300"
"LDOUSDT","LDOUSDT#1686970380000",1686970380000,"1.759800","1.759800","1.759600","1.759800","1098",1686970439999,"1932.195700",25,"696","1224.766100"
"LDOUSDT","LDOUSDT#1686970440000",1686970440000,"1.759800","1.760100","1.759800","1.760000","3306",1686970499999,"5818.651600",51,"1269","2233.351500"
"LDOUSDT","LDOUSDT#1686970500000",1686970500000,"1.760200","1.760700","1.759300","1.759300","10035",1686970559999,"17663.963500",115,"5458","9607.255200"
"LDOUSDT","LDOUSDT#1686970560000",1686970560000,"1.759200","1.759500","1.757400","1.758900","69604",1686970619999,"122371.088200",296,"31321","55066.135600"
"LDOUSDT","LDOUSDT#1686970620000",1686970620000,"1.759000","1.759700","1.758500","1.759300","12450",1686970679999,"21899.180100",70,"3279","5768.072600"
"LDOUSDT","LDOUSDT#1686970680000",1686970680000,"1.759300","1.759300","1.758700","1.758700","4287",1686970739999,"7540.802900",56,"1607","2826.907800"
"LDOUSDT","LDOUSDT#1686970740000",1686970740000,"1.758800","1.759200","1.758300","1.759200","7895",1686970799999,"13884.202100",92,"2821","4961.432100"
"LDOUSDT","LDOUSDT#1686970800000",1686970800000,"1.759200","1.760400","1.758700","1.758800","22420",1686970859999,"39453.658100",193,"11245","19786.260400"
