"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"XLMUSDT","XLMUSDT#1687014060000",1687014060000,"0.07920","0.07934","0.07920","0.07934","769012",1687014119999,"60943.42982",172,"689853","54671.70759"
"XLMUSDT","XLMUSDT#1687014120000",1687014120000,"0.07934","0.07957","0.07933","0.07956","966765",1687014179999,"76808.30144",256,"720909","57274.87846"
"XLMUSDT","XLMUSDT#1687014180000",1687014180000,"0.07956","0.07982","0.07955","0.07981","1455539",1687014239999,"116005.57859",489,"1071988","85467.14470"
"XLMUSDT","XLMUSDT#1687014240000",1687014240000,"0.07981","0.07984","0.07953","0.07954","1055447",1687014299999,"84177.50208",462,"284256","22684.55863"
"XLMUSDT","XLMUSDT#1687014300000",1687014300000,"0.07954","0.07958","0.07948","0.07951","372331",1687014359999,"29615.90403",169,"233654","18584.81480"
"XLMUSDT","XLMUSDT#1687014360000",1687014360000,"0.07951","0.07962","0.07951","0.07959","217516",1687014419999,"17310.27218",122,"132796","10567.14334"
"XLMUSDT","XLMUSDT#1687014420000",1687014420000,"0.07960","0.07972","0.07959","0.07972","203158",1687014479999,"16182.91466",138,"154892","12338.76798"
"XLMUSDT","XLMUSDT#1687014480000",1687014480000,"0.07971","0.07984","0.07968","0.07980","854912",1687014539999,"68196.45157",294,"561737","44811.93666"
"XLMUSDT","XLMUSDT#1687014540000",1687014540000,"0.07980","0.07980","0.07967","0.07970","798912",1687014599999,"63695.08484",224,"47621","3796.03517"
"XLMUSDT","XLMUSDT#1687014600000",1687014600000,"0.07970","0.07970","0.07958","0.07961","727998",1687014659999,"57972.39726",267,"285950","22761.31139"
"XLMUSDT","XLMUSDT#1687014660000",1687014660000,"0.07961","0.07963","0.07960","0.07963","112230",1687014719999,"8934.95348",50,"92102","7332.62870"
"XLMUSDT","XLMUSDT#1687014720000",1687014720000,"0.07963","0.07972","0.07963","0.07972","303523",1687014779999,"24181.83647",77,"272745","21728.76799"
"XLMUSDT","XLMUSDT#1687014780000",1687014780000,"0.07972","0.07972","0.07962","0.07962","450940",1687014839999,"35925.24267",169,"56252","4479.27912"
"XLMUSDT","XLMUSDT#1687014840000",1687014840000,"0.07962","0.07968","0.07959","0.07965","290916",1687014899999,"23165.29223",148,"180859","14401.01394"
"XLMUSDT","XLMUSDT#1687014900000",1687014900000,"0.07965","0.07972","0.07956","0.07970","778042",1687014959999,"61970.07177",277,"424114","33792.14680"
"XLMUSDT","XLMUSDT#1687014960000",1687014960000,"0.07970","0.07971","0.07914","0.07963","3518482",1687015019999,"279453.89773",955,"1267866","100705.09531"
