"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"AMBUSDT","AMBUSDT#1687071660000",1687071660000,"0.0080600","0.0080600","0.0080500","0.0080600","186029",1687071719999,"1498.3424100",25,"80896","652.0217600"
"AMBUSDT","AMBUSDT#1687071720000",1687071720000,"0.0080600","0.0080600","0.0080400","0.0080400","1547858",1687071779999,"12459.1295900",112,"329694","2654.8663600"
"AMBUSDT","AMBUSDT#1687071780000",1687071780000,"0.0080400","0.0080600","0.0080300","0.0080300","4025610",1687071839999,"32382.1508900",157,"1700499","13683.5346200"
"AMBUSDT","AMBUSDT#1687071840000",1687071840000,"0.0080400","0.0080400","0.0080300","0.0080300","2875725",1687071899999,"23109.9687100",120,"1447827","11637.4399600"
"AMBUSDT","AMBUSDT#1687071900000",1687071900000,"0.0080400","0.0080400","0.0080300","0.0080400","1372964",1687071959999,"11031.9478300",66,"704691","5665.7156400"
"AMBUSDT","AMBUSDT#1687071960000",1687071960000,"0.0080400","0.0080500","0.0080400","0.0080400","1759180",1687072019999,"14144.1181900",51,"581173","4672.9419100"
"AMBUSDT","AMBUSDT#1687072020000",1687072020000,"0.0080400","0.0080500","0.0080400","0.0080500","1180569",1687072079999,"9494.0276700",33,"1180569","9494.0276700"
"AMBUSDT","AMBUSDT#1687072080000",1687072080000,"0.0080400","0.0080500","0.0080400","0.0080500","2507238",1687072139999,"20166.3042800",80,"992116","7982.7186800"
"AMBUSDT","AMBUSDT#1687072140000",1687072140000,"0.0080400","0.0080500","0.0080300","0.0080400","1778467",1687072199999,"14299.1431400",54,"101989","820.2673300"
"AMBUSDT","AMBUSDT#1687072200000",1687072200000,"0.0080400","0.0080400","0.0080300","0.0080300","609947",1687072259999,"4903.5385700",26,"269368","2165.7187200"
"AMBUSDT","AMBUSDT#1687072260000",1687072260000,"0.0080400","0.0080400","0.0080400","0.0080400","30916",1687072319999,"248.5646400",3,"30916","248.5646400"
"AMBUSDT","AMBUSDT#1687072320000",1687072320000,"0.0080400","0.0080500","0.0080400","0.0080500","740266",1687072379999,"5952.1903400",30,"727084","5846.2070600"
