"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"BLURUSDT","BLURUSDT#1687104060000",1687104060000,"0.3544000","0.3544000","0.3538000","0.3541000","72216",1687104119999,"25563.9063000",186,"39788","14085.0029000"
"BLURUSDT","BLURUSDT#1687104120000",1687104120000,"0.3541000","0.3544000","0.3540000","0.3544000","16371",1687104179999,"5798.3970000",43,"9790","3468.1087000"
"BLURUSDT","BLURUSDT#1687104180000",1687104180000,"0.3544000","0.3545000","0.3535000","0.3537000","152591",1687104239999,"54021.9227000",174,"16696","5912.2507000"
"BLURUSDT","BLURUSDT#1687104240000",1687104240000,"0.3538000","0.3542000","0.3537000","0.3542000","30173",1687104299999,"10680.7579000",54,"22534","7975.7349000"
"BLURUSDT","BLURUSDT#1687104300000",1687104300000,"0.3543000","0.3547000","0.3543000","0.3546000","34406",1687104359999,"12195.4883000",115,"20402","7231.9735000"
"BLURUSDT","BLURUSDT#1687104360000",1687104360000,"0.3545000","0.3547000","0.3544000","0.3547000","12403",1687104419999,"4397.8178000",28,"8793","3118.1146000"
"BLURUSDT","BLURUSDT#1687104420000",1687104420000,"0.3547000","0.3552000","0.3546000","0.3549000","61267",1687104479999,"21743.5830000",150,"41340","14674.5261000"
"BLURUSDT","BLURUSDT#1687104480000",1687104480000,"0.3550000","0.3553000","0.3548000","0.3552000","27513",1687104539999,"9769.4686000",85,"18673","6630.9377000"
"BLURUSDT","BLURUSDT#1687104540000",1687104540000,"0.3552000","0.3561000","0.3552000","0.3558000","133970",1687104599999,"47658.2167000",290,"95892","34115.9099000"
"BLURUSDT","BLURUSDT#1687104600000",1687104600000,"0.3558000","0.3563000","0.3557000","0.3561000","105733",1687104659999,"37636.8456000",295,"60101","21398.2305000"
"BLURUSDT","BLURUSDT#1687104660000",1687104660000,"0.3559000","0.3560000","0.3556000","0.3558000","26278",1687104719999,"9351.0523000",72,"14153","5036.8262000"
"BLURUSDT","BLURUSDT#1687104720000",1687104720000,"0.3558000","0.3561000","0.3557000","0.3561000","24080",1687104779999,"8573.3172000",53,"13414","4776.2402000"
"BLURUSDT","BLURUSDT#1687104780000",1687104780000,"0.3561000","0.3561000","0.3558000","0.3561000","42137",1687104839999,"14998.8521000",88,"10850","3862.2740000"
"BLURUSDT","BLURUSDT#1687104840000",1687104840000,"0.3561000","0.3564000","0.3554000","0.3557000","108136",1687104899999,"38476.6406000",206,"37070","13193.4939000"
"BLURUSDT","BLURUSDT#1687104900000",1687104900000,"0.3558000","0.3558000","0.3552000","0.3554000","22722",1687104959999,"8078.0748000",61,"6752","2400.6520000"
"BLURUSDT","BLURUSDT#1687104960000",1687104960000,"0.3554000","0.3554000","0.3550000","0.3550000","27595",1687105019999,"9803.9027000",73,"7212","2562.5500000"
"BLURUSDT","BLURUSDT#1687105020000",1687105020000,"0.3551000","0.3553000","0.3550000","0.3553000","10745",1687105079999,"3815.6563000",41,"7212","2561.2222000"
"BLURUSDT","BLURUSDT#1687105080000",1687105080000,"0.3552000","0.3570000","0.3550000","0.3568000","142407",1687105139999,"50728.5566000",276,"104202","37108.3467000"
"BLURUSDT","BLURUSDT#1687105140000",1687105140000,"0.3567000","0.3569000","0.3563000","0.3567000","119989",1687105199999,"42791.2528000",226,"49941","17814.7007000"
"BLURUSDT","BLURUSDT#1687105200000",1687105200000,"0.3567000","0.3573000","0.3567000","0.3570000","88539",1687105259999,"31610.2048000",184,"65084","23237.1073000"
"BLURUSDT","BLURUSDT#1687105260000",1687105260000,"0.3570000","0.3570000","0.3566000","0.3567000","19362",1687105319999,"6908.9213000",73,"5140","1834.1762000"
"BLURUSDT","BLURUSDT#1687105320000",1687105320000,"0.3568000","0.3573000","0.3568000","0.3573000","20621",1687105379999,"7363.3868000",71,"17983","6421.1696000"
"BLURUSDT","BLURUSDT#1687105380000",1687105380000,"0.3573000","0.3582000","0.3570000","0.3581000","202817",1687105439999,"72546.8848000",333,"141756","50711.4657000"
"BLURUSDT","BLURUSDT#1687105440000",1687105440000,"0.3581000","0.3588000","0.3578000","0.3583000","226380",1687105499999,"81079.2440000",290,"66297","23758.6462000"
"BLURUSDT","BLURUSDT#1687105500000",1687105500000,"0.3584000","0.3587000","0.3578000","0.3578000","49628",1687105559999,"17773.8888000",150,"21174","7584.2244000"
"BLURUSDT","BLURUSDT#1687105560000",1687105560000,"0.3579000","0.3581000","0.3575000","0.3578000","50966",1687105619999,"18232.1621000",98,"17314","6194.8778000"
"BLURUSDT","BLURUSDT#1687105620000",1687105620000,"0.3577000","0.3579000","0.3574000","0.3577000","49971",1687105679999,"17868.1986000",100,"15940","5701.3629000"
"BLURUSDT","BLURUSDT#1687105680000",1687105680000,"0.3577000","0.3577000","0.3575000","0.3575000","7890",1687105739999,"2821.5507000",43,"1556","556.4256000"
"BLURUSDT","BLURUSDT#1687105740000",1687105740000,"0.3575000","0.3575000","0.3569000","0.3569000","37987",1687105799999,"13566.9950000",93,"6915","2469.4352000"
"BLURUSDT","BLURUSDT#1687105800000",1687105800000,"0.3570000","0.3573000","0.3568000","0.3573000","28581",1687105859999,"10203.2538000",77,"20701","7390.6765000"
"BLURUSDT","BLURUSDT#1687105860000",1687105860000,"0.3572000","0.3575000","0.3569000","0.3575000","13851",1687105919999,"4946.5726000",43,"6117","2185.1753000"
"BLURUSDT","BLURUSDT#1687105920000",1687105920000,"0.3575000","0.3577000","0.3573000","0.3573000","18824",1687105979999,"6730.0007000",65,"12314","4402.7198000"
"BLURUSDT","BLURUSDT#1687105980000",1687105980000,"0.3575000","0.3575000","0.3571000","0.3573000","3609",1687106039999,"1289.4986000",17,"2027","724.1697000"
"BLURUSDT","BLURUSDT#1687106040000",1687106040000,"0.3574000","0.3574000","0.3572000","0.3572000","4015",1687106099999,"1434.6239000",15,"848","303.0548000"
"BLURUSDT","BLURUSDT#1687106100000",1687106100000,"0.3573000","0.3573000","0.3569000","0.3570000","15792",1687106159999,"5639.1873000",68,"2605","930.3777000"
"BLURUSDT","BLURUSDT#1687106160000",1687106160000,"0.3572000","0.3572000","0.3569000","0.3570000","15778",1687106219999,"5632.0805000",33,"1986","709.1278000"
