"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"CELRUSDT","CELRUSDT#1687042860000",1687042860000,"0.01503","0.01504","0.01503","0.01504","256126",1687042919999,"3850.21233",60,"255373","3838.89474"
"CELRUSDT","CELRUSDT#1687042920000",1687042920000,"0.01504","0.01504","0.01503","0.01504","162312",1687042979999,"2440.91617",39,"136681","2055.68224"
"CELRUSDT","CELRUSDT#1687042980000",1687042980000,"0.01504","0.01504","0.01503","0.01504","221253",1687043039999,"3327.45881",65,"202622","3047.43488"
"CELRUSDT","CELRUSDT#1687043040000",1687043040000,"0.01504","0.01505","0.01503","0.01505","71664",1687043099999,"1077.99544",36,"68252","1026.71308"
"CELRUSDT","CELRUSDT#1687043100000",1687043100000,"0.01505","0.01505","0.01504","0.01505","339122",1687043159999,"5103.61456",65,"321968","4845.61840"
"CELRUSDT","CELRUSDT#1687043160000",1687043160000,"0.01505","0.01505","0.01505","0.01505","0",1687043219999,"0.00000",0,"0","0.00000"
"CELRUSDT","CELRUSDT#1687043220000",1687043220000,"0.01505","0.01505","0.01504","0.01504","315005",1687043279999,"4740.72105",32,"0","0.00000"
"CELRUSDT","CELRUSDT#1687043280000",1687043280000,"0.01505","0.01505","0.01505","0.01505","38454",1687043339999,"578.73270",7,"38454","578.73270"
"CELRUSDT","CELRUSDT#1687043340000",1687043340000,"0.01505","0.01505","0.01504","0.01505","56923",1687043399999,"856.29468",13,"17276","260.00380"
"CELRUSDT","CELRUSDT#1687043400000",1687043400000,"0.01504","0.01504","0.01502","0.01503","1085821",1687043459999,"16328.41882",68,"60127","903.70881"
"CELRUSDT","CELRUSDT#1687043460000",1687043460000,"0.01503","0.01503","0.01502","0.01503","15948",1687043519999,"239.69505",5,"15609","234.60327"
"CELRUSDT","CELRUSDT#1687043520000",1687043520000,"0.01502","0.01503","0.01501","0.01502","174003",1687043579999,"2613.50889",20,"20209","303.57555"
"CELRUSDT","CELRUSDT#1687043580000",1687043580000,"0.01502","0.01502","0.01502","0.01502","807",1687043639999,"12.12114",1,"807","12.12114"
"CELRUSDT","CELRUSDT#1687043640000",1687043640000,"0.01501","0.01502","0.01501","0.01502","35971",1687043699999,"539.93278",8,"807","12.12114"
"CELRUSDT","CELRUSDT#1687043700000",1687043700000,"0.01501","0.01502","0.01501","0.01502","122488",1687043759999,"1839.53333",21,"98845","1484.65190"
"CELRUSDT","CELRUSDT#1687043760000",1687043760000,"0.01501","0.01501","0.01497","0.01497","868440",1687043819999,"13026.13461",54,"1578","23.63844"
"CELRUSDT","CELRUSDT#1687043820000",1687043820000,"0.01498","0.01498","0.01495","0.01495","1751546",1687043879999,"26207.13505",131,"1059264","15847.22798"
"CELRUSDT","CELRUSDT#1687043880000",1687043880000,"0.01496","0.01497","0.01496","0.01497","628491",1687043939999,"9403.96132",84,"565290","8457.84235"
"CELRUSDT","CELRUSDT#1687043940000",1687043940000,"0.01497","0.01498","0.01497","0.01497","367257",1687043999999,"5498.14780",62,"295469","4423.48144"
"CELRUSDT","CELRUSDT#1687044000000",1687044000000,"0.01497","0.01498","0.01497","0.01498","152978",1687044059999,"2291.09784",19,"101718","1523.73564"
"CELRUSDT","CELRUSDT#1687044060000",1687044060000,"0.01498","0.01498","0.01497","0.01498","643041",1687044119999,"9629.34122",59,"222162","3327.98676"
"CELRUSDT","CELRUSDT#1687044120000",1687044120000,"0.01498","0.01498","0.01497","0.01497","242833",1687044179999,"3637.46379",31,"137308","2056.87384"
"CELRUSDT","CELRUSDT#1687044180000",1687044180000,"0.01498","0.01498","0.01498","0.01498","420",1687044239999,"6.29160",1,"420","6.29160"
"CELRUSDT","CELRUSDT#1687044240000",1687044240000,"0.01498","0.01498","0.01496","0.01496","366750",1687044299999,"5488.39928",45,"77295","1156.36616"
"CELRUSDT","CELRUSDT#1687044300000",1687044300000,"0.01496","0.01498","0.01496","0.01497","342969",1687044359999,"5132.19359",51,"273419","4091.70839"
"CELRUSDT","CELRUSDT#1687044360000",1687044360000,"0.01498","0.01498","0.01498","0.01498","154396",1687044419999,"2312.85208",51,"154396","2312.85208"
"CELRUSDT","CELRUSDT#1687044420000",1687044420000,"0.01497","0.01497","0.01497","0.01497","147171",1687044479999,"2203.14987",24,"0","0.00000"
"CELRUSDT","CELRUSDT#1687044480000",1687044480000,"0.01496","0.01496","0.01494","0.01494","708774",1687044539999,"10597.65971",63,"51232","766.43072"
"CELRUSDT","CELRUSDT#1687044540000",1687044540000,"0.01495","0.01496","0.01494","0.01496","320675",1687044599999,"4794.29968",58,"314182","4697.26560"
"CELRUSDT","CELRUSDT#1687044600000",1687044600000,"0.01496","0.01499","0.01495","0.01499","716255",1687044659999,"10720.02726",95,"678799","10160.06006"
"CELRUSDT","CELRUSDT#1687044660000",1687044660000,"0.01498","0.01498","0.01495","0.01495","736086",1687044719999,"11018.66384",71,"668","9.99328"
"CELRUSDT","CELRUSDT#1687044720000",1687044720000,"0.01495","0.01496","0.01495","0.01495","292323",1687044779999,"4370.53573",35,"224349","3354.32443"
"CELRUSDT","CELRUSDT#1687044780000",1687044780000,"0.01496","0.01496","0.01494","0.01494","469623",1687044839999,"7017.22878",61,"184594","2758.04430"
