"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ETCUSDT","ETCUSDT#1687089660000",1687089660000,"15.456","15.457","15.453","15.455","1494.78",1687089719999,"23101.87338",112,"527.24","8148.36982"
"ETCUSDT","ETCUSDT#1687089720000",1687089720000,"15.455","15.455","15.448","15.455","1405.77",1687089779999,"21721.53860",90,"719.59","11119.24340"
"ETCUSDT","ETCUSDT#1687089780000",1687089780000,"15.454","15.455","15.453","15.454","1534.14",1687089839999,"23709.17992",143,"1250.55","19326.58006"
"ETCUSDT","ETCUSDT#1687089840000",1687089840000,"15.454","15.457","15.432","15.438","18008.85",1687089899999,"278104.92970",373,"2029.25","31345.44708"
"ETCUSDT","ETCUSDT#1687089900000",1687089900000,"15.438","15.446","15.436","15.438","4053.05",1687089959999,"62590.66265",265,"2832.02","43733.68370"
"ETCUSDT","ETCUSDT#1687089960000",1687089960000,"15.439","15.445","15.439","15.440","1531.84",1687090019999,"23654.34111",132,"1117.81","17260.85319"
"ETCUSDT","ETCUSDT#1687090020000",1687090020000,"15.439","15.445","15.438","15.445","1836.14",1687090079999,"28352.31281",199,"1376.45","21254.81264"
"ETCUSDT","ETCUSDT#1687090080000",1687090080000,"15.446","15.459","15.442","15.458","2298.43",1687090139999,"35511.02451",140,"1541.75","23819.99029"
"ETCUSDT","ETCUSDT#1687090140000",1687090140000,"15.457","15.459","15.451","15.452","1248.28",1687090199999,"19294.20983",115,"495.37","7657.00709"
"ETCUSDT","ETCUSDT#1687090200000",1687090200000,"15.452","15.463","15.451","15.462","2615.95",1687090259999,"40434.99429",166,"1873.73","28961.94522"
"ETCUSDT","ETCUSDT#1687090260000",1687090260000,"15.462","15.466","15.454","15.454","2150.50",1687090319999,"33248.23819",153,"952.20","14722.45529"
"ETCUSDT","ETCUSDT#1687090320000",1687090320000,"15.455","15.456","15.443","15.446","863.76",1687090379999,"13344.86051",65,"45.72","706.30044"
"ETCUSDT","ETCUSDT#1687090380000",1687090380000,"15.447","15.449","15.446","15.448","442.77",1687090439999,"6839.88939",54,"95.71","1478.51471"
"ETCUSDT","ETCUSDT#1687090440000",1687090440000,"15.446","15.447","15.442","15.443","361.27",1687090499999,"5579.61536",51,"12.38","191.22270"
"ETCUSDT","ETCUSDT#1687090500000",1687090500000,"15.444","15.446","15.436","15.436","735.12",1687090559999,"11351.96037",84,"119.34","1843.15137"
"ETCUSDT","ETCUSDT#1687090560000",1687090560000,"15.436","15.437","15.424","15.424","1793.02",1687090619999,"27670.39783",105,"605.36","9343.27395"
"ETCUSDT","ETCUSDT#1687090620000",1687090620000,"15.425","15.428","15.424","15.425","685.47",1687090679999,"10573.64878",61,"218.06","3363.77473"
"ETCUSDT","ETCUSDT#1687090680000",1687090680000,"15.427","15.427","15.407","15.409","1820.03",1687090739999,"28050.44813",107,"522.92","8059.36231"
"ETCUSDT","ETCUSDT#1687090740000",1687090740000,"15.410","15.415","15.405","15.412","2854.29",1687090799999,"43985.42970",108,"1813.61","27950.72111"
"ETCUSDT","ETCUSDT#1687090800000",1687090800000,"15.411","15.411","15.396","15.396","2988.90",1687090859999,"46035.37102",184,"547.41","8430.90220"
"ETCUSDT","ETCUSDT#1687090860000",1687090860000,"15.396","15.400","15.391","15.398","1998.04",1687090919999,"30756.75533",132,"1102.71","16974.85592"
"ETCUSDT","ETCUSDT#1687090920000",1687090920000,"15.397","15.403","15.395","15.403","1906.56",1687090979999,"29359.04628",80,"1457.88","22450.44290"
"ETCUSDT","ETCUSDT#1687090980000",1687090980000,"15.403","15.407","15.398","15.407","1479.51",1687091039999,"22787.80577",102,"633.86","9764.40888"
"ETCUSDT","ETCUSDT#1687091040000",1687091040000,"15.407","15.410","15.403","15.403","2674.02",1687091099999,"41199.26253",107,"2260.58","34830.25658"
"ETCUSDT","ETCUSDT#1687091100000",1687091100000,"15.403","15.403","15.390","15.399","3909.61",1687091159999,"60186.10449",165,"789.56","12156.85037"
"ETCUSDT","ETCUSDT#1687091160000",1687091160000,"15.399","15.399","15.389","15.392","2619.48",1687091219999,"40318.98486",166,"559.84","8616.62682"
"ETCUSDT","ETCUSDT#1687091220000",1687091220000,"15.391","15.394","15.385","15.391","2147.08",1687091279999,"33041.64091",119,"948.30","14595.14408"
"ETCUSDT","ETCUSDT#1687091280000",1687091280000,"15.391","15.392","15.372","15.373","4705.73",1687091339999,"72377.88412",241,"1004.70","15455.46819"
"ETCUSDT","ETCUSDT#1687091340000",1687091340000,"15.374","15.379","15.372","15.375","2603.28",1687091399999,"40028.57743",140,"849.11","13056.48443"
"ETCUSDT","ETCUSDT#1687091400000",1687091400000,"15.376","15.387","15.374","15.383","3707.18",1687091459999,"57013.47972",176,"2577.14","39637.29043"
"ETCUSDT","ETCUSDT#1687091460000",1687091460000,"15.382","15.382","15.344","15.349","20359.61",1687091519999,"312738.87108",569,"2839.62","43623.22445"
"ETCUSDT","ETCUSDT#1687091520000",1687091520000,"15.349","15.360","15.340","15.354","6437.26",1687091579999,"98805.82975",350,"2835.85","43531.20119"
"ETCUSDT","ETCUSDT#1687091580000",1687091580000,"15.355","15.365","15.351","15.356","3555.49",1687091639999,"54603.42051",197,"1011.36","15531.94985"
"ETCUSDT","ETCUSDT#1687091640000",1687091640000,"15.357","15.364","15.352","15.362","1821.12",1687091699999,"27967.49658",134,"1056.65","16227.67265"
"ETCUSDT","ETCUSDT#1687091700000",1687091700000,"15.362","15.362","15.350","15.360","2364.43",1687091759999,"36309.76455",110,"1845.96","28347.84345"
"ETCUSDT","ETCUSDT#1687091760000",1687091760000,"15.360","15.367","15.354","15.364","1553.20",1687091819999,"23859.68787",120,"666.43","10236.94085"
"ETCUSDT","ETCUSDT#1687091820000",1687091820000,"15.364","15.374","15.364","15.372","1867.26",1687091879999,"28701.60942",114,"1321.73","20315.95957"
"ETCUSDT","ETCUSDT#1687091880000",1687091880000,"15.372","15.378","15.367","15.375","1929.19",1687091939999,"29658.30054",117,"1154.29","17746.19605"
"ETCUSDT","ETCUSDT#1687091940000",1687091940000,"15.375","15.379","15.371","15.376","982.03",1687091999999,"15098.99614",61,"303.12","4660.73619"
"ETCUSDT","ETCUSDT#1687092000000",1687092000000,"15.376","15.382","15.376","15.381","758.29",1687092059999,"11661.52019",81,"527.33","8109.81761"
"ETCUSDT","ETCUSDT#1687092060000",1687092060000,"15.380","15.380","15.371","15.375","1042.68",1687092119999,"16034.24114",102,"668.87","10286.17974"
"ETCUSDT","ETCUSDT#1687092120000",1687092120000,"15.375","15.382","15.375","15.382","825.08",1687092179999,"12688.46035",79,"416.77","6409.57868"
"ETCUSDT","ETCUSDT#1687092180000",1687092180000,"15.383","15.392","15.383","15.388","2520.01",1687092239999,"38779.74663",117,"933.35","14362.64293"
"ETCUSDT","ETCUSDT#1687092240000",1687092240000,"15.389","15.413","15.387","15.407","6754.89",1687092299999,"104052.23664",287,"4745.78","73103.52704"
"ETCUSDT","ETCUSDT#1687092300000",1687092300000,"15.407","15.411","15.393","15.407","3840.22",1687092359999,"59147.99119",176,"1801.75","27751.71110"
"ETCUSDT","ETCUSDT#1687092360000",1687092360000,"15.408","15.422","15.408","15.416","1723.82",1687092419999,"26573.81825",138,"1173.91","18096.50567"
"ETCUSDT","ETCUSDT#1687092420000",1687092420000,"15.415","15.424","15.411","15.420","6835.92",1687092479999,"105397.28947",234,"5046.95","77815.79644"
"ETCUSDT","ETCUSDT#1687092480000",1687092480000,"15.421","15.424","15.417","15.423","1847.70",1687092539999,"28494.22211",95,"243.50","3754.90610"
"ETCUSDT","ETCUSDT#1687092540000",1687092540000,"15.423","15.433","15.422","15.428","2578.55",1687092599999,"39780.86345",133,"1625.73","25080.08442"
"ETCUSDT","ETCUSDT#1687092600000",1687092600000,"15.428","15.435","15.427","15.434","1325.08",1687092659999,"20447.39037",102,"439.56","6782.99827"
"ETCUSDT","ETCUSDT#1687092660000",1687092660000,"15.434","15.434","15.427","15.429","776.55",1687092719999,"11981.08939",87,"164.79","2542.41758"
"ETCUSDT","ETCUSDT#1687092720000",1687092720000,"15.428","15.428","15.416","15.425","2283.07",1687092779999,"35207.12608",99,"731.81","11285.17954"
"ETCUSDT","ETCUSDT#1687092780000",1687092780000,"15.424","15.432","15.424","15.427","1020.36",1687092839999,"15742.02127",95,"844.76","13032.83820"
"ETCUSDT","ETCUSDT#1687092840000",1687092840000,"15.428","15.434","15.426","15.433","547.62",1687092899999,"8449.97645",68,"409.75","6322.51251"
"ETCUSDT","ETCUSDT#1687092900000",1687092900000,"15.432","15.438","15.432","15.434","1779.47",1687092959999,"27464.87135",147,"663.56","10241.86350"
"ETCUSDT","ETCUSDT#1687092960000",1687092960000,"15.435","15.437","15.435","15.436","351.22",1687093019999,"5421.38367",51,"40.30","622.07526"
"ETCUSDT","ETCUSDT#1687093020000",1687093020000,"15.436","15.436","15.435","15.436","111.97",1687093079999,"1728.26345",17,"6.50","100.33400"
"ETCUSDT","ETCUSDT#1687093080000",1687093080000,"15.436","15.438","15.436","15.437","683.74",1687093139999,"10554.68519",73,"155.70","2403.57289"
"ETCUSDT","ETCUSDT#1687093140000",1687093140000,"15.437","15.440","15.433","15.433","1441.57",1687093199999,"22252.81025",91,"376.87","5818.47518"
"ETCUSDT","ETCUSDT#1687093200000",1687093200000,"15.433","15.443","15.432","15.443","1205.68",1687093259999,"18615.23413",116,"1002.40","15477.38633"
