"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"ETHBUSD","ETHBUSD#1687111260000",1687111260000,"1744.40","1744.40","1744.31","1744.31","15.335",1687111319999,"26749.84090",41,"0.000","0.00000"
"ETHBUSD","ETHBUSD#1687111320000",1687111320000,"1744.31","1744.31","1744.20","1744.20","17.969",1687111379999,"31342.03382",38,"0.000","0.00000"
"ETHBUSD","ETHBUSD#1687111380000",1687111380000,"1744.20","1744.20","1741.39","1741.63","400.600",1687111439999,"698064.52310",327,"133.932","233332.69182"
"ETHBUSD","ETHBUSD#1687111440000",1687111440000,"1741.63","1741.64","1741.39","1741.39","65.425",1687111499999,"113935.63737",78,"18.873","32867.32716"
"ETHBUSD","ETHBUSD#1687111500000",1687111500000,"1741.39","1741.39","1740.92","1741.20","76.311",1687111559999,"132859.02492",150,"23.700","41262.03356"
"ETHBUSD","ETHBUSD#1687111560000",1687111560000,"1741.38","1741.59","1741.38","1741.59","37.637",1687111619999,"65541.03218",58,"34.839","60668.65094"
"ETHBUSD","ETHBUSD#1687111620000",1687111620000,"1741.59","1742.20","1741.20","1741.20","126.311",1687111679999,"220022.79375",152,"47.270","82332.67293"
"ETHBUSD","ETHBUSD#1687111680000",1687111680000,"1741.20","1741.20","1740.93","1740.94","12.220",1687111739999,"21275.63545",49,"0.007","12.18706"
"ETHBUSD","ETHBUSD#1687111740000",1687111740000,"1740.93","1741.04","1740.93","1741.04","27.906",1687111799999,"48582.67677",40,"26.539","46202.82546"
"ETHBUSD","ETHBUSD#1687111800000",1687111800000,"1741.16","1741.16","1740.16","1740.16","57.057",1687111859999,"99318.41737",136,"2.367","4120.51046"
"ETHBUSD","ETHBUSD#1687111860000",1687111860000,"1740.16","1740.16","1739.42","1739.64","89.997",1687111919999,"156566.82325",188,"21.872","38047.79249"
"ETHBUSD","ETHBUSD#1687111920000",1687111920000,"1739.68","1740.04","1739.60","1739.60","54.562",1687111979999,"94924.33937",79,"48.305","84038.88767"
"ETHBUSD","ETHBUSD#1687111980000",1687111980000,"1739.60","1739.60","1739.40","1739.54","37.392",1687112039999,"65042.85000",57,"20.613","35855.86771"
"ETHBUSD","ETHBUSD#1687112040000",1687112040000,"1739.54","1739.54","1738.68","1738.69","306.235",1687112099999,"532607.89340",223,"4.948","8603.07044"
"ETHBUSD","ETHBUSD#1687112100000",1687112100000,"1738.69","1739.89","1738.68","1739.66","180.182",1687112159999,"313397.46497",169,"112.644","195895.14923"
"ETHBUSD","ETHBUSD#1687112160000",1687112160000,"1739.65","1739.66","1739.65","1739.65","9.812",1687112219999,"17069.47571",43,"2.991","5203.32306"
"ETHBUSD","ETHBUSD#1687112220000",1687112220000,"1739.65","1739.80","1739.65","1739.79","59.129",1687112279999,"102864.67103",40,"56.897","98981.71077"
"ETHBUSD","ETHBUSD#1687112280000",1687112280000,"1739.79","1739.80","1739.55","1739.55","79.658",1687112339999,"138587.56388",86,"6.427","11181.69460"
"ETHBUSD","ETHBUSD#1687112340000",1687112340000,"1739.54","1739.54","1739.00","1739.00","24.308",1687112399999,"42279.59164",75,"1.673","2909.41953"
"ETHBUSD","ETHBUSD#1687112400000",1687112400000,"1739.01","1739.25","1739.00","1739.25","72.798",1687112459999,"126604.32131",153,"71.164","123762.78403"
"ETHBUSD","ETHBUSD#1687112460000",1687112460000,"1739.25","1739.59","1738.66","1738.66","158.421",1687112519999,"275558.54840",137,"25.670","44648.29318"
"ETHBUSD","ETHBUSD#1687112520000",1687112520000,"1738.67","1738.97","1737.25","1737.25","299.397",1687112579999,"520457.46861",271,"118.877","206684.45464"
"ETHBUSD","ETHBUSD#1687112580000",1687112580000,"1737.26","1738.33","1737.25","1738.33","91.796",1687112639999,"159520.96748",151,"68.675","119344.20052"
