"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"HIGHUSDT","HIGHUSDT#1687071660000",1687071660000,"1.283000","1.285000","1.283000","1.284000","5333.2",1687071719999,"6847.9075000",72,"3873.9","4974.4431000"
"HIGHUSDT","HIGHUSDT#1687071720000",1687071720000,"1.285000","1.285000","1.284000","1.284000","728.9",1687071779999,"935.9408000",4,"33.2","42.6620000"
"HIGHUSDT","HIGHUSDT#1687071780000",1687071780000,"1.285000","1.285000","1.285000","1.285000","1691.5",1687071839999,"2173.5775000",24,"1691.5","2173.5775000"
"HIGHUSDT","HIGHUSDT#1687071840000",1687071840000,"1.285000","1.285000","1.285000","1.285000","2489.0",1687071899999,"3198.3650000",22,"2489.0","3198.3650000"
"HIGHUSDT","HIGHUSDT#1687071900000",1687071900000,"1.285000","1.286000","1.284000","1.285000","9658.7",1687071959999,"12409.5428000",111,"2687.3","3453.2333000"
"HIGHUSDT","HIGHUSDT#1687071960000",1687071960000,"1.285000","1.285000","1.285000","1.285000","732.4",1687072019999,"941.1340000",20,"0.0","0.0000000"
"HIGHUSDT","HIGHUSDT#1687072020000",1687072020000,"1.285000","1.287000","1.285000","1.286000","17379.5",1687072079999,"22360.6564000",152,"7725.4","9940.4135000"
"HIGHUSDT","HIGHUSDT#1687072080000",1687072080000,"1.286000","1.287000","1.286000","1.286000","8142.4",1687072139999,"10471.1313000",60,"4290.0","5516.9449000"
"HIGHUSDT","HIGHUSDT#1687072140000",1687072140000,"1.286000","1.287000","1.286000","1.287000","1410.0",1687072199999,"1814.3404000",15,"1080.4","1390.4748000"
"HIGHUSDT","HIGHUSDT#1687072200000",1687072200000,"1.286000","1.287000","1.286000","1.286000","3776.7",1687072259999,"4858.5084000",57,"1672.2","2152.1214000"
"HIGHUSDT","HIGHUSDT#1687072260000",1687072260000,"1.287000","1.288000","1.287000","1.287000","5589.2",1687072319999,"7193.3773000",77,"3670.3","4723.7530000"
"HIGHUSDT","HIGHUSDT#1687072320000",1687072320000,"1.286000","1.288000","1.286000","1.287000","10517.9",1687072379999,"13535.6178000",67,"5352.8","6889.1287000"
"HIGHUSDT","HIGHUSDT#1687072380000",1687072380000,"1.287000","1.288000","1.286000","1.288000","5776.7",1687072439999,"7435.7025000",68,"4173.6","5372.8545000"
"HIGHUSDT","HIGHUSDT#1687072440000",1687072440000,"1.288000","1.289000","1.287000","1.288000","7918.0",1687072499999,"10199.9576000",83,"3244.6","4180.9265000"
"HIGHUSDT","HIGHUSDT#1687072500000",1687072500000,"1.288000","1.291000","1.288000","1.289000","28051.1",1687072559999,"36160.3139000",190,"10704.0","13803.0152000"
"HIGHUSDT","HIGHUSDT#1687072560000",1687072560000,"1.289000","1.289000","1.288000","1.289000","13924.8",1687072619999,"17947.3212000",88,"8276.7","10668.6663000"
"HIGHUSDT","HIGHUSDT#1687072620000",1687072620000,"1.290000","1.290000","1.289000","1.290000","6079.7",1687072679999,"7842.5020000",63,"3894.8","5024.2920000"
"HIGHUSDT","HIGHUSDT#1687072680000",1687072680000,"1.290000","1.291000","1.289000","1.290000","3271.7",1687072739999,"4220.3966000",53,"2253.2","2906.8116000"
"HIGHUSDT","HIGHUSDT#1687072740000",1687072740000,"1.290000","1.292000","1.289000","1.290000","33070.0",1687072799999,"42675.3375000",222,"16903.6","21816.3619000"
"HIGHUSDT","HIGHUSDT#1687072800000",1687072800000,"1.291000","1.291000","1.287000","1.287000","14248.4",1687072859999,"18362.4908000",97,"1515.8","1953.9052000"
"HIGHUSDT","HIGHUSDT#1687072860000",1687072860000,"1.288000","1.288000","1.287000","1.288000","17644.7",1687072919999,"22725.8350000",89,"12208.5","15724.5480000"
"HIGHUSDT","HIGHUSDT#1687072920000",1687072920000,"1.288000","1.289000","1.287000","1.287000","3082.5",1687072979999,"3970.0197000",34,"1358.2","1749.6001000"
"HIGHUSDT","HIGHUSDT#1687072980000",1687072980000,"1.288000","1.288000","1.287000","1.287000","7692.2",1687073039999,"9907.2725000",49,"3906.4","5031.4432000"
"HIGHUSDT","HIGHUSDT#1687073040000",1687073040000,"1.287000","1.290000","1.287000","1.290000","15804.8",1687073099999,"20377.7957000",110,"13614.8","17555.7070000"
"HIGHUSDT","HIGHUSDT#1687073100000",1687073100000,"1.290000","1.291000","1.289000","1.289000","13644.8",1687073159999,"17595.4380000",97,"891.4","1150.7929000"
"HIGHUSDT","HIGHUSDT#1687073160000",1687073160000,"1.289000","1.290000","1.289000","1.290000","488.6",1687073219999,"629.8267000",8,"21.3","27.4770000"
"HIGHUSDT","HIGHUSDT#1687073220000",1687073220000,"1.289000","1.291000","1.289000","1.291000","12739.4",1687073279999,"16440.2920000",90,"11538.0","14890.3208000"
