"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"LUNA2USDT","LUNA2USDT#1687096860000",1687096860000,"0.5845000","0.5846000","0.5844000","0.5846000","1610",1687096919999,"941.0317000",18,"89","52.0264000"
"LUNA2USDT","LUNA2USDT#1687096920000",1687096920000,"0.5846000","0.5847000","0.5844000","0.5847000","8813",1687096979999,"5151.5294000",42,"7387","4318.1335000"
"LUNA2USDT","LUNA2USDT#1687096980000",1687096980000,"0.5845000","0.5845000","0.5836000","0.5838000","24810",1687097039999,"14488.5176000",116,"6360","3714.4017000"
"LUNA2USDT","LUNA2USDT#1687097040000",1687097040000,"0.5839000","0.5847000","0.5839000","0.5846000","12922",1687097099999,"7552.6007000",38,"12575","7349.7445000"
"LUNA2USDT","LUNA2USDT#1687097100000",1687097100000,"0.5845000","0.5845000","0.5838000","0.5840000","8528",1687097159999,"4981.4929000",77,"3006","1756.0479000"
"LUNA2USDT","LUNA2USDT#1687097160000",1687097160000,"0.5839000","0.5846000","0.5838000","0.5846000","8081",1687097219999,"4719.7900000",41,"7735","4517.7481000"
"LUNA2USDT","LUNA2USDT#1687097220000",1687097220000,"0.5846000","0.5848000","0.5844000","0.5847000","4079",1687097279999,"2384.7043000",32,"2024","1183.2844000"
"LUNA2USDT","LUNA2USDT#1687097280000",1687097280000,"0.5846000","0.5848000","0.5845000","0.5848000","3698",1687097339999,"2161.6377000",19,"458","267.7468000"
"LUNA2USDT","LUNA2USDT#1687097340000",1687097340000,"0.5847000","0.5847000","0.5844000","0.5846000","443",1687097399999,"258.9368000",10,"391","228.5395000"
"LUNA2USDT","LUNA2USDT#1687097400000",1687097400000,"0.5846000","0.5846000","0.5842000","0.5845000","7241",1687097459999,"4231.9840000",52,"2297","1342.1338000"
"LUNA2USDT","LUNA2USDT#1687097460000",1687097460000,"0.5846000","0.5852000","0.5846000","0.5852000","7166",1687097519999,"4191.6538000",33,"6895","4033.1261000"
"LUNA2USDT","LUNA2USDT#1687097520000",1687097520000,"0.5852000","0.5852000","0.5852000","0.5852000","199",1687097579999,"116.4548000",4,"0","0.0000000"
"LUNA2USDT","LUNA2USDT#1687097580000",1687097580000,"0.5852000","0.5852000","0.5852000","0.5852000","327",1687097639999,"191.3604000",7,"327","191.3604000"
"LUNA2USDT","LUNA2USDT#1687097640000",1687097640000,"0.5854000","0.5854000","0.5852000","0.5853000","536",1687097699999,"313.7172000",8,"305","178.5204000"
"LUNA2USDT","LUNA2USDT#1687097700000",1687097700000,"0.5852000","0.5852000","0.5850000","0.5850000","2638",1687097759999,"1543.4688000",29,"1379","806.8573000"
"LUNA2USDT","LUNA2USDT#1687097760000",1687097760000,"0.5851000","0.5856000","0.5851000","0.5854000","5159",1687097819999,"3020.4280000",43,"3965","2321.2522000"
"LUNA2USDT","LUNA2USDT#1687097820000",1687097820000,"0.5854000","0.5856000","0.5854000","0.5854000","2636",1687097879999,"1543.3526000",23,"834","488.3070000"
"LUNA2USDT","LUNA2USDT#1687097880000",1687097880000,"0.5854000","0.5858000","0.5853000","0.5854000","4311",1687097939999,"2524.4883000",29,"3282","1922.1150000"
"LUNA2USDT","LUNA2USDT#1687097940000",1687097940000,"0.5854000","0.5854000","0.5851000","0.5851000","1645",1687097999999,"962.6645000",17,"82","48.0028000"
"LUNA2USDT","LUNA2USDT#1687098000000",1687098000000,"0.5851000","0.5859000","0.5851000","0.5851000","34056",1687098059999,"19942.2362000",90,"28539","16712.1219000"
"LUNA2USDT","LUNA2USDT#1687098060000",1687098060000,"0.5853000","0.5858000","0.5853000","0.5858000","4847",1687098119999,"2838.0327000",47,"1797","1051.9170000"
"LUNA2USDT","LUNA2USDT#1687098120000",1687098120000,"0.5857000","0.5857000","0.5856000","0.5856000","1837",1687098179999,"1075.8189000",18,"498","291.6786000"
"LUNA2USDT","LUNA2USDT#1687098180000",1687098180000,"0.5856000","0.5865000","0.5855000","0.5865000","5772",1687098239999,"3381.8183000",45,"3931","2303.3441000"
"LUNA2USDT","LUNA2USDT#1687098240000",1687098240000,"0.5863000","0.5863000","0.5861000","0.5862000","2831",1687098299999,"1659.6042000",20,"1294","758.6148000"
"LUNA2USDT","LUNA2USDT#1687098300000",1687098300000,"0.5860000","0.5865000","0.5860000","0.5862000","14775",1687098359999,"8661.0976000",47,"12553","7358.6073000"
"LUNA2USDT","LUNA2USDT#1687098360000",1687098360000,"0.5863000","0.5866000","0.5862000","0.5866000","5349",1687098419999,"3136.6094000",17,"2377","1394.1190000"
"LUNA2USDT","LUNA2USDT#1687098420000",1687098420000,"0.5867000","0.5868000","0.5865000","0.5867000","10960",1687098479999,"6429.6577000",46,"2415","1416.9427000"
"LUNA2USDT","LUNA2USDT#1687098480000",1687098480000,"0.5866000","0.5866000","0.5862000","0.5864000","6301",1687098539999,"3694.6649000",33,"1209","708.8863000"
"LUNA2USDT","LUNA2USDT#1687098540000",1687098540000,"0.5863000","0.5869000","0.5863000","0.5865000","18082",1687098599999,"10606.6566000",71,"6667","3911.5898000"
"LUNA2USDT","LUNA2USDT#1687098600000",1687098600000,"0.5867000","0.5868000","0.5863000","0.5866000","11932",1687098659999,"6998.3013000",102,"1118","655.8431000"
"LUNA2USDT","LUNA2USDT#1687098660000",1687098660000,"0.5865000","0.5866000","0.5862000","0.5864000","8113",1687098719999,"4756.9777000",37,"1328","778.7899000"
"LUNA2USDT","LUNA2USDT#1687098720000",1687098720000,"0.5864000","0.5864000","0.5863000","0.5864000","1323",1687098779999,"775.7869000",20,"44","25.8016000"
"LUNA2USDT","LUNA2USDT#1687098780000",1687098780000,"0.5864000","0.5864000","0.5861000","0.5861000","5833",1687098839999,"3419.5946000",18,"832","487.6352000"
"LUNA2USDT","LUNA2USDT#1687098840000",1687098840000,"0.5862000","0.5865000","0.5862000","0.5863000","3824",1687098899999,"2242.2100000",19,"2466","1445.8827000"
"LUNA2USDT","LUNA2USDT#1687098900000",1687098900000,"0.5863000","0.5863000","0.5859000","0.5860000","11184",1687098959999,"6554.8809000",80,"614","359.8821000"
"LUNA2USDT","LUNA2USDT#1687098960000",1687098960000,"0.5861000","0.5864000","0.5861000","0.5864000","7064",1687099019999,"4141.4625000",86,"4551","2668.0867000"
"LUNA2USDT","LUNA2USDT#1687099020000",1687099020000,"0.5864000","0.5864000","0.5860000","0.5862000","3116",1687099079999,"1826.4750000",18,"995","583.2690000"
"LUNA2USDT","LUNA2USDT#1687099080000",1687099080000,"0.5862000","0.5863000","0.5862000","0.5863000","3966",1687099139999,"2325.2572000",13,"3422","2006.3100000"
"LUNA2USDT","LUNA2USDT#1687099140000",1687099140000,"0.5864000","0.5865000","0.5862000","0.5864000","4534",1687099199999,"2658.6309000",53,"1259","738.2818000"
"LUNA2USDT","LUNA2USDT#1687099200000",1687099200000,"0.5865000","0.5865000","0.5863000","0.5863000","4577",1687099259999,"2683.6396000",31,"3182","1865.6116000"
"LUNA2USDT","LUNA2USDT#1687099260000",1687099260000,"0.5864000","0.5872000","0.5864000","0.5869000","14941",1687099319999,"8769.7363000",46,"7248","4253.7326000"
"LUNA2USDT","LUNA2USDT#1687099320000",1687099320000,"0.5867000","0.5867000","0.5866000","0.5867000","1197",1687099379999,"702.2455000",13,"599","351.3989000"
"LUNA2USDT","LUNA2USDT#1687099380000",1687099380000,"0.5867000","0.5867000","0.5863000","0.5865000","7715",1687099439999,"4524.8636000",40,"1505","882.7706000"
"LUNA2USDT","LUNA2USDT#1687099440000",1687099440000,"0.5864000","0.5866000","0.5863000","0.5864000","3298",1687099499999,"1933.9335000",17,"41","24.0484000"
"LUNA2USDT","LUNA2USDT#1687099500000",1687099500000,"0.5864000","0.5867000","0.5863000","0.5866000","3773",1687099559999,"2212.9848000",42,"1472","863.3268000"
"LUNA2USDT","LUNA2USDT#1687099560000",1687099560000,"0.5866000","0.5866000","0.5864000","0.5865000","3445",1687099619999,"2020.4192000",20,"391","229.3269000"
"LUNA2USDT","LUNA2USDT#1687099620000",1687099620000,"0.5866000","0.5870000","0.5865000","0.5869000","8878",1687099679999,"5209.9116000",47,"6883","4039.5767000"
"LUNA2USDT","LUNA2USDT#1687099680000",1687099680000,"0.5869000","0.5871000","0.5867000","0.5867000","6738",1687099739999,"3954.5821000",50,"2104","1234.9627000"
"LUNA2USDT","LUNA2USDT#1687099740000",1687099740000,"0.5868000","0.5873000","0.5868000","0.5872000","2303",1687099799999,"1352.1698000",30,"1870","1097.9829000"
"LUNA2USDT","LUNA2USDT#1687099800000",1687099800000,"0.5872000","0.5875000","0.5865000","0.5865000","25262",1687099859999,"14829.8608000",100,"6226","3656.4922000"
"LUNA2USDT","LUNA2USDT#1687099860000",1687099860000,"0.5864000","0.5871000","0.5864000","0.5870000","5318",1687099919999,"3119.1372000",36,"5286","3100.3532000"
"LUNA2USDT","LUNA2USDT#1687099920000",1687099920000,"0.5870000","0.5870000","0.5867000","0.5870000","11519",1687099979999,"6760.4258000",40,"5612","3294.0533000"
"LUNA2USDT","LUNA2USDT#1687099980000",1687099980000,"0.5869000","0.5871000","0.5868000","0.5871000","2477",1687100039999,"1453.9872000",20,"1889","1108.9003000"
"LUNA2USDT","LUNA2USDT#1687100040000",1687100040000,"0.5870000","0.5871000","0.5869000","0.5870000","5308",1687100099999,"3115.8349000",23,"252","147.9240000"
"LUNA2USDT","LUNA2USDT#1687100100000",1687100100000,"0.5869000","0.5869000","0.5865000","0.5868000","13148",1687100159999,"7714.7358000",104,"4499","2639.9218000"
"LUNA2USDT","LUNA2USDT#1687100160000",1687100160000,"0.5868000","0.5870000","0.5867000","0.5870000","4984",1687100219999,"2924.8370000",28,"4939","2898.4220000"
"LUNA2USDT","LUNA2USDT#1687100220000",1687100220000,"0.5870000","0.5873000","0.5870000","0.5872000","5280",1687100279999,"3099.8614000",28,"4230","2483.4610000"
"LUNA2USDT","LUNA2USDT#1687100280000",1687100280000,"0.5873000","0.5879000","0.5873000","0.5878000","3399",1687100339999,"1997.0115000",24,"3095","1818.3209000"
"LUNA2USDT","LUNA2USDT#1687100340000",1687100340000,"0.5878000","0.5883000","0.5878000","0.5881000","14264",1687100399999,"8388.2146000",57,"9594","5642.1864000"
"LUNA2USDT","LUNA2USDT#1687100400000",1687100400000,"0.5880000","0.5880000","0.5875000","0.5875000","4276",1687100459999,"2512.8122000",51,"1607","944.2229000"
