"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SFPUSDT","SFPUSDT#1687075260000",1687075260000,"0.4385","0.4390","0.4379","0.4380","332881",1687075319999,"145931.1401",764,"115666","50735.6929"
"SFPUSDT","SFPUSDT#1687075320000",1687075320000,"0.4380","0.4385","0.4379","0.4382","248588",1687075379999,"108911.9326",564,"157054","68813.7806"
"SFPUSDT","SFPUSDT#1687075380000",1687075380000,"0.4381","0.4383","0.4368","0.4369","570182",1687075439999,"249542.4611",709,"87418","38236.6113"
"SFPUSDT","SFPUSDT#1687075440000",1687075440000,"0.4370","0.4370","0.4360","0.4361","368511",1687075499999,"160827.5056",756,"133950","58469.2128"
"SFPUSDT","SFPUSDT#1687075500000",1687075500000,"0.4361","0.4377","0.4361","0.4367","438159",1687075559999,"191419.0739",752,"278522","121655.6165"
"SFPUSDT","SFPUSDT#1687075560000",1687075560000,"0.4367","0.4373","0.4364","0.4372","208694",1687075619999,"91183.2780",460,"108674","47485.3794"
"SFPUSDT","SFPUSDT#1687075620000",1687075620000,"0.4372","0.4383","0.4368","0.4374","339988",1687075679999,"148697.8150",635,"172866","75611.2577"
"SFPUSDT","SFPUSDT#1687075680000",1687075680000,"0.4375","0.4378","0.4371","0.4371","114747",1687075739999,"50202.0695",298,"58112","25427.2140"
"SFPUSDT","SFPUSDT#1687075740000",1687075740000,"0.4371","0.4371","0.4362","0.4364","278366",1687075799999,"121536.5723",537,"117177","51158.7642"
"SFPUSDT","SFPUSDT#1687075800000",1687075800000,"0.4364","0.4368","0.4360","0.4363","277052",1687075859999,"120889.6235",470,"137944","60196.9182"
"SFPUSDT","SFPUSDT#1687075860000",1687075860000,"0.4362","0.4365","0.4361","0.4363","180405",1687075919999,"78723.1187",361,"84005","36660.7835"
"SFPUSDT","SFPUSDT#1687075920000",1687075920000,"0.4362","0.4366","0.4355","0.4362","529512",1687075979999,"230897.2281",818,"233883","102008.2191"
"SFPUSDT","SFPUSDT#1687075980000",1687075980000,"0.4361","0.4363","0.4358","0.4360","120663",1687076039999,"52613.5594",286,"51313","22376.1185"
"SFPUSDT","SFPUSDT#1687076040000",1687076040000,"0.4360","0.4365","0.4358","0.4365","182126",1687076099999,"79437.1973",316,"127608","55664.3378"
"SFPUSDT","SFPUSDT#1687076100000",1687076100000,"0.4365","0.4375","0.4363","0.4370","343034",1687076159999,"149865.5382",598,"219049","95693.2777"
"SFPUSDT","SFPUSDT#1687076160000",1687076160000,"0.4370","0.4378","0.4369","0.4373","234360",1687076219999,"102522.2159",400,"176834","77361.0610"
"SFPUSDT","SFPUSDT#1687076220000",1687076220000,"0.4374","0.4375","0.4350","0.4354","534017",1687076279999,"232772.5423",943,"224883","98013.4894"
"SFPUSDT","SFPUSDT#1687076280000",1687076280000,"0.4355","0.4359","0.4351","0.4354","268241",1687076339999,"116844.2138",592,"159350","69414.9442"
"SFPUSDT","SFPUSDT#1687076340000",1687076340000,"0.4355","0.4358","0.4349","0.4352","325814",1687076399999,"141808.0861",597,"159262","69325.1355"
"SFPUSDT","SFPUSDT#1687076400000",1687076400000,"0.4353","0.4362","0.4349","0.4362","383389",1687076459999,"167014.0435",660,"222059","96751.5247"
"SFPUSDT","SFPUSDT#1687076460000",1687076460000,"0.4362","0.4367","0.4360","0.4364","155419",1687076519999,"67827.8910",357,"71604","31251.2768"
"SFPUSDT","SFPUSDT#1687076520000",1687076520000,"0.4364","0.4365","0.4357","0.4362","233954",1687076579999,"102038.0021",374,"109411","47715.0592"
"SFPUSDT","SFPUSDT#1687076580000",1687076580000,"0.4362","0.4364","0.4358","0.4359","131971",1687076639999,"57544.4330",265,"55957","24399.4564"
"SFPUSDT","SFPUSDT#1687076640000",1687076640000,"0.4359","0.4361","0.4351","0.4357","488340",1687076699999,"212655.9024",639,"136459","59435.9523"
"SFPUSDT","SFPUSDT#1687076700000",1687076700000,"0.4358","0.4375","0.4358","0.4370","443134",1687076759999,"193563.2609",728,"294559","128657.2332"
"SFPUSDT","SFPUSDT#1687076760000",1687076760000,"0.4370","0.4371","0.4365","0.4368","183433",1687076819999,"80123.2285",353,"87498","38221.3552"
"SFPUSDT","SFPUSDT#1687076820000",1687076820000,"0.4368","0.4373","0.4365","0.4372","190876",1687076879999,"83387.2820",292,"126944","55469.0068"
"SFPUSDT","SFPUSDT#1687076880000",1687076880000,"0.4372","0.4372","0.4364","0.4369","242800",1687076939999,"106059.9603",422,"71011","31023.3833"
"SFPUSDT","SFPUSDT#1687076940000",1687076940000,"0.4370","0.4376","0.4368","0.4370","302581",1687076999999,"132300.0938",370,"184911","80853.6075"
"SFPUSDT","SFPUSDT#1687077000000",1687077000000,"0.4370","0.4370","0.4363","0.4367","208984",1687077059999,"91266.7102",410,"121054","52869.8198"
"SFPUSDT","SFPUSDT#1687077060000",1687077060000,"0.4367","0.4369","0.4366","0.4368","75717",1687077119999,"33071.0070",302,"30195","13189.4581"
"SFPUSDT","SFPUSDT#1687077120000",1687077120000,"0.4367","0.4376","0.4367","0.4376","335466",1687077179999,"146697.0726",506,"246290","107703.3118"
"SFPUSDT","SFPUSDT#1687077180000",1687077180000,"0.4377","0.4388","0.4376","0.4380","649937",1687077239999,"284808.3787",977,"373366","163607.5916"
"SFPUSDT","SFPUSDT#1687077240000",1687077240000,"0.4380","0.4400","0.4376","0.4398","925478",1687077299999,"406455.7410",1520,"679311","298385.5248"
"SFPUSDT","SFPUSDT#1687077300000",1687077300000,"0.4398","0.4399","0.4389","0.4393","571551",1687077359999,"251090.3716",1027,"307258","134994.7386"
"SFPUSDT","SFPUSDT#1687077360000",1687077360000,"0.4393","0.4396","0.4387","0.4389","180182",1687077419999,"79112.4395",428,"87934","38617.4856"
"SFPUSDT","SFPUSDT#1687077420000",1687077420000,"0.4389","0.4396","0.4387","0.4388","524543",1687077479999,"230341.1597",849,"242307","106412.1706"
"SFPUSDT","SFPUSDT#1687077480000",1687077480000,"0.4388","0.4389","0.4380","0.4381","158897",1687077539999,"69669.8927",383,"62008","27186.4769"
"SFPUSDT","SFPUSDT#1687077540000",1687077540000,"0.4381","0.4384","0.4378","0.4382","159902",1687077599999,"70058.7137",436,"82316","36070.3968"
"SFPUSDT","SFPUSDT#1687077600000",1687077600000,"0.4382","0.4398","0.4382","0.4389","355963",1687077659999,"156363.4224",695,"225317","98971.1005"
"SFPUSDT","SFPUSDT#1687077660000",1687077660000,"0.4390","0.4397","0.4388","0.4395","216532",1687077719999,"95136.1174",387,"128015","56245.7638"
"SFPUSDT","SFPUSDT#1687077720000",1687077720000,"0.4395","0.4420","0.4393","0.4403","1739298",1687077779999,"766829.2497",2559,"1202765","530421.4082"
"SFPUSDT","SFPUSDT#1687077780000",1687077780000,"0.4403","0.4410","0.4393","0.4394","532148",1687077839999,"234270.0445",919,"246245","108435.7328"
"SFPUSDT","SFPUSDT#1687077840000",1687077840000,"0.4392","0.4402","0.4392","0.4395","245860",1687077899999,"108097.2017",488,"125169","55035.7889"
"SFPUSDT","SFPUSDT#1687077900000",1687077900000,"0.4394","0.4396","0.4388","0.4391","411343",1687077959999,"180640.9914",748,"185945","81665.5090"
"SFPUSDT","SFPUSDT#1687077960000",1687077960000,"0.4392","0.4393","0.4386","0.4389","345594",1687078019999,"151671.9788",614,"141637","62168.1859"
"SFPUSDT","SFPUSDT#1687078020000",1687078020000,"0.4389","0.4391","0.4384","0.4389","182983",1687078079999,"80277.7993",457,"92812","40723.0555"
"SFPUSDT","SFPUSDT#1687078080000",1687078080000,"0.4389","0.4389","0.4382","0.4383","160865",1687078139999,"70525.6382",334,"50676","22217.4711"
"SFPUSDT","SFPUSDT#1687078140000",1687078140000,"0.4382","0.4383","0.4374","0.4379","310959",1687078199999,"136150.7155",616,"136727","59859.6271"
"SFPUSDT","SFPUSDT#1687078200000",1687078200000,"0.4380","0.4390","0.4379","0.4389","254536",1687078259999,"111593.3211",446,"173850","76206.7443"
