"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"SOLBUSD","SOLBUSD#1687122060000",1687122060000,"15.4800","15.5080","15.4800","15.5070","1166",1687122119999,"18065.2010",69,"716","11092.8690"
"SOLBUSD","SOLBUSD#1687122120000",1687122120000,"15.5080","15.5100","15.4810","15.4810","1743",1687122179999,"27015.7900",70,"397","6153.2080"
"SOLBUSD","SOLBUSD#1687122180000",1687122180000,"15.4800","15.4800","15.4590","15.4680","1312",1687122239999,"20292.4490",63,"762","11785.4800"
"SOLBUSD","SOLBUSD#1687122240000",1687122240000,"15.4670","15.4670","15.4500","15.4640","2025",1687122299999,"31302.9670",77,"1028","15889.8060"
"SOLBUSD","SOLBUSD#1687122300000",1687122300000,"15.4680","15.4870","15.4680","15.4710","2339",1687122359999,"36201.9310",80,"1638","25354.1310"
"SOLBUSD","SOLBUSD#1687122360000",1687122360000,"15.4670","15.4750","15.4660","15.4700","897",1687122419999,"13877.6930",36,"413","6389.1560"
"SOLBUSD","SOLBUSD#1687122420000",1687122420000,"15.4680","15.4860","15.4590","15.4820","1946",1687122479999,"30113.2000",83,"1351","20906.3540"
"SOLBUSD","SOLBUSD#1687122480000",1687122480000,"15.4810","15.4810","15.4550","15.4590","1420",1687122539999,"21959.6340",55,"789","12198.6570"
"SOLBUSD","SOLBUSD#1687122540000",1687122540000,"15.4590","15.4590","15.4350","15.4380","1729",1687122599999,"26702.9600",56,"481","7427.5160"
"SOLBUSD","SOLBUSD#1687122600000",1687122600000,"15.4380","15.4570","15.4380","15.4480","1537",1687122659999,"23741.5350",76,"627","9685.5220"
"SOLBUSD","SOLBUSD#1687122660000",1687122660000,"15.4460","15.4570","15.4450","15.4510","1244",1687122719999,"19220.1180",49,"949","14661.6450"
"SOLBUSD","SOLBUSD#1687122720000",1687122720000,"15.4530","15.4650","15.4480","15.4600","510",1687122779999,"7882.1110",26,"239","3693.8710"
"SOLBUSD","SOLBUSD#1687122780000",1687122780000,"15.4550","15.4690","15.4540","15.4690","865",1687122839999,"13374.7100",36,"543","8397.0760"
"SOLBUSD","SOLBUSD#1687122840000",1687122840000,"15.4700","15.4960","15.4700","15.4930","1627",1687122899999,"25196.6280",64,"1138","17624.8530"
"SOLBUSD","SOLBUSD#1687122900000",1687122900000,"15.4940","15.4940","15.4800","15.4800","606",1687122959999,"9384.7010",33,"93","1439.8860"
"SOLBUSD","SOLBUSD#1687122960000",1687122960000,"15.4810","15.4830","15.4580","15.4580","866",1687123019999,"13399.4340",46,"135","2089.7430"
"SOLBUSD","SOLBUSD#1687123020000",1687123020000,"15.4560","15.4590","15.4470","15.4510","2067",1687123079999,"31941.9890",65,"549","8484.2370"
"SOLBUSD","SOLBUSD#1687123080000",1687123080000,"15.4500","15.4580","15.4480","15.4500","1745",1687123139999,"26965.0380",60,"630","9735.2650"
"SOLBUSD","SOLBUSD#1687123140000",1687123140000,"15.4480","15.4580","15.4450","15.4580","666",1687123199999,"10291.1460",31,"471","7278.8000"
"SOLBUSD","SOLBUSD#1687123200000",1687123200000,"15.4600","15.4670","15.4600","15.4630","756",1687123259999,"11690.8860",42,"360","5566.3760"
"SOLBUSD","SOLBUSD#1687123260000",1687123260000,"15.4600","15.4600","15.4550","15.4570","392",1687123319999,"6059.8340",16,"141","2179.3790"
"SOLBUSD","SOLBUSD#1687123320000",1687123320000,"15.4550","15.4550","15.4510","15.4520","90",1687123379999,"1390.7190",4,"64","988.8960"
"SOLBUSD","SOLBUSD#1687123380000",1687123380000,"15.4520","15.4860","15.4520","15.4850","2529",1687123439999,"39121.8440",112,"2290","35422.9860"
"SOLBUSD","SOLBUSD#1687123440000",1687123440000,"15.4860","15.5000","15.4860","15.4900","492",1687123499999,"7623.5250",38,"220","3409.0090"
"SOLBUSD","SOLBUSD#1687123500000",1687123500000,"15.4890","15.4890","15.4780","15.4830","190",1687123559999,"2941.6270",11,"67","1037.1960"
"SOLBUSD","SOLBUSD#1687123560000",1687123560000,"15.4830","15.4840","15.4700","15.4700","462",1687123619999,"7150.9530",25,"50","774.1520"
"SOLBUSD","SOLBUSD#1687123620000",1687123620000,"15.4670","15.4690","15.4670","15.4690","235",1687123679999,"3634.8730",6,"235","3634.8730"
"SOLBUSD","SOLBUSD#1687123680000",1687123680000,"15.4690","15.4690","15.4530","15.4530","658",1687123739999,"10172.6420",33,"18","278.1700"
"SOLBUSD","SOLBUSD#1687123740000",1687123740000,"15.4540","15.4540","15.4370","15.4430","2395",1687123799999,"36997.7710",75,"1846","28518.6850"
"SOLBUSD","SOLBUSD#1687123800000",1687123800000,"15.4420","15.4540","15.4390","15.4540","829",1687123859999,"12803.6460",36,"516","7969.8640"
"SOLBUSD","SOLBUSD#1687123860000",1687123860000,"15.4570","15.4720","15.4570","15.4710","680",1687123919999,"10516.2480",30,"574","8876.3220"
"SOLBUSD","SOLBUSD#1687123920000",1687123920000,"15.4720","15.4790","15.4720","15.4780","380",1687123979999,"5881.2070",22,"252","3899.9290"
"SOLBUSD","SOLBUSD#1687123980000",1687123980000,"15.4770","15.4770","15.4530","15.4530","421",1687124039999,"6511.8250",20,"33","510.0810"
"SOLBUSD","SOLBUSD#1687124040000",1687124040000,"15.4530","15.4530","15.4530","15.4530","0",1687124099999,"0.0000",0,"0","0.0000"
"SOLBUSD","SOLBUSD#1687124100000",1687124100000,"15.4540","15.4590","15.4540","15.4570","298",1687124159999,"4606.0350",16,"241","3724.9990"
"SOLBUSD","SOLBUSD#1687124160000",1687124160000,"15.4570","15.4700","15.4570","15.4700","320",1687124219999,"4948.0600",17,"318","4917.1260"
"SOLBUSD","SOLBUSD#1687124220000",1687124220000,"15.4700","15.4800","15.4700","15.4800","293",1687124279999,"4533.8180",15,"216","3342.6280"
"SOLBUSD","SOLBUSD#1687124280000",1687124280000,"15.4810","15.4810","15.4800","15.4800","37",1687124339999,"572.7720",3,"12","185.7720"
"SOLBUSD","SOLBUSD#1687124340000",1687124340000,"15.4800","15.4800","15.4620","15.4620","569",1687124399999,"8804.2270",32,"0","0.0000"
"SOLBUSD","SOLBUSD#1687124400000",1687124400000,"15.4560","15.4570","15.4510","15.4510","283",1687124459999,"4372.8390",18,"177","2734.8270"
"SOLBUSD","SOLBUSD#1687124460000",1687124460000,"15.4510","15.4730","15.4510","15.4730","549",1687124519999,"8487.4920",31,"486","7513.2060"
"SOLBUSD","SOLBUSD#1687124520000",1687124520000,"15.4730","15.4860","15.4730","15.4860","598",1687124579999,"9258.9720",33,"340","5263.6490"
"SOLBUSD","SOLBUSD#1687124580000",1687124580000,"15.4860","15.4860","15.4790","15.4810","288",1687124639999,"4458.8320",14,"48","743.1360"
"SOLBUSD","SOLBUSD#1687124640000",1687124640000,"15.4810","15.4820","15.4690","15.4690","265",1687124699999,"4101.8690",16,"33","510.8690"
"SOLBUSD","SOLBUSD#1687124700000",1687124700000,"15.4690","15.4750","15.4690","15.4750","402",1687124759999,"6219.3420",18,"398","6157.4540"
"SOLBUSD","SOLBUSD#1687124760000",1687124760000,"15.4760","15.4820","15.4760","15.4820","50",1687124819999,"773.8470",6,"50","773.8470"
"SOLBUSD","SOLBUSD#1687124820000",1687124820000,"15.4830","15.4850","15.4560","15.4560","537",1687124879999,"8310.5100",28,"86","1331.1080"
"SOLBUSD","SOLBUSD#1687124880000",1687124880000,"15.4570","15.4610","15.4550","15.4550","419",1687124939999,"6477.0010",18,"185","2859.9310"
"SOLBUSD","SOLBUSD#1687124940000",1687124940000,"15.4540","15.4540","15.4430","15.4520","1181",1687124999999,"18244.0890",48,"421","6504.4090"
"SOLBUSD","SOLBUSD#1687125000000",1687125000000,"15.4530","15.4600","15.4530","15.4560","1792",1687125059999,"27696.3670",83,"1264","19535.5790"
"SOLBUSD","SOLBUSD#1687125060000",1687125060000,"15.4570","15.4570","15.4560","15.4560","23",1687125119999,"355.4990",4,"11","170.0270"
"SOLBUSD","SOLBUSD#1687125120000",1687125120000,"15.4550","15.4550","15.4440","15.4450","535",1687125179999,"8264.7200",18,"252","3892.1400"
"SOLBUSD","SOLBUSD#1687125180000",1687125180000,"15.4470","15.4550","15.4470","15.4550","2904",1687125239999,"44867.0980",23,"2904","44867.0980"
"SOLBUSD","SOLBUSD#1687125240000",1687125240000,"15.4570","15.4720","15.4570","15.4700","258",1687125299999,"3990.6980",20,"107","1654.6500"
"SOLBUSD","SOLBUSD#1687125300000",1687125300000,"15.4680","15.4680","15.4460","15.4480","1044",1687125359999,"16134.2400",48,"82","1266.6920"
