"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"TRUUSDT","TRUUSDT#1687114860000",1687114860000,"0.0368400","0.0369000","0.0368400","0.0368700","506033",1687114919999,"18659.7574300",133,"425578","15693.5831300"
"TRUUSDT","TRUUSDT#1687114920000",1687114920000,"0.0368700","0.0368900","0.0368600","0.0368600","154707",1687114979999,"5704.6886500",76,"112731","4157.1046500"
"TRUUSDT","TRUUSDT#1687114980000",1687114980000,"0.0368700","0.0368700","0.0368000","0.0368100","514732",1687115039999,"18960.7151700",144,"196264","7227.1604500"
"TRUUSDT","TRUUSDT#1687115040000",1687115040000,"0.0368100","0.0369100","0.0368100","0.0368300","925787",1687115099999,"34127.7378700",251,"584284","21539.3762200"
"TRUUSDT","TRUUSDT#1687115100000",1687115100000,"0.0368300","0.0368800","0.0368200","0.0368300","573080",1687115159999,"21120.2290600",126,"242804","8947.6249800"
"TRUUSDT","TRUUSDT#1687115160000",1687115160000,"0.0368300","0.0368300","0.0367800","0.0367900","298723",1687115219999,"10993.9833000",75,"141161","5194.6281700"
"TRUUSDT","TRUUSDT#1687115220000",1687115220000,"0.0367800","0.0368000","0.0367700","0.0367700","355470",1687115279999,"13076.0813800",60,"116045","4269.4288700"
"TRUUSDT","TRUUSDT#1687115280000",1687115280000,"0.0367700","0.0367800","0.0367200","0.0367400","1234644",1687115339999,"45377.4159700",182,"370583","13617.4418100"
"TRUUSDT","TRUUSDT#1687115340000",1687115340000,"0.0367500","0.0367500","0.0367200","0.0367300","154131",1687115399999,"5661.9314900",48,"110562","4061.5667000"
"TRUUSDT","TRUUSDT#1687115400000",1687115400000,"0.0367200","0.0367900","0.0367000","0.0367500","462801",1687115459999,"17010.1689900",150,"221267","8132.6284000"
"TRUUSDT","TRUUSDT#1687115460000",1687115460000,"0.0367500","0.0367700","0.0367400","0.0367500","214754",1687115519999,"7891.8420700",55,"77623","2852.6108200"
"TRUUSDT","TRUUSDT#1687115520000",1687115520000,"0.0367500","0.0367700","0.0367500","0.0367700","178120",1687115579999,"6548.0878700",61,"115716","4253.8192800"
"TRUUSDT","TRUUSDT#1687115580000",1687115580000,"0.0367700","0.0367800","0.0367600","0.0367700","140522",1687115639999,"5167.0500500",32,"112305","4129.5333200"
"TRUUSDT","TRUUSDT#1687115640000",1687115640000,"0.0367700","0.0368000","0.0367400","0.0367600","310252",1687115699999,"11404.9350200",88,"122641","4509.1763500"
"TRUUSDT","TRUUSDT#1687115700000",1687115700000,"0.0367600","0.0367900","0.0367600","0.0367800","324647",1687115759999,"11938.9094000",87,"153379","5640.3532700"
