"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"1000LUNCUSDT","1000LUNCUSDT#1687150860000",1687150860000,"0.0892400","0.0892500","0.0891700","0.0892000","92727",1687150919999,"8271.8279700",86,"24383","2175.1975100"
"1000LUNCUSDT","1000LUNCUSDT#1687150920000",1687150920000,"0.0891900","0.0892600","0.0891900","0.0892400","125676",1687150979999,"11213.8710800",90,"57949","5169.4860300"
"1000LUNCUSDT","1000LUNCUSDT#1687150980000",1687150980000,"0.0892400","0.0893800","0.0892400","0.0893500","259628",1687151039999,"23192.4155800",144,"217630","19439.9060800"
"1000LUNCUSDT","1000LUNCUSDT#1687151040000",1687151040000,"0.0893500","0.0894600","0.0893300","0.0894400","501228",1687151099999,"44809.9491500",243,"419554","37507.8451800"
"1000LUNCUSDT","1000LUNCUSDT#1687151100000",1687151100000,"0.0894500","0.0894700","0.0894000","0.0894000","369848",1687151159999,"33079.5183400",168,"150419","13454.7732900"
"1000LUNCUSDT","1000LUNCUSDT#1687151160000",1687151160000,"0.0894000","0.0894400","0.0893600","0.0894400","192713",1687151219999,"17227.6139700",121,"88378","7899.1942600"
"1000LUNCUSDT","1000LUNCUSDT#1687151220000",1687151220000,"0.0894400","0.0895300","0.0894300","0.0895200","378566",1687151279999,"33873.8034600",164,"327575","29311.7525400"
"1000LUNCUSDT","1000LUNCUSDT#1687151280000",1687151280000,"0.0895300","0.0896500","0.0895200","0.0896100","690955",1687151339999,"61902.1930900",269,"453400","40615.8435100"
"1000LUNCUSDT","1000LUNCUSDT#1687151340000",1687151340000,"0.0896100","0.0899000","0.0896100","0.0898000","1658548",1687151399999,"148916.8355100",671,"897685","80598.0703500"
"1000LUNCUSDT","1000LUNCUSDT#1687151400000",1687151400000,"0.0898100","0.0903800","0.0898000","0.0902600","3823612",1687151459999,"344327.6312800",1367,"2448841","220509.5478800"
"1000LUNCUSDT","1000LUNCUSDT#1687151460000",1687151460000,"0.0902700","0.0905300","0.0901400","0.0905000","3548983",1687151519999,"320591.7757400",1271,"2219413","200495.9926500"
"1000LUNCUSDT","1000LUNCUSDT#1687151520000",1687151520000,"0.0905000","0.0906400","0.0902300","0.0903000","1855711",1687151579999,"167887.1450900",740,"1008243","91239.8202900"
"1000LUNCUSDT","1000LUNCUSDT#1687151580000",1687151580000,"0.0902900","0.0903200","0.0900600","0.0901700","1112748",1687151639999,"100342.8215100",466,"553345","49891.7472600"
"1000LUNCUSDT","1000LUNCUSDT#1687151640000",1687151640000,"0.0901700","0.0902700","0.0901300","0.0902600","487877",1687151699999,"44004.0852200",318,"330875","29845.2440200"
"1000LUNCUSDT","1000LUNCUSDT#1687151700000",1687151700000,"0.0902300","0.0903600","0.0900500","0.0902000","1821652",1687151759999,"164324.7154000",544,"880071","79376.4011100"
"1000LUNCUSDT","1000LUNCUSDT#1687151760000",1687151760000,"0.0901800","0.0901800","0.0897900","0.0899400","1940203",1687151819999,"174486.0567400",691,"586151","52731.0149100"
"1000LUNCUSDT","1000LUNCUSDT#1687151820000",1687151820000,"0.0899400","0.0899400","0.0897500","0.0898400","1050593",1687151879999,"94373.3150800",421,"490905","44095.0308500"
"1000LUNCUSDT","1000LUNCUSDT#1687151880000",1687151880000,"0.0898100","0.0898600","0.0897200","0.0897500","291476",1687151939999,"26171.8354500",161,"112865","10134.7715000"
"1000LUNCUSDT","1000LUNCUSDT#1687151940000",1687151940000,"0.0897600","0.0898400","0.0897200","0.0898400","296179",1687151999999,"26588.2903700",151,"185183","16625.0841800"
"1000LUNCUSDT","1000LUNCUSDT#1687152000000",1687152000000,"0.0898300","0.0898300","0.0897200","0.0898000","493522",1687152059999,"44309.7415700",144,"315095","28288.3569000"
"1000LUNCUSDT","1000LUNCUSDT#1687152060000",1687152060000,"0.0898000","0.0900100","0.0897100","0.0899600","992008",1687152119999,"89187.4279900",282,"703245","63225.6703400"
"1000LUNCUSDT","1000LUNCUSDT#1687152120000",1687152120000,"0.0899600","0.0899600","0.0896600","0.0896900","438360",1687152179999,"39361.0886900",239,"134892","12107.5142800"
"1000LUNCUSDT","1000LUNCUSDT#1687152180000",1687152180000,"0.0897000","0.0897400","0.0895900","0.0896000","494673",1687152239999,"44347.8783600",238,"111198","9971.4434200"
"1000LUNCUSDT","1000LUNCUSDT#1687152240000",1687152240000,"0.0895900","0.0896700","0.0895800","0.0896100","166589",1687152299999,"14927.8398900",96,"88592","7939.0539000"
"1000LUNCUSDT","1000LUNCUSDT#1687152300000",1687152300000,"0.0896000","0.0896700","0.0895800","0.0896700","118580",1687152359999,"10626.8178700",69,"109134","9780.4307300"
"1000LUNCUSDT","1000LUNCUSDT#1687152360000",1687152360000,"0.0896500","0.0896600","0.0895700","0.0895800","234898",1687152419999,"21047.3517800",91,"107487","9630.3965500"
"1000LUNCUSDT","1000LUNCUSDT#1687152420000",1687152420000,"0.0895900","0.0895900","0.0895100","0.0895700","297205",1687152479999,"26614.3872800",152,"174848","15657.2480100"
"1000LUNCUSDT","1000LUNCUSDT#1687152480000",1687152480000,"0.0895600","0.0896000","0.0895400","0.0895400","156487",1687152539999,"14015.6463000",92,"112401","10067.1849000"
"1000LUNCUSDT","1000LUNCUSDT#1687152540000",1687152540000,"0.0895400","0.0895500","0.0894900","0.0895000","188519",1687152599999,"16876.5666300",113,"67598","6052.6259400"
"1000LUNCUSDT","1000LUNCUSDT#1687152600000",1687152600000,"0.0895000","0.0895100","0.0894700","0.0894900","262804",1687152659999,"23518.9601600",156,"142118","12718.8893200"
"1000LUNCUSDT","1000LUNCUSDT#1687152660000",1687152660000,"0.0895000","0.0897200","0.0895000","0.0896900","395161",1687152719999,"35415.4201800",160,"316730","28381.7779900"
"1000LUNCUSDT","1000LUNCUSDT#1687152720000",1687152720000,"0.0896800","0.0896900","0.0896300","0.0896800","118155",1687152779999,"10594.6519300",85,"73170","6560.6234500"
"1000LUNCUSDT","1000LUNCUSDT#1687152780000",1687152780000,"0.0896800","0.0897900","0.0896800","0.0897400","223225",1687152839999,"20032.2485500",108,"174087","15621.4428300"
"1000LUNCUSDT","1000LUNCUSDT#1687152840000",1687152840000,"0.0897400","0.0897400","0.0896800","0.0897100","105595",1687152899999,"9472.7719100",63,"42027","3769.9008200"
"1000LUNCUSDT","1000LUNCUSDT#1687152900000",1687152900000,"0.0897000","0.0897000","0.0894500","0.0895200","657878",1687152959999,"58917.7461800",254,"102698","9195.3707500"
"1000LUNCUSDT","1000LUNCUSDT#1687152960000",1687152960000,"0.0895300","0.0896200","0.0895300","0.0896000","135416",1687153019999,"12128.5295900",102,"76650","6864.7982100"
"1000LUNCUSDT","1000LUNCUSDT#1687153020000",1687153020000,"0.0896000","0.0896100","0.0895300","0.0896100","414535",1687153079999,"37136.8319400",126,"265675","23800.7099100"
"1000LUNCUSDT","1000LUNCUSDT#1687153080000",1687153080000,"0.0896300","0.0896500","0.0895600","0.0895600","61521",1687153139999,"5513.2202200",58,"9950","891.8421200"
"1000LUNCUSDT","1000LUNCUSDT#1687153140000",1687153140000,"0.0895700","0.0895900","0.0895600","0.0895900","63448",1687153199999,"5683.9592300",53,"48631","4356.5482100"
"1000LUNCUSDT","1000LUNCUSDT#1687153200000",1687153200000,"0.0895900","0.0898000","0.0895800","0.0898000","152556",1687153259999,"13679.1685400",93,"129534","11614.7732100"
"1000LUNCUSDT","1000LUNCUSDT#1687153260000",1687153260000,"0.0897800","0.0897800","0.0897200","0.0897500","149540",1687153319999,"13421.7442300",118,"63444","5693.2121700"
"1000LUNCUSDT","1000LUNCUSDT#1687153320000",1687153320000,"0.0897500","0.0897600","0.0896100","0.0896100","177547",1687153379999,"15928.7736200",128,"36449","3270.6788000"
"1000LUNCUSDT","1000LUNCUSDT#1687153380000",1687153380000,"0.0896100","0.0897300","0.0896100","0.0896700","91941",1687153439999,"8245.6371400",67,"62762","5627.7590800"
"1000LUNCUSDT","1000LUNCUSDT#1687153440000",1687153440000,"0.0896700","0.0896700","0.0896200","0.0896500","65444",1687153499999,"5866.5002800",71,"29994","2688.3949100"
