"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"GALABUSD","GALABUSD#1687168860000",1687168860000,"0.0228600","0.0228600","0.0228310","0.0228400","167039",1687168919999,"3815.8096220",50,"75129","1715.5034140"
"GALABUSD","GALABUSD#1687168920000",1687168920000,"0.0228390","0.0228460","0.0228290","0.0228460","115301",1687168979999,"2633.1664240",29,"72893","1664.6785690"
"GALABUSD","GALABUSD#1687168980000",1687168980000,"0.0228410","0.0228410","0.0227980","0.0227980","77842",1687169039999,"1776.3637080",53,"31543","719.5839100"
"GALABUSD","GALABUSD#1687169040000",1687169040000,"0.0227990","0.0228120","0.0227990","0.0228110","112395",1687169099999,"2563.0160100",30,"95101","2168.5513760"
"GALABUSD","GALABUSD#1687169100000",1687169100000,"0.0228110","0.0228110","0.0227880","0.0227940","589393",1687169159999,"13437.7607320",119,"311277","7097.1517650"
"GALABUSD","GALABUSD#1687169160000",1687169160000,"0.0227940","0.0227940","0.0227660","0.0227660","468314",1687169219999,"10671.9309730",83,"190280","4336.4409900"
"GALABUSD","GALABUSD#1687169220000",1687169220000,"0.0227660","0.0228130","0.0227660","0.0228130","368137",1687169279999,"8385.7781670",48,"368137","8385.7781670"
"GALABUSD","GALABUSD#1687169280000",1687169280000,"0.0228190","0.0228230","0.0227850","0.0228020","305596",1687169339999,"6970.6219020",62,"62162","1417.9684470"
"GALABUSD","GALABUSD#1687169340000",1687169340000,"0.0227980","0.0228220","0.0227980","0.0228040","106812",1687169399999,"2436.5665900",26,"67791","1546.3569810"
"GALABUSD","GALABUSD#1687169400000",1687169400000,"0.0228140","0.0228320","0.0228070","0.0228300","438750",1687169459999,"10012.3218980",101,"173772","3965.0210750"
"GALABUSD","GALABUSD#1687169460000",1687169460000,"0.0228300","0.0228370","0.0228280","0.0228280","514949",1687169519999,"11757.6486090",123,"235791","5383.8842200"
"GALABUSD","GALABUSD#1687169520000",1687169520000,"0.0228270","0.0228490","0.0228170","0.0228490","385005",1687169579999,"8789.0382160",98,"192520","4395.1475700"
"GALABUSD","GALABUSD#1687169580000",1687169580000,"0.0228480","0.0228830","0.0228450","0.0228630","438052",1687169639999,"10017.6988480",126,"257055","5878.8345460"
"GALABUSD","GALABUSD#1687169640000",1687169640000,"0.0228670","0.0228780","0.0228560","0.0228560","76181",1687169699999,"1742.1957270",29,"23249","531.5222130"
