"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"OCEANUSDT","OCEANUSDT#1687158060000",1687158060000,"0.32540","0.32550","0.32490","0.32530","235936",1687158119999,"76707.49050",278,"54672","17776.60740"
"OCEANUSDT","OCEANUSDT#1687158120000",1687158120000,"0.32530","0.32560","0.32510","0.32550","55204",1687158179999,"17956.14040",164,"28445","9253.71880"
"OCEANUSDT","OCEANUSDT#1687158180000",1687158180000,"0.32550","0.32560","0.32550","0.32560","26276",1687158239999,"8554.43160",70,"15936","5188.76160"
"OCEANUSDT","OCEANUSDT#1687158240000",1687158240000,"0.32560","0.32570","0.32550","0.32560","34753",1687158299999,"11315.30190",107,"23765","7738.33430"
"OCEANUSDT","OCEANUSDT#1687158300000",1687158300000,"0.32570","0.32570","0.32510","0.32550","209713",1687158359999,"68243.88260",311,"78382","25497.78540"
"OCEANUSDT","OCEANUSDT#1687158360000",1687158360000,"0.32550","0.32560","0.32530","0.32530","52657",1687158419999,"17139.25200",126,"7123","2318.71320"
"OCEANUSDT","OCEANUSDT#1687158420000",1687158420000,"0.32540","0.32550","0.32540","0.32550","19320",1687158479999,"6287.01590",39,"13540","4406.20390"
"OCEANUSDT","OCEANUSDT#1687158480000",1687158480000,"0.32550","0.32560","0.32540","0.32560","26983",1687158539999,"8783.53220",79,"22811","7425.78830"
"OCEANUSDT","OCEANUSDT#1687158540000",1687158540000,"0.32550","0.32560","0.32530","0.32530","47070",1687158599999,"15319.70760",77,"10117","3292.54280"
"OCEANUSDT","OCEANUSDT#1687158600000",1687158600000,"0.32540","0.32570","0.32530","0.32570","109605",1687158659999,"35677.24550",210,"89945","29278.12570"
"OCEANUSDT","OCEANUSDT#1687158660000",1687158660000,"0.32560","0.32580","0.32540","0.32570","77089",1687158719999,"25098.46270",139,"37354","12161.80150"
"OCEANUSDT","OCEANUSDT#1687158720000",1687158720000,"0.32570","0.32580","0.32560","0.32560","9507",1687158779999,"3096.33270",56,"550","179.14110"
"OCEANUSDT","OCEANUSDT#1687158780000",1687158780000,"0.32570","0.32590","0.32570","0.32580","35287",1687158839999,"11495.26470",73,"19063","6209.70360"
"OCEANUSDT","OCEANUSDT#1687158840000",1687158840000,"0.32580","0.32620","0.32570","0.32590","649076",1687158899999,"211551.43210",554,"365872","119259.71400"
"OCEANUSDT","OCEANUSDT#1687158900000",1687158900000,"0.32580","0.32580","0.32520","0.32530","164497",1687158959999,"53531.89230",189,"46888","15255.78810"
"OCEANUSDT","OCEANUSDT#1687158960000",1687158960000,"0.32540","0.32550","0.32520","0.32520","89403",1687159019999,"29093.87910",121,"50854","16550.49790"
"OCEANUSDT","OCEANUSDT#1687159020000",1687159020000,"0.32520","0.32540","0.32520","0.32530","50723",1687159079999,"16501.72760",74,"40702","13242.34130"
"OCEANUSDT","OCEANUSDT#1687159080000",1687159080000,"0.32530","0.32530","0.32500","0.32520","52305",1687159139999,"17005.97610",87,"35007","11382.60700"
"OCEANUSDT","OCEANUSDT#1687159140000",1687159140000,"0.32520","0.32520","0.32440","0.32460","249428",1687159199999,"80977.76520",321,"47580","15445.06470"
"OCEANUSDT","OCEANUSDT#1687159200000",1687159200000,"0.32460","0.32460","0.32410","0.32440","299620",1687159259999,"97181.57970",446,"131128","42538.46690"
