"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"QTUMUSDT","QTUMUSDT#1687150860000",1687150860000,"2.058","2.058","2.057","2.058","2368.2",1687150919999,"4873.7174",61,"1035.6","2131.2648"
"QTUMUSDT","QTUMUSDT#1687150920000",1687150920000,"2.058","2.058","2.057","2.058","73.9",1687150979999,"152.0712",12,"58.9","121.2162"
"QTUMUSDT","QTUMUSDT#1687150980000",1687150980000,"2.058","2.058","2.056","2.056","922.2",1687151039999,"1896.9771",13,"19.5","40.1310"
"QTUMUSDT","QTUMUSDT#1687151040000",1687151040000,"2.057","2.057","2.056","2.056","145.3",1687151099999,"298.8661",4,"129.3","265.9701"
"QTUMUSDT","QTUMUSDT#1687151100000",1687151100000,"2.057","2.058","2.057","2.058","1157.2",1687151159999,"2380.5993",43,"1054.3","2168.9340"
"QTUMUSDT","QTUMUSDT#1687151160000",1687151160000,"2.058","2.058","2.057","2.057","2532.5",1687151219999,"5211.3754",37,"1051.2","2163.3696"
"QTUMUSDT","QTUMUSDT#1687151220000",1687151220000,"2.057","2.057","2.057","2.057","0.0",1687151279999,"0.0000",0,"0.0","0.0000"
"QTUMUSDT","QTUMUSDT#1687151280000",1687151280000,"2.058","2.060","2.058","2.059","2404.6",1687151339999,"4952.1054",26,"2174.1","4477.5059"
"QTUMUSDT","QTUMUSDT#1687151340000",1687151340000,"2.060","2.061","2.060","2.060","2350.7",1687151399999,"4843.1891",23,"2176.4","4484.0194"
"QTUMUSDT","QTUMUSDT#1687151400000",1687151400000,"2.061","2.062","2.061","2.061","453.1",1687151459999,"933.8919",20,"336.9","694.4037"
"QTUMUSDT","QTUMUSDT#1687151460000",1687151460000,"2.062","2.062","2.061","2.061","1739.8",1687151519999,"3585.7347",25,"665.0","1370.5719"
"QTUMUSDT","QTUMUSDT#1687151520000",1687151520000,"2.061","2.061","2.061","2.061","7.1",1687151579999,"14.6331",1,"0.0","0.0000"
"QTUMUSDT","QTUMUSDT#1687151580000",1687151580000,"2.061","2.061","2.060","2.060","2297.3",1687151639999,"4734.5253",15,"0.0","0.0000"
"QTUMUSDT","QTUMUSDT#1687151640000",1687151640000,"2.061","2.061","2.061","2.061","5.6",1687151699999,"11.5416",2,"5.6","11.5416"
"QTUMUSDT","QTUMUSDT#1687151700000",1687151700000,"2.061","2.061","2.059","2.059","1390.5",1687151759999,"2863.5173",21,"2.8","5.7708"
"QTUMUSDT","QTUMUSDT#1687151760000",1687151760000,"2.059","2.059","2.059","2.059","45.9",1687151819999,"94.5081",3,"45.9","94.5081"
"QTUMUSDT","QTUMUSDT#1687151820000",1687151820000,"2.059","2.059","2.059","2.059","86.3",1687151879999,"177.6917",7,"86.3","177.6917"
"QTUMUSDT","QTUMUSDT#1687151880000",1687151880000,"2.059","2.060","2.059","2.059","2941.5",1687151939999,"6058.3575",28,"2274.1","4683.5321"
"QTUMUSDT","QTUMUSDT#1687151940000",1687151940000,"2.059","2.059","2.059","2.059","1560.3",1687151999999,"3212.6577",9,"1560.3","3212.6577"
"QTUMUSDT","QTUMUSDT#1687152000000",1687152000000,"2.059","2.059","2.059","2.059","0.0",1687152059999,"0.0000",0,"0.0","0.0000"
"QTUMUSDT","QTUMUSDT#1687152060000",1687152060000,"2.060","2.060","2.060","2.060","43.9",1687152119999,"90.4340",5,"43.9","90.4340"
"QTUMUSDT","QTUMUSDT#1687152120000",1687152120000,"2.060","2.060","2.060","2.060","17.4",1687152179999,"35.8440",2,"17.4","35.8440"
"QTUMUSDT","QTUMUSDT#1687152180000",1687152180000,"2.060","2.060","2.060","2.060","1518.0",1687152239999,"3127.0800",18,"561.0","1155.6600"
"QTUMUSDT","QTUMUSDT#1687152240000",1687152240000,"2.059","2.059","2.059","2.059","5.8",1687152299999,"11.9422",1,"0.0","0.0000"
"QTUMUSDT","QTUMUSDT#1687152300000",1687152300000,"2.060","2.060","2.059","2.060","176.5",1687152359999,"363.5842",9,"170.7","351.6420"
"QTUMUSDT","QTUMUSDT#1687152360000",1687152360000,"2.059","2.060","2.059","2.060","81.6",1687152419999,"168.0689",12,"54.5","112.2700"
"QTUMUSDT","QTUMUSDT#1687152420000",1687152420000,"2.060","2.060","2.056","2.056","2481.5",1687152479999,"5107.5152",43,"77.4","159.2607"
"QTUMUSDT","QTUMUSDT#1687152480000",1687152480000,"2.057","2.058","2.057","2.058","1231.5",1687152539999,"2533.5422",31,"1231.5","2533.5422"
