"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"TRXBUSD","TRXBUSD#1687140060000",1687140060000,"0.0697600","0.0697600","0.0697600","0.0697600","5137",1687140119999,"358.3571200",1,"5137","358.3571200"
"TRXBUSD","TRXBUSD#1687140120000",1687140120000,"0.0697600","0.0697830","0.0697600","0.0697750","22190",1687140179999,"1548.1837940",12,"13229","922.8654950"
"TRXBUSD","TRXBUSD#1687140180000",1687140180000,"0.0697810","0.0697810","0.0697560","0.0697650","151769",1687140239999,"10587.8687390",39,"70339","4906.7818900"
"TRXBUSD","TRXBUSD#1687140240000",1687140240000,"0.0697530","0.0697530","0.0697330","0.0697330","16449",1687140299999,"1147.1980240",9,"6490","452.5671700"
"TRXBUSD","TRXBUSD#1687140300000",1687140300000,"0.0697330","0.0697330","0.0697330","0.0697330","0",1687140359999,"0.0000000",0,"0","0.0000000"
"TRXBUSD","TRXBUSD#1687140360000",1687140360000,"0.0697500","0.0697500","0.0697500","0.0697500","11267",1687140419999,"785.8732500",4,"11267","785.8732500"
"TRXBUSD","TRXBUSD#1687140420000",1687140420000,"0.0697660","0.0697660","0.0697650","0.0697650","6877",1687140479999,"479.7772730",5,"3368","234.9718880"
"TRXBUSD","TRXBUSD#1687140480000",1687140480000,"0.0697510","0.0697510","0.0697510","0.0697510","286",1687140539999,"19.9487860",1,"286","19.9487860"
"TRXBUSD","TRXBUSD#1687140540000",1687140540000,"0.0697500","0.0697500","0.0697250","0.0697250","38413",1687140599999,"2678.9594310",18,"518","36.1201400"
"TRXBUSD","TRXBUSD#1687140600000",1687140600000,"0.0697100","0.0697190","0.0697040","0.0697080","25553",1687140659999,"1781.2470380",12,"23292","1623.6302590"
"TRXBUSD","TRXBUSD#1687140660000",1687140660000,"0.0697230","0.0697550","0.0697230","0.0697550","18406",1687140719999,"1283.4426880",9,"18014","1256.0987280"
"TRXBUSD","TRXBUSD#1687140720000",1687140720000,"0.0697560","0.0697850","0.0697560","0.0697790","44059",1687140779999,"3073.9544120",16,"44059","3073.9544120"
"TRXBUSD","TRXBUSD#1687140780000",1687140780000,"0.0697840","0.0697840","0.0697840","0.0697840","156",1687140839999,"10.8863040",1,"0","0.0000000"
"TRXBUSD","TRXBUSD#1687140840000",1687140840000,"0.0697790","0.0697850","0.0697790","0.0697850","88068",1687140899999,"6145.8038880",17,"88068","6145.8038880"
"TRXBUSD","TRXBUSD#1687140900000",1687140900000,"0.0697880","0.0698210","0.0697880","0.0698160","11307",1687140959999,"789.3558070",8,"3326","232.1185960"
"TRXBUSD","TRXBUSD#1687140960000",1687140960000,"0.0698120","0.0698490","0.0698060","0.0698370","64627",1687141019999,"4512.3127070",23,"32923","2298.8606360"
"TRXBUSD","TRXBUSD#1687141020000",1687141020000,"0.0698360","0.0698360","0.0698250","0.0698250","7781",1687141079999,"543.3281610",4,"0","0.0000000"
"TRXBUSD","TRXBUSD#1687141080000",1687141080000,"0.0698300","0.0698300","0.0698300","0.0698300","169",1687141139999,"11.8012700",1,"169","11.8012700"
"TRXBUSD","TRXBUSD#1687141140000",1687141140000,"0.0698300","0.0698300","0.0698300","0.0698300","0",1687141199999,"0.0000000",0,"0","0.0000000"
"TRXBUSD","TRXBUSD#1687141200000",1687141200000,"0.0698500","0.0698560","0.0698450","0.0698450","36961",1687141259999,"2581.9374240",9,"309","21.5836500"
"TRXBUSD","TRXBUSD#1687141260000",1687141260000,"0.0698380","0.0698380","0.0698380","0.0698380","5789",1687141319999,"404.2921820",4,"0","0.0000000"
"TRXBUSD","TRXBUSD#1687141320000",1687141320000,"0.0698380","0.0698620","0.0698380","0.0698620","16450",1687141379999,"1148.8427970",4,"16450","1148.8427970"
"TRXBUSD","TRXBUSD#1687141380000",1687141380000,"0.0698650","0.0698810","0.0698650","0.0698810","3719",1687141439999,"259.8859030",3,"3719","259.8859030"
"TRXBUSD","TRXBUSD#1687141440000",1687141440000,"0.0698860","0.0699030","0.0698860","0.0699020","55865",1687141499999,"3905.0299040",19,"22903","1600.9201800"
"TRXBUSD","TRXBUSD#1687141500000",1687141500000,"0.0698950","0.0698950","0.0698930","0.0698940","5732",1687141559999,"400.6314380",7,"1800","125.8092000"
"TRXBUSD","TRXBUSD#1687141560000",1687141560000,"0.0698940","0.0698940","0.0698940","0.0698940","0",1687141619999,"0.0000000",0,"0","0.0000000"
"TRXBUSD","TRXBUSD#1687141620000",1687141620000,"0.0698940","0.0699170","0.0698940","0.0699170","89403",1687141679999,"6249.5993610",18,"89403","6249.5993610"
"TRXBUSD","TRXBUSD#1687141680000",1687141680000,"0.0699270","0.0699330","0.0699270","0.0699330","19933",1687141739999,"1393.8561500",5,"329","23.0072420"
"TRXBUSD","TRXBUSD#1687141740000",1687141740000,"0.0699420","0.0699430","0.0699420","0.0699430","5935",1687141799999,"415.1078320",4,"5935","415.1078320"
"TRXBUSD","TRXBUSD#1687141800000",1687141800000,"0.0699430","0.0699590","0.0699430","0.0699590","14965",1687141859999,"1046.7793070",9,"14569","1019.0818790"
"TRXBUSD","TRXBUSD#1687141860000",1687141860000,"0.0699650","0.0699930","0.0699650","0.0699930","12270",1687141919999,"858.6542640",6,"5760","402.9998340"
"TRXBUSD","TRXBUSD#1687141920000",1687141920000,"0.0699830","0.0700090","0.0699830","0.0700090","15968",1687141979999,"1117.7626150",6,"6787","475.0099860"
"TRXBUSD","TRXBUSD#1687141980000",1687141980000,"0.0700100","0.0700100","0.0700100","0.0700100","142",1687142039999,"9.9414200",1,"142","9.9414200"
"TRXBUSD","TRXBUSD#1687142040000",1687142040000,"0.0700100","0.0700230","0.0700100","0.0700230","1498",1687142099999,"104.8768260",2,"1498","104.8768260"
"TRXBUSD","TRXBUSD#1687142100000",1687142100000,"0.0700220","0.0700560","0.0699990","0.0700560","187727",1687142159999,"13143.9514360",45,"98381","6888.5188630"
"TRXBUSD","TRXBUSD#1687142160000",1687142160000,"0.0700590","0.0700910","0.0700590","0.0700910","7493",1687142219999,"525.1162780",13,"7493","525.1162780"
"TRXBUSD","TRXBUSD#1687142220000",1687142220000,"0.0700960","0.0702060","0.0700960","0.0702060","128580",1687142279999,"9021.9274460",61,"126465","8873.6384510"
"TRXBUSD","TRXBUSD#1687142280000",1687142280000,"0.0702120","0.0702450","0.0702120","0.0702420","303419",1687142339999,"21309.4480470",55,"244147","17146.2576360"
"TRXBUSD","TRXBUSD#1687142340000",1687142340000,"0.0702270","0.0702280","0.0702040","0.0702120","66168",1687142399999,"4646.3584660",32,"5855","411.1399460"
"TRXBUSD","TRXBUSD#1687142400000",1687142400000,"0.0702100","0.0702110","0.0702100","0.0702110","693",1687142459999,"48.6558140",2,"284","19.9399240"
"TRXBUSD","TRXBUSD#1687142460000",1687142460000,"0.0702100","0.0702100","0.0701530","0.0701640","67036",1687142519999,"4703.9265290",20,"47329","3320.4895350"
"TRXBUSD","TRXBUSD#1687142520000",1687142520000,"0.0701740","0.0701740","0.0701690","0.0701690","16555",1687142579999,"1161.6936380",8,"285","19.9995900"
"TRXBUSD","TRXBUSD#1687142580000",1687142580000,"0.0701640","0.0702100","0.0701640","0.0702100","65284",1687142639999,"4581.5161360",17,"57056","4004.1432440"
"TRXBUSD","TRXBUSD#1687142640000",1687142640000,"0.0702100","0.0702100","0.0701800","0.0701800","16870",1687142699999,"1184.4153410",8,"142","9.9655600"
"TRXBUSD","TRXBUSD#1687142700000",1687142700000,"0.0701720","0.0701720","0.0701650","0.0701650","7714",1687142759999,"541.2777440",4,"0","0.0000000"
"TRXBUSD","TRXBUSD#1687142760000",1687142760000,"0.0701660","0.0701770","0.0701660","0.0701770","57323",1687142819999,"4022.2653890",10,"49590","3479.5866480"
"TRXBUSD","TRXBUSD#1687142820000",1687142820000,"0.0701890","0.0702020","0.0701880","0.0701880","6435",1687142879999,"451.6764990",3,"5633","395.3744950"
"TRXBUSD","TRXBUSD#1687142880000",1687142880000,"0.0701880","0.0701880","0.0701880","0.0701880","0",1687142939999,"0.0000000",0,"0","0.0000000"
"TRXBUSD","TRXBUSD#1687142940000",1687142940000,"0.0701880","0.0702120","0.0701870","0.0702120","19659",1687142999999,"1379.8876390",8,"19302","1354.8308800"
"TRXBUSD","TRXBUSD#1687143000000",1687143000000,"0.0702240","0.0702240","0.0702240","0.0702240","288",1687143059999,"20.2245120",1,"0","0.0000000"
"TRXBUSD","TRXBUSD#1687143060000",1687143060000,"0.0702060","0.0702060","0.0701870","0.0701870","6262",1687143119999,"439.6184710",8,"1799","126.3005940"
"TRXBUSD","TRXBUSD#1687143120000",1687143120000,"0.0701870","0.0702060","0.0701530","0.0702060","30269",1687143179999,"2123.7505950",12,"20660","1449.3811200"
"TRXBUSD","TRXBUSD#1687143180000",1687143180000,"0.0702060","0.0702060","0.0702060","0.0702060","0",1687143239999,"0.0000000",0,"0","0.0000000"
"TRXBUSD","TRXBUSD#1687143240000",1687143240000,"0.0702060","0.0702060","0.0702050","0.0702050","4336",1687143299999,"304.4090940",3,"214","15.0240840"
"TRXBUSD","TRXBUSD#1687143300000",1687143300000,"0.0701960","0.0701960","0.0701890","0.0701890","17852",1687143359999,"1253.0536710",6,"1981","139.0582760"
"TRXBUSD","TRXBUSD#1687143360000",1687143360000,"0.0701770","0.0701770","0.0701770","0.0701770","16514",1687143419999,"1158.9029780",3,"16514","1158.9029780"
"TRXBUSD","TRXBUSD#1687143420000",1687143420000,"0.0701770","0.0701770","0.0701770","0.0701770","0",1687143479999,"0.0000000",0,"0","0.0000000"
"TRXBUSD","TRXBUSD#1687143480000",1687143480000,"0.0701840","0.0702000","0.0701760","0.0702000","91334",1687143539999,"6410.1351590",19,"43327","3040.9549230"
"TRXBUSD","TRXBUSD#1687143540000",1687143540000,"0.0702040","0.0702040","0.0702040","0.0702040","3560",1687143599999,"249.9262400",1,"0","0.0000000"
"TRXBUSD","TRXBUSD#1687143600000",1687143600000,"0.0702010","0.0702010","0.0701990","0.0701990","3610",1687143659999,"253.4246270",4,"157","11.0214000"
