"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"XRPBUSD","XRPBUSD#1687168860000",1687168860000,"0.4881","0.4883","0.4879","0.4881","178351.9",1687168919999,"87060.92184",118,"92919.4","45360.82224"
"XRPBUSD","XRPBUSD#1687168920000",1687168920000,"0.4880","0.4880","0.4879","0.4880","15954.4",1687168979999,"7785.60428",16,"10365.6","5058.41280"
"XRPBUSD","XRPBUSD#1687168980000",1687168980000,"0.4880","0.4882","0.4878","0.4881","180967.5",1687169039999,"88308.66773",115,"52282.9","25512.03889"
"XRPBUSD","XRPBUSD#1687169040000",1687169040000,"0.4880","0.4881","0.4880","0.4881","1458.1",1687169099999,"711.63840",6,"856.0","417.81360"
"XRPBUSD","XRPBUSD#1687169100000",1687169100000,"0.4881","0.4885","0.4881","0.4885","28292.3",1687169159999,"13812.16279",30,"28021.3","13679.84971"
"XRPBUSD","XRPBUSD#1687169160000",1687169160000,"0.4885","0.4885","0.4884","0.4884","4678.0",1687169219999,"2284.82682",13,"916.2","447.56370"
"XRPBUSD","XRPBUSD#1687169220000",1687169220000,"0.4883","0.4888","0.4883","0.4887","53877.5",1687169279999,"26321.18340",55,"43894.0","21442.64931"
"XRPBUSD","XRPBUSD#1687169280000",1687169280000,"0.4888","0.4891","0.4888","0.4888","205569.8",1687169339999,"100524.32967",113,"132210.2","64653.21275"
"XRPBUSD","XRPBUSD#1687169340000",1687169340000,"0.4887","0.4889","0.4887","0.4888","18763.6",1687169399999,"9172.44876",18,"5207.2","2545.27936"
"XRPBUSD","XRPBUSD#1687169400000",1687169400000,"0.4888","0.4889","0.4888","0.4889","25979.9",1687169459999,"12701.48975",17,"25146.3","12294.02607"
"XRPBUSD","XRPBUSD#1687169460000",1687169460000,"0.4888","0.4888","0.4886","0.4888","36685.7",1687169519999,"17931.21210",48,"6579.6","3215.63750"
"XRPBUSD","XRPBUSD#1687169520000",1687169520000,"0.4889","0.4889","0.4889","0.4889","837.1",1687169579999,"409.25819",6,"837.1","409.25819"
"XRPBUSD","XRPBUSD#1687169580000",1687169580000,"0.4888","0.4891","0.4888","0.4888","53150.1",1687169639999,"25987.37294",29,"32643.1","15960.05505"
"XRPBUSD","XRPBUSD#1687169640000",1687169640000,"0.4887","0.4888","0.4886","0.4886","103903.4",1687169699999,"50779.50082",46,"17110.6","8363.65070"
"XRPBUSD","XRPBUSD#1687169700000",1687169700000,"0.4886","0.4889","0.4886","0.4887","82393.0",1687169759999,"40270.56248",54,"80525.8","39357.95353"
"XRPBUSD","XRPBUSD#1687169760000",1687169760000,"0.4886","0.4889","0.4885","0.4889","29509.6",1687169819999,"14418.96964",21,"17705.6","8652.05447"
"XRPBUSD","XRPBUSD#1687169820000",1687169820000,"0.4889","0.4894","0.4889","0.4893","54415.3",1687169879999,"26623.55790",84,"47991.4","23481.12764"
"XRPBUSD","XRPBUSD#1687169880000",1687169880000,"0.4893","0.4894","0.4891","0.4892","53134.2",1687169939999,"25995.41419",46,"39445.2","19298.25537"
"XRPBUSD","XRPBUSD#1687169940000",1687169940000,"0.4891","0.4891","0.4890","0.4890","8917.2",1687169999999,"4360.69790",12,"450.0","220.09500"
"XRPBUSD","XRPBUSD#1687170000000",1687170000000,"0.4890","0.4891","0.4888","0.4891","44798.9",1687170059999,"21902.81032",34,"19365.1","9467.88115"
"XRPBUSD","XRPBUSD#1687170060000",1687170060000,"0.4891","0.4891","0.4889","0.4889","14087.9",1687170119999,"6889.68276",10,"20.3","9.92467"
"XRPBUSD","XRPBUSD#1687170120000",1687170120000,"0.4888","0.4888","0.4887","0.4887","3861.4",1687170179999,"1887.16849",5,"0.0","0.00000"
"XRPBUSD","XRPBUSD#1687170180000",1687170180000,"0.4887","0.4889","0.4887","0.4889","23245.0",1687170239999,"11361.54400",16,"23245.0","11361.54400"
"XRPBUSD","XRPBUSD#1687170240000",1687170240000,"0.4889","0.4889","0.4883","0.4883","25677.4",1687170299999,"12545.63933",31,"1241.4","606.33300"
"XRPBUSD","XRPBUSD#1687170300000",1687170300000,"0.4883","0.4885","0.4883","0.4885","35584.5",1687170359999,"17378.56105",34,"34714.2","16953.53846"
"XRPBUSD","XRPBUSD#1687170360000",1687170360000,"0.4884","0.4884","0.4881","0.4882","43167.9",1687170419999,"21074.47182",44,"4270.1","2084.66282"
"XRPBUSD","XRPBUSD#1687170420000",1687170420000,"0.4882","0.4884","0.4882","0.4883","25551.3",1687170479999,"12476.71470",15,"25336.1","12371.63808"
"XRPBUSD","XRPBUSD#1687170480000",1687170480000,"0.4882","0.4882","0.4880","0.4880","12191.7",1687170539999,"5949.62995",9,"0.0","0.00000"
"XRPBUSD","XRPBUSD#1687170540000",1687170540000,"0.4880","0.4880","0.4879","0.4879","10805.7",1687170599999,"5272.16054",3,"595.1","290.40880"
"XRPBUSD","XRPBUSD#1687170600000",1687170600000,"0.4879","0.4880","0.4877","0.4877","36851.5",1687170659999,"17978.19682",67,"433.5","211.50595"
"XRPBUSD","XRPBUSD#1687170660000",1687170660000,"0.4877","0.4879","0.4877","0.4878","15588.3",1687170719999,"7603.96585",20,"5818.2","2838.13452"
"XRPBUSD","XRPBUSD#1687170720000",1687170720000,"0.4878","0.4881","0.4878","0.4881","146709.7",1687170779999,"71584.25470",106,"133293.9","65036.35637"
"XRPBUSD","XRPBUSD#1687170780000",1687170780000,"0.4881","0.4882","0.4880","0.4881","33699.1",1687170839999,"16448.56109",66,"10570.1","5159.31260"
"XRPBUSD","XRPBUSD#1687170840000",1687170840000,"0.4881","0.4883","0.4881","0.4883","5984.2",1687170899999,"2921.48453",22,"4774.3","2330.83091"
"XRPBUSD","XRPBUSD#1687170900000",1687170900000,"0.4882","0.4883","0.4881","0.4882","14528.7",1687170959999,"7092.92998",37,"3152.3","1539.05526"
"XRPBUSD","XRPBUSD#1687170960000",1687170960000,"0.4882","0.4882","0.4882","0.4882","7930.9",1687171019999,"3871.86538",14,"0.0","0.00000"
"XRPBUSD","XRPBUSD#1687171020000",1687171020000,"0.4882","0.4882","0.4882","0.4882","23.4",1687171079999,"11.42388",1,"23.4","11.42388"
"XRPBUSD","XRPBUSD#1687171080000",1687171080000,"0.4881","0.4881","0.4879","0.4879","12402.3",1687171139999,"6052.71967",12,"273.4","133.41920"
"XRPBUSD","XRPBUSD#1687171140000",1687171140000,"0.4879","0.4881","0.4879","0.4881","54627.1",1687171199999,"26656.60645",45,"54627.1","26656.60645"
"XRPBUSD","XRPBUSD#1687171200000",1687171200000,"0.4880","0.4880","0.4880","0.4880","6668.8",1687171259999,"3254.37440",8,"0.0","0.00000"
"XRPBUSD","XRPBUSD#1687171260000",1687171260000,"0.4880","0.4882","0.4880","0.4882","23945.3",1687171319999,"11686.74881",27,"23945.3","11686.74881"
"XRPBUSD","XRPBUSD#1687171320000",1687171320000,"0.4881","0.4881","0.4880","0.4880","18543.3",1687171379999,"9050.93557",15,"54.8","26.74788"
"XRPBUSD","XRPBUSD#1687171380000",1687171380000,"0.4880","0.4881","0.4880","0.4881","9334.0",1687171439999,"4555.04708",6,"550.8","268.84548"
"XRPBUSD","XRPBUSD#1687171440000",1687171440000,"0.4881","0.4882","0.4880","0.4881","25837.4",1687171499999,"12612.04324",27,"19244.8","9393.88384"
"XRPBUSD","XRPBUSD#1687171500000",1687171500000,"0.4880","0.4880","0.4879","0.4879","7982.0",1687171559999,"3895.21169",13,"0.0","0.00000"
"XRPBUSD","XRPBUSD#1687171560000",1687171560000,"0.4879","0.4879","0.4878","0.4878","15316.2",1687171619999,"7472.71701",12,"559.4","272.93126"
"XRPBUSD","XRPBUSD#1687171620000",1687171620000,"0.4877","0.4877","0.4874","0.4874","3161.6",1687171679999,"1541.15962",26,"54.2","26.42792"
"XRPBUSD","XRPBUSD#1687171680000",1687171680000,"0.4874","0.4874","0.4870","0.4870","10995.7",1687171739999,"5357.17829",23,"36.9","17.98260"
"XRPBUSD","XRPBUSD#1687171740000",1687171740000,"0.4870","0.4870","0.4869","0.4870","25423.9",1687171799999,"12380.36679",37,"17560.9","8551.83024"
"XRPBUSD","XRPBUSD#1687171800000",1687171800000,"0.4871","0.4871","0.4869","0.4870","37333.6",1687171859999,"18181.37102",25,"897.5","437.13119"
"XRPBUSD","XRPBUSD#1687171860000",1687171860000,"0.4869","0.4870","0.4866","0.4867","28884.2",1687171919999,"14058.84564",38,"424.7","206.73149"
"XRPBUSD","XRPBUSD#1687171920000",1687171920000,"0.4867","0.4870","0.4867","0.4870","68877.7",1687171979999,"33533.91489",46,"32498.4","15817.43630"
"XRPBUSD","XRPBUSD#1687171980000",1687171980000,"0.4870","0.4870","0.4868","0.4868","29453.8",1687172039999,"14338.60409",22,"27263.3","13271.89292"
"XRPBUSD","XRPBUSD#1687172040000",1687172040000,"0.4869","0.4870","0.4869","0.4870","29909.1",1687172099999,"14564.88505",25,"19407.7","9451.01442"
"XRPBUSD","XRPBUSD#1687172100000",1687172100000,"0.4870","0.4870","0.4870","0.4870","1142.4",1687172159999,"556.34880",5,"0.0","0.00000"
"XRPBUSD","XRPBUSD#1687172160000",1687172160000,"0.4870","0.4870","0.4868","0.4868","24175.4",1687172219999,"11770.22648",19,"51.8","25.21624"
"XRPBUSD","XRPBUSD#1687172220000",1687172220000,"0.4867","0.4867","0.4865","0.4865","9460.2",1687172279999,"4603.50015",11,"0.0","0.00000"
"XRPBUSD","XRPBUSD#1687172280000",1687172280000,"0.4866","0.4867","0.4866","0.4867","33670.3",1687172339999,"16385.49453",42,"19532.5","9506.04105"
"XRPBUSD","XRPBUSD#1687172340000",1687172340000,"0.4866","0.4868","0.4866","0.4867","35928.5",1687172399999,"17486.42998",14,"35860.3","17453.23873"
"XRPBUSD","XRPBUSD#1687172400000",1687172400000,"0.4867","0.4868","0.4863","0.4865","77474.1",1687172459999,"37695.48728",90,"25678.2","12492.35170"
