"symbol","idx","open_time","open","high","low","close","volume","close_time","quote_asset_volume","number_of_trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume"
"CVXUSDT","CVXUSDT#1687294860000",1687294860000,"3.623000","3.624000","3.622000","3.622000","452",1687294919999,"1637.443000",37,"175","634.102000"
"CVXUSDT","CVXUSDT#1687294920000",1687294920000,"3.621000","3.621000","3.620000","3.620000","388",1687294979999,"1404.941000",19,"13","47.073000"
"CVXUSDT","CVXUSDT#1687294980000",1687294980000,"3.620000","3.620000","3.619000","3.620000","800",1687295039999,"2895.989000",41,"238","861.560000"
"CVXUSDT","CVXUSDT#1687295040000",1687295040000,"3.620000","3.621000","3.606000","3.611000","4288",1687295099999,"15478.811000",142,"2139","7719.039000"
"CVXUSDT","CVXUSDT#1687295100000",1687295100000,"3.611000","3.611000","3.609000","3.610000","263",1687295159999,"949.374000",36,"102","368.157000"
"CVXUSDT","CVXUSDT#1687295160000",1687295160000,"3.610000","3.620000","3.610000","3.617000","5084",1687295219999,"18380.521000",84,"3547","12817.343000"
"CVXUSDT","CVXUSDT#1687295220000",1687295220000,"3.617000","3.617000","3.616000","3.616000","216",1687295279999,"781.170000",19,"0","0.000000"
"CVXUSDT","CVXUSDT#1687295280000",1687295280000,"3.615000","3.615000","3.615000","3.615000","365",1687295339999,"1319.475000",2,"0","0.000000"
"CVXUSDT","CVXUSDT#1687295340000",1687295340000,"3.615000","3.615000","3.607000","3.610000","2804",1687295399999,"10124.712000",90,"360","1299.157000"
"CVXUSDT","CVXUSDT#1687295400000",1687295400000,"3.610000","3.610000","3.609000","3.609000","1178",1687295459999,"4252.225000",75,"894","3227.269000"
"CVXUSDT","CVXUSDT#1687295460000",1687295460000,"3.609000","3.610000","3.607000","3.607000","881",1687295519999,"3179.134000",57,"221","797.655000"
"CVXUSDT","CVXUSDT#1687295520000",1687295520000,"3.608000","3.611000","3.607000","3.608000","1943",1687295579999,"7012.590000",80,"490","1768.880000"
"CVXUSDT","CVXUSDT#1687295580000",1687295580000,"3.608000","3.608000","3.605000","3.606000","338",1687295639999,"1219.051000",67,"139","501.364000"
"CVXUSDT","CVXUSDT#1687295640000",1687295640000,"3.607000","3.608000","3.607000","3.608000","420",1687295699999,"1515.230000",14,"420","1515.230000"
"CVXUSDT","CVXUSDT#1687295700000",1687295700000,"3.607000","3.609000","3.607000","3.608000","682",1687295759999,"2460.314000",44,"141","508.745000"
"CVXUSDT","CVXUSDT#1687295760000",1687295760000,"3.607000","3.607000","3.604000","3.604000","3082",1687295819999,"11111.425000",98,"538","1939.555000"
"CVXUSDT","CVXUSDT#1687295820000",1687295820000,"3.605000","3.609000","3.604000","3.609000","2216",1687295879999,"7989.516000",72,"1271","4583.006000"
"CVXUSDT","CVXUSDT#1687295880000",1687295880000,"3.609000","3.611000","3.609000","3.609000","470",1687295939999,"1696.507000",27,"318","1147.888000"
"CVXUSDT","CVXUSDT#1687295940000",1687295940000,"3.609000","3.610000","3.607000","3.607000","546",1687295999999,"1970.216000",34,"54","194.905000"
"CVXUSDT","CVXUSDT#1687296000000",1687296000000,"3.607000","3.609000","3.605000","3.609000","2742",1687296059999,"9888.590000",65,"908","3275.987000"
"CVXUSDT","CVXUSDT#1687296060000",1687296060000,"3.609000","3.611000","3.609000","3.609000","514",1687296119999,"1855.420000",30,"38","137.156000"
"CVXUSDT","CVXUSDT#1687296120000",1687296120000,"3.608000","3.609000","3.606000","3.606000","523",1687296179999,"1886.354000",26,"123","443.759000"
"CVXUSDT","CVXUSDT#1687296180000",1687296180000,"3.606000","3.608000","3.606000","3.606000","901",1687296239999,"3249.568000",34,"474","1709.688000"
"CVXUSDT","CVXUSDT#1687296240000",1687296240000,"3.606000","3.608000","3.605000","3.608000","525",1687296299999,"1893.232000",13,"498","1795.847000"
"CVXUSDT","CVXUSDT#1687296300000",1687296300000,"3.609000","3.612000","3.609000","3.612000","1261",1687296359999,"4552.476000",21,"1161","4191.476000"
"CVXUSDT","CVXUSDT#1687296360000",1687296360000,"3.611000","3.615000","3.611000","3.613000","1290",1687296419999,"4660.970000",40,"756","2731.217000"
"CVXUSDT","CVXUSDT#1687296420000",1687296420000,"3.613000","3.613000","3.608000","3.609000","472",1687296479999,"1704.288000",22,"20","72.167000"
"CVXUSDT","CVXUSDT#1687296480000",1687296480000,"3.609000","3.611000","3.609000","3.610000","594",1687296539999,"2144.682000",22,"522","1884.762000"
"CVXUSDT","CVXUSDT#1687296540000",1687296540000,"3.610000","3.610000","3.610000","3.610000","0",1687296599999,"0.000000",0,"0","0.000000"
"CVXUSDT","CVXUSDT#1687296600000",1687296600000,"3.608000","3.612000","3.608000","3.612000","673",1687296659999,"2429.965000",25,"672","2426.357000"
"CVXUSDT","CVXUSDT#1687296660000",1687296660000,"3.611000","3.611000","3.608000","3.608000","813",1687296719999,"2934.861000",54,"0","0.000000"
"CVXUSDT","CVXUSDT#1687296720000",1687296720000,"3.608000","3.608000","3.608000","3.608000","7",1687296779999,"25.256000",1,"7","25.256000"
"CVXUSDT","CVXUSDT#1687296780000",1687296780000,"3.607000","3.608000","3.606000","3.608000","1249",1687296839999,"4505.282000",70,"782","2821.075000"
"CVXUSDT","CVXUSDT#1687296840000",1687296840000,"3.606000","3.609000","3.606000","3.608000","644",1687296899999,"2323.681000",15,"466","1681.671000"
"CVXUSDT","CVXUSDT#1687296900000",1687296900000,"3.609000","3.612000","3.608000","3.612000","1928",1687296959999,"6958.482000",78,"1365","4927.029000"
"CVXUSDT","CVXUSDT#1687296960000",1687296960000,"3.613000","3.615000","3.613000","3.615000","198",1687297019999,"715.751000",10,"192","694.073000"
"CVXUSDT","CVXUSDT#1687297020000",1687297020000,"3.616000","3.616000","3.615000","3.615000","414",1687297079999,"1496.626000",22,"18","65.086000"
"CVXUSDT","CVXUSDT#1687297080000",1687297080000,"3.615000","3.619000","3.615000","3.619000","3761",1687297139999,"13606.597000",81,"2597","9394.718000"
"CVXUSDT","CVXUSDT#1687297140000",1687297140000,"3.617000","3.620000","3.617000","3.620000","963",1687297199999,"3485.766000",22,"561","2030.643000"
"CVXUSDT","CVXUSDT#1687297200000",1687297200000,"3.619000","3.624000","3.619000","3.624000","1498",1687297259999,"5425.963000",65,"1007","3647.380000"
"CVXUSDT","CVXUSDT#1687297260000",1687297260000,"3.624000","3.625000","3.620000","3.621000","531",1687297319999,"1923.357000",52,"135","489.001000"
"CVXUSDT","CVXUSDT#1687297320000",1687297320000,"3.621000","3.621000","3.621000","3.621000","43",1687297379999,"155.703000",14,"43","155.703000"
"CVXUSDT","CVXUSDT#1687297380000",1687297380000,"3.621000","3.624000","3.621000","3.624000","554",1687297439999,"2006.827000",16,"429","1554.077000"
"CVXUSDT","CVXUSDT#1687297440000",1687297440000,"3.622000","3.622000","3.619000","3.620000","369",1687297499999,"1336.083000",56,"75","271.506000"
"CVXUSDT","CVXUSDT#1687297500000",1687297500000,"3.620000","3.622000","3.620000","3.622000","2240",1687297559999,"8111.626000",66,"2160","7821.866000"
"CVXUSDT","CVXUSDT#1687297560000",1687297560000,"3.622000","3.623000","3.619000","3.620000","1698",1687297619999,"6148.830000",98,"1063","3849.591000"
"CVXUSDT","CVXUSDT#1687297620000",1687297620000,"3.620000","3.620000","3.618000","3.619000","192",1687297679999,"694.784000",54,"86","311.240000"
"CVXUSDT","CVXUSDT#1687297680000",1687297680000,"3.618000","3.618000","3.612000","3.615000","1882",1687297739999,"6802.693000",98,"368","1330.193000"
"CVXUSDT","CVXUSDT#1687297740000",1687297740000,"3.614000","3.615000","3.613000","3.614000","189",1687297799999,"683.046000",29,"75","271.059000"
"CVXUSDT","CVXUSDT#1687297800000",1687297800000,"3.615000","3.616000","3.615000","3.616000","228",1687297859999,"824.222000",19,"228","824.222000"
"CVXUSDT","CVXUSDT#1687297860000",1687297860000,"3.616000","3.617000","3.615000","3.617000","475",1687297919999,"1717.462000",16,"127","459.281000"
"CVXUSDT","CVXUSDT#1687297920000",1687297920000,"3.616000","3.616000","3.615000","3.615000","138",1687297979999,"498.964000",11,"0","0.000000"
"CVXUSDT","CVXUSDT#1687297980000",1687297980000,"3.616000","3.616000","3.608000","3.611000","1529",1687298039999,"5521.116000",84,"498","1799.161000"
"CVXUSDT","CVXUSDT#1687298040000",1687298040000,"3.611000","3.613000","3.607000","3.613000","1093",1687298099999,"3946.212000",71,"839","3029.142000"
"CVXUSDT","CVXUSDT#1687298100000",1687298100000,"3.614000","3.616000","3.604000","3.615000","5955",1687298159999,"21490.948000",126,"1677","6056.196000"
"CVXUSDT","CVXUSDT#1687298160000",1687298160000,"3.614000","3.615000","3.613000","3.613000","371",1687298219999,"1340.524000",25,"55","198.760000"
"CVXUSDT","CVXUSDT#1687298220000",1687298220000,"3.612000","3.612000","3.606000","3.610000","1818",1687298279999,"6561.949000",61,"423","1526.501000"
"CVXUSDT","CVXUSDT#1687298280000",1687298280000,"3.610000","3.611000","3.610000","3.611000","49",1687298339999,"176.937000",11,"47","169.717000"
"CVXUSDT","CVXUSDT#1687298340000",1687298340000,"3.611000","3.612000","3.611000","3.611000","151",1687298399999,"545.274000",14,"144","519.997000"
"CVXUSDT","CVXUSDT#1687298400000",1687298400000,"3.611000","3.614000","3.608000","3.613000","2139",1687298459999,"7724.484000",101,"1074","3878.933000"
